id,oriented,tetrahedra
fLAMcbccdeehhnxhs,1,5
gLLPQcdcfeffqsneqcs,0,6
gLLAQcceeeffljiadxj,0,6
gLLAQbcdeeffhvbmtwn,1,6
hLLMAkbcdfefgglskmqrhr,0,7
hLALPkcbbegfgghqnomxgf,0,7
hLLAAkbcedefggasxfashn,0,7
hLLMMkbcdeffgglsbhtrhr,0,7
hLLAAkccedefggqgifqsxr,0,7
hLLMMkbcdefgfgebbuuqwn,0,7
hLLMMkbcdeffggtkbhxkiw,0,7
hLLAAkbcedefggajhfajxr,0,7
hLLLQkacefggfgnkfjkofw,1,7
hLLMMkccdfefggqjvhinpr,1,7
iLLMMPcbceefgghhasxdabclj,0,8
gLAPPbcbeeffhxjknak,1,6
iLALLQcbcbeghhghhxjnakkvc,0,8
iLLAMMcbeedffghhaaekawnxr,0,8
iLLMLQcaceehhgghnktfpdmmb,0,8
iLLAwQcbdedfhhhglraslaurr,0,8
iLLLMQcacfgghfhhnkggkpkxp,0,8
iLLMLQcaceefghhhnktfoemgb,0,8
gLLQPacdedffjsaajxr,1,6
iLLMwQcacedfghhhnktrkumjn,0,8
iLLwMQcacefhfhghnktopomwv,0,8
iLLAPMcccdegffhhakvhvvnqw,0,8
iLLLPQcacfgghfhhnkgkbpkxl,0,8
iLLALQcbdedfhghhlvagshfui,0,8
iLvLQQcaegfhhfghjxgrrrbwr,0,8
iLLLQMcbefgfefhhaadudtvxr,0,8
iLLLPQcacfgfhghhnkgkruvmh,1,8
iLLPLQcacfeghhghnkefahpmf,1,8
iLvLQQcaeefhgghhjxgrncoor,1,8
iLLAPPcbddegfghhevoprgkxn,1,8
iLLMzQcacdeghghhnkaneepan,1,8
iLLPzQcccdfgfghhqjsasfohr,1,8
jLLMPLQacdefghiiinkanjivvkk,0,9
jLLLMMQbedeghghiiaafmjrgclk,0,9
jLALLAQcbbefhgiiihqnoxjsapp,0,9
jLLLMAQbedghhgihiaafhjjsxjr,0,9
jLLAzAQcddefhghiihrraotgifw,0,9
jLLLMAQcdefgfhhiiacpabfnoen,0,9
jLLLAAQbedgeghhiiaaflinmlvw,0,9
jLLvMQQcdfgifiihhtcagjforkk,0,9
jLLAPLQceddfgiihipqvnnvhewr,0,9
jLLALPQbdedfgihhilrasvspprs,0,9
jLLAvQQbdedihgiihlrasqhshxr,0,9
jLLwzQQacdfgighiinkaklambsw,0,9
jLLvPQQacegfhhiiinkwkkaixmo,0,9
jLvALQQadfhifgihinaqepbwelj,0,9
jLLAPLQbdedgfhiiilvaggsuajo,0,9
jLLALAQbdedfhghiihoafvmwmnr,0,9
hLLLQkaeefdfggjtxgjcjj,1,7
jLLMLQPbdedgfhhiiajpfjjdekj,0,9
jLLLwQQacdgfgihiinkrkknmpks,0,9
jLLALAQbdedfghhiilvagscqqwk,0,9
jLvLMQQaedifghihijxwabwgqrx,0,9
jLLvAQQacgefhiiihnkovkqmiqw,0,9
