target,source,label
fLAMcaccdeejgbxxj,eLAkbbcddemkxr,Face: 8
fLAMcaccdeejgbqhn,eLAkbbcddemkxr,Face: 7
fLLQcacedeenkamsr,eLAkbbcddemkxr,Face: 6
fLAMcaccdeejgbaqw,eLAkbbcddemkxr,Face: 5
gLLMQaceefefnktfonw,fLAMcaccdeejgbxxj,Face: 8
gLLAQacdeeffjkadjdw,fLAMcaccdeejgbqhn,Face: 8
gLLAQaedefffnlqmbwk,fLLQcacedeenkamsr,Face: 9
gLLAQbcedefftsafaow,fLLQcacedeenkamsr,Face: 8
gLLAQbddefffdwgumvj,fLLQcacedeenkamsr,Face: 4
eLAkaccddjsnqj,fLAMcaccdeejgbaqw,Edge: 7
hLLLQkacefefggnkbrwkvw,gLLMQaceefefnktfonw,Face: 8
hLLMPkacdefgfgnkanfiwk,gLLMQaceefefnktfonw,Face: 7
hLLAMkbdedffgglvxgafxw,gLLAQacdeeffjkadjdw,Face: 11
hLLMAkbcdeffggdfbmufur,gLLAQacdeeffjkadjdw,Face: 8
hLLAAkacdeefggnkexnixk,gLLAQacdeeffjkadjdw,Face: 4
hLLLQkaedgfgfgnlisvocs,gLLAQaedefffnlqmbwk,Face: 6
hLLLQkacefefggnkbrwkvw,gLLAQaedefffnlqmbwk,Face: 5
hLLLQkaedfegggjxarccbr,gLLAQaedefffnlqmbwk,Face: 4
hLLMMkbceefgggebuaassr,gLLAQbcedefftsafaow,Face: 11
hLLAPkceddgfggtivngscf,gLLAQbcedefftsafaow,Face: 10
hLLMAkbcdeffggdfbmufur,gLLAQbcedefftsafaow,Face: 5
hLLLQkbdeegggfdwhhigoj,gLLAQbcedefftsafaow,Face: 4
hLLAPkceddgfggtivngscf,gLLAQbddefffdwgumvj,Face: 10
hLLLQkbdfgefggevipegok,gLLAQbddefffdwgumvj,Face: 5
fLLQcacdeeejkdlco,eLAkaccddjsnqj,Face: 7
fLLQcadedeejplaxo,eLAkaccddjsnqj,Face: 5
fLLQcacdedejsxank,eLAkaccddjsnqj,Face: 1
gLLAQaedefffnlqmbwk,hLLLQkacefefggnkbrwkvw,Edge: 11
iLvLQQcaeefgfghhjxkkoboor,hLLLQkacefefggnkbrwkvw,Face: 6
iLvAMQcadfdgfghhnxxrgbran,hLLMPkacdefgfgnkanfiwk,Face: 5
iLLAzQcbdedfghhhlvxgcfead,hLLAMkbdedffgglvxgafxw,Face: 13
iLLMMMcbcdeffghhebbmiwpxn,hLLAMkbdedffgglvxgafxw,Face: 9
gLLAQbcedefftsafaow,hLLMAkbcdeffggdfbmufur,Edge: 11
iLLAzQcbdedfghhhlvxgcfead,hLLMAkbcdeffggdfbmufur,Face: 13
iLLMMMcbcdeffghhebbmiwpxn,hLLAAkacdeefggnkexnixk,Face: 13
iLLPMMcacefefghhjkxkccaqj,hLLAAkacdeefggnkexnixk,Face: 8
iLvLQQcaeefgfghhjxkkoboor,hLLLQkaedgfgfgnlisvocs,Face: 10
iLLLMQcccefhfhghqfuuwowks,hLLLQkaedgfgfgnlisvocs,Face: 9
iLLLMQcccefhfhghqfuuwowks,hLLLQkaedfegggjxarccbr,Face: 8
iLvLQQcadghfhgghjarbjbfwo,hLLLQkaedfegggjxarccbr,Face: 5
iLLAzQcbdedfghhhlvxgcfead,hLLMMkbceefgggebuaassr,Face: 10
iLLLAQcbcgfeghhhtsmipsehh,hLLMMkbceefgggebuaassr,Face: 9
gLLAQbddefffdwgumvj,hLLAPkceddgfggtivngscf,Edge: 10
iLLLAQcbcggfhfhhtsmhhmsed,hLLAPkceddgfggtivngscf,Face: 7
iLLLAQcbcggfhfhhtsmhxmsid,hLLAPkceddgfggtivngscf,Face: 6
iLLMLQcbcdffghhhtsrmsbhue,hLLLQkbdeegggfdwhhigoj,Face: 12
iLvLQQcadghfhgghjarbjbfwo,hLLLQkbdeegggfdwhhigoj,Face: 6
gLLAQbcedfffdwuvqfo,hLLLQkbdfgefggevipegok,Edge: 9
iLLLPQcbcgffghhhlsmagrbcc,hLLLQkbdfgefggevipegok,Face: 12
gLLMQbcdefffdfbtqfn,fLLQcacdeeejkdlco,Face: 10
gLLMQbcdefffdfbltgk,fLLQcacdeeejkdlco,Face: 9
gLLAQcedeeffhtvaeqk,fLLQcacdeeejkdlco,Face: 6
gLLQPccddefftnnouxn,fLLQcacdeeejkdlco,Face: 5
gLLAQccdeeffakvhucn,fLLQcacdeeejkdlco,Face: 3
gLLMQbceeffftsdxalw,fLLQcadedeejplaxo,Face: 9
gLLMQbcdefffdfbltgk,fLLQcadedeejplaxo,Face: 8
gLLMQacdfeffjvhccjk,fLLQcadedeejplaxo,Face: 5
gLLMQbcedfffeodkdbr,fLLQcadedeejplaxo,Face: 2
gLLAQaeddeffniadcjr,fLLQcacdedejsxank,Face: 9
gLLAQaddeeffjmepcfj,fLLQcacdedejsxank,Face: 7
hLLLQkaedgfgfgnlisvocs,iLvLQQcaeefgfghhjxkkoboor,Edge: 13
hLLAPkbcedgffglsajsjns,iLvAMQcadfdgfghhnxxrgbran,Edge: 14
hLLMMkbceefgggebuaassr,iLLAzQcbdedfghhhlvxgcfead,Edge: 16
hLLMAkbcdeffggdfbmufur,iLLAzQcbdedfghhhlvxgcfead,Edge: 10
hLLAAkacdeefggnkexnixk,iLLMMMcbcdeffghhebbmiwpxn,Edge: 10
jLLMMMPbceefgghiiebdxassahr,iLLMMMcbcdeffghhebbmiwpxn,Face: 13
jLLMMMPbceefgghiiebdxassahr,iLLPMMcacefefghhjkxkccaqj,Face: 15
jLLMMMPbceefgghiiebdxassahr,iLLPMMcacefefghhjkxkccaqj,Face: 14
hLLLQkaedfegggjxarccbr,iLLLMQcccefhfhghqfuuwowks,Edge: 10
jLvLMQQadhghfigiijmbovbhomp,iLLLMQcccefhfhghqfuuwowks,Face: 13
hLLLQkbdeegggfdwhhigoj,iLvLQQcadghfhgghjarbjbfwo,Edge: 11
jLvLMQQadhghfigiijmbovbhomp,iLvLQQcadghfhgghjarbjbfwo,Face: 10
jLvALQQbefgihihhilalakowooj,iLLLAQcbcgfeghhhtsmipsehh,Face: 11
jLLLPMQcceghfhiiilnmdcfnuhl,iLLLAQcbcgfeghhhtsmipsehh,Face: 8
jLvALQQbeffhigihilalmvcnckj,iLLLAQcbcggfhfhhtsmhhmsed,Face: 11
jLLLPMQcceghfhiiilnmdcfnuhl,iLLLAQcbcggfhfhhtsmhhmsed,Face: 5
jLLLAMQbcggfhiihitsmhhmhxdk,iLLLAQcbcggfhfhhtsmhhmsed,Face: 2
jLLLzQQccfehigihilnaacxvabx,iLLLAQcbcggfhfhhtsmhxmsid,Face: 7
jLLLAMQbcggfhiihitsmhxmxhdv,iLLLAQcbcggfhfhhtsmhxmsid,Face: 2
jLLLzQQccfehigihilnaacxvabx,iLLMLQcbcdffghhhtsrmsbhue,Face: 8
jLLLMPQcdeeghiihitoiigvepjh,iLLMLQcbcdffghhhtsrmsbhue,Face: 5
hLLLQkcdegffgghslllfoj,gLLAQbcedfffdwuvqfo,Face: 10
hLLAPkbdedgfggevdsfsfb,gLLAQbcedfffdwuvqfo,Face: 1
hLLLQkcdegffgghslllfoj,iLLLPQcbcgffghhhlsmagrbcc,Edge: 11
jLvALQQbeffhigihilalmvcnckj,iLLLPQcbcgffghhhlsmagrbcc,Face: 7
hLLAPkbcedfgggdnqowcfc,gLLMQbcdefffdfbtqfn,Face: 10
hvLAQkcdfgefggorutbxis,gLLMQbcdefffdfbtqfn,Face: 8
fLLQcadedeejplaxo,gLLMQbcdefffdfbltgk,Edge: 12
hLLAPkbddefggglvnlnvww,gLLMQbcdefffdfbltgk,Face: 11
hvLAQkdedfgfggkvkiqiqv,gLLMQbcdefffdfbltgk,Face: 6
hLLAPkbddefggglvklkvkn,gLLMQbcdefffdfbltgk,Face: 2
hLLAPkbcedfgggdnqowcfc,gLLAQcedeeffhtvaeqk,Face: 12
hLLLQkbcfgfgfgdfpaerjv,gLLAQcedeeffhtvaeqk,Face: 11
hLLAPkbdcefgggevnlnvco,gLLAQcedeeffhtvaeqk,Face: 8
hLLAMkbdeeffggevdpankr,gLLAQcedeeffhtvaeqk,Face: 7
fLAMcbccdeehhsaxk,gLLQPccddefftnnouxn,Edge: 8
hLLAAkbcedefggasxfljqs,gLLQPccddefftnnouxn,Face: 9
hLvPQkccgeffgghraxxvwn,gLLQPccddefftnnouxn,Face: 6
hLLAPkbddefggglvnlnvww,gLLAQccdeeffakvhucn,Face: 12
hLLAPkbddefggglvnlnvww,gLLAQccdeeffakvhucn,Face: 11
hLLAPkacdefgggjsxaxann,gLLAQccdeeffakvhucn,Face: 8
hLLAMkbeedffggaapwabnj,gLLAQccdeeffakvhucn,Face: 7
hLLAPkceddgfggtdvnbkfv,gLLMQbceeffftsdxalw,Face: 10
hvLAQkcdfgefggorutbxis,gLLMQbceeffftsdxalw,Face: 5
hLLAPkceddgfggtdvnbkfv,gLLMQacdfeffjvhccjk,Face: 11
hLLLQkbddfggfgtvbpbjbn,gLLMQacdfeffjvhccjk,Face: 10
hLLLQkbdffefgglvddtvok,gLLMQacdfeffjvhccjk,Face: 8
hLLAAkbdedffggdwxvacir,gLLMQacdfeffjvhccjk,Face: 7
hLLAPkbddefggglvklkvkn,gLLMQbcedfffeodkdbr,Face: 10
hLLLQkcbefggfghnaahsow,gLLMQbcedfffeodkdbr,Face: 7
hLLAPkbdcefggglvnxjrjb,gLLAQaeddeffniadcjr,Face: 12
hLLLQkceffegfglleamlfr,gLLAQaeddeffniadcjr,Face: 11
hLLAPkadedfgfgnillfewk,gLLAQaeddeffniadcjr,Face: 7
hLLAPkbdcefgggevnlnvco,gLLAQaeddeffniadcjr,Face: 6
hLLAPkbdcefggglvnxjrjb,gLLAQaddeeffjmepcfj,Face: 11
hLLAAkbddeffggtvkhefhk,gLLAQaddeeffjmepcfj,Face: 10
hLLAAkadedefggjmllwfqj,gLLAQaddeeffjmepcfj,Face: 7
hLLLQkbdffefgglvddtvok,gLLAQaddeeffjmepcfj,Face: 6
hLLAPkbddegffgxvrisjjj,gLLAQaddeeffjmepcfj,Face: 2
gLLMQaedfdffjxqxwkn,hLLAPkbcedgffglsajsjns,Edge: 8
iLLPMMcacefefghhjkxkccaqj,jLLMMMPbceefgghiiebdxassahr,Edge: 15
kLLAwQzkbdedfhghijjdwaslaakaqj,jLLMMMPbceefgghiiebdxassahr,Face: 13
iLvLQQcadghfhgghjarbjbfwo,jLvLMQQadhghfigiijmbovbhomp,Edge: 15
kvLLAPQkddehigjijjiosfhnfovsvf,jLvALQQbefgihihhilalakowooj,Face: 11
iLLLMQcceffgghhhtidalbsbn,jLLLPMQcceghfhiiilnmdcfnuhl,Edge: 13
iLLLAQcbcggfhfhhtsmhhmsed,jLLLPMQcceghfhiiilnmdcfnuhl,Edge: 12
kvLLAPQkddehigjijjiosfhnfovsvf,jLLLPMQcceghfhiiilnmdcfnuhl,Face: 13
kLLLLAQkcedifghjjijpircfknimod,jLLLPMQcceghfhiiilnmdcfnuhl,Face: 5
iLLLPQcbcgffghhhlsmagrbcc,jLvALQQbeffhigihilalmvcnckj,Edge: 14
kvLLAPQkddehigjijjiosfhnfovsvf,jLvALQQbeffhigihilalmvcnckj,Face: 8
kLLLLAQkcedifghjjijpircfknimod,jLLLAMQbcggfhiihitsmhhmhxdk,Face: 7
kLLLALQkbefgfihhjjjhhixiagnaon,jLLLAMQbcggfhiihitsmhhmhxdk,Face: 2
iLLMLQcbcdffghhhtsrmsbhue,jLLLzQQccfehigihilnaacxvabx,Edge: 12
kLLLvQQkbcfgihijhjjtsufvnbqfee,jLLLzQQccfehigihilnaacxvabx,Face: 4
kLLvPMQkbcfigjjihijtsxcsxhnjkq,jLLLAMQbcggfhiihitsmhxmxhdv,Face: 9
kLLLAMMkccffehiijjjlnhiqxuhnkr,jLLLAMQbcggfhiihitsmhxmxhdv,Face: 2
kLLLvQQkbcfgihijhjjtsufvnbqfee,jLLLMPQcdeeghiihitoiigvepjh,Face: 10
kLLvAPQkbdefgjihijjdwhaodhbxxf,jLLLMPQcdeeghiihitoiigvepjh,Face: 5
iLLLPQcbcgffghhhlsmagrbcc,hLLLQkcdegffgghslllfoj,Face: 7
iLLLMQcbcgffhghhlsmlgjjcg,hLLLQkcdegffgghslllfoj,Face: 6
ivLAAQcdeefghghhsrghuajjg,hLLLQkcdegffgghslllfoj,Face: 5
iLLLMQcbcgffhghhlsmlgjjcg,hLLAPkbdedgfggevdsfsfb,Face: 12
