id,oriented,tetrahedra
fLAMcbbcdeedhwhhs,1,5
gLAMPaccdeffjgnqqqw,1,6
gLALQbcbeeffhhjcvaw,1,6
gLLPQcdcefffhsnpunw,1,6
gLAMPbbcdeffdhgxhhk,1,6
hLLAAkacdeefggjkaiwaxj,1,7
hLALPkcbbegffghhkkahsn,1,7
fLAMcaccdeensnaxr,1,5
hLLAAkbcedefggtsaflsxj,1,7
hLLAAkbdedffggdwpgablk,1,7
hLAMzkaccdefggngbqhxxr,1,7
iLLMPMcacdegfghhjkaopnass,1,8
iLLzQMccdcegfghhqonqjfoar,1,8
iLLAMMccedefgfhhquvdxskhk,1,8
iLLPAMccdcfefghhhsndtnhhr,1,8
iLLLQMcaeedffghhnliwrrshk,1,8
gLLAQaedeeffjmueffk,1,6
gLLAQbceeefftsxlixj,1,6
gLLPQcdcfeefqcnhawr,1,6
iLLLAQccdeffgghhdstatkkan,1,8
iLLLQMcbdegefghhdwmpljolw,1,8
iLLAMMcbddeffghhdwnhagixr,1,8
iLLAAMcbcedffghhtsafhgiqw,1,8
iLLLMQccedghfghhplrxwfjor,1,8
jLLAzPQbdedgghhiilvaggfqhsn,1,9
jLLwMMQacefgghhiinktrlxmvgk,1,9
jLLMMPPaceefgghiinktfrmmgxn,1,9
jLLMLAQaceehghhiijkaglxxjos,1,9
jLLMLQPaceffghhiinktgfaukqj,1,9
jLLPLPQcdcegghhiihonivvtqkk,1,9
jLLAzMQcedcghghiihqbnjmkmfj,1,9
jLLALQPbdceghggiievnlvacgxr,1,9
jLLAwQPbdeefhggiievdhamkrqn,1,9
jLLALPQaedeghihhijxahhahgbj,1,9
jLvPMAQccefhfhihihnxhjcoxok,1,9
jLLPzQPcdcfgfghiihsravfohxj,1,9
jLLPLQPcdcfgghgiihsrajfaoqw,1,9
jLLzPMQcdcehghgiihsnngksnps,1,9
hLLLQkadegefggjmxvcbvr,1,7
hLLAPkacedfgggnktelpfv,1,7
hLLAAkbdceffgghgnxpgqr,1,7
hLLMPkacdefgfgnkanoijj,1,7
hLLLQkbdeegggfdwiixssj,1,7
hLLPAkbddeefggdwsilrxj,1,7
hLLMAkacedffggnktrkbxs,1,7
hLLAMkbddefgfglvnlahrk,1,7
jLLALPQbdedhgiihilvagdfepig,1,9
jLLLMMQbdfgghghiidwtpwwoohw,1,9
jLLLMMQbdfgghghiidwtpbwjohw,1,9
jLLALPQceddhghihitqvnpfemdr,1,9
jLLLAMQbdegehgiiidwmplegabj,1,9
jLLALAQbcedfghhiitsxjggqufn,1,9
jLLLAAQacfegghiiinkgokrlpor,1,9
jLLPvQQacdffihhiinkmwklkjrs,1,9
jLvPLQQccefhigihiqnacccnggw,1,9
jLLMPMPbcefegghiitsxmufcxqw,1,9
jLLAMPPbcedfgghiitsafhxxsqn,1,9
kLLALLQkbdedhghjjjilvagdwiasgn,1,10
kLLAzPAkbdedghghijjlvaggpwpsxk,1,10
kLLLAwQkcddeghjhjjitgfmgmdlskj,1,10
kLLALMMkacedhhgiijjnktuifvhpvr,1,10
kLLLLMQkccfhgghjiijdwacwfnacwr,1,10
kLLLMPPkccfegihihjjdwamwhsdsbn,1,10
kLLPLMPkcdcfhfihijjhsraefauorr,1,10
kLLALAAkacedfhghijjnkemdbonpqj,1,10
kLLALPPkcedcfhihijjhuvrghptvfr,1,10
