target,source,label
gLALQbcbeeffhxjgbxr,fLLQccecddephrwjn,Face: 8
gLLAQacedeffnktikdk,fLLQccecddephrwjn,Face: 7
hLALPkbcbegfggxhjsadrs,gLALQbcbeeffhxjgbxr,Face: 7
fLLQcacdeeenkdxjn,gLLAQacedeffnktikdk,Edge: 10
hLLAMkcedefgfgqpvtagrs,gLLAQacedeffnktikdk,Face: 11
hLLAMkbdedffgglvugafqr,gLLAQacedeffnktikdk,Face: 4
iLAwLQcbcbdfhghhhxjxfixjv,hLALPkbcbegfggxhjsadrs,Face: 6
iLALzQccbbeghhghhqnohfffs,hLALPkbcbegfggxhjsadrs,Face: 4
gLLMQbcdefffebbmqjw,fLLQcacdeeenkdxjn,Face: 8
gLLAQccdeeffhwvlqcr,fLLQcacdeeenkdxjn,Face: 4
gLvQQaefdeffnuqhfwj,fLLQcacdeeenkdxjn,Face: 3
gLLAQccedeffqfmnqsj,fLLQcacdeeenkdxjn,Face: 1
iLLAwQcbdeefgghhxvtxabcer,hLLAMkcedefgfgqpvtagrs,Face: 12
iLLAwQcaddefghhhjhaxvitov,hLLAMkcedefgfgqpvtagrs,Face: 9
gLLMQbcdefffebbmqjw,hLLAMkbdedffgglvugafqr,Edge: 12
iLLAwQcaddefghhhjhaxvitov,hLLAMkbdedffgglvugafqr,Face: 13
hLAMzkbccdefgghhnaqqxr,iLAwLQcbcbdfhghhhxjxfixjv,Edge: 10
jLAwLMQcbbdfhihiihqnhjajojf,iLAwLQcbcbdfhghhhxjxfixjv,Face: 5
hLLMAkbddeefggajriifhs,iLALzQccbbeghhghhqnohfffs,Edge: 12
jLALLMQcbbeggihiiqhknanacll,iLALzQccbbeghhghhqnohfffs,Face: 8
hLLMMkbceefgggebdxaswr,gLLMQbcdefffebbmqjw,Face: 11
hLLLQkbcfgegfgebpphfrc,gLLMQbcdefffebbmqjw,Face: 10
hLLAMkbdedffgglvugafqr,gLLMQbcdefffebbmqjw,Face: 8
hLLAPkbcdefgggebbtcwwg,gLLMQbcdefffebbmqjw,Face: 7
hLLMMkbceefgggebdxaswr,gLLAQccdeeffhwvlqcr,Face: 12
hLLMMkbceefgggebdxaswr,gLLAQccdeeffhwvlqcr,Face: 10
hLLAPkacdegfggjkxxaako,gLLAQccdeeffhwvlqcr,Face: 5
hLLAMkcddeffgghrvahwhs,gLLAQccdeeffhwvlqcr,Face: 4
hLLLQkbcfgegfgebpmegcj,gLvQQaefdeffnuqhfwj,Face: 12
hLLLQkbcfgegfgebpphfrc,gLvQQaefdeffnuqhfwj,Face: 10
hLLAMkcdeeffggtgpuiojr,gLvQQaefdeffnuqhfwj,Face: 8
hLLAAkcedeffggplvauihj,gLvQQaefdeffnuqhfwj,Face: 6
hLvAQkbeffgefgdahexhcj,gLvQQaefdeffnuqhfwj,Face: 4
hLLAPkbcdefgggebbtcwwg,gLLAQccedeffqfmnqsj,Face: 10
hLLAPkbddefgfgxjrxrrjn,gLLAQccedeffqfmnqsj,Face: 9
hLLLQkccffggegqfaxxons,gLLAQccedeffqfmnqsj,Face: 7
hLLLQkceffegfglueaxmwn,gLLAQccedeffqfmnqsj,Face: 6
hLLAAkcedeffggplvauihj,iLLAwQcbdeefgghhxvtxabcer,Edge: 11
jLLAwMQbdeefhhiiixvtxaqlamv,iLLAwQcbdeefgghhxvtxabcer,Face: 16
jLLLLQQbcfighggiidfibfrcvco,iLLAwQcbdeefgghhxvtxabcer,Face: 14
hLLAMkbdedffgglvugafqr,iLLAwQcaddefghhhjhaxvitov,Edge: 11
jLLLLQQbcfighggiidfibfrcvco,iLLAwQcaddefghhhjhaxvitov,Face: 14
jLLAvQQaddegihihijhaxahhvsf,iLLAwQcaddefghhhjhaxvitov,Face: 7
jLLALMQaddegghiiijhaxhaxgnb,iLLAwQcaddefghhhjhaxvitov,Face: 6
iLAwLQcbcbdghghhxhjhmhiik,hLAMzkbccdefgghhnaqqxr,Face: 5
kLAwLPMkbcbdfghijjjhxjxfxjsaii,jLAwLMQcbbdfhihiihqnhjajojf,Face: 7
iLLLQPccddefgghhaskpbwjin,hLLMAkbddeefggajriifhs,Face: 13
kLAwLPMkbcbdfghijjjhxjxfxjsaii,jLALLMQcbbeggihiiqhknanacll,Face: 6
kLALzPMkcbbegighjjjhqnohafsaff,jLALLMQcbbeggihiiqhknanacll,Face: 1
gLLAQccdeeffhwvlqcr,hLLMMkbceefgggebdxaswr,Edge: 11
iLLMLQcbceefhghhebdxjffvs,hLLMMkbceefgggebdxaswr,Face: 12
iLLAzQccddeghhghhrvacqpgd,hLLMMkbceefgggebdxaswr,Face: 11
iLLAwQcbdedfhghhdwaslaajs,hLLMMkbceefgggebdxaswr,Face: 4
gLvQQaefdeffnuqhfwj,hLLLQkbcfgegfgebpphfrc,Edge: 10
iLLALQccdeefghhhtguavcvgc,hLLLQkbcfgegfgebpphfrc,Face: 14
iLLLPQcbcfgfhhghdfpxgkorv,hLLLQkbcfgegfgebpphfrc,Face: 12
iLvAAQcbefgfhghhlalpmjvbg,hLLLQkbcfgegfgebpphfrc,Face: 4
gLLAQccedeffqfmnqsj,hLLAPkbcdefgggebbtcwwg,Edge: 9
iLLLMQcbdeefghhherqqkrofw,hLLAPkbcdefgggebbtcwwg,Face: 13
iLLLMQcbedefghhhtufugkosf,hLLAPkbcdefgggebbtcwwg,Face: 5
iLLMLQcbceefhghhebdxjffvs,hLLAPkacdegfggjkxxaako,Face: 14
iLLMLQcbceefhghhebdxjffvs,hLLAPkacdegfggjkxxaako,Face: 12
iLLLQPcbdegefghheslllfkxj,hLLAPkacdegfggjkxxaako,Face: 6
iLLAPPcacdefgghhjkxxpiwxj,hLLAPkacdegfggjkxxaako,Face: 2
