target,source,label
gLLPQcdcfeffhkndqkf,fLAMcbccdeemejdhn,Face: 9
gLALQbcbfeffhxjqbhx,fLAMcbccdeemejdhn,Face: 6
gLLAQbddeeffmkcdtnw,fLAMcbccdeemejdhn,Face: 5
hLLAAkbcdeefggpjgplgqw,gLLPQcdcfeffhkndqkf,Face: 12
hLLAAkbddeefggxrrxqghj,gLLPQcdcfeffhkndqkf,Face: 11
hLLLQkbdefffggmkdqasnw,gLLPQcdcfeffhkndqkf,Face: 9
hLLAAkbddeffggpcnploxj,gLLPQcdcfeffhkndqkf,Face: 8
hLLAAkccedefggdwxvdnxr,gLLPQcdcfeffhkndqkf,Face: 2
hLALPkbcbegfggxhjsatnf,gLALQbcbfeffhxjqbhx,Face: 12
hLALPkbcbfgfgghxjdlpav,gLALQbcbfeffhxjqbhx,Face: 11
fLLQcacdeeenkmxsn,gLLAQbddeeffmkcdtnw,Edge: 10
hLvAQkaefefgggnuqbfwnw,gLLAQbddeeffmkcdtnw,Face: 11
hLLLQkbdefffggmkdqasnw,gLLAQbddeeffmkcdtnw,Face: 10
hLLLQkbdfeggfgmvmpmswo,gLLAQbddeeffmkcdtnw,Face: 5
iLLPLQcacdeghhghnkmwalxxs,hLLAAkbcdeefggpjgplgqw,Face: 14
iLLAAMcbdedffghhmvxgxcehj,hLLAAkbcdeefggpjgplgqw,Face: 7
iLLLQMcbdeefgghhxrlqxvodr,hLLAAkbddeefggxrrxqghj,Face: 14
iLLLQPccddfgfghhhsfeggcuk,hLLAAkbddeefggxrrxqghj,Face: 11
iLALLQccbbehghghhqnouoofw,hLLAAkbddeefggxrrxqghj,Face: 5
iLLPPMccdfeffghhaklptkjxr,hLLAAkbddeefggxrrxqghj,Face: 2
gLLAQbddeeffmkcdtnw,hLLLQkbdefffggmkdqasnw,Edge: 11
iLLLMQccddfgghhhtgfaroaht,hLLLQkbdefffggmkdqasnw,Face: 12
iLLLMQcbedfhgfhhhhfpcbkjr,hLLLQkbdefffggmkdqasnw,Face: 9
iLvAAQcbefeggghhhxqaawwrk,hLLLQkbdefffggmkdqasnw,Face: 8
iLvAMQcbeffgghghmxlatcsbn,hLLAAkbddeffggpcnploxj,Face: 14
iLLLQMcbdeefgghhxrlqxvodr,hLLAAkbddeffggpcnploxj,Face: 13
iLLLAQccddffghhhtgfaobeux,hLLAAkbddeffggpcnploxj,Face: 9
iLLPPPcccdefgghhdwvurbntr,hLLAAkbddeffggpcnploxj,Face: 5
iLLLMQcaceghfhghnkgcpktvm,hLLAAkbddeffggpcnploxj,Face: 4
iLLAAMcbdedffghhmvxgxcehj,hLLAAkccedefggdwxvdnxr,Face: 14
iLLLMQcbedfhgfhhhhfpcbkjr,hLLAAkccedefggdwxvdnxr,Face: 11
iLLPPPcccdefgghhdwvurbntr,hLLAAkccedefggdwxvdnxr,Face: 10
iLLALQccdechghghhkhnhbdnq,hLLAAkccedefggdwxvdnxr,Face: 2
iLAwLQcbcbdfhghhhxjxfexjn,hLALPkbcbegfggxhjsatnf,Face: 6
iLALzQccbbeghhghhqnohoofs,hLALPkbcbegfggxhjsatnf,Face: 4
iLALLQccbbehghghhqnouoofw,hLALPkbcbfgfgghxjdlpav,Face: 8
iLALLQcbcbfgfghhxhjldifkn,hLALPkbcbfgfgghxjdlpav,Face: 7
iLALLQccbbefhghhhqnohsfoo,hLALPkbcbfgfgghxjdlpav,Face: 1
