id,oriented,tetrahedra
fLAMcbccdeemejdhn,1,5
gLLPQcdcfeffhkndqkf,1,6
gLALQbcbfeffhxjqbhx,1,6
gLLAQbddeeffmkcdtnw,1,6
hLLAAkbcdeefggpjgplgqw,1,7
hLLAAkbddeefggxrrxqghj,0,7
hLLLQkbdefffggmkdqasnw,1,7
hLLAAkbddeffggpcnploxj,1,7
hLLAAkccedefggdwxvdnxr,1,7
hLALPkbcbegfggxhjsatnf,0,7
hLALPkbcbfgfgghxjdlpav,0,7
fLLQcacdeeenkmxsn,1,5
hLvAQkaefefgggnuqbfwnw,1,7
hLLLQkbdfeggfgmvmpmswo,1,7
iLLPLQcacdeghhghnkmwalxxs,1,8
iLLAAMcbdedffghhmvxgxcehj,1,8
iLLLQMcbdeefgghhxrlqxvodr,0,8
iLLLQPccddfgfghhhsfeggcuk,0,8
iLALLQccbbehghghhqnouoofw,0,8
iLLPPMccdfeffghhaklptkjxr,0,8
iLLLMQccddfgghhhtgfaroaht,1,8
iLLLMQcbedfhgfhhhhfpcbkjr,1,8
iLvAAQcbefeggghhhxqaawwrk,1,8
iLvAMQcbeffgghghmxlatcsbn,1,8
iLLLAQccddffghhhtgfaobeux,1,8
iLLPPPcccdefgghhdwvurbntr,1,8
iLLLMQcaceghfhghnkgcpktvm,1,8
iLLALQccdechghghhkhnhbdnq,1,8
iLAwLQcbcbdfhghhhxjxfexjn,0,8
iLALzQccbbeghhghhqnohoofs,0,8
iLALLQcbcbfgfghhxhjldifkn,0,8
iLALLQccbbefhghhhqnohsfoo,0,8
gLLMQbcdefffebbmasw,1,6
gLLAQbcedeffhgmfugw,1,6
gLLAQadedfffneuisjn,1,6
gLLAQbddeeffmvndtnw,1,6
iLvLQQcaegehfhghnqrorbkvo,1,8
iLLLPQcbcfggfhhhebpacrksf,1,8
jLLAzMQbdedfhhiiilvagsapmpr,1,9
jLLLQzQcddfgfhhiiigfqwwamvr,1,9
jLLvAQQaceghiihihnkckqlxuqq,1,9
jLLLPMQbdehhgighimkdqjcqfon,1,9
jLLLAMQbdegehgiiihvihxagacg,0,9
jLLvPQQacghifihihnkkhabeeeq,0,9
jLLwzQQaceghhigiinktaqixavs,0,9
jLvLAQQaeehfgihiijxknbwpbta,0,9
hLLAAkbcdeefggajgeeshn,0,7
jLLMLPQacefhihhiinktnqthjjj,0,9
jLLLPAQbedhghgihiaafxjjsqsw,0,9
jLLLMMQcddfggihiitgfarohtgb,1,9
jLLLPAQbdehgffiiimvxqrnnqaq,1,9
jLLLLQQbdfhighihitvurjnrnbr,1,9
jLLLPPQbcfehihiihebperugexk,1,9
jLLLLQQbdehfhigiimvxrcccsnw,1,9
jLvLPQQaegfhihiihjxjfrdcdxc,1,9
jvLAAPQecfeghihiifcakafofnj,1,9
jLLLAPQcddffgihiitgfaoouirv,1,9
jLLLLQQcddfghiihitgfcbvpafa,1,9
jLLLMMQcddefhhiiidrktjeahdk,1,9
jLLALAQccedgghhiidwxofbdxvr,1,9
jLLALMQccedhgihhidwxvxwxudr,1,9
hLAwAkbcbdffgghxjxrwar,1,7
jLAwLMQcbbdfhihiihqnhjasosf,0,9
hLLAAkbcdeefggasreeohs,0,7
jLALLMQcbbeggihiiqhknanacdd,0,9
hLALPkbcbefgfghxjgqqww,1,7
jLAvLQQbcbfhgiiihhxjqqgrggw,0,9
jLALzAQcbbffghiiihqntttfamm,0,9
hLLMMkbceefgggebdxasgb,1,7
hLLLQkbdgeffggtvpthfcb,1,7
hLLLQkbdfgefggtvtmtwfj,1,7
hLLAAkbdedffggevtfanps,1,7
hLLAMkcdeefgggirepljsw,1,7
hLLAMkbdeeffggmvehannk,1,7
hLLAMkbdeeffggmvueangw,1,7
hLLMMkcbefegggdjtdxvor,1,7
hLLMMkcbeefgggdjtqmvor,1,7
hLvAQkbeffgefgmexahxsw,1,7
hLvPQkafeefgggjqxkvkcv,1,7
hLLLQkbdefffggmvdqajnw,1,7
jLLLLQQccehighihipvmcgvrwcc,1,9
jLLLAPQbcgfehiihidflidaqxho,1,9
jvLLAQQcfhggfhiiikhdxahejjn,1,9
jLvALQQbefgihighidaduwbvcbs,1,9
kLLAzMPkbdedfhijjijlvagsaadfsj,1,10
kLLLzAQkcddgfiijijjtgfgfhiieid,1,10
kLLLMLQkcddfggiijjjukftsgtwroo,1,10
kLLLLPQkbdehigjgjijmvxrgsxsice,1,10
kLLLMMAkcdefgghiijjhstawkslpgn,1,10
kLLvAPQkacegjhgijijnkckapfqwcv,1,10
kLLLMLQkcdgefjhiiijhshpbhoaixn,1,10
kLLLzPQkcddghijjiijtgfjvalqxee,0,10
kLLLMzQkcddfhihjijjtgfaahepdow,0,10
kLLLAPPkbdefegiijjjhviuxspgkbn,0,10
kLLvAPQkacegjjhihijnkckaaelqjv,0,10
kLLLPzQkbedhhigihjjaafhopgdvgk,0,10
kLLvMMQkcdhhfgiihjjakxkkvknvar,0,10
iLLMPPcbcdefgghhajgdfbfuw,0,8
kLLLMLQkcddfghhjijjtgfarhtlwrr,0,10
kLLLPAPkbedhghgjjijaajhwfvleww,0,10
kLALvPQkcbbehjjjiiihqnofaiioof,0,10
kLLLwQAkbedfigiihjjaafiaotloxr,0,10
kLLLMLQkcdgfhjihijjhghawamgqqb,1,10
kLLLMMMkcddfggihjjjtgfarohthah,1,10
kLLLPAMkbdehgffijjjmvxqrnnqqfo,1,10
kvLAPwQkdefhgfijijjbvamaecdvem,1,10
kLLLLAQkbdehfhihjjjmvxrccwgiea,1,10
kLLLLMQkccfghijhijjpvagwounolh,1,10
kLLLvQQkcdfifhjjijidrqjsfalneo,1,10
kLLLPLQkbcfehhiijjjebpergexhpn,1,10
kLLLPzQkbcfegihjijjebpeourdalr,1,10
kLLLPzQkcdfghfhijjjdrqhjsjelws,1,10
kLLLzAQkbdehfigjjijmvxqctsheuc,1,10
kvLALPQkdceihgjhjijosgeokwnwfb,1,10
kvLALPQkcdfifhijhjjfcaddvvfssk,1,10
kvLAwMQkdeefhgjijijwvgmirtrtsa,1,10
kLLLMAPkcddffghijjjukftkrqjkrf,1,10
kLLvPPQkccgfhijjijiivibkreqgmj,1,10
kLLALwQkccedggjjiijdwxofbdrrfc,1,10
kLLLwPQkcddfijhjijiukfthtxamjo,1,10
iLLAwQcbedefghhhxxrxqvhqe,1,8
kLLLzAQkbdgefhijijjevpebcllqdw,1,10
kLLALMMkccedhhgiijjdwxvxuoufgs,1,10
kLLALMMkcdechggijjjhkhnhbnihdl,1,10
kLAwLPMkbcbdfghijjjhxjxfxjsaee,0,10
iLLMLQcbcdffgghhasrdfbfln,0,8
kLALzPMkcbbegighjjjhqnohafsaoo,0,10
kLAvLMQkbcbhgjhjjiixhjddafllkn,0,10
