id,oriented,tetrahedra
fLLQccceddepwxwjj,1,5
gLLPQcdcfeffqsneqvf,1,6
gLLPQcdcfeefqcnqawj,1,6
gLALQbcbeeffhhjcvqn,1,6
gLLAQcbdeefflnbmtwn,1,6
hLLAAkbdedffggtvprxbmn,1,7
hLLAAkcedeefgghlvaexhk,1,7
hLLAAkbcdeefggxbraawqn,0,7
hLLAAkbddeefggxvrdtnhn,1,7
hLLMAkacedffggnktrkbqn,1,7
hLLAAkaeddefggjiadcoxr,1,7
hLALPkbcbefgggxxjniabv,0,7
hLLAAkbdceffgghgsqpgqr,1,7
hLLMPkacdefgfgnkanjirj,1,7
iLLMPMcbddegfghhxvrqrfcqn,1,8
iLLLPQcacgehfhghnkbwdkukl,1,8
iLLAMMccdeefgghhhrmaiccqn,1,8
iLLLQMcccfgfefhhqfahtnfqn,1,8
iLLMAMcbdedffghhlkaflodxj,0,8
iLLLQMcbedeffghhahfuxwsqn,0,8
iLLLMQcacdghfhghnkrkpkqwp,1,8
iLLLMQccddefhgghlgfqfinwn,1,8
iLLAzQcbdedfghghlvagkfinj,1,8
iLLwMQccbefhfgghqnhabggjk,1,8
iLLAPMcaddegfghhjuahmcarr,1,8
iLAwLQcbcbdfhghhhhjqbqifr,0,8
iLALLQccbbefhghhhhkoxjfff,0,8
iLLMMPcbddefgghhtvjimtiwk,1,8
iLvAQPcadfeggfhhjaacvkjqj,1,8
jLLLAPQcdfefgiihilfdxdsexjj,1,9
jLLvQMQcdhegfghiihriagkromw,1,9
jLLALPQcdeehghiiitrhacrsixx,1,9
jLLLPAQccgehffhiiqfdugfnkxn,1,9
hLLMAkbddeefggajriijqn,0,7
jLLLMMQbedeghghiixafebrgclk,0,9
jLLLMAQbedghhgihiaafhfjsxfr,0,9
jLLLPPQbdfehhghiilvdtobcbmj,1,9
jLLPLPQbcdfggihhidfspvspukw,1,9
jLLLQPPcddfeghhiipkrtnwuawr,1,9
jLLLMMQcefdghghiiluqksjnnqj,1,9
jLLALMQbdedfhgiiilvagshnabk,1,9
jLLLAPQcddfgiigihpkrtrdakrr,1,9
jLLLLQQcedgifiihhlhfgwnbnfj,1,9
jLLALQPbdedghghiilvagrxfmwk,1,9
hLAMzkbccdefgghhnaqhhj,1,7
jLAwwMQbcbdfhiihixxjqwawwbg,0,9
jLALLMQbcbeggihiixxjnanacll,0,9
hLLAPkbcedgffglsajjjjj,1,7
kLLLLMQkadeghiijjjijuxruxepegv,1,10
kLLLAPPkcdfefihihjjlfdxdtqxjrk,1,10
kLLALMPkbdedghhiijjlvagrteafbk,1,10
kLLLPMMkccghhgfiijjqfdtcfnaxon,1,10
iLLAPMcbddegfghhajruorfpk,0,8
kLLAwAAkbedefghhijjaarudfuxohn,0,10
kLLLwAQkbedgigjhiijaafhasqjpiw,0,10
kLLLMPMkbdfehighijjlvdmjqckmkr,1,10
kLLLAPPkcddfeihjijjpkrtnuxmvvo,1,10
kLLLMPPkcefdghgijjjluqksknhlws,1,10
kLLALPMkccdefighijjlnvqvlsdfhs,1,10
kLLLwMQkcddfijghjijpkrttekxrgr,1,10
kLLLLAQkcbgfgiijjijpntgrjnatjq,1,10
iLAwLQcbcbdghhghhhjqiqmmn,0,8
kLAwLMPkbcbdfhhjijjhhjqbqgabll,0,10
kLALLAMkcbbefhgijjjhhkoxjfaaff,0,10
gLLMQbecfdffxxwawvc,1,6
jLLMPLQacdefghiiinkanjikkrr,0,9
jLLLMPQcdgffihhhiasaajxskkr,0,9
jLAwMLQbcbdfgihiixxjqwmnrgb,0,9
jLAwwMQcbbdfgihiihhkxjaofjj,0,9
kLLPwMAkccdfegihijjaknqqagbrxn,0,10
kLLLLQMkcdggighiijjasanbnvgvms,0,10
kLAwvQMkbcbdhggijjjxxjqiiqfamm,0,10
jLLAPLQbcedgfihiilsajjjhhjj,0,9
iLLPMPcccdfeghhhaknqqqqof,0,8
