id,oriented,tetrahedra
fLAMcbccdeemejlxj,1,5
gLLPQcdcfeffqsnlqgj,1,6
gLLPQcdcfeffqonuqgj,1,6
gLALQbcbfeffhhjhvxq,1,6
gLLAQbcdeeffmvfxukr,1,6
hLLAAkccdeefgghkvaqchj,0,7
hLLMAkbddeffggmkfxarpj,1,7
hLvPQkccefggfgqnmhunff,1,7
hLLAAkccedefggdwxkdjxj,1,7
hLLAAkbcdeefggpjgplwhn,1,7
hLLAAkbddeefggxrrxqbqn,0,7
hLLMAkbddeffggmvoxarpj,1,7
hLLMMkcddeffggdgntxkan,1,7
hLLAAkccedefggdwxvdkhs,1,7
hLALPkbcbefgggxxjndanf,0,7
hLALPkbcbffgggxxjuttar,0,7
hLLMMkccdfefggdfvqlkan,1,7
hLLMMkccdfefgghgvlifur,1,7
iLLMAMcbdedffghhdvaflodxj,0,8
iLLLQMcbedeffghhahfdxgsqn,0,8
iLLLPQccdefgghghqfadkbnnr,1,8
iLLLPQcacgfhgfhhnkbodjkul,1,8
iLLwPQcacefhgghhnktkixxtk,1,8
iLvPMQcccegfhghhqnthvkokb,1,8
iLLALQccdechghghqshnhbpjq,1,8
iLLPMPcbceefgghhpjpelnstn,1,8
iLLAAMcbdedffghhmvxgxciqn,1,8
iLLLAQcbddgfghghhofegvpgj,0,8
iLALLQccbbehhgghhhkomfofg,0,8
iLLPPMccdfeffghhaklptkohj,0,8
iLLLMQccdfehggghqoqibrwck,1,8
iLLLAQcacfegghhhnkgokrqel,1,8
iLLLAQcacfgghfhhnkwrkikqi,1,8
iLLLAQcacfgghfhhnkgrkikai,1,8
iLLALQcbdedhhgghlvagdxfwi,1,8
iLvAAQcbefegghghmeuuankvk,1,8
iLLALQcacedhhgghnktuifsvc,1,8
iLLALQccedchghghqhfnhbtjq,1,8
iLAwLQcbcbdfhghhhhjqbqdgc,0,8
iLALLQccbbefhghhhhkoxjfoo,0,8
iLALLQcbcbffgghhhhjueevnk,0,8
iLALzQccbbeghhghhhkoxoofj,0,8
iLLLQPcbdeefgghhmvlltfvds,1,8
iLLLQPcbdeegfghhmvqquwbln,1,8
iLLAzQccddefgghhdcbaojgtw,1,8
iLLAPMcbdedfgghhevtfosrhw,1,8
iLLLAQccddffgghhuvfarnnpr,1,8
iLLPzQcccdfgfghhhggasfohr,1,8
hLLAAkbcdeefggasreesqn,0,7
jLLLMMQbedeghghiixafigrgclk,0,9
jLLLMAQbedghhgihiaafhsosxfr,0,9
jLLLPPQbdehfgihhimvdqsftofk,1,9
jLLLLQQacfhigihhinkwhdjmqqm,1,9
jLvLPQQaehghfgiiijxwsrbwiae,1,9
jLLAvQQbdedighhiilvagpfexuk,1,9
jLLMLPQacefgihihinktcilmfbr,1,9
jLLALMQccedhgihhidwxsxsqetw,1,9
jLLAzPQbdedgghiiilvagwfumkg,1,9
jLLLAPQcddfggiiihigfqwcamrr,1,9
jLLLAPQacefgghiiinkvfkgqlws,1,9
jLvAMAQbefgehghiimxlhxrnbuw,1,9
jLLLPAQbdehhggihimkdqjcoxor,1,9
jLLAzPQbdedgihhiilvaggqqhqv,0,9
jLLwPPQacefggihiinktklxeojj,0,9
jLLLMQPcddfgfhhiihvcanfpank,0,9
hLLAAkbcdeefggajgeeoxj,0,7
jLLwPMQacefghihiinktklqaogj,0,9
jLLLPAQbedhhggihiaasxsssxfr,0,9
jLLLMAQccfefhghiidwderbrgxr,1,9
jLLLMPQbedfhiggiihhbubljjmp,1,9
jLLwLQQacdfgihihinkawlitfbc,1,9
jLLLPMQacfghfhiiinkgkafeqpv,1,9
jLLwMAQcedfghhhiiiijmrjosaj,1,9
jLvAAMQbefeghghiipaumigngms,1,9
jLLLAMQcedefhihiiiisptxipls,1,9
jLLLwQQcceghhgihidwtpkkfxwj,1,9
jLLLLQQccfhgghihidwaobfrsbs,1,9
jLLLAMQacfgghiihinkwrkiptiv,1,9
jLLLAMQcedefhihiiiifpixipls,1,9
jLLLPPQcceghhighidwdpknacwr,1,9
jLLLLQQccfggihiihdwavrwwjbw,1,9
jLLLMMQcdeehhgihiikhhnsnasn,1,9
jLLLAPQacfegihhiinkgrkteipv,1,9
jLLLAMQacfgghiihinkgrkitpin,1,9
jLLALMQcecdfghiiiiibsgwixjg,1,9
jLLvMQQcdhgehgiiidfagjvwfog,1,9
jLLvMQQcdfieihihhdfawjgowsg,1,9
jLLAMLQacedfgihiinkempxxlkg,1,9
jLLALMQcedchggiiiqhfnhbjmvk,1,9
hLAwAkbcbdffgghhjqknak,1,7
jLAwwMQbcbdfhiihixxjqwarrbg,0,9
jLALLMQbcbeggihiixxjnanacdd,0,9
hLALPkbcbegffghhjchhnn,1,7
jLAvLQQcbbfhgiiihqqnqqgrggw,0,9
jLAvAMQcbbgfgihiiqqniiiagdd,0,9
jLLLwQQaeegfiihhijdxbcxuqpb,1,9
jLLLPMQbdehfhghiimkqqwfbrln,1,9
jLLLLQQaeegfhhiiijdxrcadqpr,1,9
jLLALAQacdefhgiiinkatlfbpqt,1,9
jLLzLQQacehigghiinkmtaallvc,1,9
jLLLPMQbdehfhghiimvqqwobrln,1,9
jLLAvQQcddehgghiidcbaajglgw,1,9
jLLAvQQcddehgghiidcbaajgurw,1,9
jLLLLQQcdeffiiihhdkikfkksjn,1,9
jLLALAQbcdeghghiilsfxjlcmfw,1,9
jLLzPPQcdfghfhhiiuvearsvgxs,1,9
jLLwPPQacdfgihhiinkajemmfgc,1,9
jLLMLAQacdefhghiinkanjlhfew,1,9
jLvLAQQaegeihgihijxgcukfujl,1,9
jLLLMAQcdefghfiiiiruavjwieq,1,9
jLLMzAQacdegghhiinkaniqlfss,1,9
hLLAPkbcedgfgglsajjjof,1,7
iLLMPPcbcdefgghhasrdfbfmr,0,8
kLLAwAAkbedefghhijjaarldflhfhn,0,10
kLLLwAQkbedgigjhiijaafhasqjetw,0,10
kLLLPLQkbdehgjgijjimkxqrqfpqaj,1,10
kLvALPQkadfihghijjjnqqaawaixfo,1,10
kLvALMQkaefgigjhjijnlqwiwamvjr,1,10
kLLAvMQkbdedgihjjijlvagouxacwj,1,10
kLvLQLQkaeheghijijjjxvcwgatxqo,1,10
kLLALMMkcdechggijjjqshnhbjdhtp,1,10
kLLAzzQkbdedggjjiijlvagwfpbkgv,1,10
kLLLMPMkccefghihjjjinpiwgawqwk,1,10
kLLLMLQkccgffgiijjjinlibrduhuv,1,10
kLLLLQMkbcgfgihijjjdflgfcfriul,1,10
kLLLAzQkacefgghjijjnkvfkgxwcbs,1,10
kLLLMPPkbdefhgiijijmkdmsoudlin,1,10
kLLLLMQkcdegghihijjhstwkbsjvqj,1,10
kLvLAAQkcfhehggiijjillewkbbfhs,1,10
kLLLLMQkbceighghijjpjenwwcwctn,1,10
kLLLMLQkcdgefjhiiijhshpgxoaixj,1,10
kLLAvQPkbdedhgihjjjlvagxfqicbb,0,10
kLLLAzQkcddegijhjijtgfmgxdlsjo,0,10
kLLLPPMkacfghfiijjjnkgkekmarrf,0,10
kLvAAPPkbefegihhijjamldahfcdjj,0,10
kLLLPAPkbedhfhgiijjaafxvjbdpok,0,10
kLLMvPQkacdehgjiijjnkanlmsnggc,0,10
iLLMLQcaceehgghhnktfittmg,0,8
kLLLPPPkacfghfijjijnkgkekmajkw,0,10
kLALvPQkcbbehjjjiiihhkooappfof,0,10
kLLLwQAkbedfigiihjjaafiaotljhs,0,10
kLLLMPMkcedfhgiijijiifiokihduk,1,10
kLLvMMQkbdghigjhiijmkarnotvkrk,1,10
kLLvAMQkaceggiihjjjnkokrqexgbc,1,10
kLLLLPQkacfhgjjhiijnkgirqetmbs,1,10
kLLLLPQkbedhfjjhiijxxvcjxqnvnq,1,10
kLLLMzQkcdgehiijjhjqoqibhtqakb,1,10
kLLwLAQkacdiggihjjjnkaulidbvnf,1,10
kLLwLMQkacdfgihjijjnkawlxbnsnc,1,10
kLwPvMQkacdfgihjijjjgxratorkkr,1,10
kLvLAAQkaeghfgijjijjxgoocixquc,1,10
kLvALQPkadfihfgjijjnaqqqbwebjo,1,10
kLvLMAQkcfhegfhjjijtlqpnnkelwl,1,10
kLLLLQPkacfhfihhijjnkgafleqmgr,1,10
kLLLzQPkbcfeihgjijjebpeusvixak,1,10
kLLzMwQkcdeghfhiijjdwapwfwtqok,1,10
kLLLLPQkccffgjiihjjdwarjtnowpp,1,10
kLLLLAQkccfgihgijjjpvlgovvoxix,1,10
kLvLAMQkaehgfjhijijjxgvoljpxpn,1,10
kLvLAPQkcefhghgiijjddtuowokjlj,1,10
kLLLAzQkcddfgihhjjjtgfqgdidcjk,1,10
kLvAzMQkbfefhiihjjjmqdhskccddh,1,10
kLLLLAQkcddihhhijjjtgfhbvraqen,1,10
