target,source,label
gLLAQccdefffqfkiqnc,fLMPcbcdeeedxqxbw,Face: 7
gLLAQbcedffflsajhgv,fLMPcbcdeeedxqxbw,Face: 4
gLLAQbcedffflsajhvr,fLMPcbcdeeedxqxbw,Face: 3
hLLLQkbdfegfgghgdupsno,gLLAQccdefffqfkiqnc,Face: 12
hLLAPkbddegfggxvjxgfvw,gLLAQccdefffqfkiqnc,Face: 11
hLLzQkcdefgfgghsaiqknj,gLLAQccdefffqfkiqnc,Face: 9
hLLLQkbdfegfgghgdupsno,gLLAQbcedffflsajhgv,Face: 9
hLLLQkbdfgegfgekdhabbc,gLLAQbcedffflsajhgv,Face: 6
hLLAMkbcedfgggajhfxhtq,gLLAQbcedffflsajhgv,Face: 3
hLLAPkbddegfggxvjxgfvw,gLLAQbcedffflsajhvr,Face: 9
hLLLQkbdgefgfgdwthxkkg,gLLAQbcedffflsajhvr,Face: 5
hLLAMkbcedfgggajhfxhat,gLLAQbcedffflsajhvr,Face: 3
gLLAQbcedffflsajhgv,hLLLQkbdfegfgghgdupsno,Edge: 10
iLLLMQccddehhgghtgfmhukva,hLLLQkbdfegfgghgdupsno,Face: 14
iLLLPQcbcgefhghhlsmtgckrw,hLLLQkbdfegfgghgdupsno,Face: 11
ivLAAQcdeefghghhrvjilafrj,hLLLQkbdfegfgghgdupsno,Face: 5
iLLALQcbcedgghhhajhforlde,hLLLQkbdfegfgghgdupsno,Face: 3
gLLAQbcedffflsajhvr,hLLAPkbddegfggxvjxgfvw,Edge: 10
iLLLPQcbdeehhgghtvmtrrofr,hLLAPkbddegfggxvjxgfvw,Face: 13
iLLLMQcbcgefhhghlsmigocvg,hLLAPkbddegfggxvjxgfvw,Face: 11
iLLALQcbcedghhghasxfoetnd,hLLAPkbddegfggxvjxgfvw,Face: 3
iLLLPQcbcgefhghhlsmtgckrw,hLLzQkcdefgfgghsaiqknj,Face: 14
iLLLMQcbcgefhhghlsmigocvg,hLLzQkcdefgfgghsaiqknj,Face: 13
ivLAMQccedghfhghwvcdmicbw,hLLzQkcdefgfgghsaiqknj,Face: 11
ivLAMQcdefdhgghhonagphsgb,hLLzQkcdefgfgghsaiqknj,Face: 10
gLLMQacdefffnkankkg,hLLLQkbdfgegfgekdhabbc,Edge: 9
iLLLMQccddehhgghtgfmhukva,hLLLQkbdfgegfgekdhabbc,Face: 11
iLLALQcccdefghhhakvhvnhhl,hLLLQkbdfgegfgekdhabbc,Face: 7
iLLALQcbcedgghhhajhforlde,hLLAMkbcedfgggajhfxhtq,Face: 11
iLLAMPcbedefghhhdqrpdfaaa,hLLAMkbcedfgggajhfxhtq,Face: 8
gLLAQbcdeefftsreeor,hLLLQkbdgefgfgdwthxkkg,Edge: 9
iLLLPQcbdeehhgghtvmtrrofr,hLLLQkbdgefgfgdwthxkkg,Face: 11
iLLALQcccdefghhhakvhvnhlq,hLLLQkbdgefgfgdwthxkkg,Face: 8
iLLALQcbcedghhghasxfoetnd,hLLAMkbcedfgggajhfxhat,Face: 11
iLLAMPcbedefghhhthrddnaaa,hLLAMkbcedfgggajhfxhat,Face: 7
hLLLQkbdfgegfgekdhabbc,iLLLMQccddehhgghtgfmhukva,Edge: 16
hLLLQkbdefffggxvmudnnr,iLLLMQccddehhgghtgfmhukva,Edge: 10
jLLLLQQbcffhiiihhebpkwwvvfo,iLLLMQccddehhgghtgfmhukva,Face: 10
jLvLAQQbdheghigiixflmfflfhd,iLLLMQccddehhgghtgfmhukva,Face: 9
jLLALPQccdefihhiiakvhvqielj,iLLLMQccddehhgghtgfmhukva,Face: 7
hLLzQkcdefgfgghsaiqknj,iLLLPQcbcgefhghhlsmtgckrw,Edge: 11
jvLALQQedfghfihiiwralaljwgr,iLLLPQcbcgefhghhlsmtgckrw,Face: 11
jLLPLPQccefhgihiianqavgxkpi,iLLLPQcbcgefhghhlsmtgckrw,Face: 8
jLvALQQbefehighiitaltkbckfb,iLLLPQcbcgefhghhlsmtgckrw,Face: 5
jLvLAQQbdheghigiixflmfflfhd,ivLAAQcdeefghghhrvjilafrj,Face: 16
jvLALQQedfghfihiiwralaljwgr,ivLAAQcdeefghghhrvjilafrj,Face: 13
jvLLAQQcehgfihgiivjuhiigfsg,ivLAAQcdeefghghhrvjilafrj,Face: 7
hLLAMkbcedfgggajhfxhtq,iLLALQcbcedgghhhajhforlde,Edge: 12
jLLLMMQcddfhggiiihkgiakkpkk,iLLALQcbcedgghhhajhforlde,Face: 16
jLLPLPQccefhgihiianqavgxkpi,iLLALQcbcedgghhhajhforlde,Face: 13
jLLPLPQccefhgihiianqavgxkpi,iLLALQcbcedgghhhajhforlde,Face: 7
hLLLQkbdgefgfgdwthxkkg,iLLLPQcbdeehhgghtvmtrrofr,Edge: 16
hLLAPkbdedfgggdwavfbbf,iLLLPQcbdeehhgghtvmtrrofr,Edge: 12
hLLAPkacdegfggnkaqllgb,iLLLPQcbdeehhgghtvmtrrofr,Edge: 10
jLLAPLQccdegfihiiakvhkvllgb,iLLLPQcbdeehhgghtvmtrrofr,Face: 8
hLvAQkbeffeggglalaitng,iLLLMQcbcgefhhghlsmigocvg,Edge: 12
hLLzQkcdefgfgghsaiqknj,iLLLMQcbcgefhhghlsmigocvg,Edge: 11
jLLPLPQccefgihihianqacaotgt,iLLLMQcbcgefhhghlsmigocvg,Face: 8
hLLAMkbcedfgggajhfxhat,iLLALQcbcedghhghasxfoetnd,Edge: 12
jLLALMQbdedggihiihgasnnaiss,iLLALQcbcedghhghasxfoetnd,Face: 15
jLLPLPQccefgihihianqacaotgt,iLLALQcbcedghhghasxfoetnd,Face: 13
jLLPLPQccefgihihianqacaotgt,iLLALQcbcedghhghasxfoetnd,Face: 7
hvLAQkcdfegfggffaflxlw,ivLAMQccedghfhghwvcdmicbw,Edge: 13
jvLAAPQedfegihhiiggaftgcfbb,ivLAMQccedghfhghwvcdmicbw,Face: 15
jvLALQQcdfghihgiiffaqqafvvn,ivLAMQcdefdhgghhonagphsgb,Face: 16
jvLAAPQedfegihhiiggaftgcfbb,ivLAMQcdefdhgghhonagphsgb,Face: 13
jvLLAQQcehgfihgiivjuhiigfsg,ivLAMQcdefdhgghhonagphsgb,Face: 5
hLLLQkbdefffggxvmudnnr,gLLMQacdefffnkankkg,Face: 9
hLLAAkccdeefggpwvlqkqn,gLLMQacdefffnkankkg,Face: 4
jLLALPQccdefihhiiakvhvqielj,iLLALQcccdefghhhakvhvnhhl,Face: 13
jLLLMPQbedefgihiiaafdboeoad,iLLALQcccdefghhhakvhvnhhl,Face: 6
jLLLMMQcddfhggiiihkgiakkpkk,iLLAMPcbedefghhhdqrpdfaaa,Face: 13
jLLLMPQbedefgihiiaafdboeoad,iLLAMPcbedefghhhdqrpdfaaa,Face: 5
jLLLPAQbedhffgiiiaafxjjohpx,iLLAMPcbedefghhhdqrpdfaaa,Face: 2
hLLAPkacdegfggnkaqllgb,gLLAQbcdeefftsreeor,Face: 9
hLLAAkbcedefggtsxfaoxj,gLLAQbcdeefftsreeor,Face: 3
jLLAPLQccdegfihiiakvhkvllgb,iLLALQcccdefghhhakvhvnhlq,Face: 13
jLLLMPQbedefgihiiaafdboeodx,iLLALQcccdefghhhakvhvnhlq,Face: 4
jLLALMQbdedggihiihgasnnaiss,iLLAMPcbedefghhhthrddnaaa,Face: 13
jLLLMPQbedefgihiiaafdboeodx,iLLAMPcbedefghhhthrddnaaa,Face: 6
jLLLPAQbedhffgiiiaafxjjohhp,iLLAMPcbedefghhhthrddnaaa,Face: 2
gLLMQacdefffnkankkg,hLLLQkbdefffggxvmudnnr,Edge: 14
iLvAMQcbeffegghhxttambjfr,hLLLQkbdefffggxvmudnnr,Face: 8
