target,source,label
gLALQbcbeeffhxwgbxr,fLLQccecddephrwjr,Face: 8
gLLAQacedeffjktikdk,fLLQccecddephrwjr,Face: 7
hLALPkbcbegfggxhnsadrs,gLALQbcbeeffhxwgbxr,Face: 7
fLLQcacdeeejkdxjn,gLLAQacedeffjktikdk,Edge: 10
hLLAMkcedefgfgqpvtagrw,gLLAQacedeffjktikdk,Face: 11
hLLAMkbdedffggtvugafqr,gLLAQacedeffjktikdk,Face: 4
iLAwLQcbcbdfhghhhxwxfixjv,hLALPkbcbegfggxhnsadrs,Face: 6
iLALzQccbbeghhghhqjohfffs,hLALPkbcbegfggxhnsadrs,Face: 4
gLLMQbcdefffdfbhqsk,fLLQcacdeeejkdxjn,Face: 8
gLLAQccdeeffhwvlqcn,fLLQcacdeeejkdxjn,Face: 4
gLvQQaefdeffjuqhfwj,fLLQcacdeeejkdxjn,Face: 3
gLLAQccedeffqfmnqsn,fLLQcacdeeejkdxjn,Face: 1
iLLAwQcbdeefgghhxvtxabcek,hLLAMkcedefgfgqpvtagrw,Face: 12
iLLAwQcaddefghhhjhaxvitbv,hLLAMkcedefgfgqpvtagrw,Face: 9
gLLMQbcdefffdfbhqsk,hLLAMkbdedffggtvugafqr,Edge: 12
iLLAwQcaddefghhhjhaxvitbv,hLLAMkbdedffggtvugafqr,Face: 13
iLLLAQcbddggfhghasfujceok,hLLAMkbdedffggtvugafqr,Face: 1
hLAMzkbccdefgghhnaqqxk,iLAwLQcbcbdfhghhhxwxfixjv,Edge: 10
jLAwLMQcbbdfhihiihqjhjajojf,iLAwLQcbcbdfhghhhxwxfixjv,Face: 5
hLLMAkbddeefggajriifhw,iLALzQccbbeghhghhqjohfffs,Edge: 12
jLALLMQcbbeggihiiqhrnanacll,iLALzQccbbeghhghhqjohfffs,Face: 8
hLLMMkbceefgggdfapavwr,gLLMQbcdefffdfbhqsk,Face: 11
hLLLQkbcfgegfgdfpptcoc,gLLMQbcdefffdfbhqsk,Face: 10
hLLAMkbdedffggtvugafqr,gLLMQbcdefffdfbhqsk,Face: 8
hLLAPkbcdefgggdfbmbswg,gLLMQbcdefffdfbhqsk,Face: 7
hLLLQkbddfggfgajfpjkkf,gLLMQbcdefffdfbhqsk,Face: 1
hLLMMkbceefgggdfapavwr,gLLAQccdeeffhwvlqcn,Face: 12
hLLMMkbceefgggdfapavwr,gLLAQccdeeffhwvlqcn,Face: 10
hLLAPkacdegfggnkxxaako,gLLAQccdeeffhwvlqcn,Face: 5
hLLAMkcddeffgghrvahwhw,gLLAQccdeeffhwvlqcn,Face: 4
hLLLQkbcfgegfgdfpmdjbj,gLvQQaefdeffjuqhfwj,Face: 12
hLLLQkbcfgegfgdfpptcoc,gLvQQaefdeffjuqhfwj,Face: 10
hLLAMkcdeeffggtgpuiojn,gLvQQaefdeffjuqhfwj,Face: 8
hLLAAkcedeffggplvauihk,gLvQQaefdeffjuqhfwj,Face: 6
hLvAQkbeffgefgdahexhck,gLvQQaefdeffjuqhfwj,Face: 4
hLLAPkbcdefgggdfbmbswg,gLLAQccedeffqfmnqsn,Face: 10
hLLAPkbddefgfgxjrxrrjj,gLLAQccedeffqfmnqsn,Face: 9
hLLLQkccffggegqfaxxojs,gLLAQccedeffqfmnqsn,Face: 7
hLLLQkceffegfglueaxmwj,gLLAQccedeffqfmnqsn,Face: 6
hLLAAkcedeffggplvauihk,iLLAwQcbdeefgghhxvtxabcek,Edge: 11
