id,oriented,tetrahedra
fLLQcacdeeejkmxsn,1,5
gLLMQbcdefffdfbhasv,0,6
gLLAQbcedeffhgmfugj,1,6
gLLAQadedfffjeuisjn,1,6
gLLAQbddeeffmkcdtnj,1,6
gLLAQbddeeffmvndtnj,1,6
hLLMMkbceefgggdfapavgb,0,7
hLLLQkbdgeffgglvpthfcb,0,7
hLLLQkbdfeggfgmvipmswo,0,7
hLLLQkbdfgefgglvtmtwfj,0,7
hLLLQkbddfggfgajfpskko,0,7
hLLAAkbdedffggevtfanpw,1,7
hLLAMkcdeefgggirepljvw,1,7
hLLAMkbdeeffggmvehannj,1,7
hLLAMkbdeeffggmvueangs,1,7
hLLMMkcbefegggdntdxvor,1,7
hLLMMkcbeefgggdntqmvor,1,7
fLAMcbccdeemejdhr,1,5
hLvAQkaefefgggjuqbfwnw,1,7
hLLLQkbdefffggmkdqasns,1,7
hLvPQkafeefgggnqxkvkcv,1,7
hLvAQkbeffgefgmexahxsj,1,7
hLLLQkbdefffggmvdqajns,1,7
iLLALQcbdedghghhevtfshflh,0,8
iLLLMQccddfghghhuvfajmnex,0,8
iLLALQcbcedfhghhhgmfglouu,0,8
iLLAwQcbdedfghhhevdslddcv,0,8
iLLLMQcbdeegghhhmvllfoocg,0,8
iLLLMQcbdeefghhhmvqqwonfw,0,8
iLLALQcceddgghhhiivcwsuux,0,8
iLvAMQcbefghhgghtalpinvgj,0,8
iLLAzQccddefhghhdcbaousth,0,8
iLLLPQcbcfgghfhhdfpabgosf,0,8
iLLLMQcbddfhghghajfpmgxol,0,8
iLLLMQccddfgghhhlgfaroaht,0,8
iLLLPQcbcfgfhhghdfplgkgfr,0,8
iLLLMQcbddfhghghajfpmrxjl,0,8
iLLLMQccddfgghhhlgfhrohap,0,8
iLLLAQcbedefghhhaafdecpuq,0,8
iLLLMQcbedehhghgedfdrvsgs,1,8
iLLLMQcacfeghhghnkvcjdifa,1,8
iLLPLQcaceffgghhnkxwcpabk,1,8
iLLALQcbdeeghhghmkuesbfcf,1,8
iLLALQcbdeegghhhmkehbwfvo,1,8
iLLvQQccdfhghghgdrqpgkkgk,1,8
iLLLMQcbcffgfhhhdfplnrcjn,1,8
iLLLMQcbcfffghhhdfplgvcjn,1,8
iLLALQccdeeghghhirepwsvos,1,8
iLLLMQcaceeghhghjkwcfdqfm,1,8
iLLLMQcaceeghhghjkwcjdqjm,1,8
iLLAPMcbdeegfghhmvehqnfir,1,8
iLLAzQcbdeeghghhtvapiifdu,1,8
iLLLMQcbdefggghhmkmubkooj,1,8
iLLLMQcccegfhfhhdwpmggnor,1,8
iLLAPMcbdeegfghhmkehqnoir,1,8
iLvLQQcaegehfhghjqrorbkvo,1,8
iLLMLQccddeggghhhsviogcts,1,8
iLLvQQcadgfhfhghjegsjrrgb,1,8
iLLLAQccefdfghhhihhkqbppl,1,8
gLALQbcbfeffhxwqbhx,1,6
gLLPQcdcfeffhkrdqkf,1,6
iLLLPQcbcfehgghhdfpdrwjvf,1,8
iLLLMQcaceghfhghjkgcpktvm,1,8
iLvAAQcbefeggghhhxqaawwrr,1,8
iLLLMQcbedfhgfhhhhfpcbrjr,1,8
iLLLMQcacfeghhghnkocjxdvm,1,8
iLvLQQcaeehgfhghjxsowwkwc,1,8
iLLLMQcbcfgfhhghdfpagwcbj,1,8
iLvAAQccdegffghhpvaqxjfhw,1,8
iLLLQPcccfegfghhdwdeprouk,1,8
iLvLQQcaeehgghghnxkkkckvn,1,8
iLLLMQccdgeehhghhshtrwogn,1,8
jLLAwMQbdedfhhiiievtfapgnnv,0,9
jLLALPQbcdegihihilsfxjtxlmo,0,9
jLLzwQQcdegfghiiipvaifwkaxm,0,9
jLLAzAQbcdefghiiiebbdccxiws,0,9
