target,source,label
fLLQcadedeejpllpo,eLAkaccddjnjqj,Face: 7
fLLQccceddeqfxjwj,eLAkaccddjnjqj,Face: 5
fLLQcacdeeejkexco,eLAkaccddjnjqj,Face: 4
fLLQcacdedejbxarj,eLAkaccddjnjqj,Face: 3
gLLAQbdedffflvprxbk,fLLQcadedeejpllpo,Face: 9
gLLAQbdcefffhgwqpgo,fLLQcadedeejpllpo,Face: 8
gLLAQaddeeffjpupcok,fLLQcadedeejpllpo,Face: 7
gLLMQacdfeffnbxccnn,fLLQcadedeejpllpo,Face: 3
gLLPQcdcfeffqsnadrc,fLLQccceddeqfxjwj,Face: 7
gLLAQbdedffflvprxbk,fLLQcacdeeejkexco,Face: 9
gLLAQbcdeeffmbraaww,fLLQcacdeeejkexco,Face: 6
gLLAQadedfffjxxhgjg,fLLQcacdeeejkexco,Face: 5
gLLAQbddeeffhgfuekj,fLLQcacdeeejkexco,Face: 1
gLLAQaddeeffnmapcfw,fLLQcacdedejbxarj,Face: 9
gLLAQaeddeffjmadcoj,fLLQcacdedejbxarj,Face: 7
fLLQcacdeeejkexco,gLLAQbdedffflvprxbk,Edge: 12
hLLLQkbddfggfgajfpjbks,gLLAQbdedffflvprxbk,Face: 11
hLLLQkbdfegfggxvimeoco,gLLAQbdedffflvprxbk,Face: 1
hLLAAkbddeffgglvkhqrej,gLLAQbdcefffhgwqpgo,Face: 9
fLLQcadddeejhahak,gLLAQaddeeffjpupcok,Edge: 8
hLLAPkbcedfgfgajhfssjw,gLLAQaddeeffjpupcok,Face: 9
hLLLQkbddfggfgajfpjbks,gLLMQacdfeffnbxccnn,Face: 11
hLLPAkccdfefggaknaaohj,gLLMQacdfeffnbxccnn,Face: 10
hLLAMkadedfgggnillnaii,gLLMQacdfeffnbxccnn,Face: 9
hLLLQkbddfggfgajfpjbks,gLLMQacdfeffnbxccnn,Face: 7
hLLAAkbcdeefggpfreejqw,gLLPQcdcfeffqsnadrc,Face: 7
hLLAAkbcdeefggpfreejqw,gLLAQbcdeeffmbraaww,Face: 9
hLLLQkbdeeffggmvmmdbss,gLLAQbcdeeffmbraaww,Face: 5
hLLLQkbdeegggfmvaapjsj,gLLAQbcdeeffmbraaww,Face: 4
hLLAPkbdceffgghgsqgcgj,gLLAQadedfffjxxhgjg,Face: 6
hLLAPkbddeggfghgflwbns,gLLAQadedfffjxxhgjg,Face: 5
hLLLQkbdfegfggxvimeoco,gLLAQbddeeffhgfuekj,Face: 11
hLvPQkafeefgggjqxkcowf,gLLAQbddeeffhgfuekj,Face: 8
hLLLQkcefdfgggtqhkqckk,gLLAQbddeeffhgfuekj,Face: 6
hLLLQkadgfefggnmigcvwo,gLLAQaddeeffnmapcfw,Face: 10
hLLAAkbddeffgglvkhqrej,gLLAQaddeeffnmapcfw,Face: 6
hLLLQkadgfefggnmigcvwo,gLLAQaeddeffjmadcoj,Face: 10
hLLAPkbdceffgghgsqgcgj,gLLAQaeddeffjmadcoj,Face: 8
hLLAPkaddefgfgnuapotkw,gLLAQaeddeffjmadcoj,Face: 7
gLLMQacdfeffnbxccnn,hLLLQkbddfggfgajfpjbks,Edge: 10
iLLLAQcccfgeghhhakaihkqxd,hLLLQkbddfggfgajfpjbks,Face: 5
iLLLMQcbddfhghghajfpxfint,hLLLQkbddfggfgajfpjbks,Face: 4
iLLLAQcbedefghhhaafdenpil,hLLLQkbddfggfgajfpjbks,Face: 2
gLLAQbddeeffhgfuekj,hLLLQkbdfegfggxvimeoco,Edge: 14
iLLLMQcbddfhghghajfpxfint,hLLLQkbdfegfggxvimeoco,Face: 13
iLLLAQcbdfegghhhlvqembptp,hLLLQkbdfegfggxvimeoco,Face: 6
gLLAQaddeeffnmapcfw,hLLAAkbddeffgglvkhqrej,Edge: 11
iLLALQcbddefghhhlvkhckxuh,hLLAAkbddeffgglvkhqrej,Face: 12
iLLMLQcccdfgfghhakvibwgtj,hLLAAkbddeffgglvkhqrej,Face: 4
gLLAQaddeeffnpupcoj,fLLQcadddeejhahak,Face: 3
iLLLMQcbedefhgghaafmwkokk,hLLAPkbcedfgfgajhfssjw,Face: 4
iLLAwQccddefghhhpgvalaajj,hLLPAkccdfefggaknaaohj,Face: 14
iLLMLQcccdfgfghhakvibwgtj,hLLPAkccdfefggaknaaohj,Face: 6
iLLMLQcccdfgfghhakvibwgtj,hLLPAkccdfefggaknaaohj,Face: 5
iLLLAQcbedefghhhaafdenpil,hLLAMkadedfgggnillnaii,Face: 12
iLLLMQcbedefhgghaafmwkokk,hLLAMkadedfgggnillnaii,Face: 7
iLLAPPcbdcefghhhhgwqgbapp,hLLAMkadedfgggnillnaii,Face: 5
iLLLMQcbedfgghghaafujjoos,hLLAMkadedfgggnillnaii,Face: 2
gLLAQbcdeeffmbraaww,hLLAAkbcdeefggpfreejqw,Edge: 11
iLLAMMcbddeffghhmvrqajhhj,hLLAAkbcdeefggpfreejqw,Face: 5
iLLAMMcbddeffghhmkbqajhhj,hLLAAkbcdeefggpfreejqw,Face: 4
iLLAMMcbddeffghhmvrqajhhj,hLLLQkbdeeffggmvmmdbss,Face: 11
iLvLQQcaeehgfhghjxgwobkjr,hLLLQkbdeeffggmvmmdbss,Face: 8
iLLLAQcbdeggfghhmkatpwshr,hLLLQkbdeeffggmvmmdbss,Face: 2
iLLAMMcbddeffghhmkbqajhhj,hLLLQkbdeegggfmvaapjsj,Face: 11
iLvLQQcaeehgfhghjxgwobkob,hLLLQkbdeegggfmvaapjsj,Face: 8
iLLLAQcbdeggfghhmvatpwohr,hLLLQkbdeegggfmvaapjsj,Face: 2
gLLAQaeddeffjmadcoj,hLLAPkbdceffgghgsqgcgj,Edge: 11
iLLLMQcacgegfhhhnkbcjfiem,hLLAPkbddeggfghgflwbns,Face: 11
iLvLQQcaeehgfhghjxgwobkjr,hLLAPkbddeggfghgflwbns,Face: 5
iLLLMQcacgeghhhgnkocjtmlv,hLvPQkafeefgggjqxkcowf,Face: 11
iLvLQQcaeehgfhghjxgwobkob,hLvPQkafeefgggjqxkcowf,Face: 5
iLLLAQcbdfegghhhlvqembptp,hLLLQkcefdfgggtqhkqckk,Face: 13
iLLLMQcacgeghhhgnkocjtmlv,hLLLQkcefdfgggtqhkqckk,Face: 10
gLLAQaeddeffjmadcoj,hLLLQkadgfefggnmigcvwo,Edge: 11
iLLALQcbddefghhhlvkhckxuh,hLLLQkadgfefggnmigcvwo,Face: 14
iLLLAQcbedefgghhlufupkoir,hLLLQkadgfefggnmigcvwo,Face: 9
iLLALQcbdecggghhtvajrscxk,hLLAPkaddefgfgnuapotkw,Face: 12
iLvAAQcadfdgfghhnxxrgbraj,hLLAPkaddefgfgnuapotkw,Face: 5
jLLLAPQccfgffhiiiqfahlfeenn,iLLLAQcccfgeghhhakaihkqxd,Face: 8
hLLLQkbdfegfggxvimeoco,iLLLMQcbddfhghghajfpxfint,Edge: 10
jLLLAAQcedfghhiiiaqkaqqqhpk,iLLLMQcbddfhghghajfpxfint,Face: 12
jLLLAAQbedgehgiiiaafltijdcn,iLLLMQcbddfhghghajfpxfint,Face: 7
hLLAMkadedfgggnillnaii,iLLLAQcbedefghhhaafdenpil,Edge: 12
jLLLAAQbedgehgiiiaafltijdcn,iLLLAQcbedefghhhaafdenpil,Face: 6
jLLLAAQcedfghgiiilafapacakk,iLLLAQcbedefghhhaafdenpil,Face: 2
hLLLQkcefdfgggtqhkqckk,iLLLAQcbdfegghhhlvqembptp,Edge: 16
jLLLAAQcedfghhiiiaqkaqqqhpk,iLLLAQcbdfegghhhlvqembptp,Face: 15
hLLLQkadgfefggnmigcvwo,iLLALQcbddefghhhlvkhckxuh,Edge: 16
jLLALPQcdedfhhiiipwiowethes,iLLALQcbddefghhhlvkhckxuh,Face: 9
jLLLMPQcddefghiiitgfqfnalcc,iLLALQcbddefghhhlvkhckxuh,Face: 8
hLLPAkccdfefggaknaaohj,iLLMLQcccdfgfghhakvibwgtj,Edge: 11
jLLLMPQcddefghiiitgfqfnalcc,iLLMLQcccdfgfghhakvibwgtj,Face: 14
jLLLMPQbedegghhiiaafdsogfps,iLLMLQcccdfgfghhakvibwgtj,Face: 3
fLLQcadedeejmllib,gLLAQaddeeffnpupcoj,Edge: 10
hLLAPkbcedfgfgajhfssws,gLLAQaddeeffnpupcoj,Face: 4
hLLAMkadedfgggnillnaii,iLLLMQcbedefhgghaafmwkokk,Edge: 11
jLLLLQQbedffghihiaafjjoffjw,iLLLMQcbedefhgghaafmwkokk,Face: 1
jLLLMPQcddefghiiitgfqfnalcc,iLLAwQccddefghhhpgvalaajj,Face: 10
jLLLAPQccfgffhiiiqfahlfeenn,iLLAwQccddefghhhpgvalaajj,Face: 7
jLLzLQQccdhggghiiakncbvbjmk,iLLAwQccddefghhhpgvalaajj,Face: 6
jLLLMPQbedegghhiiaafdsogfps,iLLAPPcbdcefghhhhgwqgbapp,Face: 7
jLLLAAQcedfghgiiilafapacakk,iLLLMQcbedfgghghaafujjoos,Face: 16
jLLLAAQcedfghgiiilafapacakk,iLLLMQcbedfgghghaafujjoos,Face: 14
jLLAMzQadedfghiiinillnaaaii,iLLLMQcbedfgghghaafujjoos,Face: 9
jLLvQAQbeghfffhiiaaaaassbxr,iLLLMQcbedfgghghaafujjoos,Face: 7
hLLLQkbdeeffggmvmmdbss,iLLAMMcbddeffghhmvrqajhhj,Edge: 13
jLvPLQQccgfhihgiiqnagffsbss,iLLAMMcbddeffghhmvrqajhhj,Face: 11
jLLLPQPcdefggghiiqrumvfcghs,iLLAMMcbddeffghhmvrqajhhj,Face: 2
hLLLQkbdeegggfmvaapjsj,iLLAMMcbddeffghhmkbqajhhj,Edge: 13
jLvPLQQccgfhihgiiqnagffsbff,iLLAMMcbddeffghhmkbqajhhj,Face: 11
jLLLMQPcdfeghggiiqcetbkgfxj,iLLAMMcbddeffghhmkbqajhhj,Face: 2
hLLAPkbddeggfghgflwbns,iLvLQQcaeehgfhghjxgwobkjr,Edge: 11
jLLLLQQacgihfhgiinkomhklvun,iLvLQQcaeehgfhghjxgwobkjr,Face: 13
jLLLPQPcdefggghiiqrumvfcghs,iLLLAQcbdeggfghhmkatpwshr,Face: 13
jLLLPPQbdehggfiiimkaqjsjlqa,iLLLAQcbdeggfghhmkatpwshr,Face: 2
hLvPQkafeefgggjqxkcowf,iLvLQQcaeehgfhghjxgwobkob,Edge: 11
jLLLLQQacgihfhgiinkomaklvuc,iLvLQQcaeehgfhghjxgwobkob,Face: 13
jLLLMQPcdfeghggiiqcetbkgfxj,iLLLAQcbdeggfghhmvatpwohr,Face: 13
jLLLMPQbedghgfiiixxbissjlxu,iLLLAQcbdeggfghhmvatpwohr,Face: 2
jLLLQPPcdefegghiihslauwjtqn,iLLLMQcacgegfhhhnkbcjfiem,Face: 12
jLLLLQQacgihfhgiinkomhklvun,iLLLMQcacgegfhhhnkbcjfiem,Face: 10
hLLLQkcefdfgggtqhkqckk,iLLLMQcacgeghhhgnkocjtmlv,Edge: 10
jLLLLQQacgihfhgiinkomaklvuc,iLLLMQcacgeghhhgnkocjtmlv,Face: 13
jLLPPPPcdeffgghiihsaitsklqw,iLLLMQcacgeghhhgnkocjtmlv,Face: 5
hLLLQkadgffgfgnmqgjsjj,iLLLAQcbedefgghhlufupkoir,Edge: 10
jLLALPQcdedfhhiiipwiowethes,iLLLAQcbedefgghhlufupkoir,Face: 16
jLLLPMQcddghfhgiiukfsnfkjdr,iLLLAQcbedefgghhlufupkoir,Face: 13
hLLAMkcdeefgfglkhaannw,iLLALQcbdecggghhtvajrscxk,Edge: 11
jLLLPMQcddghfhgiiukfsnfkjdr,iLLALQcbdecggghhtvajrscxk,Face: 5
hLLAPkbcedgffgloaooswk,iLvAAQcadfdgfghhnxxrgbraj,Edge: 14
iLLAwQccddefghhhpgvalaajj,jLLLAPQccfgffhiiiqfahlfeenn,Edge: 14
iLLLAQcbdfegghhhlvqembptp,jLLLAAQcedfghhiiiaqkaqqqhpk,Edge: 14
kLLLAMMkbedefgihjjjxxfxlnuiahh,jLLLAAQcedfghhiiiaqkaqqqhpk,Face: 13
iLLLAQcbedefghhhaafdenpil,jLLLAAQbedgehgiiiaafltijdcn,Edge: 11
kLLLAMMkbedefgihjjjxxfxlnuiahh,jLLLAAQbedgehgiiiaafltijdcn,Face: 14
kLLLMAMkcddefhgijjjhsgqjevaadd,jLLLAAQbedgehgiiiaafltijdcn,Face: 2
iLLLMQcbedfgghghaafujjoos,jLLLAAQcedfghgiiilafapacakk,Edge: 14
kLLvAQMkbeghffiijjjaaxassbbqhh,jLLLAAQcedfghgiiilafapacakk,Face: 9
kLLLMAMkcddefhgijjjhsgqjevaadd,jLLLAAQcedfghgiiilafapacakk,Face: 8
kLLLAAMkcedgfhgijjjlafmxashamm,jLLLAAQcedfghgiiilafapacakk,Face: 2
iLLLAQcbedefgghhlufupkoir,jLLALPQcdedfhhiiipwiowethes,Edge: 18
iLLAPPccdedgfhhhpwiofwxdu,jLLALPQcdedfhhiiipwiowethes,Edge: 11
