target,source,label
gLALQbcbeeffhhwcras,fLAMcbbcdeedhrxxk,Face: 10
gLALQbcbeeffxxnnkqj,fLAMcbbcdeedhrxxk,Face: 9
gLLPQcdcefffhsrmlkj,fLAMcbbcdeedhrxxk,Face: 8
gLAMPbbcdeffdhgqqqs,fLAMcbbcdeedhrxxk,Face: 7
hLLAAkaedeefggnmaekkqj,gLALQbcbeeffhhwcras,Face: 11
hLALPkbcbefgfgxxngaqnw,gLALQbcbeeffhhwcras,Face: 3
hLLMAkaddeefggnuadjnqj,gLALQbcbeeffxxnnkqj,Face: 11
hLLAAkcddeefgglcvatnhw,gLLPQcdcefffhsrmlkj,Face: 12
hLLAAkcedefeggthvaxaxk,gLLPQcdcefffhsrmlkj,Face: 11
hLLPAkcdcfefgghsraislk,gLLPQcdcefffhsrmlkj,Face: 10
hLAMzkaccdefggngbqqqqj,gLAMPbbcdeffdhgqqqs,Face: 1
iLLMzQcaceefhhghjktfkdewc,hLLAAkaedeefggnmaekkqj,Face: 12
iLLLAQccddfgfhghugwasfmks,hLLAAkaedeefggnmaekkqj,Face: 11
iLLMLQcccdffhgghqvvakhcsr,hLLAAkaedeefggnmaekkqj,Face: 9
iLLMLQcaceeghgghjktfaphpk,hLLMAkaddeefggnuadjnqj,Face: 11
iLLLAQcbcfgehgghdfmauxjvk,hLLMAkaddeefggnuadjnqj,Face: 9
iLLzAQccdcegfghhhsrqsnklj,hLLMAkaddeefggnuadjnqj,Face: 5
iLLLQMccdefefghhtruaifcqs,hLLAAkcddeefgglcvatnhw,Face: 7
iLLMLQcccdffhgghqvvakhcsr,hLLAAkcddeefgglcvatnhw,Face: 6
iLLPwQcceeffhhghthadaborn,hLLAAkcedefeggthvaxaxk,Face: 12
iLLLAQcbcfgehgghdfmauxjvk,hLLAAkcedefeggthvaxaxk,Face: 6
iLLAAMcbdeeffghhevdpaluxn,hLLAAkcedefeggthvaxaxk,Face: 5
iLLMAMcacdeffghhnsacvkqhr,hLLPAkcdcfefgghsraislk,Face: 6
iLvAQMcadeeffghhjahsrggqj,hLLPAkcdcfefgghsraislk,Face: 5
