target,source,label
gLLPQcdcfeffqsjdqgf,fLLQccceddehwxwwn,Face: 10
gLLAQcbdeefftjbmtwr,fLLQccceddehwxwwn,Face: 7
hLLMAkbddeffgglvkumvhr,gLLPQcdcfeffqsjdqgf,Face: 12
hLALPkcbbegfgghqjodxwf,gLLPQcdcfeffqsjdqgf,Face: 8
hLLAAkccdeefggakvhqchw,gLLPQcdcfeffqsjdqgf,Face: 3
hLLMAkbddeffgglvkumvhr,gLLAQcbdeefftjbmtwr,Face: 12
hLLMPkacdefgfgjkanjink,gLLAQcbdeefftjbmtwr,Face: 9
gLLAQcbdeefftjbmtwr,hLLMAkbddeffgglvkumvhr,Edge: 11
iLLMPPcbdedfgghhaspfwskik,hLLMAkbddeffgglvkumvhr,Face: 10
gLALQbcbefffhxwnhah,hLALPkcbbegfgghqjodxwf,Edge: 9
iLALLQcbcbeghhghhxwnannvc,hLALPkcbbegfgghqjodxwf,Face: 9
iLLMPPcbdedfgghhaspfwskik,hLLAAkccdeefggakvhqchw,Face: 14
iLLMPPcbdedfgghhaspfwskik,hLLAAkccdeefggakvhqchw,Face: 11
iLLAMMcbeedffghhaapkabnxk,hLLAAkccdeefggakvhqchw,Face: 10
iLvAQPcadfeggfhhnaacvkkqw,hLLMPkacdefgfgjkanjink,Face: 5
hLLAAkccdeefggakvhqchw,iLLMPPcbdedfgghhaspfwskik,Edge: 10
jLLMPLQacdefghiiijkanjivvnn,iLLMPPcbdedfgghhaspfwskik,Face: 7
jLLLMMQbedeghghiiaafdsrgclj,iLLMPPcbdedfgghhaspfwskik,Face: 2
hLALPkbcbffggghxwpttls,gLALQbcbefffhxwnhah,Face: 4
jLALLAQcbbefhgiiihqjoxjsatt,iLALLQcbcbeghhghhxwnannvc,Face: 5
jLLLMMQbedeghghiiaafdsrgclj,iLLAMMcbeedffghhaapkabnxk,Face: 13
jLALLAQcbbefhgiiihqjoxjsatt,iLLAMMcbeedffghhaapkabnxk,Face: 6
jLLLMAQbedghhgihiaafhsssxjk,iLLAMMcbeedffghhaapkabnxk,Face: 2
hLLAPkbcedgffgtsajjjnk,iLvAQPcadfeggfhhnaacvkkqw,Edge: 12
kLLPwMPkccdfehihijjaknaaakvchs,jLLMPLQacdefghiiijkanjivvnn,Face: 11
iLLAMMcbeedffghhaapkabnxk,jLLLMMQbedeghghiiaafdsrgclj,Edge: 12
kLLLLAQkbedhhigihjjaafjjrgccmr,jLLLMMQbedeghghiiaafdsrgclj,Face: 2
iLALLQcbcbehhgghhxwntrcvk,hLALPkbcbffggghxwpttls,Face: 5
iLALzQcbcbefhghhhxwnacvnn,hLALPkbcbffggghxwpttls,Face: 4
iLLAMMcbeedffghhaapkabnxk,jLALLAQcbbefhgiiihqjoxjsatt,Edge: 12
kLALLPMkbcbegighjjjhxwnaavcann,jLALLAQcbbefhgiiihqjoxjsatt,Face: 3
kLLLLAQkbedhhigihjjaafjjrgccmr,jLLLMAQbedghhgihiaafhsssxjk,Face: 18
kLLLLAQkbedhhigihjjaafjjrgccmr,jLLLMAQbedghhgihiaafhsssxjk,Face: 15
kLLLMPPkcdgffihjjjiasaajqoamms,jLLLMAQbedghhgihiaafhsssxjk,Face: 8
iLLPwQcccdfeghghqffqqaarr,hLLAPkbcedgffgtsajjjnk,Face: 1
jLLAPLQbcedgfihiitsajjjaann,kLLPwMPkccdfehihijjaknaaakvchs,Edge: 18
jLLLMAQbedghhgihiaafhsssxjk,kLLLLAQkbedhhigihjjaafjjrgccmr,Edge: 14
jLALLAQbcbfgfhiiixhnpdqfaee,iLALzQcbcbefhghhhxwnacvnn,Face: 8
kLLPwAPkccdfeghijjjqffqqaaaarr,jLLAPLQbcedgfihiitsajjjaann,Face: 1
kLALvMQkbcbeijjhjiihxwnkainicv,jLALLAQbcbfgfhiiixhnpdqfaee,Face: 5
kLALzAMkbcbefhgijjjhxwnacvaann,jLALLAQbcbfgfhiiixhnpdqfaee,Face: 2
