id,oriented,tetrahedra
fLLQccceddehwxwwn,1,5
gLLPQcdcfeffqsjdqgf,0,6
gLLAQcbdeefftjbmtwr,1,6
hLLMAkbddeffgglvkumvhr,0,7
hLALPkcbbegfgghqjodxwf,0,7
hLLAAkccdeefggakvhqchw,0,7
hLLMPkacdefgfgjkanjink,1,7
iLLMPPcbdedfgghhaspfwskik,0,8
gLALQbcbefffhxwnhah,1,6
iLALLQcbcbeghhghhxwnannvc,0,8
iLLAMMcbeedffghhaapkabnxk,0,8
iLvAQPcadfeggfhhnaacvkkqw,1,8
jLLMPLQacdefghiiijkanjivvnn,0,9
jLLLMMQbedeghghiiaafdsrgclj,0,9
hLALPkbcbffggghxwpttls,0,7
jLALLAQcbbefhgiiihqjoxjsatt,0,9
jLLLMAQbedghhgihiaafhsssxjk,0,9
hLLAPkbcedgffgtsajjjnk,1,7
kLLPwMPkccdfehihijjaknaaakvchs,0,10
kLLLLAQkbedhhigihjjaafjjrgccmr,0,10
iLALLQcbcbehhgghhxwntrcvk,0,8
iLALzQcbcbefhghhhxwnacvnn,0,8
kLALLPMkbcbegighjjjhxwnaavcann,0,10
kLLLMPPkcdgffihjjjiasaajqoamms,0,10
iLLPwQcccdfeghghqffqqaarr,1,8
jLLAPLQbcedgfihiitsajjjaann,0,9
jLALLAQbcbfgfhiiixhnpdqfaee,0,9
kLLPwAPkccdfeghijjjqffqqaaaarr,0,10
kLALvMQkbcbeijjhjiihxwnkainicv,0,10
kLALzAMkbcbefhgijjjhxwnacvaann,0,10
