target,source,label
gLLPQcdcfeffhsnlqgj,fLAMcbccdeemejlhj,Face: 10
gLLPQcdcfeffhonuqgj,fLAMcbccdeemejlhj,Face: 9
gLALQbcbfeffhxjxbhq,fLAMcbccdeemejlhj,Face: 6
gLLAQbcdeeffmvfxucw,fLAMcbccdeemejlhj,Face: 5
hLLAAkccdeefgghkvaqcxj,gLLPQcdcfeffhsnlqgj,Face: 12
hLLMAkbddeffggmkfxarej,gLLPQcdcfeffhsnlqgj,Face: 11
hLvPQkccefggfghnmhunff,gLLPQcdcfeffhsnlqgj,Face: 10
hLLAAkccedefggdwxkdjhj,gLLPQcdcfeffhsnlqgj,Face: 1
hLLAAkbcdeefggpjgplwqn,gLLPQcdcfeffhonuqgj,Face: 12
hLLAAkbddeefggxrrxqbhn,gLLPQcdcfeffhonuqgj,Face: 11
hLLMAkbddeffggmvoxarej,gLLPQcdcfeffhonuqgj,Face: 9
hLLMMkcddeffggdgntxkxk,gLLPQcdcfeffhonuqgj,Face: 8
hLLAAkccedefggdwxvdkxj,gLLPQcdcfeffhonuqgj,Face: 2
hLALPkbcbefggghxjndanf,gLALQbcbfeffhxjxbhq,Face: 12
hLALPkbcbffggghxjuttar,gLALQbcbfeffhxjxbhq,Face: 11
hLLMAkbddeffggmkfxarej,gLLAQbcdeeffmvfxucw,Face: 12
hLLMMkccdfefggdfvqlkxk,gLLAQbcdeeffmvfxucw,Face: 11
hLLMAkbddeffggmvoxarej,gLLAQbcdeeffmvfxucw,Face: 10
hLLMMkccdfefgghgvlifmw,gLLAQbcdeeffmvfxucw,Face: 7
hLLLQkbdfgefggtvtltrfj,gLLAQbcdeeffmvfxucw,Face: 5
iLLMAMcbdedffghhdvaflodhj,hLLAAkccdeefgghkvaqcxj,Face: 6
iLLLQMcbedeffghhahfdxgshk,hLLAAkccdeefgghkvaqcxj,Face: 3
gLLAQbcdeeffmvfxucw,hLLMAkbddeffggmkfxarej,Edge: 11
iLLLAQccddefghhhivfavbahu,hLLMAkbddeffggmkfxarej,Face: 13
iLLLPQccdefgghghqfadkbvnw,hLLMAkbddeffggmkfxarej,Face: 5
iLLvQQcacfgfhghhnkgksdraq,hLLMAkbddeffggmkfxarej,Face: 4
