id,oriented,tetrahedra
fLAMcbccdeemejlhj,1,5
gLLPQcdcfeffhsnlqgj,1,6
gLLPQcdcfeffhonuqgj,1,6
gLALQbcbfeffhxjxbhq,1,6
gLLAQbcdeeffmvfxucw,1,6
hLLAAkccdeefgghkvaqcxj,0,7
hLLMAkbddeffggmkfxarej,1,7
hLvPQkccefggfghnmhunff,1,7
hLLAAkccedefggdwxkdjhj,1,7
hLLAAkbcdeefggpjgplwqn,1,7
hLLAAkbddeefggxrrxqbhn,0,7
hLLMAkbddeffggmvoxarej,1,7
hLLMMkcddeffggdgntxkxk,1,7
hLLAAkccedefggdwxvdkxj,1,7
hLALPkbcbefggghxjndanf,0,7
hLALPkbcbffggghxjuttar,0,7
hLLMMkccdfefggdfvqlkxk,1,7
hLLMMkccdfefgghgvlifmw,1,7
hLLLQkbdfgefggtvtltrfj,1,7
iLLMAMcbdedffghhdvaflodhj,0,8
iLLLQMcbedeffghhahfdxgshk,0,8
iLLLAQccddefghhhivfavbahu,1,8
iLLLPQccdefgghghqfadkbvnw,1,8
iLLvQQcacfgfhghhnkgksdraq,1,8
iLLwPQcacefghghhnktklmtab,1,8
iLvPMQcccegfhghhhnthvkokb,1,8
iLLALQccdechghghhshnhbpjq,1,8
iLLPLQcacdefghhhnkmgkeujr,1,8
iLLAAMcbdedffghhmvxgxcihk,1,8
iLLLAQcbddgfghghhofegvegs,0,8
iLALLQccbbehhgghhqnomfofg,0,8
iLLPPMccdfeffghhaklptkoxj,0,8
iLLLAQccddefghhhicsavbahu,1,8
iLLLMQccdfehggghqoqiwrwck,1,8
iLLLPQcacefgfhhhnkgojkelq,1,8
iLLLAQccceffgghhdwtpqwcij,1,8
iLLLPQcacggghfhhnkfkjpkex,1,8
iLLLMQccdefgghhhdfiarkgfo,1,8
iLvAAQcbefegghghmeuuannvk,1,8
iLLALQcacedhghghnktlljvbr,1,8
iLLALQccedchghghhhfnhbtjq,1,8
iLAwLQcbcbdfhghhhxjqvtqcg,0,8
iLALLQccbbefhghhhqnoxjfoo,0,8
iLALLQcbcbffgghhxhjueevnk,0,8
iLALzQccbbeghhghhqnoxoofj,0,8
iLLLQPcbdeefgghhmvlltfvmj,1,8
iLLLQPcbdeegfghhmvqquwbmn,1,8
iLLLMQccddefghhhtgfavoput,1,8
iLLAzQccddefgghhdcbaojgpr,1,8
iLLAPMcbdedfgghhevtfosrar,1,8
iLLLAQccddffgghhuvfarnntw,1,8
iLLMLQcbcdefghhhebbmwbpip,1,8
iLLPzQcccdfgfghhhggasfoaw,1,8
hLLAAkbcdeefggasreeshn,0,7
jLLLMMQbedeghghiixafigrgcmk,0,9
jLLLMAQbedghhgihiaafhsosqfw,0,9
jLLLMMQcddffhihiitgfaghqpug,1,9
jLLLzQQcddhghgiiitgfgkvohxm,1,9
jLLLPPQbdehfgihhimvdqsfeofn,1,9
jLLvMQQacfighhihinkgaoaahqm,1,9
jLvLAQQaehegihgiijxvccpsvat,1,9
jLLLAPQcddfgihihitgfagdmelv,1,9
jLLwwQQacefgihihinktcilmfvv,1,9
jLLALMQccedhgihhidwxsxsxetr,1,9
jLLLAPQcddfghgiiitgfagenukw,1,9
jLLLAPQcddfggiihiigfqwcamww,1,9
jLLLMAQbcgehgghiimsmtvrbjlr,1,9
jLvAMAQbefgehghiimxlhxrnbmr,1,9
jLLLPAQbdehhggihimkdqjcoqow,1,9
jLLLAPQbddffihhiixsflrutxtc,0,9
jLLwPMQacefhghiiinktkxqaffg,0,9
jLLLMQPcddfgfhhiihvcanfpakk,0,9
hLLAAkbcdeefggajgeeohs,0,7
jLLwAPQacegfihhiinktakexoso,0,9
jLLLPAQbedhhggihiaasxsssqfw,0,9
jLLLMMQcddfhfihiitgfahbqtug,1,9
jLLLPPQcddhfhgiiitgfjcvviqq,1,9
jLLLMAQccfefhghiidwderbrgqw,1,9
jLLLLQQcdfghfhihiqoqsojjsjk,1,9
jLLLMPQbedfhiggiihhbublssmp,1,9
jLLzMPQacefhigihinkxfumucvr,1,9
jLLvMQQacgghfiihinkwjakdqlv,1,9
jLLwMAQcedfghhhiiiijmrjosqj,1,9
jLvAAMQbefeghghiipaumigngdj,1,9
jLLLAMQcedefghiiiiisptsplsc,1,9
jLLLwQQcceghhgihidwtpkkfhwj,1,9
jLLLLQQccfhgghihidwaobfrjbj,1,9
jLLLPAQcedhhghgiiiisxbwgnxn,1,9
jLLLAMQcceffghiiidwdhlnlecg,1,9
jLLLPPQcceghhighidwdpknhcww,1,9
jLLLLQQccfggihiihdwavrwrjbr,1,9
jLLLMMQcdeehhgihiikhhnsnxsn,1,9
jLLvMQQacegfihhiinksjkdulmv,1,9
jLLLLQQceffgihiihiqhenbkbkj,1,9
jLLLMPQcdefhighiidfiabanwta,1,9
jLLALMQcecdfhhiiiiibsgmimxg,1,9
jLLLMMQcddffhihiiukftkumuxo,1,9
jLLLLQQbdgfihihihtvprjvbcgs,1,9
jLLvMQQcdheghgiiidfasrvwfog,1,9
jLLvMQQcdfeiihihhdfasbgowsg,1,9
jLLAMLQacedfghiiinktlxlxurf,1,9
jLLALMQcedchggiiihhfnhbjmvk,1,9
hLAwAkbcbdffgghxjqwraw,1,7
jLAwwMQbcbdfhiihihxjqwarrbg,0,9
jLALLMQbcbeggihiihxjnanacdd,0,9
hLALPkbcbegffgxhjchhnn,1,7
jLAvLQQcbbfhgiiihqhkqqgrggw,0,9
jLAvAMQcbbgfgihiiqhkiiiagdd,0,9
jLLLMAQbdeegghiiimvllforaqt,1,9
jLLMLMQceddfhhihiiifsouhadw,1,9
jLLLPMQbdehfhghiimkqqwfbrmn,1,9
jLLLMMQbdeefghiiimvqqwovaau,1,9
jLLMLMQceddfhhihiiisfouhadw,1,9
jLLALPQacdeggihiinktxaolfqp,1,9
jLLwLQQacdghgiihinktpamxewv,1,9
jLLLPMQbdehfhghiimvqqwobrmn,1,9
jLLAzMQcddefhihiidcbaouhltr,1,9
jLLAvQQcddehgghiidcbaajglbr,1,9
jLLAvQQcddehgghiidcbaajguwr,1,9
jLLLLQQcdeffiiihhdkikfkkson,1,9
jLLALPQbdedgghiiievtfsfpdov,1,9
jLLALAQbcdeghghiilsfxjlcmjr,1,9
jLLzPPQcdfghfhhiiuvearsvghj,1,9
jLLPLPQacefgihihinkxgettfnc,1,9
jLLzAQPacefehghiinkxgnheber,1,9
jLLLMPQcddfgghiiiuvfajnxugv,1,9
jLvLAQQaegfhihgiijxgsrqkfhd,1,9
jLLLMAQcdefghfiiiiruhvjrieq,1,9
jLLzLQQacehfhghiinkxhkuukvw,1,9
jLLMMLQbceefgihiiebdxasaagb,1,9
iLLMLQcaceffghhhnktbjhmss,0,8
kLLLMLQkbedeggjjiijxafiggaiixg,0,10
kLLAwAAkbedefghhijjaarldflhfqn,0,10
kLLLwAQkbedgigjhiijaafhasxjetr,0,10
kLLLMMPkcddffhiijjjtgfaghqukvk,1,10
kLLLzPQkcddhjigijijtgfglhnetml,1,10
kLLLwAQkccfehihjijjubadfdcmiab,1,10
kLvLAMQkcfgefijhijjupahcoawseh,1,10
kLLLLAQkcdgfigijhjjqfqjjofhwaq,1,10
kLLLPLQkbdehgjgijjimkxqrqfeqaj,1,10
kLvPLMQkafefijijhijnqqfiaeqasr,1,10
kLvAMLQkaefgfijhjijnuqofdqmkbg,1,10
kLLLwAQkcddfgihjijjtgfabeaqoog,1,10
kvLAvQQkdefgigjhjijrvxmesrsnnf,1,10
kLLLMLQkcddffjihijjukftkmaijkv,1,10
kLvLLQQkaegjfghiijjjxkabwvamxo,1,10
kLLALMMkcdechggijjjhshnhbjdhtp,1,10
kLLLALQkcddfgghijjjtgfagnefcsv,1,10
kLLLMMPkccgffhgjijjinlibjrqhrs,1,10
kLLLPLQkccfggjiijjipvlpgpxilqm,1,10
kLLLQLPkcddfgfijijjukftskmvgos,1,10
kLLLzPQkcddfghjhjijigfbrrifqww,1,10
kLLLMPPkbdefhgiijijmkdmsoudmik,1,10
kLLLLMQkcdegghihijjhstwkbsjvaj,1,10
kLvLAAQkcfhehggiijjillewkbbfxj,1,10
kLLLLMQkbceighghijjpjenwwcwcen,1,10
kLLLMLQkcdgefjhiiijhshpghoaixj,1,10
kLLLAPMkcddfghiijjjtgfaghqennf,0,10
kLLLMwQkcddfgfijjijhvcanfqgfor,0,10
kLLLMLQkbddggjhijijhofejlelgvj,0,10
kLLvPAQkacgghfiijjjnkkjekxtnnw,0,10
kLvAAPPkbefegihhijjamldahfcdsj,0,10
kLLLPAPkbedhfhgiijjaafxvjbdpjn,0,10
kLLzLAQkaceifgjhjijnkxukurgcnf,0,10
iLLMLQcbcdffgghhajgdfbfln,0,8
kLLLAwQkcddfghjiijjtgfagapuwbb,0,10
kLLvPAQkacgghfjijijnkkjekatjrf,0,10
kLALvPQkcbbehjjjiiihqnooappfof,0,10
kLLLwQAkbedfigiihjjaafiaotljxj,0,10
kLLLLPQkbdfihjghjijmkmbslovpkh,1,10
kLLLMLQkbedghjgjiijhhbhbtgtmpv,1,10
kLLMvPQkbcdeighjjijebbmmnaxbfc,1,10
kLLLvQQkcddghjgjiijtgfovavqupo,1,10
kLLLMPMkbcfgfihijjjebpakevdalo,1,10
kLLLLMQkbdfhihjijhjtvtwjgpgavm,1,10
kLvLwQQkaefjghiijjijxgmckilmmq,1,10
kLLLMPMkcedfhgiijijiifiokihuun,1,10
kLLvMMQkbdghigjhiijmkarnoevkrn,1,10
kLLLzQPkaceffihhjjjnkgokalqvjs,1,10
kLLLLPQkacefjihjhijnkggtulhqng,1,10
kLLvMPQkacfgjhjhiijnkfjeaitmfb,1,10
kLLvLQQkcdehigjhjijhsnwvrsgbno,1,10
kLLLLPQkbedhjfjhiijxxvchjqnvnq,1,10
kLLLMzQkcdgehiijjhjqoqiwhtqakb,1,10
kLLwMLQkcedggihijijtqvavmgpehj,1,10
kLLzMzQkacefhgjiijjnkxfuavrrsn,1,10
kLLzLAQkacehfijhijjjkxacmgowcc,1,10
kLvLLQQkaeehhjgijijjxorkpfamxo,1,10
kLvLAAQkbdghgfhjjjilfqqjfsqhon,1,10
kLvLLQQkaehjfihjjiijxcabtsquup,1,10
kLLvLQQkacgfhhjhjijnkjrdqqqmjb,1,10
kLLLMMPkccfeghijijjubadjfdtdun,1,10
kLLvMAQkacegiighjjjjkcjdtvtvgo,1,10
kLLLLPQkccffgjiihjjdwarjtnorip,1,10
kLvLAMQkaehggihjjijjxkjjarapio,1,10
kLvLAPQkcefhghgiijjddtuowokjuj,1,10
kLLLLPQkccegihjjhijdwtskwilsct,1,10
kLLAvAQkbdedigjjiijlvxgifueror,1,10
kLLLAzQkccgffgijjijdwxpqrqfknk,1,10
kLvALMQkbfeihjiihjjmqdpsdgrcdd,1,10
kLLLPLQkcddgggjiijjtgfgncxdqaw,1,10
kLLLLPQkccegjhgjiijpvmglsvlcjh,1,10
kLLLLQAkbdefighhijjmvavbovvvhk,1,10
kLLwLQPkcddhgihjiijhsvrvanxaqj,1,10
kLLLwQAkcedeghiihjjiispwjilnkw,1,10
kLLLLQAkcedifgghijjiifofknwrmk,1,10
kLLLMPPkcedefiihijjiifqfxpfuhs,1,10
kLvLAAQkbhfhghgjjijxdamvkcaash,1,10
kLLLALQkbegfghjihjjxxdmmbphsrf,1,10
kLLLvQQkcceghjijijidwdnnlslvdc,1,10
kLLAvPQkbdedgijjiijlvxgfelprob,1,10
kLLLMAPkcdeehhgijjjikhhnsslpsg,1,10
kLLLvQQkcddfhgijjijtgfwvvaqepo,1,10
kLLLAzQkcddfghjjiijukftjhmxjbw,1,10
kLLLLMQkcefhgihjjijiqhdnbbaifd,1,10
kLLLLMQkbcffgjhjiijdfpgflcacju,1,10
kLvPLAQkafefhgijjijnqxfeomqvjf,1,10
kLLLLMQkccggiijhhijdwaswghggcw,1,10
kLLwLAQkcddghihjiijhsvsraoxhqk,1,10
kLLLwQAkcedeghiihjjiifpwoilknw,1,10
kLLLLQAkcedifgghijjiifoskngrmk,1,10
kLLLMPPkcdeehghiijjikhhnokhick,1,10
kLLLLMQkccfgghijhjjdwavrrjqrep,1,10
kLLzLPQkacehijgjijinkxldtusvgo,1,10
kLLLMPPkcdeefhhiijjifhefffdmgs,1,10
kLLvAPQkbdgfhgiijijmvhtsoeiqas,1,10
kLvLLQQkaeghijgiijjjxkrhdvhqtu,1,10
kLLvLQQkacghihjgjijnkjdpqqjmob,1,10
kLLvLQQkacgihihjjjinkjhhepedmo,1,10
kLLLLAQkcefggiihijjihdqwgbwgqj,1,10
kLLLLPQkceffjhiijhjiqheqkbkljp,1,10
kLLvAMQkcdfeghijijjigamokuqplc,1,10
kLLvQwQkcdhfgfijijjdkmtjkqpxhf,1,10
kLvLPAQkcfefihihjjjdqdekovoaxu,1,10
kLLLLPQkcdeihgihjjjdfibvofrqla,1,10
kLLALLQkccedgjhijijivesrmmlssr,1,10
