id,oriented,tetrahedra
fLAMcbbcdeedhwqxr,1,5
gLAMPaccdeffjgnqhxj,1,6
gLALQbcbeeffhxjgbaj,1,6
gLLPQcdcefffqsnelwn,1,6
gLAMPbbcdeffdhgxxqw,1,6
hLLAAkacdeefggjkaiwhhk,1,7
hLALPkcbbegffghqnwxarj,1,7
fLAMcaccdeensnqqn,1,5
hLLAAkbcedefggtsaflohn,1,7
hLAMzkaccdefggngbqhhqn,1,7
iLLPLQcacefgfghhjklgaoiwr,1,8
iLLMLQcacdfgfghhjkafpnafr,1,8
iLLzQMccdcefgghhhknqkkkhw,1,8
iLLAMMccedefgfhhquvdxjkqw,1,8
iLLPAMccdcfefghhqsnmiwxxk,1,8
iLLLQMcaeedffghhnliwrrjqw,1,8
gLLAQacedeffnktiklj,1,6
gLLAQcceeefflniqmhj,1,6
gLLQPacdedffnsxanxr,1,6
iLLMMPcbceefgghhtsauanclj,1,8
iLLAAMcbcedffghhtsafhgpxj,1,8
jLLLwQQaeegfgiihinqxfcfmtww,1,9
jLLMLAQaceffhhihinktcjtmqbj,1,9
jLLAzQPbdedfhghiilvagfarmrk,1,9
jLLPzQPacdffghhiinkmovltcdr,1,9
jLvLAQQaefhhfigiijxbrrkawha,1,9
jLLPPPPacdefgghiinkmbflebhr,1,9
jLLAzPQcdecghghiihkhnwmjmbw,1,9
jLLMvQQacedihhihinktrtxmnfk,1,9
jLLALQPbdceghggiievnlvqcgqn,1,9
jLLAwQPbdeefhggiievdhaukrhj,1,9
jLvPMMQccgehghihiqjaxwfghrk,1,9
jLLPzQPcdcfgfghiihsravfoahk,1,9
jLLPLQPcdcfgghgiihsrajfxoxj,1,9
jLLMzMQacedfhhihinktrjtrnor,1,9
jLLzPMQcdcehghgiiqsnwbnsrpw,1,9
hLLAMkbdedffgglvugafhj,1,7
hLLMMkbcdeffggebbptjik,1,7
hLLAMkcedefgfgqpvtxgjs,1,7
hLLPAkbddeefggdwsilwhn,1,7
hLLLQkaeedffggjlisrrss,1,7
hLLAMkbddefgfglvnuaqrw,1,7
jLLAzMQbdedghgiiilvagnaotsn,1,9
jLLLLQQbcghgfhihitsmwrswgck,0,9
jLLALAQceddfghhiitqvnjfedwj,1,9
jLLAMPPbcedfgghiitsafhxxohj,1,9
kLLALLQkbdceghjhjjievnlviaussj,1,10
kLLLLAQkccfefhihijjtnawsfnjwan,1,10
kLLvAPQkaefhgjgjijijxwwneoxalr,1,10
kLLwPQzkacefhgghijjnktsdxulqhw,1,10
kLLLLQAkacgihfigijjnkcqqkakhqj,1,10
kLvAMQzkaefeghghijjnlqbwqwqbxn,1,10
kLLAzPAkbdedghgiijjlvagnioavtj,1,10
kLLAzAAkbdedfghhijjlvagfcixrxk,1,10
kLLLAPAkcddfghgiijjukftjegtsak,1,10
kLLMwMAkacdefghiijjjkacktwgfuw,1,10
kLvLAQMkaeehhhgiijjjxsrrccidbr,0,10
kLLvMAQkaceifhgjjijjkcdkanhrng,1,10
kLvALPQkadffihgjjijjaqjqqnqcbc,0,10
kLLvAMQkaefhhijgijjnqggjqesxeo,1,10
kLLPLMMkcdcfgfihijjhsracfauohj,1,10
kLLPvPQkcdcfigjijhjhsratoatnnb,1,10
