id,oriented,tetrahedra
fLAMcbbcdeedhrxqw,1,5
gLALQbcbeeffxhjcras,1,6
gLALQbcbeeffhxjnkqj,1,6
gLLPQcdcefffqsnmlkj,1,6
gLAMPbbcdeffdhgqqxr,1,6
hLLAAkaedeefggnmaekkxr,1,7
hLALPkbcbefgfghxjgaqnw,1,7
hLLMAkaddeefggnuadjnhk,1,7
hLLAAkcddeefgglcvatnxj,1,7
hLLAAkcedefeggthvaxaqw,1,7
hLLPAkcdcfefggqsnaislk,1,7
hLAMzkaccdefggngbqqqhk,1,7
iLLPLQcacdefgghhnkmbklpcs,1,8
iLLLAQccddfgfhghugwasfukr,1,8
iLLMLQcccdffhgghqvvakqcsn,1,8
iLLMLQccbefgfghhpjahbcbnk,1,8
iLLLAQcbcfgehgghdfmauqjvw,1,8
iLLzAQccdcegfghhqsnqsnklj,1,8
iLLPwQcceeffhhhgthadabokn,1,8
iLLAAMcbdeeffghhevdpaluhj,1,8
iLLMAMcacdeffghhnsacvkqqn,1,8
iLvAQMcadeeffghhjahsrggxr,1,8
jLLLAQPcddfghhgiitgfagmhvsj,1,9
jLLLMPQcddfeghiiitgfajvalnb,1,9
jLLALPQcdcegghihihsjhbouern,1,9
jLLLLQQbdeghfgiiitvisnjjssc,1,9
jLLMLMQaceffgihhinktbjhsbkk,1,9
jLLLAAQbcgfehgihidfpuuqrqwk,1,9
jLLLAQPbcegffhgiidfqahkanxr,1,9
jLLzQLQcdcegfihhihsnqffahks,1,9
jLLALPQbdeegghhiievdpnfswqj,1,9
jLLALPQcedegighhituvpvqjcsw,1,9
jLLLMQPbdfffgghiixviigbowqw,1,9
jLLLMQPcdefhhfhiilruqkjkkxr,1,9
hLLMAkacdfefggnsasjsaj,1,7
jLLwMQPacdggfghiijsxxxkxqhn,1,9
jLLMvQQacedihghiinktrtxmkkb,1,9
jLvAAAQbeffghfihiedxaxfbqkw,1,9
kLLAvMQkcdceghjihjjhsjhbuaarvb,1,10
kLLLLMQkccggfjhhiijpvqgwxbrkkj,1,10
kLLLLQMkbcfhfgigijjebpsrbkkcuj,1,10
kLLMwAPkaceefhgijijnktfstlitnw,1,10
kLLMzMAkacdefghhijjnkackajcvqw,1,10
kLLLAQzkacfeehghijjnkgcgmvdoqw,1,10
kLLALwQkcdeegghjjjilgpugsghpkn,1,10
kLLwzQMkaceehiiihjjnktwtxefwxj,1,10
kLLALMPkcdeefghijijlgpuocgmpsj,1,10
kLvALAQkcecigigjhijhmnwjcwpscr,1,10
kLLMLPPkbdefhghjiijxvatrcnqirw,1,10
kLvALQPkcefgeihiijjpxxdjrkskmj,1,10
kLvALMQkbefihhgjhijtatqsvjajnj,1,10
kLLMLQzkacdegghhijjnkachaxmahj,1,10
iLLMMMcbceefgghhdfapxcfxw,0,8
iLLLQPccdefggfhhqruhivrdj,1,8
kLLLMPAkccfghfgihjjqfaawfwpkxr,1,10
kLLMvPQkacedhjijhijnktrxerwjgg,1,10
kLLLALQkadeefjihijjjuxvcaexffv,1,10
kLLLAPAkbcggehighjjtsqataavnqw,1,10
kLvALQPkadfgifijhijjalotraxjbr,1,10
jLLMLPQbcdehhgihiebbmxlrlen,0,9
jLLALMQacdefhihiinsaahbljtl,0,9
jLvAMMQbeffehghiihapllskjqk,1,9
jLLLAQPcdffgehhiilcqalnlasj,1,9
kLLLLQAkbdffighhijjtvhgjcrvghk,0,10
kLLAMLMkbdedfghiijjevdslxggbqw,0,10
iLLAPPcacdegfhhhnsaahhhah,1,8
kLLAPLMkbcedfghiijjasxfjjhhsan,0,10
kLLLPPMkccdghhigjjjubngbnhbmoj,1,10
kLLLLQMkacdhfhgijjjnkrtkxvxnvc,1,10
kLLLPwQkcdeggfhjiijhcltgfkahrs,1,10
kLLLALQkccdfghjhijjubnhgmemcfg,1,10
kLLLLQPkacdhfhiihjjnkrtkxtxmwn,1,10
kLLLAPPkacdfgihjjijnkrwjtpebnr,1,10
jLLAwAQacdefghiiijsxxxkkqaq,1,9
jLLALPQacdefgihiinsaahbmjtm,0,9
kLLAwMPkacdefgijjijjsxxxktpumb,0,10
iLLMMPcbceefgghhdfapxcoxw,0,8
jLLALAQacdegghiiijsxxlrkttd,0,9
hLLzQkacefefggnkxnnkaj,1,7
jLLAzPQccdeghghiiakvhcqnhvj,0,9
iLLAPPcacdefgghhjsxxdlfxj,1,8
kLLAPLMkccdegfihijjakvhckuuvqn,0,10
iLLzQMcaceeffghhnsackvqqn,1,8
kLLLMwQkbedefhhiijjaafdbnotaok,0,10
jLLAPPPacdegfghiijsxxaakhqn,1,9
hLLAAkbdceefggerrlerxr,1,7
