id,oriented,tetrahedra
fLAMcbbcdeedhwhxj,1,5
gLAMPaccdeffjgnqqxr,1,6
gLALQbcbeeffxhjcvaw,1,6
gLLPQcdcefffqsnpunw,1,6
gLAMPbbcdeffdhgxhqn,1,6
hLLAAkacdeefggjkaiwahs,1,7
hLALPkcbbegffghqnkahsn,1,7
fLAMcaccdeensnaqw,1,5
hLLAAkbcedefggtsaflshs,1,7
hLLAAkbdedffggdwpgabmn,1,7
hLAMzkaccdefggngbqhxqw,1,7
iLLMLQcaceffhhghnktrjtlsw,1,8
iLLMPMcacdegfghhjkaopnajj,1,8
iLLzQMccdcegfghhhonqjfoar,1,8
iLLAMMccedefgfhhquvdxskqn,1,8
iLLPAMccdcfefghhqsndtnhhr,1,8
iLLLQMcaeedffghhnliwrrsqn,1,8
gLLAQaedeeffjmuefsn,1,6
gLLAQbceeefftsxlihj,1,6
gLLPQcdcfeefhcnhawr,1,6
iLLLAQccdeffgghhdstatkkxk,1,8
iLLLQMcbdegefghhdwmpljodr,1,8
iLLAAMcbcedffghhtsafhgixr,1,8
jLvAMPQadfggfhhiijaqggbaawj,1,9
jLLAzMQacedfhhhiinkxmunvcaj,1,9
jLLPPMPacdefgghiinkmbcxafhw,1,9
jLLwLQQacegfgiihijkaanuurww,1,9
jLLLAPQcddfghghiitgfaghvqrj,1,9
jLLMvQQacefiihghinktflxmkbj,1,9
jLLMLAQaceffhhihinktfjmmxbk,1,9
jLLMLAQaceehghhiijkaglxxjfj,1,9
jLLMwQPacefehghiinktjotlcij,1,9
jLLAzMQcedcghghiiqqbnjmkmfj,1,9
jLLALQPbdceghggiievnlvacgqw,1,9
jLLAwQPbdeefhggiievdhamkrhk,1,9
jLvPMAQccefhfhihiqnxhjcoxok,1,9
jLLPzQPcdcfgfghiihsravfohhs,1,9
jLLPLQPcdcfgghgiihsrajfaoxr,1,9
jLLzPMQcdcehghgiiqsnngksnps,1,9
hLLLQkaeegffggnlibsbog,1,7
hLLLQkadeefgggjuxvcnbn,1,7
hLLAPkacedfgggnklmutgn,1,7
hLLAAkbdceffgghgnxpgxw,1,7
hLLPMkacedffggnkxrwkmr,1,7
hLLLQkbdeeggfgdwiixsjj,1,7
hLLPAkbddeefggdwsilrhs,1,7
hLLPMkacedffggjkisrrar,1,7
hLLAMkbddefgfglvnlaqrn,1,7
jLLLAMQcddfghiihitgfagmidqn,1,9
jLLLMMQbdfgghghiidwtpwwooar,1,9
jLLLMMQbdfgghghiidwtpbwjoar,1,9
jLLALPQceddhghihitqvnpfeudw,1,9
jLLALAQbcedfghhiitsxjggqusk,1,9
jLLLAPQccfeghghiilnammmgdrw,1,9
jLvAAQPbefeghghiitalxawnkqj,1,9
jLLAMPPbcedfgghiitsafhxxshk,1,9
kLvLAQPkaeghifghijjnxgktbvsesn,1,10
kLLLAPPkacfegihhijjjkgcktiinoj,1,10
kLvAMMAkaefgfgihijjnxqofjqacdn,1,10
kLLAPLMkbdcefghiijjevnlgvatbmk,1,10
kLLAzLQkacedfhhiijjnkxmuwjlunj,1,10
kLLMvQMkacefhhiijijnktrxaxghrw,1,10
kLLALwQkcedcfhihijjqlvjcxhqbwr,1,10
kLLLzQAkacfghfiiijjnkvvhkqxmhw,1,10
kLvLAQAkaehghfgihjjjxwggbwabxn,1,10
kLLMLMPkaceefhihijjjkagnekbnes,1,10
kLLLMLQkcddfgjhjjiitgfaniadfvj,1,10
kLLLMPAkcddfghghijjtgfandvavqj,1,10
kLLMLPPkaceehhgijjjjkaglxewxem,1,10
kLLLQLMkcddfgfihijjukftjkmesuk,1,10
kLLALLQkacedhghiijjnktllbrxqrn,1,10
kLLLLMQkccfhgghjiijdwacwfnhcww,1,10
kLLLMPPkccfegihihjjdwamwhjdjbn,1,10
kLLPLMPkcdcfhfihijjhsraefauoww,1,10
kLLAzAAkacedfghhijjnkimuookaqs,1,10
kLLALPPkcedcfhihijjhuvrghptvjw,1,10
kLLzLQPkaceigighjijnkxuahtorbk,1,10
kLLLPMMkacefgfhiijjnkgojkuuwqj,1,10
kLLMLMMkacdehhgiijjjkacqumonhs,1,10
kLLAzMAkcedcgghhijjqqbnjgeifqj,1,10
kLLAwMMkcedcfghiijjqqbnqhnnnqs,1,10
kLLLPPPkccegfihjhijubedwxjqnjw,1,10
kLLLLQPkacfihfhijijjkgiakxtxbj,1,10
kLLALMMkcedeggihjijluvpvsqcqnj,1,10
kLLLzMQkcefgehihjijuqtqnskcqsn,1,10
kLvAAAMkbeffghfijijedxaaobxhnk,1,10
kLvzMPQkccfhjighiijhrhgqrbvvow,1,10
kLvAAAMkbeffghfijijedmahfbqxnk,1,10
kLLPLPAkcdcfgiiihjjhsraraqqqxr,1,10
kLLwLQMkacegiiggijjnktmtludwqj,1,10
kLvAALQkadfgejhihijnxqccqaqnjn,1,10
iLLLAQcbcfefghhhdfqmmwpxe,1,8
iLLAwQcbdedfghhhlvugaheog,1,8
iLLALQcbdcefghhhhgnxckmdh,1,8
iLLMLQcbcdefghghebbmwwpjn,1,8
iLLLPQcadgfgfhhhjulcwcuae,1,8
iLLALQccddeghfhhucvuodwup,1,8
iLLLMQcbcgdgfhghebhjsglgw,1,8
iLvLQQcaegfhhghgjxrronckc,1,8
