target,source,label
gLALQbcbeeffhxjgsan,fLAMcbbcdeedhrhqn,Face: 10
gLALQbcbeeffxhjsjhr,fLAMcbbcdeedhrhqn,Face: 9
gLLPQcdcefffqsnptjr,fLAMcbbcdeedhrhqn,Face: 8
gLAMPbbcdeffdhgqhxj,fLAMcbbcdeedhrhqn,Face: 7
hLLAAkaedeefggnmaeknxj,gLALQbcbeeffhxjgsan,Face: 11
hLALPkbcbegffgxhjchasn,gLALQbcbeeffhxjgsan,Face: 3
hLLMAkaddeefggnuadjvhs,gLALQbcbeeffxhjsjhr,Face: 11
hLLAAkcddeefgglcvatkxr,gLLPQcdcefffqsnptjr,Face: 12
hLLAAkcedefeggthvahaqn,gLLPQcdcefffqsnptjr,Face: 11
hLLPAkcdcfefggqsniqvpj,gLLPQcdcefffqsnptjr,Face: 10
hLLAAkbdedffggerxgactw,gLLPQcdcefffqsnptjr,Face: 5
hLAMzkaccdefggngbqqxhs,gLAMPbbcdeffdhgqhxj,Face: 1
iLLLMQcaeefgghghjligvoegs,hLLAAkaedeefggnmaeknxj,Face: 14
iLLLMQcbcdffgghhlrrtnrvmn,hLLAAkaedeefggnmaeknxj,Face: 11
iLLMPMcbdedfgfhhhfafoorhn,hLLAAkaedeefggnmaeknxj,Face: 9
iLLLAQcbcfgehgghdfmalqjvn,hLLMAkaddeefggnuadjvhs,Face: 9
iLLPPPccdcfegghhqsnargsps,hLLMAkaddeefggnuadjvhs,Face: 5
iLLLPQcbdehfhhgghgpubojss,hLLAAkcddeefgglcvatkxr,Face: 11
iLLMPMcbdedfgfhhhfafoorhn,hLLAAkcddeefgglcvatkxr,Face: 6
iLLAPPcccdefgghhqvvhsfwij,hLLAAkcedefeggthvahaqn,Face: 11
iLLLAQcbcfgehgghdfmalqjvn,hLLAAkcedefeggthvahaqn,Face: 6
iLLAAMcbdeeffghhevdpalmhk,hLLAAkcedefeggthvahaqn,Face: 5
iLLMLQcaceffgghhnktbjhebk,hLLPAkcdcfefggqsniqvpj,Face: 11
iLLMAMcacdeffghhnsacvkaqw,hLLPAkcdcfefggqsniqvpj,Face: 6
iLvAQMcadeeffghhjahsrgrxj,hLLPAkcdcfefggqsniqvpj,Face: 5
iLLLPQcbdehfhhgghgpubojss,hLLAAkbdedffggerxgactw,Face: 14
iLLAPPcccdefgghhqvvhsfwij,hLLAAkbdedffggerxgactw,Face: 13
iLLMLQcaceffgghhnktbjhebk,hLLAAkbdedffggerxgactw,Face: 12
jLLLLQQaeegghhiiijlivoalltg,iLLLMQcaeefgghghjligvoegs,Face: 15
jLvLQMQaefhghgihijxbrwrwark,iLLLMQcaeefgghghjligvoegs,Face: 13
jLLLzQQaeefghghiinmxnbaoenn,iLLLMQcaeefgghghjligvoegs,Face: 5
jLLLAMQcddfghghiitgfagivdbj,iLLLMQcbcdffgghhlrrtnrvmn,Face: 14
jLLLLQQbddghfhhiixjfvnkbber,iLLLMQcbcdffgghhlrrtnrvmn,Face: 13
jLLAwQPaedefhghiijlxmcipgqw,iLLLMQcbcdffgghhlrrtnrvmn,Face: 4
hLLAAkcddeefgglcvatkxr,iLLMPMcbdedfgfhhhfafoorhn,Edge: 12
jLLwPQPaceghgghiinktquemmow,iLLMPMcbdedfgfhhhfafoorhn,Face: 16
jLLLLQQbddghfhhiixjfvnkbber,iLLMPMcbdedfgfhhhfafoorhn,Face: 13
hLLAAkcedefeggthvahaqn,iLLLAQcbcfgehgghdfmalqjvn,Edge: 12
jLLAPLQacedfghiiinkumuautbn,iLLLAQcbcfgehgghdfmalqjvn,Face: 16
jLLLAAQbcgfehgihidfpulqrqnk,iLLLAQcbcfgehgghdfmalqjvn,Face: 9
jLLLAAQbcgfehgihidfpulqrqnk,iLLPPPccdcfegghhqsnargsps,Face: 11
jLLLAQPbcegffhgiidfqahkxnxj,iLLPPPccdcfegghhqsnargsps,Face: 10
jLvAMQPadfdgfghiijxxrgbraxr,iLLPPPccdcfegghhqsnargsps,Face: 5
hLLAAkbdedffggerxgactw,iLLLPQcbdehfhhgghgpubojss,Edge: 10
jLLwPQPaceghgghiinktquemmow,iLLLPQcbdehfhhgghgpubojss,Face: 12
