id,oriented,tetrahedra
fLAMcbbcdeedhrhqn,1,5
gLALQbcbeeffhxjgsan,1,6
gLALQbcbeeffxhjsjhr,1,6
gLLPQcdcefffqsnptjr,1,6
gLAMPbbcdeffdhgqhxj,1,6
hLLAAkaedeefggnmaeknxj,1,7
hLALPkbcbegffgxhjchasn,1,7
hLLMAkaddeefggnuadjvhs,1,7
hLLAAkcddeefgglcvatkxr,1,7
hLLAAkcedefeggthvahaqn,1,7
hLLPAkcdcfefggqsniqvpj,1,7
hLLAAkbdedffggerxgactw,1,7
hLAMzkaccdefggngbqqxhs,1,7
iLLLMQcaeefgghghjligvoegs,1,8
iLLLMQcbcdffgghhlrrtnrvmn,1,8
iLLMPMcbdedfgfhhhfafoorhn,1,8
iLLLAQcbcfgehgghdfmalqjvn,1,8
iLLPPPccdcfegghhqsnargsps,1,8
iLLLPQcbdehfhhgghgpubojss,1,8
iLLAPPcccdefgghhqvvhsfwij,1,8
iLLAAMcbdeeffghhevdpalmhk,1,8
iLLMLQcaceffgghhnktbjhebk,1,8
iLLMAMcacdeffghhnsacvkaqw,1,8
iLvAQMcadeeffghhjahsrgrxj,1,8
jLLLLQQaeegghhiiijlivoalltg,1,9
jLvLQMQaefhghgihijxbrwrwark,1,9
jLLLzQQaeefghghiinmxnbaoenn,1,9
jLLLAMQcddfghghiitgfagivdbj,1,9
jLLLLQQbddghfhhiixjfvnkbber,1,9
jLLAwQPaedefhghiijlxmcipgqw,1,9
jLLwPQPaceghgghiinktquemmow,1,9
jLLAPLQacedfghiiinkumuautbn,1,9
jLLLAAQbcgfehgihidfpulqrqnk,1,9
jLLLAQPbcegffhgiidfqahkxnxj,1,9
jLvAMQPadfdgfghiijxxrgbraxr,1,9
jLLAwQPcddefghhiitrvaltpnpw,1,9
jLLALMQcedeggihhituvpvsqcsn,1,9
jLLLMQPbdfffgghiixviigbogqn,1,9
jLLLMAQcdefhhfhiilruqkjknxj,1,9
jLLMLQPacdefghhiinsacbapjpk,1,9
jLLwwQQacefggiihinktfepxfks,1,9
jLLwMQPacdggfghiijsxxxkxxhs,1,9
jLvAAAQbeffghfihiedxahfbqkn,1,9
kLLLLMQkbcfgihjhjjiebpcfsqfaij,1,10
kLLLzMQkaeefggijijjnmxnboqggoo,1,10
kLvLAMQkaegfhhiihjjjxrsrklprnk,1,10
kLvLAPQkaehehgjiiijjxvckwapeak,1,10
kLLALMMkaedefgihijjjlxmnxsooxw,1,10
kLLLLPQkbddhijihgjjhffraiivrxg,1,10
kLLAwwQkaedefhhijjjjlxmcinvipa,1,10
kLLLPLQkacfggjjhjiinkwkjpttccw,1,10
kLLPLPAkacefhgiihjjnkxwuhtobhn,1,10
kLLLPLQkacfggiihjijnkwkjtptccw,1,10
kLLAPLAkacedgfhiijjnktepxedwxj,1,10
kLLLMMMkceffgehiijjpqmapnwmank,1,10
kLLLAQzkacfeehghijjnkgcgmvdfqn,1,10
iLLzPQcaceefghghnkxnkxarj,1,8
kLLAvMQkacedghiiijjnkumfbwjgaj,1,10
kLLAvPQkacedihiijjjnkumwbwjuep,1,10
kLLwzMQkacefhgihjjjnkuktqjrkog,1,10
kLLAzLQkacedghiiijjnktepbelqak,1,10
kLLvAMQkcehgehgijijpqddnkrfpsn,1,10
kLLMLPPkbdefhghjiijxvatrnnqirn,1,10
kLvALQPkcfeghifiijjpxadnbrskmj,1,10
kLvALQMkcecighgijijqmnwjsjfqws,1,10
kLLLwQMkceffehihijjpqmankgbcej,1,10
kLLMwzQkaceefihijijnktfsxjfpgk,1,10
kLLALMMkacdefhhiijjnsaaagvtewk,1,10
kLLwLQMkacegihghijjnktlhddebdj,1,10
kLLvAAQkacegfhihijjnkrkoxiqjok,1,10
kLLLMPAkccfghfgihjjqfaawfwikxj,1,10
kLLLAPAkbcggehighjjtsqataqvnqn,1,10
kLvALPQkadfgjhghiijjaijxmfibjj,1,10
jLLLAQPacfeeghhiinkgcgshhoj,1,9
kLLLPPPkacegghiijijnkkkjttecwj,1,10
kLLLALQkacfgehhjjijnkgsjpphnjk,1,10
