id,oriented,tetrahedra
fLAMcbbcdeedhwqxk,1,5
gLALQbcbeeffhxwgbaj,1,6
gLLPQcdcefffqsjelwn,1,6
fLAMcaccdeensnqqj,1,5
hLLAAkbcedefggtsaflohr,1,7
hLLPAkcdcfefggqsjatnhw,1,7
gLLAQacedeffjktiklj,1,6
gLLAQcceeefflniqmhw,1,6
iLLMMPcbceefgghhtsauancln,1,8
iLLAAMcbcedffghhtsafhgpxn,1,8
iLLMAMcacdeffghhjkacvkqqj,1,8
iLLMPMcacdeffghhjkacbwmhw,1,8
hLLAMkbdedffggtvugafhj,0,7
hLLMMkbcdeffggebbptjir,1,7
hLLAMkcedefgfgqpvtxgjw,1,7
hLLAMkbdedfgfgdvawxxkk,1,7
hLLPAkbddeefggdwsilwhr,1,7
jLLLAMQcddffghiiilgfaobtlrk,1,9
jLLAzMQbdedghgiiitvagnaotsn,1,9
jLLALAQceddfghhiitqvnjfedww,1,9
jLLAzMQcedcgghhiiqqkjjgeifj,1,9
jLLAMPPbcedfgghiitsafhxxohw,1,9
hLLMAkacdfefggjkasjsak,1,7
jLvAQMPcdcefgghiiqvjqnvwqqs,1,9
jLLLLQQacfggfiihijkgrbkllsw,1,9
jLLPMMPcecfegghiiqqjaxnkhhr,1,9
iLLLAQccddfghghhlgfastbid,0,8
iLLPLQcaedefghhhjqaxcumfv,0,8
iLLLAQcbddggfhghasfujcpow,0,8
iLLAwQcbdedfhhghevislixrk,1,8
iLvLQQcaefghhfghnxkcfnbwn,1,8
iLLLAQcbcfgfehhhebpaekutx,1,8
iLLPLQcccdegfghhljnejnjds,1,8
iLLMMMcacdeffghhjkacvkqqj,1,8
iLLLMQcbddfhfgghxrfxxojkk,1,8
iLLLQMccddefgghhpkrdcvrlj,1,8
iLLALQccedcfhghhhhnrrtntq,1,8
kLLALzQkceddfhjiijjtqvnjedacbc,1,10
kLLLMPMkcddffhhijjjpkrtkqatscw,1,10
kLLLLQPkccfgihghjjjlnagjbcjiap,1,10
kLLALMPkceddfghijjjtqvnjfeffcf,1,10
kLLLwPQkcddfhghjijjpkrtqkamjsk,1,10
kLLPLPMkacdfghhiijjjkmoalunnhw,1,10
kLLALLQkbcedhghjjijtsafxnxisrn,1,10
kLLvLQQkcdgihihhjijqgsgsvscwbn,1,10
kLLALLQkcedchgihijjqqkjqkaxcnj,1,10
kLLAMLMkbcedfgiijijtsxjhxwghnr,1,10
iLLMMMcbceefgghhebdxxfbxs,1,8
iLLPPMcaceeffghhjkxsboaxk,1,8
kLLAzAAkcedcfhghijjqqvjjmcloqs,1,10
kLvALPQkadfhfiihhjjjaqebaalmwn,1,10
kLLwzQAkacefgiiihjjjktvlxhvohw,1,10
kLLLLQAkcegfehghijjhhhmrvrfwqj,1,10
jLLALMQbcedfgihiiebdkkguuon,0,9
jLLLMPQbdefhighiilvppjefkpm,0,9
jLLLAPQbddfghgiiiajfpjpotcb,0,9
jLLLLQQbcffgfhiiidftgfbbgco,0,9
jLLLPMQaeegffhiiijqxckcmmjj,0,9
hLLAMkcddeffgghwwahfhs,0,7
jLLLAPQbedgehghiiaafltlghjn,0,9
hLLMAkbeefefgghhaimmfj,1,7
jLLALPQbdedfgihhievisrspurs,1,9
jLLAvQQbdedihgiiheviseisptr,1,9
jLLLLQQadeghgihiinmxrinhtuo,1,9
jLLLPPQccfgghihiiubiujkljia,1,9
jLLLLQQaceifighhijkjpktveqv,1,9
jLLvQMQaefghhgiiinivrvjnduu,1,9
jLLLAMQceefeghiiipqlaewvtai,1,9
jLLLAPQaefgeihihijtdgjphplv,1,9
hLLAPkbddefgfgxrrxbbjs,1,7
jLLLAPQcddfghigiilgfagmijcw,1,9
jLLLAPQbdeefgihhihoiidoeerr,1,9
hLLMMkacdeffggjkqvkgqj,1,7
jLvAQPPcdcefgghiiqvjhwwwqqs,1,9
jLLALQPcedcfghhiihhnrromdbr,1,9
jLLLMAQcddfhfgihihsfahffhww,1,9
jLLAzMQbdedghiihitvagnaleen,1,9
jLLLAPQcddefhihiipkrdcedpic,1,9
jLLAzAQceddghghiitqvnfmfebw,1,9
jLLAMMPbcedfgghiitsafhxqshw,1,9
jLLMPMPbcdegfghiidfbhwvruhr,1,9
jLLALMQacdefhihiijkaahbljal,1,9
jLLPLQPcdcfgfhhiihsranfxxgs,1,9
jLLLPQPacfgghfgiijkvvjhkjhw,1,9
iLLAPPcbcdefghhhdfbmwjxml,0,8
kLLPvAQkbcefhgjijijdfmpjsumpxo,0,10
kLLAwMMkbdedfhihjjjevislikktii,0,10
kLLAzMMkbdedghgijjjevisvispdqt,0,10
kLLLPLQkbddgfhjijijajfjsoatuts,0,10
kLvAMLQkbeffghjijijtulatgudidf,0,10
kvLAPwQkdefgfhjijijrwaluiqranp,0,10
kLLzLPQkccdhijhhjijpvnbhdfgqhw,0,10
iLLALQcbddehgghhtvnlqwwlu,0,8
kLLLAMPkbedgehgjijjaafltegbnwc,0,10
kLLPvMQkccdeihjhjijunvmmammpvf,0,10
kLLLALQkbcfgfhihjjjebpaeupxvkk,0,10
kLLLzMQkbcgehijijijdnudfxxxdpi,0,10
kLLALMAkbeedfhihijjaapwbnxcqnj,0,10
kLLLMMAkbedgffhiijjaafisscdmbj,0,10
iLLLMQcbedegfghhxxfuvrojr,1,8
iLLLAQcbegegfghhhhqmqgooj,1,8
iLLLAQcbcgdfhhghtshwgqhvi,1,8
