id,oriented,tetrahedra
fLAMcbbcdeedhwhhw,1,5
gLAMPaccdeffjgnqqqs,1,6
gLALQbcbeeffhhwcvaw,1,6
gLLPQcdcefffhsrpunw,1,6
gLAMPbbcdeffdhgxhhr,1,6
hLLAAkacdeefggjkaiwaxn,1,7
hLALPkcbbegffghhrkahsn,1,7
fLAMcaccdeensnaxk,1,5
hLLAAkbcedefggtsaflsxn,1,7
hLLAAkbdedffggdwpgablj,1,7
hLAMzkaccdefggngbqhxxk,1,7
iLLMPMcacdegfghhjkaopnasw,1,8
iLLzQMccdcegfghhqojqjfoar,1,8
iLLAMMccedefgfhhquvdxskhr,1,8
iLLPAMccdcfefghhhsrdtnhhr,1,8
iLLLQMcaeedffghhnliwrrshr,1,8
gLLAQaedeeffjmueffj,1,6
gLLAQbceeefftsxlixn,1,6
gLLPQcdcfeefqcjhawr,1,6
iLLLAQccdeffgghhdstatkkaj,1,8
iLLLQMcbdegefghhdwmpljolj,1,8
iLLAAMcbcedffghhtsafhgiqj,1,8
iLLLMQccedghfghhptrxwfjor,0,8
jLLAzPQbdedgghhiitvaggfqhsn,1,9
jLLLQPPcddfgfhhiilgfaggixgn,1,9
jLLwMMQacefgghhiijktrlxmvgk,1,9
jLLMMPPaceefgghiijktfrmmgxn,1,9
jLLMLAQaceehghhiijkaglxxjow,1,9
jLLMLQPaceffghhiijktgfaukqj,1,9
jLLAzMQcedcghghiihqbrjmkmfj,1,9
jLLALQPbdceghggiievnlvacgxk,1,9
jLLAwQPbdeefhggiievdhamkrqj,1,9
jLvPMAQccefhfhihihrxhjcoxok,1,9
jLLPzQPcdcfgfghiihsravfohxn,1,9
jLLPLQPcdcfgghgiihsrajfaoqs,1,9
jLLzPMQcdcehghgiihsrngksnps,1,9
hLLLQkadegefggnmxvcbvr,1,7
hLLAPkacedfgggjktelpfv,1,7
hLLAAkbdceffgghgnxpgqn,1,7
hLLMPkacdefgfgjkanoijj,1,7
hLLLQkbdeegggfdwiixssn,1,7
hLLPAkbddeefggdwsilrxn,1,7
hLLMAkacedffggjktrkbxs,1,7
hLLAMkbddefgfglvnlahrr,1,7
jLLLAPQcddfghhiiilgfagqmxpr,1,9
jLLALPQbdedhgiihitvagdfepig,1,9
jLLLMMQbdfgghghiidwtpwwoohj,1,9
jLLLMMQbdfgghghiidwtpbwjohj,1,9
jLLALPQceddhghihitqvnpfemdk,1,9
jLLLAMQbdegehgiiidwmplegabn,0,9
jLLALAQbcedfghhiitsxjggqufj,1,9
jLLLAAQacfegghiiijkgokrlpor,1,9
jLLAMPPbcedfgghiitsafhxxsqj,1,9
jLLLMPQbdfehigihiasexnprevl,0,9
