id,oriented,tetrahedra
fLAMcbccdeemejlxn,1,5
gLLPQcdcfeffqsjlqgj,1,6
gLLPQcdcfeffqojuqgj,1,6
gLALQbcbfeffhhwhvxq,1,6
gLLAQbcdeeffmvfxukk,1,6
hLLAAkccdeefgghkvaqchw,0,7
hLLMAkbddeffggmkfxarpk,1,7
hLvPQkccefggfgqjmhunff,1,7
hLLAAkccedefggdwxkdjxn,1,7
hLLAAkbcdeefggpjgplwhr,1,7
hLLAAkbddeefggxrrxqbqj,0,7
hLLMAkbddeffggmvoxarpk,1,7
hLLMMkcddeffggdgntxkaj,1,7
hLLAAkccedefggdwxvdkhw,1,7
hLALPkbcbefgggxxnndanf,0,7
hLALPkbcbffgggxxnuttar,0,7
hLLMMkccdfefggdfvqlkaj,1,7
hLLMMkccdfefgghgvlifuk,1,7
iLLMAMcbdedffghhdvaflodxn,0,8
iLLLQMcbedeffghhahfdxgsqj,0,8
iLLLPQccdefgghghqfadkbnnk,1,8
iLLLPQcacgfhgfhhjkbodjkul,1,8
iLLwPQcacefhgghhjktkixxtk,1,8
iLvPMQcccegfhghhqjthvkokb,1,8
iLLALQccdechghghqshjhbpjq,1,8
iLLPMPcbceefgghhpjpelnstr,1,8
iLLAAMcbdedffghhmvxgxciqj,1,8
iLLLAQcbddgfghghhofegvpgk,0,8
iLALLQccbbehhgghhhromfofg,0,8
iLLPPMccdfeffghhaklptkohw,0,8
iLLLMQccdfehggghqoqibrwcr,1,8
iLLLAQcacfegghhhjkgokrqel,1,8
iLLLAQcacfgghfhhjkwrkikqi,1,8
iLLLAQcacfgghfhhjkgrkikai,1,8
iLLALQcbdedhhgghtvagdxfwi,1,8
iLLLAQccddfgghhhlgfagsqmp,1,8
iLvAAQcbefegghghmeuuankvj,1,8
iLLALQcacedhhgghjktuifsvc,1,8
iLLALQccedchghghqhfjhbtjq,1,8
iLAwLQcbcbdfhghhhhwqbqdgc,0,8
iLALLQccbbefhghhhhroxjfoo,0,8
iLALLQcbcbffgghhhhwueevnk,0,8
iLALzQccbbeghhghhhroxoofj,0,8
iLLLQPcbdeefgghhmvlltfvdw,1,8
iLLLQPcbdeegfghhmvqquwblr,1,8
iLLAzQccddefgghhdcbaojgtj,1,8
iLLAPMcbdedfgghhevtfosrhs,1,8
iLLLAQccddffgghhuvfarnnpk,1,8
iLLPzQcccdfgfghhhggasfohk,1,8
hLLAAkbcdeefggasreesqj,0,7
jLLLMMQbedeghghiixafigrgclj,0,9
jLLLMAQbedghhgihiaafhsosxfk,0,9
jLLLPPQbdehfgihhimvdqsftofj,1,9
jLLLLQQacfhigihhijkwhdjmqqm,1,9
jLvLPQQaehghfgiiinxwsrbwiae,1,9
jLLAvQQbdedighhiitvagpfexuk,1,9
jLLLAPQcddfghiihilgfagqelps,1,9
jLLMLPQacefgihihijktcilmfbr,1,9
jLLALMQccedhgihhidwxsxsqets,1,9
jLLAzPQbdedgghiiitvagwfumkg,1,9
jLLLAMQcddfgfihiilgfagbqdwk,1,9
jLLLAPQcddfggiiihigfqwcamrk,1,9
jLLLAPQacefgghiiijkvfkgqlws,1,9
jLvAMAQbefgehghiimxlhxrnbus,1,9
jLLLPAQbdehhggihimkdqjcoxok,1,9
jLLAzPQbdedgihhiitvaggqqhqv,0,9
jLLLMPQbddghhigiihofelalglv,0,9
jLLwPPQacefggihiijktklxeojj,0,9
jLLLMQPcddfgfhhiihvcanfpanj,0,9
hLLAAkbcdeefggajgeeoxn,0,7
jLLwPMQacefghihiijktklqaogj,0,9
jLLLPAQbedhhggihiaasxsssxfk,0,9
jLLLMAQccfefhghiidwderbrgxk,1,9
jLLLLQQcdfghfhihiqoqsojjfjr,1,9
jLLLMPQbedfhiggiihhbubljkmp,1,9
jLLwLQQacdfgihihijkawlitfbc,1,9
jLLLPMQacfghfhiiijkgkafeqpv,1,9
jLLwMAQcedfghhhiiiijmrjosak,1,9
jLvAAMQbefeghghiipaumigngmw,1,9
jLLLAMQcedefhihiiiisptxhpls,1,9
jLLLMMQcedeghihiiiifqrblrih,1,9
jLLLwQQcceghhgihidwtpkkfxwn,1,9
jLLLLQQccfhgghihidwaobfrsbw,1,9
jLLLAMQacfgghiihijkwrkiptiv,1,9
jLLLAMQcedefhihiiiifpixhpls,1,9
jLLLMMQcedeghihiiiifpwsuchl,1,9
jLLLPPQcceghhighidwdpknacwn,1,9
jLLLLQQccfggihiihdwavrwwjbs,1,9
jLLLMMQcdeehhgihiikhhnsnasj,1,9
jLLLAPQacfegihhiijkgrkteipv,1,9
jLLLAMQacfgghiihijkgrkitpin,1,9
jLLALMQcecdfghiiiiibsgwixkg,1,9
jLLALPQbdedghhiiihgakbheuqk,1,9
jLLLPPQbcfehhiihidfpdrsttfq,1,9
jLLALPQccedfhihiiivesneumxn,1,9
jLLvMQQcdhgehgiiidfagnvwfog,1,9
