target,source,label
gLALQbcbeeffxxngsan,fLAMcbbcdeedhrhhr,Face: 10
gLALQbcbeeffhhwsjhr,fLAMcbbcdeedhrhhr,Face: 9
gLLPQcdcefffhsrptjr,fLAMcbbcdeedhrhhr,Face: 8
gLAMPbbcdeffdhgqhhw,fLAMcbbcdeedhrhhr,Face: 7
hLLAAkaedeefggnmaeknhw,gLALQbcbeeffxxngsan,Face: 11
hLALPkbcbegffghhwchasn,gLALQbcbeeffxxngsan,Face: 3
hLLMAkaddeefggnuadjvxn,gLALQbcbeeffhhwsjhr,Face: 11
hLLAAkcddeefgglcvatkqj,gLLPQcdcefffhsrptjr,Face: 12
hLLAAkcedefeggthvahahr,gLLPQcdcefffhsrptjr,Face: 11
hLLPAkcdcfefgghsriqvpj,gLLPQcdcefffhsrptjr,Face: 10
hLLAAkbdedffggerxgacpn,gLLPQcdcefffhsrptjr,Face: 5
hLAMzkaccdefggngbqqxxn,gLAMPbbcdeffdhgqhhw,Face: 1
iLLLMQcaeefgghghjligvopgk,hLLAAkaedeefggnmaeknhw,Face: 14
iLLLMQcbcdffgghhlrrtnrvlr,hLLAAkaedeefggnmaeknhw,Face: 11
iLLMPMcbdedfgfhhhfafoorqj,hLLAAkaedeefggnmaeknhw,Face: 9
iLLLAQcbcfgehgghdfmalhjvr,hLLMAkaddeefggnuadjvxn,Face: 9
iLLPPPccdcfegghhhsrargsps,hLLMAkaddeefggnuadjvxn,Face: 5
iLLLPQcbdehfhhgghgpubojjk,hLLAAkcddeefgglcvatkqj,Face: 11
iLLMPMcbdedfgfhhhfafoorqj,hLLAAkcddeefgglcvatkqj,Face: 6
iLLALQcacedfghhhjklmtsgrw,hLLAAkcedefeggthvahahr,Face: 11
iLLLAQcbcfgehgghdfmalhjvr,hLLAAkcedefeggthvahahr,Face: 6
iLLAAMcbdeeffghhevdpalmqj,hLLAAkcedefeggthvahahr,Face: 5
iLLMMMcaceefgghhjktfsxick,hLLPAkcdcfefgghsriqvpj,Face: 11
iLLMAMcacdeffghhnsacvkaxk,hLLPAkcdcfefgghsriqvpj,Face: 6
iLvAQMcadeeffghhjahsrgrhw,hLLPAkcdcfefgghsriqvpj,Face: 5
iLLLPQcbdehfhhgghgpubojjk,hLLAAkbdedffggerxgacpn,Face: 14
iLLALQcacedfghhhjklmtsgrw,hLLAAkbdedffggerxgacpn,Face: 13
iLLMMMcaceefgghhjktfsxick,hLLAAkbdedffggerxgacpn,Face: 12
iLLLPQccedghfghhtuflnkjcf,hLLAAkbdedffggerxgacpn,Face: 8
jLLLMPQcddffihiihlgfagaaiun,iLLLMQcaeefgghghjligvopgk,Face: 15
jLvLMQQaefhighghinxcvacvcnw,iLLLMQcaeefgghghjligvopgk,Face: 13
jLLLzQQaeefghghiinmxnbaoekj,iLLLMQcaeefgghghjligvopgk,Face: 5
jLLLLQQbddghfhhiixjfvnkbbij,iLLLMQcbcdffgghhlrrtnrvlr,Face: 13
jLLAwQPaedefhghiijlxmcipgxn,iLLLMQcbcdffgghhlrrtnrvlr,Face: 4
hLLAAkcddeefgglcvatkqj,iLLMPMcbdedfgfhhhfafoorqj,Edge: 12
jLLwLQQaceghghhiijktlammdvj,iLLMPMcbdedfgfhhhfafoorqj,Face: 16
jLLLLQQbddghfhhiixjfvnkbbij,iLLMPMcbdedfgfhhhfafoorqj,Face: 13
hLLAAkcedefeggthvahahr,iLLLAQcbcfgehgghdfmalhjvr,Edge: 12
jLLAPLQacedfghiiijktilaaevr,iLLLAQcbcfgehgghdfmalhjvr,Face: 16
jLLLAAQbcgfehgihidfpulhrqrk,iLLLAQcbcfgehgghdfmalhjvr,Face: 9
jLLLAAQbcgfehgihidfpulhrqrk,iLLPPPccdcfegghhhsrargsps,Face: 11
jLLLAQPbcegffhgiidfqahkxnhw,iLLPPPccdcfegghhhsrargsps,Face: 10
jLvAMQPadfdgfghiijxxrgbraqs,iLLPPPccdcfegghhhsrargsps,Face: 5
hLLAAkbdedffggerxgacpn,iLLLPQcbdehfhhgghgpubojjk,Edge: 10
jLLLMMQcddffhiihilgfagehadc,iLLLPQcbdehfhhgghgpubojjk,Face: 14
jLLwLQQaceghghhiijktlammdvj,iLLLPQcbdehfhhgghgpubojjk,Face: 12
jLLPvQQcdefhihgiiuflqomfjml,iLLLPQcbdehfhhgghgpubojjk,Face: 6
hLLAAkbdedffggerxgacpn,iLLALQcacedfghhhjklmtsgrw,Edge: 10
jLLALMQcdcegghiiihsjhbveafn,iLLALQcacedfghhhjklmtsgrw,Face: 14
jLLAPLQacedfghiiijktilaaevr,iLLALQcacedfghhhjklmtsgrw,Face: 13
jLLALPQacedfihihijklmttnlfl,iLLALQcacedfghhhjklmtsgrw,Face: 11
jLLALPQacedfihihijklmttnlfl,iLLAAMcbdeeffghhevdpalmqj,Face: 13
jLLALMQcedeggihhituvpvshcsr,iLLAAMcbdeeffghhevdpalmqj,Face: 6
jLLLMQPbdfffgghiixviigboghr,iLLAAMcbdeeffghhevdpalmqj,Face: 5
jLLLMAQcdefhhfhiilruqkjknhw,iLLAAMcbdeeffghhevdpalmqj,Face: 1
hLLAAkbdedffggerxgacpn,iLLMMMcaceefgghhjktfsxick,Edge: 10
jLLLMAQcddffghhiilgfagkqdbn,iLLMMMcaceefgghhjktfsxick,Face: 14
jLLMLQPacdefghhiinsacbapjij,iLLMMMcaceefgghhjktfsxick,Face: 12
jLLwPAQacefghhhiijktrllpork,iLLMMMcaceefgghhjktfsxick,Face: 10
jLLMLQPacdefghhiinsacbapjij,iLLMAMcacdeffghhnsacvkaxk,Face: 16
jLLMLQPacdefghhiinsacbapjij,iLLMAMcacdeffghhnsacvkaxk,Face: 13
jLLwMQPacdggfghiijsxxxkxxxn,iLLMAMcacdeffghhnsacvkaxk,Face: 6
jLLwPAQacefghhhiijktrllpork,iLvAQMcadeeffghhjahsrgrhw,Face: 13
jLLALMQcedeggihhituvpvshcsr,iLvAQMcadeeffghhjahsrgrhw,Face: 7
jLvAAAQbeffghfihiedxahfbhkr,iLvAQMcadeeffghhjahsrgrhw,Face: 6
jLLLMMQcddffhiihilgfagehadc,iLLLPQccedghfghhtuflnkjcf,Face: 16
jLLALMQcdcegghiiihsjhbveafn,iLLLPQccedghfghhtuflnkjcf,Face: 15
jLLLMAQcddffghhiilgfagkqdbn,iLLLPQccedghfghhtuflnkjcf,Face: 14
kLvvAQQkageifijjhjijgrgbraagag,jLLLMPQcddffihiihlgfagaaiun,Face: 18
kLLLLMQkaeehggijjijnmxiboqegoo,jLLLMPQcddffihiihlgfagaaiun,Face: 10
kLLLwPQkbcfggijijhjdfpakxxiirg,jLvLMQQaefhighghinxcvacvcnw,Face: 17
kLvLMPQkaegfghihijjnxgscclntcw,jLvLMQQaefhighghinxcvacvcnw,Face: 10
kLvLAPQkaeeghijjhjijqfnkaatotr,jLvLMQQaefhighghinxcvacvcnw,Face: 7
kLvLAMQkaeghhigijijnxgrrdcmxqw,jLvLMQQaefhighghinxcvacvcnw,Face: 6
kLLLLMQkaeehggijjijnmxiboqegoo,jLLLzQQaeefghghiinmxnbaoekj,Face: 17
kLvLMPQkaegfghihijjnxgscclntcw,jLLLzQQaeefghghiinmxnbaoekj,Face: 15
kLLALMMkaedefgihijjjlxmnxsooqn,jLLLzQQaeefghghiinmxnbaoekj,Face: 4
iLLMPMcbdedfgfhhhfafoorqj,jLLLLQQbddghfhhiixjfvnkbbij,Edge: 11
kLLLLPQkacfgfjiihjjjkgfkmdmscc,jLLLLQQbddghfhhiixjfvnkbbij,Face: 4
kLLwLQPkacdfgihijijjkaolhmbtbn,jLLAwQPaedefhghiijlxmcipgxn,Face: 15
kLLALMMkaedefgihijjjlxmnxsooqn,jLLAwQPaedefhghiijlxmcipgxn,Face: 7
iLLLPQcbdehfhhgghgpubojjk,jLLwLQQaceghghhiijktlammdvj,Edge: 15
kLLLPLQkcedghhiihjjthflswhhfjk,jLLwLQQaceghghhiijktlammdvj,Face: 17
kLLLLPQkacfgfjhhjjijkgfkmmdccj,jLLwLQQaceghghhiijktlammdvj,Face: 10
kLvLAQMkaehefghiijjnxvcrwwpdkn,jLLwLQQaceghghhiijktlammdvj,Face: 7
kLvLAMQkaeghhigijijnxgrrdcmxqw,jLLwLQQaceghghhiijktlammdvj,Face: 4
iLLALQcacedfghhhjklmtsgrw,jLLAPLQacedfghiiijktilaaevr,Edge: 15
kLLAwAPkbdedfhgjijjtvugauhadkg,jLLAPLQacedfghiiijktilaaevr,Face: 17
kLLAPLAkacedfgihijjjktilaltrdj,jLLAPLQacedfghiiijktilaaevr,Face: 13
iLLPPPccdcfegghhhsrargsps,jLLLAAQbcgfehgihidfpulhrqrk,Edge: 12
kLLAPLAkacedfgihijjjktilaltrdj,jLLLAAQbcgfehgihidfpulhrqrk,Face: 18
kLLLMMMkceffgehiijjphmaprwmank,jLLLAAQbcgfehgihidfpulhrqrk,Face: 6
kLLLAQzkacfeehghijjnkgcgmvdfhr,jLLLAQPbcegffhgiidfqahkxnhw,Face: 10
iLLMwQcacdefhgghjkankxajr,jLvAMQPadfdgfghiijxxrgbraqs,Edge: 15
kLLLAQzkacfeehghijjnkgcgmvdfhr,jLvAMQPadfdgfghiijxxrgbraqs,Face: 13
kLLLAQzkacfeehghijjnkgcgmvdfhr,jLvAMQPadfdgfghiijxxrgbraqs,Face: 12
iLLLPQccedghfghhtuflnkjcf,jLLLMMQcddffhiihilgfagehadc,Edge: 13
kLLLPLQkcedghhiihjjthflswhhfjk,jLLLMMQcddffhiihilgfagehadc,Face: 17
kLvLAQMkaehefghiijjnxvcrwwpdkn,jLLPvQQcdefhihgiiuflqomfjml,Face: 14
iLLLPQccedghfghhtuflnkjcf,jLLALMQcdcegghiiihsjhbveafn,Edge: 14
kLLAwAPkbdedfhgjijjtvugauhadkg,jLLALMQcdcegghiiihsjhbveafn,Face: 18
kLLAwzQkbdedfgjjiijtvugahuucgi,jLLALMQcdcegghiiihsjhbveafn,Face: 16
iLLAAMcbdeeffghhevdpalmqj,jLLALPQacedfihihijklmttnlfl,Edge: 11
kLLAwzQkbdedfgjjiijtvugahuucgi,jLLALPQacedfihihijklmttnlfl,Face: 16
kLLAvAQkacedhgiijijjktifowjabr,jLLALPQacedfihihijklmttnlfl,Face: 11
kLLAvAQkacedihhjhjjjklmvnniflu,jLLALPQacedfihihijklmttnlfl,Face: 10
kLLwzPQkacefigjijjijklkhqvfcwc,jLLALPQacedfihihijklmttnlfl,Face: 5
kLLALPMkacedfiihjijjklmttafahn,jLLALPQacedfihihijklmttnlfl,Face: 1
iLvAQMcadeeffghhjahsrgrhw,jLLALMQcedeggihhituvpvshcsr,Edge: 12
kLLAvAQkacedhgiijijjktifowjabr,jLLALMQcedeggihhituvpvshcsr,Face: 15
kLLvAMQkcehgehgijijphddrkrfpsn,jLLALMQcedeggihhituvpvshcsr,Face: 6
kLLAvAQkacedihhjhjjjklmvnniflu,jLLLMQPbdfffgghiixviigboghr,Face: 15
kLLMLPPkbdefhghjiijxvatrnnhirr,jLLLMQPbdfffgghiixviigboghr,Face: 6
kLLALPMkacedfiihjijjklmttafahn,jLLLMAQcdefhhfhiilruqkjknhw,Face: 15
kLvALQPkcfeghifiijjpqadnbsskmj,jLLLMAQcdefhhfhiilruqkjknhw,Face: 13
kLvALQMkcecighgijijhmrwjsjfqws,jLLLMAQcdefhhfhiilruqkjknhw,Face: 9
kLLvAMQkcehgehgijijphddrkrfpsn,jLLLMAQcdefhhfhiilruqkjknhw,Face: 8
kLLMLPPkbdefhghjiijxvatrnnhirr,jLLLMAQcdefhhfhiilruqkjknhw,Face: 7
kLLLwQMkceffehihijjphmarkgbcej,jLLLMAQcdefhhfhiilruqkjknhw,Face: 6
iLLLPQccedghfghhtuflnkjcf,jLLLMAQcddffghhiilgfagkqdbn,Edge: 13
kLLLMPAkcddfgighijjlgfajavxwaj,jLLLMAQcddffghhiilgfagkqdbn,Face: 17
kLLLAPPkcddfgihijijlgfasmmmsbn,jLLLMAQcddffghhiilgfagkqdbn,Face: 15
iLLMAMcacdeffghhnsacvkaxk,jLLMLQPacdefghhiinsacbapjij,Edge: 11
kLLLMPAkcddfgighijjlgfajavxwaj,jLLMLQPacdefghhiinsacbapjij,Face: 16
kLLMPLMkacefgfhiijjjktbxjcrodr,jLLMLQPacdefghhiinsacbapjij,Face: 12
kLLALMMkacdefhhiijjnsaaagvtebj,jLLMLQPacdefghhiinsacbapjij,Face: 4
iLvAQMcadeeffghhjahsrgrhw,jLLwPAQacefghhhiijktrllpork,Edge: 11
kLLLAPPkcddfgihijijlgfasmmmsbn,jLLwPAQacefghhhiijktrllpork,Face: 16
kLLAvAQkacedhgiijijjktifowjabr,jLLwPAQacefghhhiijktrllpork,Face: 14
kLLwPPMkacehghgiijjjkttlddpsdj,jLLwPAQacefghhhiijktrllpork,Face: 13
kLLvAQMkacegfihiijjjksrkquawrk,jLLwPAQacefghhhiijktrllpork,Face: 4
kLLMPLMkacefgfhiijjjktbxjcrodr,jLLwMQPacdggfghiijsxxxkxxxn,Face: 18
kLLMPLMkacefgfhiijjjktbxjcrodr,jLLwMQPacdggfghiijsxxxkxxxn,Face: 15
kLLLMPAkccfghfgihjjqfaawfwikhw,jLLwMQPacdggfghiijsxxxkxxxn,Face: 13
kLLwPPMkacehghgiijjjkttlddpsdj,jLvAAAQbeffghfihiedxahfbhkr,Face: 15
kLLLAPAkbcggehighjjtsqataqvnhr,jLvAAAQbeffghfihiedxahfbhkr,Face: 13
kLLLMPAkccfghfgihjjqfaawfwikhw,jLvAAAQbeffghfihiedxahfbhkr,Face: 5
kLvALPQkadfgjhghiijjaijhmfibjw,jLvAAAQbeffghfihiedxahfbhkr,Face: 4
jLLLPAQaeefhghiiinmxnibaaqn,kLLLLMQkaeehggijjijnmxiboqegoo,Edge: 13
jLLLzQQaeefghghiinmxnbaoekj,kLLLLMQkaeehggijjijnmxiboqegoo,Edge: 12
jLLLzQQaeefghghiinmxnbaoekj,kLvLMPQkaegfghihijjnxgscclntcw,Edge: 12
jLLwLQQaceghghhiijktlammdvj,kLvLAMQkaeghhigijijnxgrrdcmxqw,Edge: 13
jLLALMQaedefghiiijlxmnxrbbv,kLLALMMkaedefgihijjjlxmnxsooqn,Edge: 18
jLLAwQPaedefhghiijlxmcipgxn,kLLALMMkaedefgihijjjlxmnxsooqn,Edge: 13
jLLLMMQcddffhiihilgfagehadc,kLLLPLQkcedghhiihjjthflswhhfjk,Edge: 20
jLLPvQQcdefhihgiiuflqomfjml,kLvLAQMkaehefghiijjnxvcrwwpdkn,Edge: 17
jLLALMQcdcegghiiihsjhbveafn,kLLAwAPkbdedfhgjijjtvugauhadkg,Edge: 20
jLLLAAQbcgfehgihidfpulhrqrk,kLLAPLAkacedfgihijjjktilaltrdj,Edge: 12
jLLLAQPacfeeghhiinkgcgshhfw,kLLLAQzkacfeehghijjnkgcgmvdfhr,Edge: 17
