target,source,label
gLLPQcdcfeffhsrlqgj,fLAMcbccdeemejlhw,Face: 10
gLLPQcdcfeffhoruqgj,fLAMcbccdeemejlhw,Face: 9
gLALQbcbfeffhxwxbhq,fLAMcbccdeemejlhw,Face: 6
gLLAQbcdeeffmvfxucj,fLAMcbccdeemejlhw,Face: 5
hLLAAkccdeefgghkvaqcxn,gLLPQcdcfeffhsrlqgj,Face: 12
hLLMAkbddeffggmkfxarew,gLLPQcdcfeffhsrlqgj,Face: 11
hLvPQkccefggfghrmhunff,gLLPQcdcfeffhsrlqgj,Face: 10
hLLAAkccedefggdwxkdjhw,gLLPQcdcfeffhsrlqgj,Face: 1
hLLAAkbcdeefggpjgplwqj,gLLPQcdcfeffhoruqgj,Face: 12
hLLAAkbddeefggxrrxqbhr,gLLPQcdcfeffhoruqgj,Face: 11
hLLMAkbddeffggmvoxarew,gLLPQcdcfeffhoruqgj,Face: 9
hLLMMkcddeffggdgntxkxr,gLLPQcdcfeffhoruqgj,Face: 8
hLLAAkccedefggdwxvdkxn,gLLPQcdcfeffhoruqgj,Face: 2
hLALPkbcbefggghxwndanf,gLALQbcbfeffhxwxbhq,Face: 12
hLALPkbcbffggghxwuttar,gLALQbcbfeffhxwxbhq,Face: 11
hLLMAkbddeffggmkfxarew,gLLAQbcdeeffmvfxucj,Face: 12
hLLMMkccdfefggdfvqlkxr,gLLAQbcdeeffmvfxucj,Face: 11
hLLMAkbddeffggmvoxarew,gLLAQbcdeeffmvfxucj,Face: 10
hLLMMkccdfefgghgvlifms,gLLAQbcdeeffmvfxucj,Face: 7
hLLLQkbdfgefgglvtltrfj,gLLAQbcdeeffmvfxucj,Face: 5
iLLMAMcbdedffghhdvaflodhw,hLLAAkccdeefgghkvaqcxn,Face: 6
iLLLQMcbedeffghhahfdxgshr,hLLAAkccdeefgghkvaqcxn,Face: 3
gLLAQbcdeeffmvfxucj,hLLMAkbddeffggmkfxarew,Edge: 11
iLLLAQccddefghhhivfavbahe,hLLMAkbddeffggmkfxarew,Face: 13
iLLLPQccdefgghghqfadkbvnj,hLLMAkbddeffggmkfxarew,Face: 5
iLLvQQcacfgfhghhjkgksdraq,hLLMAkbddeffggmkfxarew,Face: 4
iLLwPQcacefghghhjktklmtab,hLvPQkccefggfghrmhunff,Face: 14
iLvPMQcccegfhghhhrthvkokb,hLvPQkccefggfghrmhunff,Face: 6
iLLLPQccdefgghghqfadkbvnj,hLLAAkccedefggdwxkdjhw,Face: 13
iLLALQccdechghghhshrhbpjq,hLLAAkccedefggdwxkdjhw,Face: 2
iLLPLQcacdefghhhjkmgkeujr,hLLAAkbcdeefggpjgplwqj,Face: 14
iLvPMQcccegfhghhhrthvkokb,hLLAAkbcdeefggpjgplwqj,Face: 9
iLLAAMcbdedffghhmvxgxcihr,hLLAAkbcdeefggpjgplwqj,Face: 7
iLLLAQcbddgfghghhofegvegw,hLLAAkbddeefggxrrxqbhr,Face: 14
iLALLQccbbehhgghhqjomfofg,hLLAAkbddeefggxrrxqbhr,Face: 5
iLLPPMccdfeffghhaklptkoxn,hLLAAkbddeefggxrrxqbhr,Face: 2
gLLAQbcdeeffmvfxucj,hLLMAkbddeffggmvoxarew,Edge: 11
iLLLAQccddefghhhicsavbahe,hLLMAkbddeffggmvoxarew,Face: 12
iLLLMQccdfehggghqoqiwrwcj,hLLMAkbddeffggmvoxarew,Face: 9
iLLLPQcacefgfhhhjkgojkelq,hLLMAkbddeffggmvoxarew,Face: 4
iLLLAQccceffgghhdwtpqwciw,hLLMMkcddeffggdgntxkxr,Face: 14
iLLLAQcbddgfghghhofegvegw,hLLMMkcddeffggdgntxkxr,Face: 13
iLLLPQcacggghfhhjkfkjpkex,hLLMMkcddeffggdgntxkxr,Face: 11
iLLLMQccdefgghhhdfiarkgvo,hLLMMkcddeffggdgntxkxr,Face: 9
iLLALQcbdedhgghhtvagpnfeu,hLLMMkcddeffggdgntxkxr,Face: 8
iLvAAQcbefegghghmeuuannvr,hLLMMkcddeffggdgntxkxr,Face: 7
iLLALQcacedhghghjktlljvbr,hLLMMkcddeffggdgntxkxr,Face: 5
iLLAAMcbdedffghhmvxgxcihr,hLLAAkccedefggdwxvdkxn,Face: 14
iLLLMQccdfehggghqoqiwrwcj,hLLAAkccedefggdwxvdkxn,Face: 11
iLLALQcacedhghghjktlljvbr,hLLAAkccedefggdwxvdkxn,Face: 10
iLLALQccedchghghhhfrhbtjq,hLLAAkccedefggdwxvdkxn,Face: 2
iLAwLQcbcbdfhghhhxwqvtqcg,hLALPkbcbefggghxwndanf,Face: 6
iLLMAMcbdedffghhdvaflodhw,hLALPkbcbefggghxwndanf,Face: 5
iLALLQccbbefhghhhqjoxjfoo,hLALPkbcbefggghxwndanf,Face: 4
iLALLQccbbehhgghhqjomfofg,hLALPkbcbffggghxwuttar,Face: 8
iLALLQcbcbffgghhxhnueevnk,hLALPkbcbffggghxwuttar,Face: 7
iLALzQccbbeghhghhqjoxoofj,hLALPkbcbffggghxwuttar,Face: 1
iLLLQPcbdeefgghhmvlltfvmn,hLLMMkccdfefggdfvqlkxr,Face: 14
