id,oriented,tetrahedra
eLAkaccddnnbqw,1,4
fLLQcadedeejiulxk,1,5
fLAMcaccdeensjxhj,1,5
fLLQcacdeeenkepcg,0,5
fLLQcacdedenbxank,1,5
gLLAQbddeeffxwnxxbw,1,6
gLLAQbdedffftvurxno,0,6
gLLAQbdcefffhgsqugc,1,6
gLLAQaddeeffnuapnok,1,6
gLLAQbceeeffebdqqhj,1,6
gLLQPccddefftnnouhj,0,6
gLLAQadedfffnxuhgkg,0,6
gLLAQccdeeffakvhukw,0,6
gLLAQaddeeffjiapcfj,1,6
gLLAQaeddeffniadcok,1,6
hLLAPkacedfgggnkumtako,1,7
hLLAMkcddeffggtrvaqsuw,1,7
hLLPAkcdeffeggqrddqqxj,1,7
hLLAMkbdedfgggevxslpxi,0,7
hLLAPkcddefgggufvlnvww,0,7
hLLAMkadedffggjxxhggaj,1,7
hLLAPkbdecfgggtvajnrsc,1,7
hLLMMkacdeffggnsacvkqw,1,7
hLvAQkadeeffggnahcrggk,1,7
hLLAMkbdedfgfgdwqslqkn,1,7
fLAMcbccdeehhsaqw,1,5
hLLAAkbcedefggasxfljxr,0,7
hLvPQkccgeffgghnaxxvfn,0,7
hLLAPkbdcefgggevwunvco,0,7
hLLAMkbdeeffggevdpannk,0,7
hLLAMkbeedffggaapwabkk,0,7
hLLAPkacdefgggnbxaxann,0,7
hLLLQkadgfefggjimgcvwo,1,7
hLLAPkaddefgfgjpupoqkk,1,7
hLLLQkadffefggjhmggnkj,1,7
iLLLAQcbcfegghghlsuduwagj,1,8
iLLAPMcacedfgghhnktelpktj,1,8
iLLLAQcbcefgghghlsudugawj,1,8
iLLLAQcacgegfghhnkbcsobpw,1,8
iLLLAQcacgfghfhhnkbfsqoax,1,8
iLLLAQccdefggfhhlruqpkkan,1,8
gLLMQbeeffefhhamhii,0,6
iLLAPPcbdedfgghhevxscfspw,0,8
iLLLAQcccffgghhhakapmkhxp,0,8
iLLLAQcbdfgffghhasdddnglw,0,8
iLLLAQcbedegghhhaafdpvhph,0,8
gLLAQbdeeeffhcaluuj,1,6
iLLLMQcbcfgehghhebpuwfcjj,1,8
gLLMQacdfeffnsaggkg,1,6
iLLwQPcacdgfgghhjsxxkxxqj,1,8
iLvLQQcadgeghfhhjmgssnjno,1,8
iLvAMQcadfgggfhhjaewjwbpk,1,8
iLLAPMcbcedfgfhhtsxfjojxj,1,8
gLLAQbceeefflkamixj,0,6
gLLPQcdcfeffqrnqqsj,1,6
iLLAMMcbeedffghhaaeoawchk,0,8
iLLAAMccddeffghhhrrahohhn,0,8
iLLAMMccdeeffghhlgpuiooxr,0,8
iLvAQMccdegegghhpjauhovxj,0,8
iLLAwQcbdedfhghhlvarxaqvb,0,8
iLLMLQcbdedfgghhajpfvnfdn,0,8
iLLPzQcccdefghghubwdnshkj,0,8
iLLLMQcbceffhgghdnpegvssk,0,8
iLLAwQcbeedfhhghaapwxpekt,0,8
iLLLMQcbedgffghhaaflssojk,0,8
iLLMwQcbcdfeghhhebjiehaww,0,8
iLLLAQcbedefgghhlpfppkwhw,1,8
iLLALQcbdedfhhghhgakshlrl,1,8
iLLALQcbdceggghhdwrxcbcaj,1,8
iLLLPQcbcffhfgghebpmbrbkj,1,8
iLLALQcbdecgfghhhgajbrwak,1,8
iLvAAQcadfdgfghhjxxrjbran,1,8
jLvPAQPafegffhhiijxxggghxrj,1,9
jLLLzQQcdfgeihhiilcelnqowiq,1,9
jLLvPQQcdhegiihihtfarwswfcv,1,9
jLvPAQPafegefhhiijxxgrbqxrj,1,9
jLLvQMQcdhfgeghiitkxtgjwvir,1,9
jLLLMMQacfgfgihhinkgfssidjj,1,9
jLLLLQQcdfgifhhhipclgnfkfok,1,9
jLLLPPQccfggfhihiqfiqgrfiwk,1,9
jLvAAAQbefgfhgihieaeimfvejw,1,9
hLLLQkbedeggfgxxfthvko,0,7
hLLAMkbdedfgggevdstidx,0,7
jLLLLQQbcgfiihgihlsmgccwvgn,0,9
jLLzLQQccdhfghiiiakkvfvklmu,0,9
jLLvMQQbdfgihihgiaspsgssvkf,0,9
jLLLMPQbegehhgiiiaatmtroiqm,0,9
jLLAPzQcddefghiiiufvlnvaaww,0,9
hLLLQkcbgfefgglnpehgwc,1,7
hLLLQkacfegfggnsgcjrbn,1,7
hLLAPkaeddgfggjlatxnde,1,7
jLLLLQQccfihfihgiubebbfsorv,1,9
hLLPPkbcffefgglohmagjj,1,7
jLLLMAQccfghgfihiqfaawvflkw,1,9
jLLLPPQcdfeghgihipclagkwlnw,1,9
jLLLLQQacfhhgighijbguabavmk,1,9
jLvQLAQadfehggihinaqpiiujjs,1,9
jLLPwAQccdfehgihiqffaaahhnn,1,9
hLLLQkbefggegftphxhtnk,0,7
hLLAAkbcedefggajhftshn,0,7
hLLAAkbcdeefgglsohhohn,1,7
hLLAAkbcedefgghvafpnhn,1,7
