target,source,label
fLAMcaccdeejgbxhw,eLAkbbcddemkqs,Face: 8
fLAMcaccdeejgbqqj,eLAkbbcddemkqs,Face: 7
fLLQcacedeejktxsr,eLAkbbcddemkqs,Face: 6
fLAMcaccdeejgbaxk,eLAkbbcddemkqs,Face: 5
gLLMQacedfffjktswjw,fLAMcaccdeejgbxhw,Face: 8
gLLAQacdeeffjkadjlk,fLAMcaccdeejgbqqj,Face: 8
gLLAQcedefeflhvaxak,fLLQcacedeejktxsr,Face: 9
gLLAQbcedefftsafask,fLLQcacedeejktxsr,Face: 8
gLLAQbdedffftvagpks,fLLQcacedeejktxsr,Face: 5
gLLAQbdedfffdwugaro,fLLQcacedeejktxsr,Face: 4
eLAkaccddjsnak,fLAMcaccdeejgbaxk,Edge: 7
hLLLQkcddfeggglgfaroov,gLLMQacedfffjktswjw,Face: 10
hLLLQkacdegfggjkscfkos,gLLMQacedfffjktswjw,Face: 8
hLLPMkacedffggjkxsrkmn,gLLMQacedfffjktswjw,Face: 7
hLLMAkbcdeffggdfbmufmj,gLLAQacdeeffjkadjlk,Face: 8
hLLAAkacdeefggjkairqqj,gLLAQacdeeffjkadjlk,Face: 4
hLLLQkbddfggfgxjflwvon,gLLAQcedefeflhvaxak,Face: 11
hLLLQkbcfgfgfgdfpadcrk,gLLAQcedefeflhvaxak,Face: 10
hLLLQkacdegfggjkscfkos,gLLAQcedefeflhvaxak,Face: 5
hLLLQkbdegefggdwmplkoc,gLLAQbcedefftsafask,Face: 10
hLLMAkbcdeffggdfbmufmj,gLLAQbcedefftsafask,Face: 5
hLLLQkbddfggfgxjflwvon,gLLAQbdedffftvagpks,Face: 11
hLLLQkbdfgefggdwmpdknw,gLLAQbdedffftvagpks,Face: 5
hvLAQkcdegfgfgffjhpqpk,gLLAQbdedfffdwugaro,Face: 11
hLLLQkbdegefggdwmplkoc,gLLAQbdedfffdwugaro,Face: 10
hLLLQkbdfgefggdweqdwov,gLLAQbdedfffdwugaro,Face: 5
hLLAPkbddegfggxvrxbjwj,gLLAQbdedfffdwugaro,Face: 2
fLLQcaddeeejmdplc,eLAkaccddjsnak,Face: 7
fLLQcaddeeeniepxc,eLAkaccddjsnak,Face: 5
fLLQcacdedejsxxnr,eLAkaccddjsnak,Face: 1
iLLLPQcccghghffhqfilcnfno,hLLLQkcddfeggglgfaroov,Face: 13
iLLMwQcbceefhgghebdxxuvsn,hLLLQkcddfeggglgfaroov,Face: 12
iLLLAQcbddfgghghajfpkgtok,hLLLQkcddfeggglgfaroov,Face: 3
gLLAQcedefeflhvaxak,hLLLQkacdegfggjkscfkos,Edge: 11
iLLLPQcccghghffhqfilcnfno,hLLLQkacdegfggjkscfkos,Face: 12
iLLMwQcbceefhgghebdxxuvsn,hLLPMkacedffggjkxsrkmn,Face: 12
iLLzMQcaceefghghnkxccqajk,hLLPMkacedffggjkxsrkmn,Face: 5
gLLAQbcedefftsafask,hLLMAkbcdeffggdfbmufmj,Edge: 11
iLLPzQccdcfgfghhhsrasfohk,hLLAAkacdeefggjkairqqj,Face: 8
gLLAQbdedffftvagpks,hLLLQkbddfggfgxjflwvon,Edge: 10
iLLLPQcceffgghhhthddlgfko,hLLLQkbddfggfgxjflwvon,Face: 8
iLLLPQcccghghffhqfilcnfno,hLLLQkbcfgfgfgdfpadcrk,Face: 10
iLLLPQccdfegfhhhhrtanfvbs,hLLLQkbcfgfgfgdfpadcrk,Face: 9
iLvLQQcbdefghghhhfuegrwco,hLLLQkbcfgfgfgdfpadcrk,Face: 7
iLLALQccedeghghhhlvacvnvc,hLLLQkbcfgfgfgdfpadcrk,Face: 3
gLLAQbdedfffdwugaro,hLLLQkbdegefggdwmplkoc,Edge: 10
iLLLAQccddeghghhhsgxgurxi,hLLLQkbdegefggdwmplkoc,Face: 2
iLLLMQcbcgefhghhtsmigfrvv,hLLLQkbdfgefggdwmpdknw,Face: 13
iLLALQcbcedfghhhtsajjcqea,hLLLQkbdfgefggdwmpdknw,Face: 10
iLLALQcbcedfghhhdvujwcetq,hLLLQkbdfgefggdwmpdknw,Face: 7
ivLAAQcdeefghhghnvkphpvjr,hvLAQkcdegfgfgffjhpqpk,Face: 9
iLvLQQcbdefghghhhfuegrwco,hvLAQkcdegfgfgffjhpqpk,Face: 4
iLvAMQccdfgfghhhavdiscgng,hvLAQkcdegfgfgffjhpqpk,Face: 1
ivLAAQcdeefghhghnvkphpvjr,hLLLQkbdfgefggdweqdwov,Face: 13
iLLALQcceddghhghpqvrvaesq,hLLLQkbdfgefggdweqdwov,Face: 10
iLLAwQcbdedfghhhtrpsliicv,hLLLQkbdfgefggdweqdwov,Face: 5
iLLALQcbcedfghhhdvujwcetq,hLLLQkbdfgefggdweqdwov,Face: 4
iLLLAQccddeghghhhsgxgurxi,hLLAPkbddegfggxvrxbjwj,Face: 12
iLLAwQcbdedfghhhtrpsliicv,hLLAPkbddegfggxvrxbjwj,Face: 7
iLLLMQcbedeghhghxxfxvbnoc,hLLAPkbddegfggxvrxbjwj,Face: 6
gLLAQbddeffftvkhlko,fLLQcaddeeejmdplc,Face: 10
gLLPQccdefffpfomibf,fLLQcaddeeejmdplc,Face: 9
gLLAQbdcefffhgrxpgc,fLLQcaddeeejmdplc,Face: 6
gLLAQadedeffjmllsfw,fLLQcaddeeejmdplc,Face: 5
gLLMQbcdeffftskulko,fLLQcaddeeeniepxc,Face: 9
gLLPQccdefffpfomibf,fLLQcaddeeeniepxc,Face: 8
gLLMQacdefffnrhwgjg,fLLQcaddeeeniepxc,Face: 5
gLLMQadefeffnxtmcnb,fLLQcaddeeeniepxc,Face: 2
gLLAQaddeeffniapcjr,fLLQcacdedejsxxnr,Face: 9
gLLAQadedeffnulpvoj,fLLQcacdedejsxxnr,Face: 7
hLLLQkbcfgfgfgdfpadcrk,iLLLPQcccghghffhqfilcnfno,Edge: 16
hLLLQkacdegfggjkscfkos,iLLLPQcccghghffhqfilcnfno,Edge: 10
jLLLAMQbddfgghhiiajfpjouujw,iLLLPQcccghghffhqfilcnfno,Face: 9
hLLPMkacedffggjkxsrkmn,iLLMwQcbceefhgghebdxxuvsn,Edge: 10
jLLMMLQbceefgihhidfapavahrs,iLLMwQcbceefhgghebdxxuvsn,Face: 12
jLLLAAQbddgfghihiasfurrturr,iLLMwQcbceefhgghebdxxuvsn,Face: 9
hLLAAkcddeffgghwwahwxj,iLLLAQcbddfgghghajfpkgtok,Edge: 12
jLLLAMQbddfgghhiiajfpjouujw,iLLLAQcbddfgghghajfpkgtok,Face: 15
jLLLAAQbddgfghihiasfurrturr,iLLLAQcbddfgghghajfpkgtok,Face: 14
jLLLAPQbedefghhiiaafdeceqkk,iLLLAQcbddfgghghajfpkgtok,Face: 2
jLLMMLQbceefgihhidfapavahrs,iLLzMQcaceefghghnkxccqajk,Face: 15
jLLMMLQbceefgihhidfapavahrs,iLLzMQcaceefghghnkxccqajk,Face: 14
hLLAAkbcedefggtsajljqs,iLLPzQccdcfgfghhhsrasfohk,Edge: 14
jLvLMQQbefghiihhidiepsfsfsj,iLLLPQcceffgghhhthddlgfko,Face: 13
jLvALQQbefehighiilamtksfkns,iLLLPQcceffgghhhthddlgfko,Face: 8
jLLvAQQcdfehgiihihraavcaana,iLLLPQcceffgghhhthddlgfko,Face: 4
jLvLAQQbeheigihihhiligwfcgo,iLLLPQccdfegfhhhhrtanfvbs,Face: 12
jLvAAMQbeffghihiidqdeabpsqx,iLLLPQccdfegfhhhhrtanfvbs,Face: 8
jLLvAQQcdfehgiihihraavcaana,iLLLPQccdfegfhhhhrtanfvbs,Face: 6
hvLAQkcdegfgfgffjhpqpk,iLvLQQcbdefghghhhfuegrwco,Edge: 11
jLvLAQQbeheigihihhiligwfcgo,iLvLQQcbdefghghhhfuegrwco,Face: 11
hLLLQkccegffggakuiqrkv,iLLALQccedeghghhhlvacvnvc,Edge: 11
jLLLAMQbddfgghhiiajfpjouujw,iLLALQccedeghghhhlvacvnvc,Face: 12
jLLvPQQcdigifghhihsagcfsroo,iLLALQccedeghghhhlvacvnvc,Face: 11
jLLLLQQbefeiihihhaahignnswc,iLLALQccedeghghhhlvacvnvc,Face: 2
hLLAPkbddegfggxvrxbjwj,iLLLAQccddeghghhhsgxgurxi,Edge: 12
jLLAzAQceddfghiiitivnkfthnv,iLLLAQccddeghghhhsgxgurxi,Face: 6
jLLLLQQcddhfgiihipkrrfkehom,iLLLMQcbcgefhghhtsmigfrvv,Face: 16
jLLLLQQbceigighhitsubgbrbbo,iLLLMQcbcgefhghhtsmigfrvv,Face: 13
jLLLPPQbddfhighiidwfrwhnwtx,iLLLMQcbcgefhghhtsmigfrvv,Face: 11
jvLAAPQceffghiihijnauatggfw,iLLLMQcbcgefhghhtsmigfrvv,Face: 9
jLvALQQbefehighiilamtksfkns,iLLLMQcbcgefhghhtsmigfrvv,Face: 4
jLLLLQQcddhfgiihipkrrfkehom,iLLALQcbcedfghhhtsajjcqea,Face: 15
jLLALAQbcedhghiiidwlkqgaqdb,iLLALQcbcedfghhhtsajjcqea,Face: 11
hLLLQkbdfgefggdweqdwov,iLLALQcbcedfghhhdvujwcetq,Edge: 12
jLLLPPQbddfhighiidwfrwhnwtx,iLLALQcbcedfghhhdvujwcetq,Face: 15
