id,oriented,tetrahedra
fLLQcacedeenkeusf,1,5
gLLAQbdedffflvqgxgr,0,6
gLLAQcedcfffhqvnqjs,1,6
gLvQQadfeeffjatxnjo,1,6
gLLPQacefeffnkqjbkw,1,6
gLLAQbddeeffevnmhvw,1,6
hLLLQkbcfeggfgebplxrbv,0,7
hLLLQkbdefegggtvmltkko,0,7
hLLLQkbdfgegfgtvmmtksk,0,7
hLLAPkccdefgggakvhorsf,0,7
hLLPAkbddeefggevsaevqn,1,7
hLLAAkbcedefgglsajlsqn,1,7
hLLAMkcedeffgghqvtpkww,1,7
hLvAQkaefegfggneqsosjb,1,7
hLvMQkbefefgfgpamtmpcj,1,7
hLLPAkcdfeefgguoiiixej,1,7
hLLPMkcdefffggdvalarbw,1,7
hLLzQkacefefggnkqjvkxk,1,7
hLLMAkacdeffggnkankgaj,1,7
gLLPQcdeffefpkatppk,0,6
iLLLPQcbcegfhghhdfutgnsrr,0,8
iLLLPQcbcgfhfhghebddnbgck,0,8
iLLLPQcbddgfhghhasffrsjfr,0,8
iLLLMQccdeegghhhuoiijssrv,0,8
iLLLMQcbdgffhghhtvdlgjocc,0,8
iLLALQcbcdeghghhlsgijaoax,0,8
iLLLPQccdfgfhghhuodufocbj,0,8
iLvLQQccfeghfhghtlaplccjs,0,8
iLLLQPcbdegefghhtvmqtgwxj,0,8
gLLMQbcdeffferwhuwf,0,6
iLLALQcbcdegghhhlsnusgeei,0,8
iLLLQPccddegfghhtgfmgjfew,0,8
iLLLMQcbedefghhhaafdbrwwb,0,8
iLvAQPccdcegfghhhvnhncvaw,1,8
iLvAQMccdcefgghhqvnqckvaj,1,8
gLLPQceeffefhqteaxt,1,6
iLLLMQcbceghfgghlsaaosgbr,1,8
iLLAMMcbdeefgghhevhqavshk,1,8
iLLLAQcbcfgfgfhhlsladosak,1,8
iLvLQQcafegfghhhndsnsjrko,1,8
iLvAMQcadfeghhghjatnjumja,1,8
iLLzPQccdfefgghhqktqkjjjs,1,8
iLvLQQcadghgfhhgnugjnvokj,1,8
iLLLAQcbcegffghhpwmaqwbmk,1,8
iLLLAQcccfgefghhdwatafshk,1,8
iLLLMQcbdeghgfhhmktivrkwb,1,8
iLLLMQcbcfgfhhghebpasfrjg,1,8
iLLLPQcbcfefgghhtottgoosn,1,8
iLvLQQcaefhggfhhntkjnvbko,1,8
iLvAPQcaefgffghhnuqrfrstk,1,8
iLvAAQcaefeghhghneqvfmakd,1,8
iLLLAQcbcfgehhghebpmetlwt,1,8
iLLLPQcbedhfhhggpdfpggcrr,1,8
iLLLMQcbdegghfhhmvtavvksw,1,8
hLLzQkcdfgegfghfqlmjff,0,7
hLLLQkbcefgfgglsmixgbv,0,7
hLLzQkcdefggfglkatufsv,0,7
hLLLQkcdfefgggpgqmugbj,0,7
jLLLLQQbddghghiiiasfnsvbiqu,0,9
jvLALQQdcfigfhihissaaalbgjc,0,9
jLLLzQQbcegiihghidfuthafvse,0,9
jLLLLQQbdegfhihiitvmkjsbnnj,0,9
jLLLLQQbddhfhiihiasfrojplre,0,9
jLvLAQQbhfhgihgiitdahgsofob,0,9
jLLLLQQbdfhfighiimvdvjvcffc,0,9
jLLLLQQbdfifhgihimkdvjkcfok,0,9
jLLLwQQccfggfhiiiakaxkfodpi,0,9
jLLLwQQbedehgiihiaafdfopqjp,0,9
jLLLLQQbddghihiihasfnsabiqb,0,9
jLvLMQQcefhgfihiiuiaufcorkj,0,9
jLLLPPQcdfgghhiiilkxlgggume,0,9
jLLLAMQccfegghhiiubadmrxmvw,0,9
jLLLLQQbdegiighhitvmkjbosrj,0,9
jLLLLQQbddfhghiiiasfcscnlei,0,9
jLLvPQQcdgiifhhihpopwkffrwb,0,9
jvLLMQQceegfihihikfotpbgvkc,0,9
jLLLLQQbdfhfigihimvdvjvckcw,0,9
jLLLMMQbedefhiihiaafdbvdecl,0,9
jLLAzPQccdeghghiiakvhkivhck,0,9
jLLvPQQcdegfihhiidvegrvsonk,0,9
jvLLMQQcegfhgihiikfmmtmfksc,0,9
jLvLAQQcfhegiighitlxljssjsn,0,9
jLvLAQQbefhgigihieiaekfrkob,0,9
jLwLLQQacgfhihiihjgjkiattau,0,9
fLLQcbeddeehhjkeu,1,5
hLLAPkbcedgfggajhfcbrs,0,7
hLLAAkbcedffgglsajhvpk,0,7
jLLLMPQbedefghiiiaafdbonxdi,0,9
jLLALQPccdefghhiiakvhvnhlvj,0,9
jLLLLQQbedffgihiiaafssognbw,0,9
hLLAMkbdedfgfgdvawaqrw,1,7
hLLAAkacdeefggnkairaqn,1,7
hLLLQkbceefggghguxtjjv,1,7
hLLAPkbdeefgggevhqijfg,1,7
hLLAMkcdeefgggpkhaqokg,1,7
jLLMvQQbcefgiihihmvpasdpcds,1,9
jLLLLQQbceighghhilsaosnosfr,1,9
jLLLMAQbcefhggihixvipcrkqkw,1,9
jLLLPAQbcfehhgihilsqhnojhfn,1,9
jLvLAQQbfehihhggixhipcgckjk,1,9
jLwLAPQacgfeihhiingrrbuqqdg,1,9
jLvMPPQbfegfghihixpqpevnakw,1,9
jLLLMMQccfghghiiiubalkkriii,1,9
jLLvMQQcdefhhgihiqgmrwfobbn,1,9
jLLvPQQcdhfghighiqgarsjkgbn,1,9
jLLvAQQcdhfgfhihihstqjfcxor,1,9
jLvALQQadfhgfihiijamesbmpmv,1,9
jLvQLPQadfegihhiinaqmtliksv,1,9
jLvLPQQceefhghihiuiidsjsnck,1,9
jLvwMQQadfigfhhiijawebbwfhp,1,9
jLvLPQQadhifgghiijhwqokskam,1,9
jLvLPQQadhfgihgiinujrfakjau,1,9
jLLLAMQccefgfhiiiubqmufeavw,1,9
jLLLLQQcddgfghhiiivfjffvfxk,1,9
jLLLLQQcddgfghhiiicsjffvfxk,1,9
