id,oriented,tetrahedra
fLLQccecddehhrwjn,1,5
gLLQPcdcdefflgrfmqn,1,6
gLLAQccedfeftnhchwn,1,6
gLALQbcbeeffhxjsbxr,1,6
fLLQcacdeeenkexjn,1,5
hLLAAkbcdeefggpfreeohs,1,7
hLLAAkacedefggnktaklhr,1,7
hLLPMkcdcfegfghrrqaqkn,1,7
hLALPkbcbegfggxhjsatgk,1,7
hLALPkbcbegffgxhjrqawk,1,7
gLLMQbcdefffebbmijw,1,6
gLLAQbcedefftsxfasw,1,6
iLLMAMcbdedffghhlsaflolhn,1,8
iLLAMMcbddeffghhmkbqajqqw,1,8
iLLAMMcbddeffghhmvrqajqqw,1,8
iLLAAMcbdedffghhlvagiraqj,1,8
iLLAMMccedefgfhhlhvahnjxk,1,8
iLLLQMccefdgeghhlhdklrsqj,1,8
iLALLQcbcbffghhhxhjqxawvw,1,8
iLALLQcbcbegghhhxhjsajgwv,1,8
iLALLQcbcbffhhghxhjletjkn,1,8
hLLMMkbceefgggebdxassr,1,7
hLLAPkacdegfggjkxxaafo,1,7
jLLLQPPcddfgfghiiqvfacgoqxj,1,9
jLLAPMPccdegfghiilkbhscgdxr,1,9
jLLLQMPcdfgfgfhiiikqutvkqxr,1,9
jLLLMQPcdfeghggiiqcetbcgfqn,1,9
jLLLQMPbedgefghiihifhpfreqn,1,9
jLLLPQPcdefggghiiqrumvfcrqw,1,9
jLLzMMQcdeghghihilkaanjnxcn,1,9
jLLLQPPcddffgghiiukftfcgtxn,1,9
jLLLAAQbcffehhhiiebpaehqqxn,1,9
jLLLMAQccfgefhihiqfaxnfsxsk,1,9
jLLLAQPccedgghgiiqfawfjaoxn,1,9
jLLALAQbdedhhfihilvagiijxpn,1,9
jLALLAQbcbffhghiixhjqxtfshk,1,9
jLALLPQbcbehhgiiihxjcqsveai,1,9
jLALLMQbcbffghiiihxjqxavxei,1,9
jLAvLQQbcbfhgihiihxjxagscws,1,9
jLALLAQbcbefhgiiihxjcxkvdxq,1,9
jLALLPQcbbffhgiiiqhkuxgrbfo,1,9
iLLMLQcbceefhghhebdxjffvc,1,8
iLLAwQcbdedfhghhdwaslaaks,1,8
gLLMQacdfeffjkxccjk,1,6
kLLPvMQkcdcehgjijijqsnppwdesvr,1,10
kLLMMzAkcedffghhijjiivqqclerxj,1,10
kLLAwAAkbdedfghhijjxvtfdqmkuqn,1,10
kLLPwAMkcdcefghiijjqsneleauubr,1,10
kLLALMAkbcdehghihjjmbbaiwitaqw,1,10
kLLLPQzkcceffhghijjdwuqrfbvhxj,1,10
