id,oriented,tetrahedra
fLAMcbbcdeeemkqqn,1,5
gLALQbcbeeffxxjnkqw,1,6
gLAMPaccdeffjgbqqqw,1,6
gLLPQcdcefffhsnpqnw,1,6
gLALQbcbeeffhhjcvas,1,6
hLLMAkaddeefggjuadjnqn,1,7
hLLAAkacdeefggjkadjlxj,1,7
hLLAAkcedefegglhvaxaxr,1,7
hLLAAkbcedefggtsafasxj,1,7
hLLMMkbcdfefgglrsitrlk,1,7
hLLAMkbdedffggdwugaohj,1,7
fLAMcaccdeejsnaxr,1,5
iLLMLQcaceeghgghnktfaphpj,1,8
iLLPPMcccdegffhhqfribfnhs,1,8
iLLzAQccdcegfghhhsnqsrklj,1,8
iLLMAMcbcdeffghhdfbmufmqn,1,8
iLLPAMccdcfefghhhsnatnhhr,1,8
iLLLMQcbddfgfghhxjflvoniw,1,8
iLLPwQcceeffhhghlhadabonn,1,8
iLLLQMcbdegefghhdwmplkolw,1,8
iLLMLQcacdeghhghnkaniqpms,1,8
iLvLQQcaefehghghjxcrvcvcn,1,8
iLLLMQccddffgghhlkwtkootk,1,8
gLLAQaedeeffnmueffk,1,6
gLLAQbceeefftsxpixj,1,6
gLLPQcdcfeefqcnhawn,1,6
jLLLMPQcddffiiihhtgfagamtmw,1,9
jLLLLQQbdefhhggiihgpbojjjgj,1,9
jLLMwMQaceefhghiinktfspjovk,1,9
jLLzQLQcdcegfihhiqsnqffahrs,1,9
jLLPzQPcdcfgfghiihsrasfohxj,1,9
jLLLLQQacfghfhiiinkgflkpdms,1,9
jLLLMPQcddfhihiihtgfadathad,1,9
jLLLLQQacfgifihhinkgfukemds,1,9
jLvLAQQaeghhgigiijxgrrgdcmq,1,9
jLLwLQQacdfgihhiinkaolhmsbb,1,9
jLLALAQbcedgghhiieodgkgumvj,1,9
jLLLwQQbcfgghihiiebpajglfqi,1,9
jLvLMQQaegfighihijxgsucclnt,1,9
hLLLQkadegefggjixvcbvr,1,7
hLLAPkacedfgggnktelpgv,1,7
hLLAAkbdceffgghgrxpgqr,1,7
hLLMPkacdefgfgnkanoikj,1,7
hLLLQkbdeegggfdwiimssj,1,7
hLLPAkbddeefggdwsmlrxj,1,7
hLLLQkbdfgeggfhghiewkk,1,7
hLLMAkacedffggnktrkbxw,1,7
hLLAMkbddefgfgtvnlahrk,1,7
kLLLLPQkcedfgjijhijqufvbakukot,1,10
