id,oriented,tetrahedra
eLPkbcdddlfffg,1,4
fvPQccdedeecojgkn,0,5
fLLQcbcdeeetsjaet,1,5
fLLQcbecdeeppnfpu,0,5
eLMkbbddddhapu,1,4
gLLPQcdeffefpoaappo,0,6
gLLAQcedefffaivmixj,0,6
gLLPQcdeffeftsapllb,0,6
gLLPQcdeffefuouuapo,0,6
gLLPQcdefefflwapxxb,0,6
gLLAQcedefffpavuupb,0,6
gLLPQccdefffqffqqof,1,6
gLLPQcdefeffhsaetlk,0,6
gLLMQbcdfeffxccmuvo,1,6
gLLMQbddeeffxvgmukk,0,6
gLLAQaedefffjdausvs,0,6
gLLAQaedefffndaqsvs,0,6
gLwAQacdeeffjghhbhn,0,6
gLLQPcdcdeffpvbbxaj,0,6
fLAPcbbceeedhgjnb,0,5
fLAPcbbceeedhrron,1,5
fLAPcbbceeedhwwsv,1,5
fLAPcacceeejgnksb,0,5
fLAPcacceeengbksb,1,5
hLLLQkbcfegfggebpaejbv,0,7
hLLzQkcdfegfgguouiujnv,0,7
hLLLQkbcfgefgglsmaagsv,0,7
hLLLQkcdfgegfgafeidrfw,0,7
hLLLQkbedfgfggaaflivsn,0,7
hLLAMkbdeefgggmviiavvs,0,7
hLLAMkbdeefgggdwuuawwc,0,7
hLLPAkceeffeggaimdaqor,0,7
hLLAMkbdeefgggajmiajvc,0,7
hvLAQkcdefggfgovvlppdk,0,7
hLLLQkbcfgefggtspadgfv,0,7
hLLAMkcedefgggiivaawvw,0,7
hLwLQkacfgefggjgvbbkgn,0,7
hLwLQkacgeffggngjcjggb,0,7
hLLLQkbcfgefggtsmalgsv,0,7
hLvMQkbefefgggtatttpws,0,7
hLLLQkbcfegfgglredmjrb,0,7
hLLAMkcedefgggiivaajkj,0,7
hLwLQkacefgfggjgnvnbgb,0,7
hLLLQkbdegfgfghgphpbbv,0,7
hLLAMkbdeefgggxvexavss,0,7
hLLPAkcefefeggallaator,0,7
hLLAMkbdeefgggdwddawvc,0,7
hLLPAkcefefeggatlaatok,0,7
fLLQcbeddeehhbghh,1,5
hLLAPkcedegfgghavuhbgb,0,7
hvLAQkcdefgfgggnbuuhus,0,7
hLLPPkcdefegggqoauqkfk,0,7
hLLLQkbcfgefgglsqatgbj,0,7
hLvAQkcdegfgfgavexewrw,0,7
hLLMAkbcdeffggxccepbhn,0,7
hLLAPkbcedfgggtsafjfgb,1,7
hLLLQkbcfgefggtsqatgbr,0,7
hLvAQkadfeggfgnaqckjww,0,7
hLLMMkbcefefgghgaldvrw,0,7
hLLMAkbdedefggxvesenan,0,7
hLLMAkbcdfefggmgoamohk,0,7
hLLAMkbdeeffggmkampvfn,0,7
hLLAMkbdeeffggmkamdkfr,0,7
hLLwQkaedfggfgjiabbgbb,0,7
hLLAAkbdeeffggmkamlmlk,0,7
hLLLQkcdegegfgicmaagnk,0,7
hLLAMkbdeeffggmkammvfr,0,7
hLLwQkaedfgfggjlabbvnb,0,7
hLLAAkbdeeffggmkameixj,0,7
hLLAAkcededfggiivajban,0,7
hLvAQkadffegfgjaicffbw,0,7
hLvPQkccgfefggasatqcbf,0,7
hLvPQkccgfefggasaetjfn,0,7
hLALMkbcbefgggaakoelno,0,7
gLAwQbbcdfffdhgagjk,0,6
gLALQbbceeffpugskqw,0,6
gLAPPbbceeffpugjsxr,0,6
gLAwQbbcdfffdhgqwsv,0,6
