target,source,label
fLLQcbcedeemktfam,eLPkbdcddhgggb,Face: 8
fLLQcbcdeeelsfxet,eLPkbdcddhgggb,Face: 7
eLPkbdcddmgogo,fLLQcbcedeemktfam,Edge: 10
gLvQQbefdeffamtfeuf,fLLQcbcedeemktfam,Face: 10
gLLAQbddefffmkfpafw,fLLQcbcedeemktfam,Face: 8
gLLAQbddefffmvopafw,fLLQcbcedeemktfam,Face: 7
gLvQQbefdeffaqafaqf,fLLQcbcedeemktfam,Face: 2
eLMkbcddddedae,fLLQcbcdeeelsfxet,Edge: 10
gLLAQcddefffarvmerj,fLLQcbcdeeelsfxet,Face: 9
gvLQQcdeffefjvgllvi,fLLQcbcdeeelsfxet,Face: 8
gLLPQccdfefflnnptwf,fLLQcbcdeeelsfxet,Face: 7
gLLMQbdeefffhgahaag,fLLQcbcdeeelsfxet,Face: 3
gLLMQbdedeffxvesenr,fLLQcbcdeeelsfxet,Face: 2
fLLQcbdeedemkamrl,eLPkbdcddmgogo,Face: 8
fLLQcbdeedemkamvq,eLPkbdcddmgogo,Face: 6
fvPQccdedeecckcjf,eLPkbdcddmgogo,Face: 5
hLLMPkcedegfggddvaaogg,gLvQQbefdeffamtfeuf,Face: 11
hLLzQkcdefggfgavmadjfk,gLvQQbefdeffamtfeuf,Face: 10
hLLLQkcdefggfgavuauofn,gLvQQbefdeffamtfeuf,Face: 9
hLLzQkcdegfgfgdcaiaofw,gLLAQbddefffmkfpafw,Face: 12
hLLLQkcddegfggivfajvvw,gLLAQbddefffmkfpafw,Face: 10
hLLLQkcddefgggivfxcjvw,gLLAQbddefffmkfpafw,Face: 9
hvLPQkcdefgfggoofqqaqf,gLLAQbddefffmkfpafw,Face: 8
hLLAPkcdedfgggdvxgwcvs,gLLAQbddefffmkfpafw,Face: 2
hLLzQkcdegfgfgdcataofg,gLLAQbddefffmvopafw,Face: 12
hLLLQkcddefgggivfxcjvw,gLLAQbddefffmvopafw,Face: 10
hLLLQkcddefgggicsxcjvw,gLLAQbddefffmvopafw,Face: 9
hvLPQkcdefgfggfffqqaqf,gLLAQbddefffmvopafw,Face: 8
hLLAPkcdedfgggdcxrwcvs,gLLAQbddefffmvopafw,Face: 2
hLLMPkcedegfggddvaaogg,gLvQQbefdeffaqafaqf,Face: 12
hLvMQkbefgfeggattetakj,gLvQQbefdeffaqafaqf,Face: 10
hLvMQkbefgfeggaqplppfb,gLvQQbefdeffaqafaqf,Face: 9
hLLMPkcedegfggddvaaogg,gLvQQbefdeffaqafaqf,Face: 2
fLLQcbdeedemkamrl,eLMkbcddddedae,Face: 8
fLLQccdcdeepvbbxw,eLMkbcddddedae,Face: 6
fLLQcbdeedemkamnx,eLMkbcddddedae,Face: 5
fLLQcbdeedemkamrl,eLMkbcddddedae,Face: 4
hLLMMkcceffgggqfapubbj,gLLAQcddefffarvmerj,Face: 11
hLLLQkcdefgggfarxqxgck,gLLAQcddefffarvmerj,Face: 10
hLvAQkbeffgeggamqpaqjj,gLLAQcddefffarvmerj,Face: 9
hvLAQkcdegfgfgbrcaemic,gvLQQcdeffefjvgllvi,Face: 12
hLvAQkcdefggfguvupqvgk,gvLQQcdeffefjvgllvi,Face: 9
hvLPQkcdefgfggfffqqaqf,gvLQQcdeffefjvgllvi,Face: 7
hLLwQkcedfggfgqtvaqovf,gvLQQcdeffefjvgllvi,Face: 6
hLLAPkccedfgggqfafgbow,gLLPQccdfefflnnptwf,Face: 11
hLLPAkccdeffgglnnqhnhj,gLLPQccdfefflnnptwf,Face: 10
hLLMMkcceffgggqfapubbj,gLLMQbdeefffhgahaag,Face: 11
hLvMQkbefgfeggattitacj,gLLMQbdeefffhgahaag,Face: 10
hLLAPkccedfgggqfafgbow,gLLMQbdeefffhgahaag,Face: 9
hLLMMkcceffgggqfapubbj,gLLMQbdeefffhgahaag,Face: 3
hLLAPkccedfgggqfafgbow,gLLMQbdeefffhgahaag,Face: 2
fLLQccdcdeepvbbxw,gLLMQbdedeffxvesenr,Edge: 12
hLLLQkcdefgggfarxqxgck,gLLMQbdedeffxvesenr,Face: 11
hLLLQkcdfgfegghsluurww,gLLMQbdedeffxvesenr,Face: 10
hLLPAkccdeffgglnnqhnhj,gLLMQbdedeffxvesenr,Face: 9
eLMkbcddddedae,fLLQcbdeedemkamrl,Edge: 10
gLLAQbdeefffmkamiiv,fLLQcbdeedemkamrl,Face: 9
gLLPQcdeffefpwaqppf,fLLQcbdeedemkamrl,Face: 8
gLLAQbdeefffmkamitk,fLLQcbdeedemkamrl,Face: 7
gLLAQbdeefffmkamppv,fLLQcbdeedemkamrl,Face: 3
gLLAQbdeefffmkamduk,fLLQcbdeedemkamrl,Face: 2
gLLPQcdfeeffioiiimo,fLLQcbdeedemkamvq,Face: 10
gLLAQbdeefffmkamitk,fLLQcbdeedemkamvq,Face: 9
gLLPQcdeffefdvaqllf,fLLQcbdeedemkamvq,Face: 8
gLLAQbdeefffmkamldv,fLLQcbdeedemkamvq,Face: 7
gLLAQbdeefffmkamptn,fLLQcbdeedemkamvq,Face: 2
gvLQQcdefeffogoiomi,fvPQccdedeecckcjf,Face: 10
gLLPQcdefeffhsaixlc,fvPQccdedeecckcjf,Face: 9
gLLAQcedefffdhvqadf,fvPQccdedeecckcjf,Face: 8
gLLPQcdeffefdvaiplc,fvPQccdedeecckcjf,Face: 7
gLvQQbefdeffaqafaqf,hLLMPkcedegfggddvaaogg,Edge: 10
iLLLAQcbedfghghhaafqqaoaq,hLLMPkcedegfggddvaaogg,Face: 9
iLLLAQccegfeghhhadaatrroc,hLLMPkcedegfggddvaaogg,Face: 8
iLLLAQccegfeghhhadaatgrov,hLLMPkcedegfggddvaaogg,Face: 7
iLLLAQcbedfghhghaafleadoi,hLLMPkcedegfggddvaaogg,Face: 2
iLLvQQccdehfgghhavxdcgorv,hLLzQkcdefggfgavmadjfk,Face: 14
iLLLPQcbedhfgghhpafpovofk,hLLzQkcdefggfgavmadjfk,Face: 12
iLvAMQcbefefghhhamteujjfo,hLLzQkcdefggfgavmadjfk,Face: 11
iLLLPQccdefhghghavuxrovor,hLLLQkcdefggfgavuauofn,Face: 14
iLvAMQcbefefhghhamteujjof,hLLLQkcdefggfgavuauofn,Face: 12
iLLLPQcbedhgfghhpafpcsofk,hLLLQkcdefggfgavuauofn,Face: 11
gLLPQcdfeeffioiiimo,hLLzQkcdegfgfgdcaiaofw,Edge: 10
ivLAMQccedfhghghovcttugrv,hLLzQkcdegfgfgdcaiaofw,Face: 14
iLLvQQccdhehfgghioaiofjwb,hLLzQkcdegfgfgdcaiaofw,Face: 12
iLvLQQcbdeghfhghmnhhwbcco,hLLzQkcdegfgfgdcaiaofw,Face: 11
iLLLMQcbdefghghhmvpqkvobk,hLLzQkcdegfgfgdcaiaofw,Face: 5
iLLvQQccdehfgghhavxdcgorv,hLLzQkcdegfgfgdcaiaofw,Face: 4
ivLAPQceddfghghhgggahabbb,hLLLQkcddegfggivfajvvw,Face: 8
iLLLMQccddehhgghivfaxxvwt,hLLLQkcddegfggivfajvvw,Face: 7
iLLvQQccefghghhgiiehibbbc,hLLLQkcddegfggivfajvvw,Face: 5
gLLAQbddefffmvopafw,hLLLQkcddefgggivfxcjvw,Edge: 10
iLLLMQccddehhgghicsaxxvwt,hLLLQkcddefgggivfxcjvw,Face: 7
iLLLMQcceffhhgghiieadvfff,hLLLQkcddefgggivfxcjvw,Face: 5
iLLLMQccddehhgghivfxxxvwe,hLLLQkcddefgggivfxcjvw,Face: 2
ivLAMQccedfhghghovcttugrv,hvLPQkcdefgfggoofqqaqf,Face: 14
ivLAMQccedfhghghovcttugrv,hvLPQkcdefgfggoofqqaqf,Face: 12
iLvAMQccdegfhghhavttcjovr,hvLPQkcdefgfggoofqqaqf,Face: 4
iLLLMQcbdefghghhmvpqkvobk,hLLAPkcdedfgggdvxgwcvs,Face: 14
iLLLMQccddehhgghivfaxxvwt,hLLAPkcdedfgggdvxgwcvs,Face: 12
iLLLMQccddehhgghicsaxxvwt,hLLAPkcdedfgggdvxgwcvs,Face: 11
iLLALQccdedhhgghdvxgxlvsa,hLLAPkcdedfgggdvxgwcvs,Face: 2
gvLQQcdefeffogoiomi,hLLzQkcdegfgfgdcataofg,Edge: 10
ivLAPQcceffghghhwvlldalrs,hLLzQkcdegfgfgdcataofg,Face: 14
