target,source,label
fLLQcaddeeejidpxc,eLAkaccddjsjaj,Face: 7
fLAMcaccdeejnbaxr,eLAkaccddjsjaj,Face: 5
gLLPQccdefffpvnepwk,fLLQcaddeeejidpxc,Face: 9
gLLAQcddeefflgwamnn,fLLQcaddeeejidpxc,Face: 8
gLLAQadedeffjillsfj,fLLQcaddeeejidpxc,Face: 7
gLLMQccdfeffpvwmhgj,fLLQcaddeeejidpxc,Face: 6
gLLMQbdedeffasqfxjs,fLLQcaddeeejidpxc,Face: 3
gLLAQbceeefflruiixj,fLAMcaccdeejnbaxr,Face: 7
gLALQbcbeeffhajofhs,fLAMcaccdeejnbaxr,Face: 2
gLLAQacdefefjbqaqkn,fLAMcaccdeejnbaxr,Face: 1
hLLMPkbcdegfggebbujbss,gLLPQccdefffpvnepwk,Face: 11
hLLAPkbdedgfgglrasbvgs,gLLPQccdefffpvnepwk,Face: 9
hLLAPkbcdegfggebblsgvc,gLLAQcddeefflgwamnn,Face: 11
hLLAAkbddeefggxwrxxrxr,gLLAQcddeefflgwamnn,Face: 9
fLLQcadddeejhahqs,gLLAQadedeffjillsfj,Edge: 8
hLLLQkbcdgfgfgebnajngg,gLLAQadedeffjillsfj,Face: 12
hLLAMkbdedffggtvarxktk,gLLAQadedeffjillsfj,Face: 11
hLLAPkbcedfgfgajhfjsjs,gLLAQadedeffjillsfj,Face: 9
hLLLQkcefefgggutddduck,gLLMQccdfeffpvwmhgj,Face: 11
hLLAPkbcdegfggebblsgvc,gLLMQccdfeffpvwmhgj,Face: 10
hLLAMkbdedffggtvarxktk,gLLMQccdfeffpvwmhgj,Face: 9
hvLPQkcdefggfgkckxhaxk,gLLMQccdfeffpvwmhgj,Face: 7
hLLMPkbddefgggxvrqsorn,gLLMQccdfeffpvwmhgj,Face: 2
hLLMPkbcdegfggebbujbss,gLLMQbdedeffasqfxjs,Face: 11
hLLMAkbddeefggasbiisqw,gLLMQbdedeffasqfxjs,Face: 10
hLLLQkbefgfefgaadldins,gLLMQbdedeffasqfxjs,Face: 9
hLLMPkbcdegfggebbujbss,gLLMQbdedeffasqfxjs,Face: 8
hLLAAkbddeefggxwrxxrxr,gLLAQbceeefflruiixj,Face: 7
hLLLQkbefggegfemhxhekk,gLLAQbceeefflruiixj,Face: 5
hLALPkbcbffggghajttdtb,gLALQbcbeeffhajofhs,Face: 9
hLAMzkaccdefggjnbaaaxr,gLALQbcbeeffhajofhs,Face: 3
hLALAkbcbeefgghajkwhhk,gLALQbcbeeffhajofhs,Face: 2
hLLAAkaddeefggjmapcjxj,gLLAQacdefefjbqaqkn,Face: 9
gLLMQbdedeffasqfxjs,hLLMPkbcdegfggebbujbss,Edge: 10
iLLAzQcccdeghghhakvhvqcqa,hLLMPkbcdegfggebbujbss,Face: 10
iLvAMQccdegfhghhaveicffvr,hLLMPkbcdegfggebbujbss,Face: 8
iLLAwQcbdedfghhhevlslldww,hLLMPkbcdegfggebbujbss,Face: 4
iLLALQcbedefghhhaanuvsfgf,hLLMPkbcdegfggebbujbss,Face: 2
iLLLMQcbcegfhhghestajfkvc,hLLAPkbdedgfgglrasbvgs,Face: 14
iLLAzQcceddfghhhpqvnnoilp,hLLAPkbdedgfgglrasbvgs,Face: 12
iLLMwQcbcdefhghhlsbhutpkj,hLLAPkbdedgfgglrasbvgs,Face: 4
