id,oriented,tetrahedra
eLMkbcdddhhqxh,1,4
fLLQcbcdeeehvrmpm,0,5
gLLMQbcdeffflsbhisb,0,6
gLLMQbcdefffebbuurw,0,6
gvLQQcdefeffbnrpfld,0,6
gLLPQcdefeffpgaemxj,0,6
gLLAQbcedfffajhfhjf,0,6
hLLAPkbdedfgggevlsfvrr,0,7
hLLAMkbdedfggglrasliih,0,7
hLvAQkbeffegggeeeaamvg,0,7
hLLLQkcddfggfgukfikkfn,0,7
fLLQcacdeeenkaakn,1,5
hvLAQkcdfgefggwjlibeav,0,7
hLLLQkbdgefgfgevttmssg,0,7
hLLAPkbcdefggghjotwggv,0,7
hLLAPkbddegfggevoprbwk,0,7
hLLAPkccdegfggakvhvvkn,0,7
hvLAQkcdfegfggffafhdmv,0,7
hvLAQkcedgfgfgfjfhhaho,0,7
hvLAQkcdfeggfgjgagudpj,0,7
hLLLQkbedgffggdpfulgww,0,7
hLvAQkbefegfggdadxumfb,0,7
hvLAQkcedgfgfgfsjeemmw,0,7
hLLLQkbedegfggaafmuwfs,0,7
iLLALQcbcedghghhajhfjqoqx,0,8
iLLMwQcbcdefghhhebbuuaarr,0,8
iLvLQQccegfhhfghapaqlbjvr,0,8
iLLLMQcbedeghhghaafmjgsgv,0,8
iLLLMQcbdeehgghhevqqkkrof,0,8
iLLLMQcbedfghhghlifxkcsog,0,8
ivLLQQcddehfghghojfxdljrv,0,8
iLLLMQcbcfefhghhebpajwvko,0,8
iLLwMQccedgfghhhttvanbrjj,0,8
iLLLPQcbcfefhghhlsmagsvkk,0,8
iLLLMQccdefgfhhhacpabfkbj,0,8
iLLAzQccddefhghhhrraopgdi,0,8
iLLLAQcbedefghhhaafmewepa,0,8
gLLAQcedefefuqvdxtj,1,6
gLLAQbcdeefflsohtsr,0,6
gLLQPcdcdeffqckvahk,1,6
iLvLQQcbdefhgghhhfqhsojoo,0,8
ivLAAQccefeghhghfvagmarsg,0,8
iLLALQcbcdefghhhlsohsgitt,0,8
iLvAMQccdeffhghhpvamcnnvj,0,8
iLLLPQcbcegfhhghdfxtgnfvn,0,8
iLLLAQcbcfeghhghebpueidrm,0,8
iLLLAQccddefhghhtgfmjevdd,0,8
iLLMLQcbdedghghhajpfjmrde,0,8
iLLAwQcbdedfhghhevdgaptcf,0,8
iLvLQQcbefghghghetaqpkfww,0,8
iLLLMQccddeghhghtgfmgiivl,0,8
iLLLMQcbedefhghhaafdbkooj,0,8
iLLvQQccdfhgfghhtgadjgkov,0,8
ivLLQQcddehfghghojfxdlcnv,0,8
ivLAMQccedghfhghwvcdpivss,0,8
iLvLQQcbdeghfghhafdprwjno,0,8
iLLzMQccdefghhghpwaxoogkn,0,8
iLLvQQccdfhhfgghhsahjsoso,0,8
ivLLQQcdedhfghghogglpigrw,0,8
ivLLQQcdefghfhghokphaiafs,0,8
iLLLPQccdefhgghhaguajornj,0,8
iLLzPQccdfehghghpwmlcwogg,0,8
iLvAMQcbefegghhhdaqpxvggv,0,8
ivLLQQccdhefghghwrawdlwfw,0,8
iLLvQQccdhfgfhghafmxrknov,0,8
iLLLMQccdgehfhghacauboorn,0,8
iLLvQQcbeefhgghhaaditsrnf,0,8
iLLLPQcbedhffghhaafhjjoos,0,8
jLLLMPQbedefgihiiaafmwspfaa,0,9
jLLLMMQbedefhiihiaafmwneefq,0,9
hLLAPkacdegfggnkaaaakk,0,7
jLLAPLQccdegfihiiakvhvvaakk,0,9
jLLLLQQbcehfighiiasdksbvfoj,0,9
jLLMPLQbceefgihiiasxdukhafc,0,9
jLLLLQQbedghgihiiaafjjfjfjo,0,9
jLvLMQQbdegfihhiiafdbfcsnbn,0,9
jLLAwAQbdedfhgiiilraslahaii,0,9
jLLvQPQbeehfgiihiaadaandlsd,0,9
jLLAPzQbdedfghiiievlsfvaarr,0,9
hLLAPkaedefgggniaerdqe,0,7
jLLLAMQbdeefhiihievqqplttqs,0,9
hLLPPkcdefggfgpwampfrw,0,7
jLLvAQQcdfgifhhiilcalafcsqh,0,9
jLLLMPQbedgfighiidpfugiwbqq,0,9
hLvAQkbeffeggglaladmjj,0,7
jLvALQQcdeghhgiiiavewvowvkw,0,9
jLLwPPQcedhfgihiiplvtgolrdq,0,9
hLvAQkbeffgefgdaheahsn,0,7
jLLLLQQbddfhihiihajfcjtgxuf,0,9
jLLLLQQccfghfhiiipvegnfkbjc,0,9
jLLLLQQccfggfhiiitnajjfbnbc,0,9
jLLLLQQccfghfhiiitndgnfkbjc,0,9
jLLLAPQbegfghhiiieammmfviil,0,9
jLLLAPQbefgfhiihieadddveert,0,9
jLLvPQQcdigihghihawtgjwrwwv,0,9
hLLPPkcdeffggghsaelcco,0,7
hLLLQkbdegefggevmlekww,0,7
jLLPLPQccefhihihianqagaoeje,0,9
jLLLLQQccfggfhiiianajjfwncr,0,9
