target,source,label
fvPQccdedeejjnjbc,eLPkbcdddlwnnv,Face: 8
fLLQcbdeedehgahvi,eLPkbcdddlwnnv,Face: 7
fLLQcbcdeeepfgeap,eLPkbcdddlwnnv,Face: 6
fLLQcbecdeehhnfmu,eLPkbcdddlwnnv,Face: 5
fLLQcbcdeeelogpal,eLPkbcdddlwnnv,Face: 2
fLLQcbcdeeelsnueq,eLPkbcdddlwnnv,Face: 1
gLLPQcdeffefdvaallo,fvPQccdedeejjnjbc,Face: 10
gvLQQcdefefffwfejpp,fvPQccdedeejjnjbc,Face: 9
gLLAQcedefffhqvtpdk,fvPQccdedeejjnjbc,Face: 8
gLLPQcdeffefdvamalg,fvPQccdedeejjnjbc,Face: 6
gvLQQcdefefforwawpx,fvPQccdedeejjnjbc,Face: 5
gLLPQcdeffefugutaeg,fvPQccdedeejjnjbc,Face: 4
gLLPQcdeffefdvaeplk,fLLQcbdeedehgahvi,Face: 10
gLLAQbdeefffevdmtek,fLLQcbdeedehgahvi,Face: 9
gLLPQcdfeeffqoiiieo,fLLQcbdeedehgahvi,Face: 8
gLLPQccdefffqffmunf,fLLQcbdeedehgahvi,Face: 7
gLLAQbddefffmkbhafw,fLLQcbcdeeepfgeap,Face: 10
gLvQQbefdeffmeifieb,fLLQcbcdeeepfgeap,Face: 9
gLLAQbddefffmvrhafw,fLLQcbcdeeepfgeap,Face: 8
gLLAQbddefffmvndafw,fLLQcbcdeeepfgeap,Face: 5
gLLAQbddefffmkcdafw,fLLQcbcdeeepfgeap,Face: 4
gLLPQcdeffefavuqatf,fLLQcbcdeeepfgeap,Face: 1
gLLPQbddeeffevsaevj,fLLQcbecdeehhnfmu,Face: 9
gLLAQbcedefflsajlss,fLLQcbecdeehhnfmu,Face: 7
gLLPQcdeffefdvalalr,fLLQcbcdeeelogpal,Face: 10
gLLAQbdeefffevdmtek,fLLQcbcdeeelogpal,Face: 9
gLLPQcdeffefloaxals,fLLQcbcdeeelogpal,Face: 8
gLLPQbddeeffevsaevj,fLLQcbcdeeelogpal,Face: 7
gLLPQbddeeffenoaevj,fLLQcbcdeeelogpal,Face: 2
gLLAQbdedffflkawxrj,fLLQcbcdeeelsnueq,Face: 10
gLLPQccdefffqffmunf,fLLQcbcdeeelsnueq,Face: 9
gLLAQbcedefflsajlss,fLLQcbcdeeelsnueq,Face: 7
gLLAQbcedefftsajlsw,fLLQcbcdeeelsnueq,Face: 2
hLLLQkbcegfgfgpwpaifwb,gLLPQcdeffefdvaallo,Face: 12
hLLAPkcedegfggidvlinnf,gLLPQcdeffefdvaallo,Face: 11
hvLAQkcedfgfggovbthxaj,gLLPQcdeffefdvaallo,Face: 10
hLLLQkbdefgfggmvlaefrb,gLLPQcdeffefdvaallo,Face: 8
hLLLQkbdefgfggmvqaewrb,gLLPQcdeffefdvaallo,Face: 5
hLLLQkbdegffggmkqiawrb,gLLPQcdeffefdvaallo,Face: 4
hLLLQkcdfgefggaveitskw,gLLPQcdeffefdvaallo,Face: 1
hvLAQkcdegffggorwtmxaj,gvLQQcdefefffwfejpp,Face: 12
hvLAQkcedgffggovcdaxaj,gvLQQcdefefffwfejpp,Face: 11
hvLAQkcdfegfggnwakaqqw,gvLQQcdefefffwfejpp,Face: 10
hvLAQkcdfgegfgnrqhbutw,gvLQQcdefefffwfejpp,Face: 9
hLLzQkcdegfgfgdcaxaofj,gvLQQcdefefffwfejpp,Face: 5
hvLPQkcdefgfgggsfdumlj,gvLQQcdefefffwfejpp,Face: 4
hLLAMkbdeefgggevaeavgb,gLLAQcedefffhqvtpdk,Face: 10
hLLAMkbdeefgggdwtiawsc,gLLAQcedefffhqvtpdk,Face: 9
hLLLQkbcfgfggflsladros,gLLAQcedefffhqvtpdk,Face: 7
hLLAMkbdeefgggxvaxavgb,gLLAQcedefffhqvtpdk,Face: 4
hLLAPkcedegfggidvlinnf,gLLPQcdeffefdvamalg,Face: 12
hvLAQkcedgffggovcdaxaj,gLLPQcdeffefdvamalg,Face: 11
hLLLQkbcegfgfgpwmaqfwb,gLLPQcdeffefdvamalg,Face: 10
hLLLQkbdefgfggmvtaevrb,gLLPQcdeffefdvamalg,Face: 8
hLLLQkbdegffggmktiavrb,gLLPQcdeffefdvamalg,Face: 6
hLLLQkbdefgfggmvpaekrb,gLLPQcdeffefdvamalg,Face: 5
hLLLQkcdefggfgaveaiwfs,gLLPQcdeffefdvamalg,Face: 1
hvLAQkcedfgfggovbthxaj,gvLQQcdefefforwawpx,Face: 12
hvLAQkcdfeggfgjwafattw,gvLQQcdefefforwawpx,Face: 11
hvLAQkcdefgfggonkxlxaj,gvLQQcdefefforwawpx,Face: 10
hLLzQkcdegfgfgdcauaofk,gvLQQcdefefforwawpx,Face: 7
hvLPQkcdefgfgggvftuelw,gvLQQcdefefforwawpx,Face: 6
hLLzQkcdfgefggqktpqkjj,gvLQQcdefefforwawpx,Face: 4
hvLAQkcdfgegfgnrqhbutw,gLLPQcdeffefugutaeg,Face: 11
hLLLQkbcfeggfgtsixljsv,gLLPQcdeffefugutaeg,Face: 8
hLLLQkcdefggfgtsealwfr,gLLPQcdeffefugutaeg,Face: 5
hLLLQkcdffgggfushadjof,gLLPQcdeffefugutaeg,Face: 4
hLLLQkbedgffggaifixrnv,gLLPQcdeffefugutaeg,Face: 2
fLLQcbeddeemdcgll,gLLPQcdeffefdvaeplk,Edge: 12
hLLAPkcedegfggiavpionf,gLLPQcdeffefdvaeplk,Face: 11
hvLAQkcdfgegfggjaubpiv,gLLPQcdeffefdvaeplk,Face: 10
hLLLQkbcegffggpgpatgkv,gLLPQcdeffefdvaeplk,Face: 9
hLLLQkbdefgfggmvlaefrb,gLLPQcdeffefdvaeplk,Face: 8
hLLLQkbdegffggmkliafrb,gLLPQcdeffefdvaeplk,Face: 6
hLLLQkbdefgfggmvqaewrb,gLLPQcdeffefdvaeplk,Face: 5
hLvAQkcdegfgfgavxxuccf,gLLPQcdeffefdvaeplk,Face: 1
fLLQcbcdeeelogpal,gLLAQbdeefffevdmtek,Edge: 12
hLLLQkbcegfgfghgtaengv,gLLAQbdeefffevdmtek,Face: 9
hLLLQkbcfgggfflslaqrbs,gLLAQbdeefffevdmtek,Face: 7
hLLAAkcddeffggqcvhxfqr,gLLAQbdeefffevdmtek,Face: 2
hvLAQkcdfgegfggjaubpiv,gLLPQcdfeeffqoiiieo,Face: 11
hLLwQkbdefggfghraxarjs,gLLPQcdfeeffqoiiieo,Face: 10
hLLLQkcdfegfggqohiqkns,gLLPQcdfeeffqoiiieo,Face: 9
hLLzQkcdegfgfgdcalaofv,gLLPQcdfeeffqoiiieo,Face: 7
hvLAQkcdefgfggojodxqxn,gLLPQcdfeeffqoiiieo,Face: 5
fLLQcbcdeeelsnueq,gLLPQccdefffqffmunf,Edge: 12
fLLQcbcdeeetogpat,gLLPQccdefffqffmunf,Edge: 8
hLLPAkccdfefggqffqqwxj,gLLPQccdefffqffmunf,Face: 2
hLLLQkcddefgggiffewcvw,gLLAQbddefffmkbhafw,Face: 11
hvLPQkcdefgfggbbcqqaqf,gLLAQbddefffmkbhafw,Face: 10
hLLLQkcddefgggiffpbcvw,gLLAQbddefffmkbhafw,Face: 9
hLLzQkcdegfgfgdcalaofv,gLLAQbddefffmkbhafw,Face: 5
hLLAPkcdedfgggdfxjwcvs,gLLAQbddefffmkbhafw,Face: 1
hLLLQkccfgefggdwaphnwr,gLvQQbefdeffmeifieb,Face: 10
hLLLQkccfeggfgdwahpwnr,gLvQQbefdeffmeifieb,Face: 9
hLLMPkcedegfggddvadojj,gLvQQbefdeffmeifieb,Face: 8
hLvMQkbefgfeggmuueuibv,gLvQQbefdeffmeifieb,Face: 7
hLvMQkbefgfeggmedlddns,gLvQQbefdeffmeifieb,Face: 6
hLvMQkbefgfeggpdalaarv,gLvQQbefdeffmeifieb,Face: 5
hLLLQkcddefgggissewcvw,gLLAQbddefffmvrhafw,Face: 11
hvLPQkcdefgfgggssdmmdf,gLLAQbddefffmvrhafw,Face: 10
hLLLQkcddefgggisspbcvw,gLLAQbddefffmvrhafw,Face: 9
hLLzQkcdegfgfgdcaxaofj,gLLAQbddefffmvrhafw,Face: 5
hLLAPkcdedfgggdrxnwcvs,gLLAQbddefffmvrhafw,Face: 1
hLLLQkcddefgggiffewcvw,gLLAQbddefffmvndafw,Face: 12
