id,oriented,tetrahedra
eLPkbcdddlwnnv,1,4
fvPQccdedeejjnjbc,1,5
fLLQcbdeedehgahvi,1,5
fLLQcbcdeeepfgeap,0,5
fLLQcbecdeehhnfmu,1,5
fLLQcbcdeeelogpal,1,5
fLLQcbcdeeelsnueq,1,5
gLLPQcdeffefdvaallo,0,6
gvLQQcdefefffwfejpp,1,6
gLLAQcedefffhqvtpdk,1,6
gLLPQcdeffefdvamalg,0,6
gvLQQcdefefforwawpx,1,6
gLLPQcdeffefugutaeg,0,6
gLLPQcdeffefdvaeplk,0,6
gLLAQbdeefffevdmtek,1,6
gLLPQcdfeeffqoiiieo,1,6
gLLPQccdefffqffmunf,1,6
gLLAQbddefffmkbhafw,0,6
gLvQQbefdeffmeifieb,0,6
gLLAQbddefffmvrhafw,0,6
gLLAQbddefffmvndafw,0,6
gLLAQbddefffmkcdafw,0,6
gLLPQcdeffefavuqatf,0,6
gLLPQbddeeffevsaevj,1,6
gLLAQbcedefflsajlss,1,6
gLLPQcdeffefdvalalr,0,6
gLLPQcdeffefloaxals,1,6
gLLPQbddeeffenoaevj,1,6
gLLAQbdedffflkawxrj,0,6
gLLAQbcedefftsajlsw,1,6
hLLLQkbcegfgfgpwpaifwb,0,7
hLLAPkcedegfggidvlinnf,0,7
hvLAQkcedfgfggovbthxaj,0,7
hLLLQkbdefgfggmvlaefrb,0,7
hLLLQkbdefgfggmvqaewrb,0,7
hLLLQkbdegffggmkqiawrb,0,7
hLLLQkcdfgefggaveitskw,0,7
hvLAQkcdegffggorwtmxaj,1,7
hvLAQkcedgffggovcdaxaj,0,7
hvLAQkcdfegfggnwakaqqw,0,7
hvLAQkcdfgegfgnrqhbutw,0,7
hLLzQkcdegfgfgdcaxaofj,0,7
hvLPQkcdefgfgggsfdumlj,1,7
hLLAMkbdeefgggevaeavgb,1,7
hLLAMkbdeefgggdwtiawsc,1,7
hLLLQkbcfgfggflsladros,1,7
hLLAMkbdeefgggxvaxavgb,1,7
hLLLQkbcegfgfgpwmaqfwb,0,7
hLLLQkbdefgfggmvtaevrb,0,7
hLLLQkbdegffggmktiavrb,0,7
hLLLQkbdefgfggmvpaekrb,0,7
hLLLQkcdefggfgaveaiwfs,0,7
hvLAQkcdfeggfgjwafattw,0,7
hvLAQkcdefgfggonkxlxaj,1,7
