target,source,label
gvLQQcedfeffkvchkaq,fLLQcbcdeeeerwlle,Face: 10
gLLAQccedefflwxftkk,fLLQcbcdeeeerwlle,Face: 9
gLLAQbddefffevnmhgb,fLLQcbcdeeeerwlle,Face: 8
fvPQcceddeekgjwss,gvLQQcedfeffkvchkaq,Edge: 9
fLLQcaedeedjqahxj,gLLAQccedefflwxftkk,Edge: 8
hLLMAkccdeffggqbvdpftw,gLLAQccedefflwxftkk,Face: 12
hLLLQkbcdgfgfglsragoog,gLLAQccedefflwxftkk,Face: 10
hLLLQkbcegfffgdfqhhjkj,gLLAQccedefflwxftkk,Face: 9
hLLAAkbecdffgghhrfajxr,gLLAQccedefflwxftkk,Face: 8
hLLAPkccedgfggpvajjgrj,gLLAQccedefflwxftkk,Face: 3
fLLQcbcdeeehkkxxh,gLLAQbddefffevnmhgb,Edge: 8
hLLAPkbdedgfggevasfvns,gLLAQbddefffevnmhgb,Face: 10
hLLMAkccdeffggqbvdpftw,gLLAQbddefffevnmhgb,Face: 8
gLLPQcdefeffhsteelw,fvPQcceddeekgjwss,Face: 7
gvLQQcdefeffjvbtwmh,fvPQcceddeekgjwss,Face: 3
gLLAQbdceeffevrlegn,fLLQcaedeedjqahxj,Face: 10
gLLAQbddefffevnmhgb,hLLMAkccdeffggqbvdpftw,Edge: 10
iLLMPMcbdedfgghhtsafosfan,hLLMAkccdeffggqbvdpftw,Face: 12
iLLLAQcbdeggfhhhlvummoahu,hLLMAkccdeffggqbvdpftw,Face: 9
iLLMLQcbcdffgghhxbbancchn,hLLMAkccdeffggqbvdpftw,Face: 5
gLLAQbdceeffevrlegn,hLLLQkbcdgfgfglsragoog,Edge: 14
iLLLPQccddhhffghukfbbfrkf,hLLLQkbcdgfgfglsragoog,Face: 14
iLLMLQcbceefhghhdfaqvrkkw,hLLLQkbcdgfgfglsragoog,Face: 7
iLLLPQcbcfehhhggebpesssvw,hLLLQkbcdgfgfglsragoog,Face: 3
gLLAQbdceeffevrlegn,hLLLQkbcegfffgdfqhhjkj,Edge: 14
iLLLAQccedfggfhhuafaugjlw,hLLLQkbcegfffgdfqhhjkj,Face: 14
iLLLAQcacfegghhhnkgckrmel,hLLLQkbcegfffgdfqhhjkj,Face: 11
iLLLPQccceghffhhpvmpcfnjj,hLLLQkbcegfffgdfqhhjkj,Face: 4
iLLLPQccddhhffghukfbbfrkf,hLLAAkbecdffgghhrfajxr,Face: 14
iLLLAQccedfggfhhuafaugjlw,hLLAAkbecdffgghhrfajxr,Face: 13
iLLLPQccddhhffghukfbbfrkf,hLLAAkbecdffgghhrfajxr,Face: 12
iLLLAQccedfggfhhuafaugjlw,hLLAAkbecdffgghhrfajxr,Face: 11
iLLAMMcccedfgghhpvajxamkk,hLLAAkbecdffgghhrfajxr,Face: 9
iLLLAQcbdeggfhhhlvummoahu,hLLAPkccedgfggpvajjgrj,Face: 14
iLLLAQcbdeggfhhhlvummoahu,hLLAPkccedgfggpvajjgrj,Face: 12
iLLAMMcccedfgghhpvajxamkk,hLLAPkccedgfggpvajjgrj,Face: 10
iLLAMMcccedfgghhpvajxamkk,hLLAPkccedgfggpvajjgrj,Face: 3
gLLAQbcedfffdwufhck,fLLQcbcdeeehkkxxh,Face: 8
gvLQQcdefeffjvbtwmh,fLLQcbcdeeehkkxxh,Face: 6
gLLMQbcdefffhfcligv,fLLQcbcdeeehkkxxh,Face: 1
gLLAQbcedfffdwufhck,hLLAPkbdedgfggevasfvns,Edge: 12
iLLMPMcbdedfgghhtsafosfan,hLLAPkbdedgfggevasfvns,Face: 14
iLLMLQcbceefhghhdfaqvrkkw,hLLAPkbdedgfggevasfvns,Face: 4
iLLLMQcbcgffhhghlsmignnvg,hLLAPkbdedgfggevasfvns,Face: 3
fLLQcbeddeehhnkhh,gLLPQcdefeffhsteelw,Edge: 9
hLLMPkcedegfggahvehwnv,gLLPQcdefeffhsteelw,Face: 9
hvLAQkcdfgefggffaibpxv,gLLPQcdefeffhsteelw,Face: 8
hLLLQkbcegffgglsmatgbj,gLLPQcdefeffhsteelw,Face: 7
hLLLQkbcfgefgglsmaagvb,gLLPQcdefeffhsteelw,Face: 6
hLLzQkcdefggfghsmapbfc,gLLPQcdefeffhsteelw,Face: 4
hLvMQkbfdeggfgamfmmffw,gLLPQcdefeffhsteelw,Face: 2
fLLQcbcdeeehkkxxh,gvLQQcdefeffjvbtwmh,Edge: 8
hLLzQkcdegfgfghsatlowg,gvLQQcdefeffjvbtwmh,Face: 10
hvLAQkcdfgefggffaibpxv,gvLQQcdefeffjvbtwmh,Face: 9
hvLPQkcdefggfgjgfaeaxw,gvLQQcdefeffjvbtwmh,Face: 6
hvLAQkcdefgfggbwcxdddf,gvLQQcdefeffjvbtwmh,Face: 4
hLLLQkbcdgfgfglsragoog,gLLAQbdceeffevrlegn,Face: 11
hLLLQkbcegfffgdfqhhjkj,gLLAQbdceeffevrlegn,Face: 9
hLLAAkbdceefggtvnmtrhk,gLLAQbdceeffevrlegn,Face: 7
hLLAPkacdegfggnkaiiafb,gLLAQbdceeffevrlegn,Face: 6
hLLAPkbcedfgfgajhfookk,gLLAQbdceeffevrlegn,Face: 4
hLLAPkbdedgfggevasfvns,iLLMPMcbdedfgghhtsafosfan,Edge: 16
hLLAPkacdegfggnkaiiafb,iLLMPMcbdedfgghhtsafosfan,Edge: 11
jLLMvQQccdfiighhitkvaihctto,iLLMPMcbdedfgghhtsafosfan,Face: 15
jLLALPQbcedgghhiiektffoqxss,iLLMPMcbdedfgghhtsafosfan,Face: 11
jLLPLAQccdfhfghiiubsaafstgw,iLLMPMcbdedfgghhtsafosfan,Face: 7
jLvAMPQcdeehghhiiavxigovwmn,iLLMPMcbdedfgghhtsafosfan,Face: 1
hLLAPkccedgfggpvajjgrj,iLLLAQcbdeggfhhhlvummoahu,Edge: 10
jLLMvQQccdfiighhitkvaihctto,iLLLAQcbdeggfhhhlvummoahu,Face: 14
jLLALPQbecdfghiiiaanfsnmigw,iLLLAQcbdeggfhhhlvummoahu,Face: 3
jLLALPQbcedgghhiiektffoqxss,iLLMLQcbcdffgghhxbbancchn,Face: 14
jLLMLQPbcdfgfghiixbbabbwhqw,iLLMLQcbcdffgghhxbbancchn,Face: 8
jLLwLQQacdfghiihinkawlaifbo,iLLMLQcbcdffgghhxbbancchn,Face: 4
jLLMPLQccdefgiiihqbvdffppjj,iLLMLQcbcdffgghhxbbancchn,Face: 2
hLLAAkbecdffgghhrfajxr,iLLLPQccddhhffghukfbbfrkf,Edge: 11
jLLPLAQccdfhfghiiubsaafstgw,iLLLPQccddhhffghukfbbfrkf,Face: 15
jLLAvQQbcedfghhiiajhfkoaaor,iLLLPQccddhhffghukfbbfrkf,Face: 9
jLLAzMQaedefgiiihnaaqvujvwj,iLLLPQccddhhffghukfbbfrkf,Face: 6
jLLLAAQbcdgffhiiilsragoiaoo,iLLLPQccddhhffghukfbbfrkf,Face: 3
hLLAPkacdegfggnkaiiafb,iLLMLQcbceefhghhdfaqvrkkw,Edge: 16
hLLAPkbdedgfggevasfvns,iLLMLQcbceefhghhdfaqvrkkw,Edge: 11
jLLPLAQccdfhfghiiubsaafstgw,iLLMLQcbceefhghhdfaqvrkkw,Face: 16
jLLMvQQccdfiighhitkvaihctto,iLLMLQcbceefhghhdfaqvrkkw,Face: 8
hLLAPkbcedfgfgajhfookk,iLLLPQcbcfehhhggebpesssvw,Edge: 16
hLLLQkbcfggfgfajtatkwj,iLLLPQcbcfehhhggebpesssvw,Edge: 11
jLLAvQQbcedfghhiiajhfkoaaor,iLLLPQcbcfehhhggebpesssvw,Face: 16
jLLLMMQccffgghiiianaprnoipp,iLLLPQcbcfehhhggebpesssvw,Face: 9
jLLLLQQbefeiigihhaadtrbcbbj,iLLLPQcbcfehhhggebpesssvw,Face: 2
hLLAAkbecdffgghhrfajxr,iLLLAQccedfggfhhuafaugjlw,Edge: 11
jLLAvQQbcedfghhiiajhfkoaaor,iLLLAQccedfggfhhuafaugjlw,Face: 10
jLLLMPQaeefhghhiijaxgtoamxn,iLLLAQccedfggfhhuafaugjlw,Face: 5
jLLLAMQcegfdfihiiauaajfhhvo,iLLLAQccedfggfhhuafaugjlw,Face: 3
jLLLMMQbcffhgghiiebpugovouk,iLLLAQcacfegghhhnkgckrmel,Face: 14
jLLzQPPcdegefghiilkaxlfcmxj,iLLLAQcacfegghhhnkgckrmel,Face: 8
jLLwLQQacdfghiihinkawlaifbo,iLLLAQcacfegghhhnkgckrmel,Face: 7
jLLLAPQbcgeghhgiilsmmxuuvwr,iLLLAQcacfegghhhnkgckrmel,Face: 3
hLLAPkbcedfgfgajhfookk,iLLLPQccceghffhhpvmpcfnjj,Edge: 16
hLLLQkbcfggfgfajtatkwj,iLLLPQccceghffhhpvmpcfnjj,Edge: 11
jLLAvQQbcedfghhiiajhfkoaaor,iLLLPQccceghffhhpvmpcfnjj,Face: 16
jLvAMPQcdeehghhiiavxigovwmn,iLLLPQccceghffhhpvmpcfnjj,Face: 13
jLLLMMQccffgghiiianaprnoipp,iLLLPQccceghffhhpvmpcfnjj,Face: 9
jLLLMMQbegfehghiiaalptrfgps,iLLLPQccceghffhhpvmpcfnjj,Face: 2
hLLAPkccedgfggpvajjgrj,iLLAMMcccedfgghhpvajxamkk,Edge: 10
jLLLAAQbcdgffhiiilsragoiaoo,iLLAMMcccedfgghhpvajxamkk,Face: 16
jLLLAMQcegfdfihiiauaajfhhvo,iLLAMMcccedfgghhpvajxamkk,Face: 15
jLLALPQbecdfghiiiaanfsnmigw,iLLAMMcccedfgghhpvajxamkk,Face: 14
jLLALAQccedhggiiiubakawkmbb,iLLAMMcccedfgghhpvajxamkk,Face: 7
jLLAMPPbecdfghhiiaanfhahsxr,iLLAMMcccedfgghhpvajxamkk,Face: 3
hLLzQkcdegfgfghsatlowg,gLLAQbcedfffdwufhck,Face: 12
hLLAPkbdedgfggevasfvns,gLLAQbcedfffdwufhck,Face: 8
hLLLQkbddgfgfgtsfxjkkn,gLLAQbcedfffdwufhck,Face: 7
hLLLQkcdfefggghsxpqkkn,gLLAQbcedfffdwufhck,Face: 3
hLvAQkbeffegggdadeiavv,gLLMQbcdefffhfcligv,Face: 12
hLLLQkbddgfgfgtsfxjkkn,gLLMQbcdefffhfcligv,Face: 10
hvLAQkcdefgfggbwfaidiw,gLLMQbcdefffhfcligv,Face: 8
hLLLQkceffegggqitaduwn,gLLMQbcdefffhfcligv,Face: 6
hLLLQkcdeefggguoiixjcn,gLLMQbcdefffhfcligv,Face: 5
hLLMAkbcdeffggxjglardj,gLLMQbcdefffhfcligv,Face: 1
