id,oriented,tetrahedra
fLLQcbcdeeeerwlle,1,5
gvLQQcedfeffkvchkaq,1,6
gLLAQccedefflwxftkk,0,6
gLLAQbddefffevnmhgb,1,6
fvPQcceddeekgjwss,1,5
fLLQcaedeedjqahxj,1,5
hLLMAkccdeffggqbvdpftw,0,7
hLLLQkbcdgfgfglsragoog,0,7
hLLLQkbcegfffgdfqhhjkj,0,7
hLLAAkbecdffgghhrfajxr,0,7
hLLAPkccedgfggpvajjgrj,0,7
fLLQcbcdeeehkkxxh,1,5
hLLAPkbdedgfggevasfvns,0,7
gLLPQcdefeffhsteelw,0,6
gvLQQcdefeffjvbtwmh,1,6
gLLAQbdceeffevrlegn,0,6
iLLMPMcbdedfgghhtsafosfan,0,8
iLLLAQcbdeggfhhhlvummoahu,0,8
iLLMLQcbcdffgghhxbbancchn,0,8
iLLLPQccddhhffghukfbbfrkf,0,8
iLLMLQcbceefhghhdfaqvrkkw,0,8
iLLLPQcbcfehhhggebpesssvw,0,8
iLLLAQccedfggfhhuafaugjlw,0,8
iLLLAQcacfegghhhnkgckrmel,0,8
iLLLPQccceghffhhpvmpcfnjj,0,8
iLLAMMcccedfgghhpvajxamkk,0,8
gLLAQbcedfffdwufhck,0,6
gLLMQbcdefffhfcligv,1,6
iLLLMQcbcgffhhghlsmignnvg,0,8
fLLQcbeddeehhnkhh,1,5
hLLMPkcedegfggahvehwnv,0,7
hvLAQkcdfgefggffaibpxv,0,7
hLLLQkbcegffgglsmatgbj,0,7
hLLLQkbcfgefgglsmaagvb,0,7
hLLzQkcdefggfghsmapbfc,0,7
hLvMQkbfdeggfgamfmmffw,0,7
hLLzQkcdegfgfghsatlowg,0,7
hvLPQkcdefggfgjgfaeaxw,0,7
hvLAQkcdefgfggbwcxdddf,1,7
hLLAAkbdceefggtvnmtrhk,0,7
hLLAPkacdegfggnkaiiafb,0,7
hLLAPkbcedfgfgajhfookk,0,7
jLLMvQQccdfiighhitkvaihctto,0,9
jLLALPQbcedgghhiiektffoqxss,0,9
jLLPLAQccdfhfghiiubsaafstgw,0,9
jLvAMPQcdeehghhiiavxigovwmn,0,9
jLLALPQbecdfghiiiaanfsnmigw,0,9
jLLMLQPbcdfgfghiixbbabbwhqw,0,9
jLLwLQQacdfghiihinkawlaifbo,0,9
jLLMPLQccdefgiiihqbvdffppjj,0,9
jLLAvQQbcedfghhiiajhfkoaaor,0,9
jLLAzMQaedefgiiihnaaqvujvwj,0,9
jLLLAAQbcdgffhiiilsragoiaoo,0,9
hLLLQkbcfggfgfajtatkwj,0,7
jLLLMMQccffgghiiianaprnoipp,0,9
jLLLLQQbefeiigihhaadtrbcbbj,0,9
jLLLMPQaeefhghhiijaxgtoamxn,0,9
jLLLAMQcegfdfihiiauaajfhhvo,0,9
jLLLMMQbcffhgghiiebpugovouk,0,9
jLLzQPPcdegefghiilkaxlfcmxj,0,9
jLLLAPQbcgeghhgiilsmmxuuvwr,0,9
jLLLMMQbegfehghiiaalptrfgps,0,9
jLLALAQccedhggiiiubakawkmbb,0,9
jLLAMPPbecdfghhiiaanfhahsxr,0,9
hLLLQkbddgfgfgtsfxjkkn,0,7
hLLLQkcdfefggghsxpqkkn,0,7
hLvAQkbeffegggdadeiavv,1,7
hvLAQkcdefgfggbwfaidiw,1,7
hLLLQkceffegggqitaduwn,0,7
hLLLQkcdeefggguoiixjcn,0,7
hLLMAkbcdeffggxjglardj,0,7
jLLLAPQbdfgehhiiievapeaamqv,0,9
gLLMQbcefefflsameuc,0,6
gLLAQbeddfffhhowxfs,0,6
iLLLAQccedfgghhhuqfaunmmi,0,8
iLLLAQccedfgghhhuafauwdmm,0,8
iLLLAQcbedfgfhhhaafiuvuum,0,8
iLLLAQcbcfgfhfhhlshahhsqx,0,8
ivLAMQcdcfgfghhhovihpaqks,0,8
iLLLMQccdefghhghafeawkgcb,0,8
iLLvQQccdfhhfgghigaafgnnb,0,8
ivLLQQccdgfghfhhvvdhhehgn,0,8
iLLLMQcbdefhghghevpxfoofb,0,8
iLLPLQcccefhgghhanqajsgjr,0,8
iLLLMQccdegghghhigldngjgv,0,8
iLLLPQcbcgehfhghlsmanonof,0,8
iLvAMQccdegfhhghpvapcocvw,0,8
iLLPLQcccefhgghhanqagvwog,0,8
iLLLMQccdefhghghhsqarnkvv,0,8
iLLvQQccdehfghghhspibnrgn,0,8
ivLAAQcceffgghhhnnapaausf,0,8
iLLLMQcbedgfhhghhhfhosfjj,0,8
iLLvQQccdehhfgghhsepkfggn,0,8
ivLAMQcdceghfhghojrthporw,0,8
iLLLPQccdefghhghafpdbbvor,0,8
ivLLQQccdehgfhghbcoeadgnb,0,8
iLvLQQccefhgghhgauaperojv,0,8
ivLAAQcecfgfghhhfbaeehufw,0,8
iLvLQQcbdefghghhmfimrrkrc,1,8
ivLLQQccegfehghhbwmmbaokk,0,8
ivLLQQccdhefghghnkdbtigwr,1,8
ivLLQQccdhegfhghgrxbaxgwb,0,8
gLLAQacdefefjbqqqwn,0,6
iLLPAMcccdeffghhtkfpmbuqn,0,8
iLLLQMcbceffgfhhdfexmfoqw,0,8
iLLAPPcccdegfhghakvhkvqsw,0,8
iLALLQcbcbefgghhhajoenfns,0,8
iLLLAQcacfeghfhhnkgckanii,0,8
kLLLLPQkbedgijhjjiiaafbvhfapoc,0,10
kLLLPwQkbdghfhijijjtvaagjlhpxo,0,10
