id,oriented,tetrahedra
eLAkaccddjnbqw,1,4
fLLQcadedeejitlxk,1,5
fLAMcaccdeejsjxhj,1,5
fLLQcacdeeejkepcg,0,5
fLLQcacdedejbxank,1,5
gLLAQbddeeffxwrxxbw,0,6
gLLAQbdedffftvurxro,0,6
gLLAQbdcefffhgsqugo,1,6
gLLAQaddeeffnpupsok,1,6
gLLMQbcdeffflrohtsr,1,6
gLLMQbcedfffdwujqvn,1,6
gLLAQbceeeffdfaiihj,0,6
gLLMQbcdefffdfbmifw,0,6
gLLQPccddefftnnouhw,0,6
gLLAQadedfffjxuhgkg,0,6
gLLAQccdeeffakvhuks,0,6
gLLAQaddeeffjmapcfj,1,6
gLLAQaeddeffniadcoj,1,6
hLLLQkbddffgggxjfmrvrc,0,7
hLLAPkacedfgggnktxtmro,0,7
hLLAMkcddeffggtrvalwhw,0,7
hLLPPkcdefffggakedtkon,0,7
hLLAMkbdedfgggdwpslipu,0,7
hLLAPkbddefgggxvrxfowk,0,7
hLLAPkcddefgggugvlnvww,0,7
hLLAPkceddgfggppjoobbr,1,7
hLLLQkadfeggfgjxhcnfwg,1,7
hLLAMkadedffggjxuhggaj,1,7
hLLAPkbdecfgggtvajnrsr,1,7
hLLLQkbdeeffggtvhepgor,1,7
hLLAAkbdceffggxvwxlcxw,1,7
hLLMMkacdeffggnsacvbqw,1,7
hLvAQkadeeffggnahckcck,1,7
hLLLQkceffeggguleaqujf,0,7
hLLAPkceddgggfuqvgnvoj,1,7
hLLAMkbdedfgfgevuslxkr,0,7
hLLMAkbdedefggasqfxfxj,0,7
hLLAMkbdedfgggdwdsliea,0,7
hLLLQkbddffggglrfagbjn,0,7
fLAMcbccdeehhsaqj,1,5
hLLAAkbcedefggasxfljxk,0,7
hLvPQkccgeffgghraxxvfn,0,7
hLLAPkbdcefgggevsunvco,0,7
hLLAMkbdeeffggevdpannj,0,7
hLLAMkbeedffggaapwabkr,0,7
hLLAPkacdefgggjbxaxann,0,7
hLLLQkadgfefggjmmgcvwo,1,7
hLLAPkbddegffgxvrdcnjj,1,7
hLLAPkaddefgfgnpupoqkk,1,7
hLLLQkadffefggnhmggnkj,0,7
iLLAwQcbdedfhghhlvagpamkb,0,8
iLLAzQccddefhghhtrvakmshe,0,8
iLLLPQcbcfegfhhhebpergsww,0,8
iLLAPPcacedgfghhnktxiardw,0,8
iLvAAQcbeffghgghlalhaosbk,0,8
iLLLAQcbcegfghghdfeaekxvw,0,8
iLLLAQccdefggfhhlruqlwkdn,0,8
gLLMQacdefffnkqvkbb,0,6
iLLLAQcbcfgehghhebpheaodl,0,8
iLLLAQcccfgefghhakailfwxk,0,8
iLLLAQcacgeghhhgnkcckaxxn,0,8
iLLLMQcbedehgghhlufuffooo,0,8
iLLAPPcbcedfghhhtsxfjnmau,0,8
iLLAPPcbdedfgghhdwpsbcspw,0,8
iLLAPPcbddefghhhlvklncxhq,0,8
iLLMLQcceddfhghhapvnrecud,0,8
iLLLAQcccffgghhhakaumkhxp,0,8
iLLLAQcbdfgffghhasedesglw,0,8
iLLLMQcceffgghhhpalahkogf,0,8
iLLLAQcbedegghhhaafdpvdph,0,8
iLLLPQcccghhgfghqfdtcfkjk,0,8
iLLLAQcbcffegghhdfpedkjdr,1,8
iLLLPQccdfgfghhhuwqucnofg,1,8
iLLLMQcadegfhhghnhxwbhiwi,1,8
iLLvQQccbgegfhhhqnaqvjfkg,1,8
iLLLQMcadefggfhhjxqnnwwak,1,8
iLLALQcbdechgghhtvajlvcii,1,8
iLLMwQccbeefhghhlnamaacpq,1,8
iLLLMQcbcfgehghhebpuwfcrj,1,8
iLvAAQccdfgfgfhhpvluqwoer,0,8
iLLAPPccddefgghhufvuvvkar,1,8
iLLLAQcccfeggghhubidiogtk,1,8
iLvwQQcadefhgghhjacrgvbwk,1,8
iLLAPPcaedefgghhnmaevdebw,1,8
iLLAPMcacdegfghhnbaaaajak,1,8
iLLwQPcacdgfgghhjsxxjxxqj,1,8
iLvAAQcbeffgfhghdapeacvrr,1,8
iLvAMQcadfegghghjpujjrhvj,1,8
iLLLQMccdgfefghhhrhaaobiw,1,8
gLLAQbeceeffxxsxqhj,1,6
iLLAPMcbcedfgfhhasxfjojxj,0,8
iLLLQMcbefgfefhhaadddinxj,0,8
iLLAPPcbdedgfghhdwdswwshk,0,8
iLLLAQcbcfgehghhesuaednha,0,8
gLLAQbceeefflkamixn,0,6
gLLPQcdcfeffqrjqqsj,1,6
iLLAMMcbeedffghhaaeoawchr,0,8
iLLAAMccddeffghhhrrahohhr,0,8
iLLAMMccdeeffghhlgpuiooxk,0,8
iLvAQMccdegegghhpjauhovxn,0,8
iLLAwQcbdedfhghhtvarxaqvb,0,8
iLLMLQcbdedfgghhajpfvnfdj,0,8
iLLPzQcccdefghghubwdnshjj,0,8
iLLLMQcbceffhgghdnpegvswk,0,8
iLLAwQcbedefghhhaanudfuux,0,8
iLLAwQcbeedfhhghaapwxpejt,0,8
iLLLMQcbedgffghhaaflssojr,0,8
iLLMwQcbcdfeghhhdfjidtenn,0,8
iLLLAQcbedefgghhlufupkwik,0,8
iLLvQQccdeggfhghukqujwjjj,1,8
iLLLPQccddghfhhglgfwnsrbj,1,8
iLLALQcbdedfhhghhgaksilrl,0,8
iLvAAQcaeffegghhjxqrknwtw,1,8
iLLLPQcacghhffghjkgihrwki,1,8
iLLALQcbdceggghhdwrxcfcaj,0,8
iLLLPQcbcffhfgghebpmbrbkn,1,8
iLLzMQcaceefghghnkacvxxrr,1,8
iLLALQcbdecgfghhhganbrwak,0,8
iLLLAQcadfefhhghnpmcnaljd,0,8
iLLMwQccbedfghhhlnajxdmsb,0,8
jLLAwQPbdedfghhiilvagpdesxr,0,9
jLLLLQQccegfighiiubeofsbkfc,0,9
jLLzMPQcdefhigihilkamnifaga,0,9
jLLLMPQcdefgfihiilruqskxnhm,0,9
jLLLPAQccgehghiiipviigcsahe,0,9
jLvAAPQbfefghiihiadumaohlcu,0,9
jLLLPAQbedhghgiiiaafhwfvtal,0,9
jLLLLQQbdgfihhihitvtgjvnfnv,0,9
jLLLwQQbcfehighhiebppwuvkwn,0,9
jLLLLQQbcffihghhilsqgosvfkk,0,9
jLLLAPQbcfgeghiiiebpuecdlfv,0,9
jLLLLQQbddfgghhiiasfsoofjqj,0,9
jLLLLQQbcffighhhidfqgjkrrfk,0,9
jLLLMPQbcefgighhilsepvavskj,0,9
jLvALQQbefeiihighlallsbrsjw,0,9
hLLLQkbdfeggfgajdmxkkc,0,7
jLvAAPQcefeghiihiapdpinpmka,0,9
jLLLPAQbddfghhiiiasfwcsklle,0,9
jLLLAPQbcgfegihiiebquereiww,0,9
jLLLLQQccefhhgihiakewjjwknk,0,9
jLLLMAQbdfgffhhiievapjjvwuk,0,9
jLLLPMQbcgehfiiihlsmtbsammn,0,9
jLLLwQQbedfigiihhaafiaoiujk,0,9
hLLAMkbdedfgggdwastllq,0,7
jLLPPPPccdfgfhhiiqffqwrqagn,0,9
jLLALAQbcedghghiitsxfneopcr,0,9
jLLLLQQbcgfiihgihtsmgccwvgn,0,9
jLLLAMQbedfehiihihhfuaattic,0,9
jLLLLQQccfgiihhihakacsjgbkv,0,9
jLLLMPQccfggiihihakaicqqomr,0,9
jLLALAQbdedfghiiihgaksrlajj,0,9
jLLLMMQbdeghfgiiihgmewjrudd,0,9
jLLzLQQccdhfghiiiakkvfvolmu,0,9
jLLvPQQcdhefigihiafirfvgcvo,0,9
jLLvMQQbdfgihihgiaspsgsnvkf,0,9
jLLLAMQcegfehihiiataahnpkip,0,9
jLLLMPQbegehhgiiiaalmtrnium,0,9
jLLAPzQcddefghiiiugvlnvaaww,0,9
jLLvMQQcdegighihilfxkwncfvf,0,9
jLwLLQQacehghigiijgktompbhr,1,9
jLvLAQQbfghhigigiexxuwfsssj,1,9
jLLvQPQcbeghihgiihjhhnpfnai,1,9
jLvAwQQaeffighhiijxqrdotitn,1,9
jLLLQzQcbfgeghhiiqntaqvhpbj,1,9
jLvLMQQafgehfghiijdgvrbsslw,1,9
hLLAPkaeddgfggjlatxnae,1,7
jLLLLQQcdfgifhgiitcegcfvnkw,1,9
jLvAMPQcdegfgiiihuvupcrliqk,1,9
jLLLLQQbcdihihghidfjtcarjsh,1,9
jLLvMQQadfhigihihjigjanusuj,1,9
jLvAMAQcdegfhhhiipvuukbfjxj,0,9
jLLALMQcddehghhiiufvuqouuhs,1,9
jLLLLQQbcfigiighhdfmgkogsjs,1,9
jLvALQQadeghhigiijaejtaagmj,1,9
jLvALQQbefehghhiieumenrcwsj,1,9
jLvwMQQadehihigihnawbpranqg,1,9
hLLAMkaedefgggnmaefmap,1,7
jLLPLQPaceffhghiinsagvtiwpr,1,9
jLLAwAQacdefghhiijsxxxvvfak,1,9
jLLLMAQccfghgfihiqfaawgflkw,1,9
jLLLLQQccfihfgiihpvhggrvgow,1,9
jLLLPPQccfggfhihilnaljfkqjs,1,9
jLLLzQQccegfhiiihpvqpwrhatw,1,9
jLLLLQQacfhhgighijbkuabavmk,1,9
jLvQLAQadfehggihinuqphhpwks,1,9
hLLAAkaddeefggjpupcjxj,0,7
jLLLMQPbedefhggiiaafmwvorqn,0,9
jLLLMQPbedfgghgiiaafxjjsohs,0,9
jLLzLQQccdhfighiiubwrfmwkqa,0,9
hLLLQkbefggegftphxhtnr,0,7
hLLAAkbcedefggajhftshr,0,7
hLLAAkbcdeefgglsohhohr,1,7
hLLAAkbcedefgghvafpnhr,1,7
jLLLQMPbedgffghiiaanxhjsahw,0,9
jLLLMMQbedghhighiaafujjhwbr,0,9
jLLLAQPbcggefhgiilspptsavxk,0,9
jLvAPPQcdcghhhgiihvrrrfrcdj,0,9
jLvPAQPccgfefhhiiqjatdchpww,0,9
