id,oriented,tetrahedra
fLLQccceddepwxwwj,1,5
gLLPQcdcfeffqsneqgf,1,6
gLLPQcdcfeefqcnqawk,1,6
gLALQbcbeeffhhjcvqj,1,6
gLLAQcbdeeffljbmtwn,1,6
hLLAAkbdedffgglvprxbmn,1,7
hLLAAkcedeefgghlvaqxhk,1,7
hLLAAkbcdeefggmbraawqn,1,7
hLLAAkbddeefgghgfuekhn,1,7
hLLMAkacedffggnktrkbqr,1,7
hLLAAkaeddefggjmadcoxr,1,7
hLALPkbcbefgggxxjniaov,1,7
hLLAAkbdceffgghgwqpgqr,1,7
hLLMPkacdefgfgnkanjinj,1,7
iLLLQPccddfgfghhhsgesgbtk,1,8
iLLLQMcccfgfefhhqfahlnfqn,1,8
iLLAPPcbddeggghhhgflwbshj,1,8
iLALLQccbbefhghhhhkoxjsrs,1,8
iLLLQMcbdeeggghhmvaapjsxr,1,8
iLLLQMcbdeeffghhmvmmdbshk,1,8
iLvzQQcccfehghghhnhqfbkro,1,8
iLLLPQccefhfggghtqhqqckkw,1,8
iLLLMQccddefhgghtgfqfinwn,1,8
iLLAzQcbdedfghghlvagkfinw,1,8
iLLLMQcbcgdfghghebhjjblvw,1,8
iLvAQPcadfeggfhhjaacvkkqj,1,8
jLLLAAQbedgehghiihhfeaerqvj,1,9
jLLPPMPcdfeegghiihsmlubviqn,1,9
jLLAzPQcdecggihiihshnwolmrg,1,9
jLLvQQPcdhfghfhiihgxxwrfchn,1,9
jLALLMQcbbefghiiihhkoxgcaih,1,9
jLALLMQcbbefgihiihhkoxwakih,1,9
jLLLQPPcdfefgghiiikqhtrwhxj,1,9
jLLLAQPbdeggfghiimvatpwohxj,1,9
jLLLAQPbdeggfghiimkatpwshxj,1,9
jLLLQPPcdfefgghiihsiptgcuqw,1,9
jLvPMPQccefhigihiqnqhwxfhkm,1,9
jLLALMQbdedfhgiiilvagshnabs,1,9
jLLLAPQadeefgihiijuxvcrxxgv,1,9
jLLLAPQcddfgiigihukftsdajrr,1,9
hLLAPkbcedgffglsajjjjk,1,7
kLALvAQkcbbeigjijijhhkorwaomcl,1,10
kLvPwMQkccefghijjijhnphfnphdqk,1,10
kLALLAMkcbbegghijjjhhkolnohdrw,1,10
kLLAzLQkcdecgijhijjhshnwlamrnc,1,10
kLLvMQAkcdfigfgiijjqfanrssjsqn,1,10
kLALvAQkcbbeihjjijihhkorndpops,1,10
kLALLPMkcbbefhiijjjhhkoxriqptc,1,10
kLALLPMkcbbefhiijjjhhkoxbiqtpk,1,10
kLLLLQAkccffghghijjdwarbonnnqw,1,10
kLLPvQPkcdefhhijiijhoamcfihtej,1,10
kLLLMzQkbedghgjiiijxxbissxlxur,1,10
kLLvQMPkcdghhgijiijhkuhffhhetn,1,10
kLLLPPAkbdehghghijjmvmqfrsbuqn,1,10
kLALvAQkcbbeihjjiijhhkoroqaocl,1,10
kLvzMPQkccfighjjhijhnhwbkxhooq,1,10
kLLLwMQkcddfijghjijukfttejdrgr,1,10
kLLLLMQkcbehhighjjjlnqornvfdqm,1,10
iLLMMMcbeefdgghhhhamnwwaw,1,8
gLLMQbecfdffxxsawvc,1,6
jLLLMPQbefehhghiixxdxtbcbqr,1,9
jLLLLQQcediihihghlqfrgvggks,1,9
jLLALMQbdedhhggiievdsidorvw,1,9
hLLAPkbcedgffglsajjjnj,1,7
kLLALzQkbdedhijgijjevdsipursro,1,10
kLLALMAkbdedhgihijjevdsivtdtts,1,10
iLvAQPcadfeggfhhnaacvkjqj,1,8
hLLMPkacdefgfgnkanjirk,1,7
gLLAQcbdeefftnbmtwn,1,6
fLLQccceddehwxwjj,1,5
hLLMAkbddeffggtvkumvhn,1,7
hLLLQkacdegfggjknngkcv,1,7
gLLPQcdcfeffqsndqvf,1,6
gLALQbcbeeffhhjrvqn,1,6
gLLAQccedfeftnhkxwj,1,6
iLLLMQcacgfhgfhhnkbjeckip,1,8
iLLLAQcbdffegghhlvqqtvrqn,1,8
iLLMPMcccdfefghhqvvaskcqj,1,8
hLLAAkbcdeefggpfreesqn,1,7
hLALPkbcbefgggxxjndabv,1,7
hLALPkbcbefgfgxxjsaxjr,1,7
hLLMAkaceeefggnktjkkxk,1,7
hLLPAkcdcfeeggqcnhasxn,1,7
jLLvPQQacghgfiihinkwuckqtho,1,9
jLLALQPcdceggghiihsjhbvouhw,1,9
iLLAMMcbddeffghhmvrqajahk,1,8
iLLAMMcbddeffghhmkbqajahk,1,8
iLALLQccbbefhghhhhkoxjsog,1,8
iLALLQcbcbfgfhhhhhjhaqfvs,1,8
iLALLQcbcbefhghhxxjnakbfj,1,8
iLALLQcbcbfhfhghhhjuutknk,1,8
iLLLPQcbdgefhhhgtvqtgvnbs,1,8
iLLAPMccddegffhhlcvankkxk,1,8
iLLMAMcacedffghhnktnkbxhr,1,8
jLALLMQcbbefghiiihhkoxkkipx,1,9
jLLLQMPbedgefghiihifhpfrpxr,1,9
jLLLPQPcdefggghiiqrumvfcbhn,1,9
jLALLMQcbbefghiiihhkoxcvipx,1,9
jLLLQMPcdfgfgfhiiikqutvkhhj,1,9
jLLLMQPcdfeghggiiqcetbngfxr,1,9
jLALLAQbcbfhfghiihhjhuqgwqn,1,9
jLALLMQcbbffghiiiqqnqxavxei,1,9
jLAvLQQcbbfhgihiiqqnxagscws,1,9
jLALLAQcbbffghiiiqqnuxawqaq,1,9
jLLLPPQcedhegihiiqqfejslwda,1,9
jLLLMQPbcgdgfhgiidfhjfkavxk,1,9
jLLLQPPcddfgeghiitgfagjjpxn,1,9
kLALLMPkcbbehhgjijjhhkohwfpecn,1,10
kLALLPPkcbbefhiijjjhhkoxkapdmw,1,10
kLLLLAQkbedgihjhiijmqfvcoqsoow,1,10
kLLLAAAkcddfgfhhijjiksiffhmrhk,1,10
kLLLPPMkcdegfgiijijqruicrxdhxn,1,10
kLLLwMQkcdgefjhiiijqrqejhgdupn,1,10
kLALvMQkcbbeigijjjihhkorbfqhuf,1,10
kLALLPPkcbbefhiijjjhhkoxcapmdg,1,10
kLLwMMAkcdefghghijjikhujvbsdhs,1,10
kLLLPQzkcceffhghijjdwuqrfbvqqw,1,10
kLLLMPMkcdfgfgiijijqcedbnhixqr,1,10
kLLLPzQkcdgffihjjjiqcqujxkielr,1,10
kLALvMQkcbbeihijjjihhkorkbluif,1,10
kLALLzQkbcbfghjijijxxjxakhbhoi,1,10
kLALvMQkcbbeigijjjihhkorfbuipf,1,10
kLAvLAQkbcbhfgjiijjhhjaqbhovql,1,10
kLvAMMAkbfefhgghijjthhaurkfmqj,1,10
kLLLPPAkccfggihiijjpvhpgirxihr,1,10
jLLLQPPcdefegghiihslauwjiqw,1,9
jLLPPPPcdeffgghiihsaitskuqn,1,9
kLvzMMQkccfgfjihjijhnhgctwsawa,1,10
kLLzzPQkcdcfhiijjjihsngwipaqaq,1,10
