target,source,label
fLLQcaddeeenidpxc,eLAkaccddjsjak,Face: 7
fLAMcaccdeennbaxr,eLAkaccddjsjak,Face: 5
fLLQcaddeeejmdpxc,eLAkaccddjsjak,Face: 4
fLAMcaccdeejnbaxk,eLAkaccddjsjak,Face: 3
gLLPQccdefffpfopibf,fLLQcaddeeenidpxc,Face: 9
gLLAQcddeefflgwamnr,fLLQcaddeeenidpxc,Face: 8
gLLAQadedeffnillsfj,fLLQcaddeeenidpxc,Face: 7
gLLMQccdfeffubwxhjk,fLLQcaddeeenidpxc,Face: 6
gLLMQbdedeffasqfxjw,fLLQcaddeeenidpxc,Face: 3
gLLAQbceeefflrqiixj,fLAMcaccdeennbaxr,Face: 7
gLLAQacdefefnbqaqkn,fLAMcaccdeennbaxr,Face: 1
gLLPQccdefffpfopibf,fLLQcaddeeejmdpxc,Face: 9
gLLAQbddeffftvkhlkw,fLLQcaddeeejmdpxc,Face: 8
gLLAQadedeffjmllsfj,fLLQcaddeeejmdpxc,Face: 7
gLLAQcddeefftgwamnn,fLLQcaddeeejmdpxc,Face: 6
gLLAQbceeefflruiixn,fLAMcaccdeejnbaxk,Face: 9
gLLAQacdefefjbqaqkj,fLAMcaccdeejnbaxk,Face: 2
fLLQcaddeeejmdpxc,gLLPQccdefffpfopibf,Edge: 12
hLLMPkbcdegfggdfbqkfss,gLLPQccdefffpfopibf,Face: 11
hLLAPkbdedgfgglrasjvgs,gLLPQccdefffpfopibf,Face: 9
hLLAPkbdedgfggtrasbvgs,gLLPQccdefffpfopibf,Face: 7
hLLAPkbcdefgggdfbxjvvc,gLLAQcddeefflgwamnr,Face: 11
hLLAAkbddeefggxwrxxrxk,gLLAQcddeefflgwamnr,Face: 9
fLLQcadddeejhahqw,gLLAQadedeffnillsfj,Edge: 8
hLLLQkbcdgffggdfnakjrg,gLLAQadedeffnillsfj,Face: 12
hLLAMkbdedffgglvarxktk,gLLAQadedeffnillsfj,Face: 11
hLLAPkbcedfgfgajhfjsns,gLLAQadedeffnillsfj,Face: 9
hLLLQkcefefgggptxddpsj,gLLMQccdfeffubwxhjk,Face: 11
hLLAPkbcdefgggdfbxjvvc,gLLMQccdfeffubwxhjk,Face: 10
hLLAMkbdedffgglvarxktk,gLLMQccdfeffubwxhjk,Face: 9
hvLPQkcdefgfggkjfeiper,gLLMQccdfeffubwxhjk,Face: 7
hLLMPkbcdegfggdfbqkfss,gLLMQbdedeffasqfxjw,Face: 11
hLLMAkbddeefggasbiisqj,gLLMQbdedeffasqfxjw,Face: 10
hLLLQkbefgfefgaadldinw,gLLMQbdedeffasqfxjw,Face: 9
hLLMPkbcdegfggdfbqkfss,gLLMQbdedeffasqfxjw,Face: 8
hLLAAkbddeefggxwnxxrxr,gLLAQbceeefflrqiixj,Face: 7
hLLAAkcdeefegglkhehpqn,gLLAQbceeefflrqiixj,Face: 2
hLLMMkbddeffggtvkpmjmk,gLLAQbddeffftvkhlkw,Face: 12
hLLAPkbcdefgggebbtvrvc,gLLAQbddeffftvkhlkw,Face: 11
hLLPPkcdefegggpcalpvvo,gLLAQbddeffftvkhlkw,Face: 10
hLLLQkcdegfgfgtcipikgr,gLLAQbddeffftvkhlkw,Face: 6
hvLPQkcdefgfggkjfeiper,gLLAQbddeffftvkhlkw,Face: 5
hLLLQkbcdgfgfgebnakngg,gLLAQadedeffjmllsfj,Face: 11
hLLMMkbddeffggtvkpmjmk,gLLAQadedeffjmllsfj,Face: 10
hLLAPkbcedfgfgtsxfjsjs,gLLAQadedeffjmllsfj,Face: 9
hLLAPkbcdefgggebbtvrvc,gLLAQcddeefftgwamnn,Face: 10
hLLAAkbddeefggxwnxxrxr,gLLAQcddeefftgwamnn,Face: 9
hLLLQkacegffggnkssbjss,gLLAQcddeefftgwamnn,Face: 5
hLLAAkbddeefggxwrxxrxk,gLLAQbceeefflruiixn,Face: 9
hLLLQkbefggegfemhxhekr,gLLAQbceeefflruiixn,Face: 7
hLLAAkaddeefggjmapcjxn,gLLAQacdefefjbqaqkj,Face: 11
gLLMQbdedeffasqfxjw,hLLMPkbcdegfggdfbqkfss,Edge: 10
iLvAMQccdegfhghhaveicnfvr,hLLMPkbcdegfggdfbqkfss,Face: 8
iLLAwQcbdedfghhhdwxslxann,hLLMPkbcdegfggdfbqkfss,Face: 4
iLLALQcbedefghhhaanuvsfgv,hLLMPkbcdegfggdfbqkfss,Face: 2
iLLLMQcbcegfhhghektajfkvc,hLLAPkbdedgfgglrasjvgs,Face: 14
iLLAzQcceddfghhhpqvnnrilp,hLLAPkbdedgfgglrasjvgs,Face: 12
iLLALQcbcdefghhhxbbafwaua,hLLAPkbdedgfgglrasjvgs,Face: 5
iLLMwQcbcdefhghhlsbhutmnw,hLLAPkbdedgfgglrasjvgs,Face: 4
iLLMwQcbcdefhghhtsbhutpkj,hLLAPkbdedgfggtrasbvgs,Face: 13
iLLAzQcceddfghhhpqvnnrilp,hLLAPkbdedgfggtrasbvgs,Face: 11
iLvAAQcbeffghghhtuaaaforc,hLLAPkbdedgfggtrasbvgs,Face: 4
gLLMQccdfeffubwxhjk,hLLAPkbcdefgggdfbxjvvc,Edge: 10
gLLAQbceeefflruiixn,hLLAAkbddeefggxwrxxrxk,Edge: 11
iLLPPMccdefffghhakedtksqj,hLLAAkbddeefggxwrxxrxk,Face: 6
gLLAQcdedeffhsucioj,fLLQcadddeejhahqw,Face: 10
gLLAQaddeeffjpupcfw,fLLQcadddeejhahqw,Face: 3
gLLAQcdedeffhsucioj,hLLLQkbcdgffggdfnakjrg,Edge: 11
iLLLAQcaedfeghhhjleggoahh,hLLLQkbcdgffggdfnakjrg,Face: 14
iLLvQQcaefghghghjlgbbnnrj,hLLLQkbcdgffggdfnakjrg,Face: 12
iLLMwQcbcdefhghhlsbhutmnw,hLLLQkbcdgffggdfnakjrg,Face: 7
iLLAzQcbdedfhhghevdgjhxsq,hLLLQkbcdgffggdfnakjrg,Face: 2
gLLMQccdfeffubwxhjk,hLLAMkbdedffgglvarxktk,Edge: 10
iLvAAQcbeffghgghlaeaisvrw,hLLAMkbdedffgglvarxktk,Face: 6
iLvwQQcadeghfhghnacckjjsc,hLLAMkbdedffgglvarxktk,Face: 5
iLLLAQcaedfeghhhjleggoahh,hLLAPkbcedfgfgajhfjsns,Face: 14
iLLLAQcaedfeghhhjleggoahh,hLLAPkbcedfgfgajhfjsns,Face: 13
iLLLMQcbedefhgghaafmwnorr,hLLAPkbcedfgfgajhfjsns,Face: 4
