id,oriented,tetrahedra
eLAkaccddjsjak,1,4
fLLQcaddeeenidpxc,0,5
fLAMcaccdeennbaxr,1,5
fLLQcaddeeejmdpxc,1,5
fLAMcaccdeejnbaxk,1,5
gLLPQccdefffpfopibf,0,6
gLLAQcddeefflgwamnr,0,6
gLLAQadedeffnillsfj,0,6
gLLMQccdfeffubwxhjk,0,6
gLLMQbdedeffasqfxjw,0,6
gLLAQbceeefflrqiixj,1,6
gLLAQacdefefnbqaqkn,1,6
gLLAQbddeffftvkhlkw,1,6
gLLAQadedeffjmllsfj,1,6
gLLAQcddeefftgwamnn,1,6
gLLAQbceeefflruiixn,1,6
gLLAQacdefefjbqaqkj,1,6
hLLMPkbcdegfggdfbqkfss,0,7
hLLAPkbdedgfgglrasjvgs,0,7
hLLAPkbdedgfggtrasbvgs,0,7
hLLAPkbcdefgggdfbxjvvc,0,7
hLLAAkbddeefggxwrxxrxk,0,7
fLLQcadddeejhahqw,1,5
hLLLQkbcdgffggdfnakjrg,0,7
hLLAMkbdedffgglvarxktk,0,7
hLLAPkbcedfgfgajhfjsns,0,7
hLLLQkcefefgggptxddpsj,0,7
hvLPQkcdefgfggkjfeiper,0,7
hLLMAkbddeefggasbiisqj,0,7
hLLLQkbefgfefgaadldinw,0,7
hLLAAkbddeefggxwnxxrxr,1,7
hLLAAkcdeefegglkhehpqn,1,7
hLLMMkbddeffggtvkpmjmk,1,7
hLLAPkbcdefgggebbtvrvc,1,7
hLLPPkcdefegggpcalpvvo,1,7
hLLLQkcdegfgfgtcipikgr,1,7
hLLLQkbcdgfgfgebnakngg,1,7
hLLAPkbcedfgfgtsxfjsjs,1,7
hLLLQkacegffggnkssbjss,1,7
hLLLQkbefggegfemhxhekr,1,7
hLLAAkaddeefggjmapcjxn,1,7
iLvAMQccdegfhghhaveicnfvr,0,8
iLLAwQcbdedfghhhdwxslxann,0,8
iLLALQcbedefghhhaanuvsfgv,0,8
iLLLMQcbcegfhhghektajfkvc,0,8
iLLAzQcceddfghhhpqvnnrilp,0,8
iLLALQcbcdefghhhxbbafwaua,0,8
iLLMwQcbcdefhghhlsbhutmnw,0,8
iLLMwQcbcdefhghhtsbhutpkj,0,8
iLvAAQcbeffghghhtuaaaforc,0,8
iLLPPMccdefffghhakedtksqj,0,8
gLLAQcdedeffhsucioj,1,6
gLLAQaddeeffjpupcfw,0,6
iLLLAQcaedfeghhhjleggoahh,0,8
iLLvQQcaefghghghjlgbbnnrj,0,8
iLLAzQcbdedfhhghevdgjhxsq,0,8
iLvAAQcbeffghgghlaeaisvrw,0,8
iLvwQQcadeghfhghnacckjjsc,0,8
iLLLMQcbedefhgghaafmwnorr,0,8
