target,source,label
fLLQcacdeeejkdicr,eLAkbccddhhsqs,Face: 8
fLLQcaddeeenpuplr,eLAkbccddhhsqs,Face: 6
fLLQcbeddeehtgkiu,eLAkbccddhhsqs,Face: 4
fLLQcacdeeenbaakn,eLAkbccddhhsqs,Face: 3
gLLMQbcdefffdfbttow,fLLQcacdeeejkdicr,Face: 10
gLLQPccddeffunnvuxn,fLLQcacdeeejkdicr,Face: 9
gLvQQaefdeffjhqhvwn,fLLQcacdeeejkdicr,Face: 8
gLLMQbcdefffdfblqgf,fLLQcacdeeejkdicr,Face: 5
gLLAQbcedeffasxflok,fLLQcacdeeejkdicr,Face: 1
gLLMQbcefefflstmmeo,fLLQcaddeeenpuplr,Face: 10
gLLAQaeddfffnlahggn,fLLQcaddeeenpuplr,Face: 8
gLLAQbdceefftvrmtrw,fLLQcaddeeenpuplr,Face: 7
gLLPQccdeffflnrmicf,fLLQcaddeeenpuplr,Face: 5
gLLAQbcedeffajhftor,fLLQcaddeeenpuplr,Face: 4
gLLMQbcdefffdfbttow,fLLQcbeddeehtgkiu,Face: 10
gLLPQcdefefftspqalv,fLLQcbeddeehtgkiu,Face: 9
gLLMQbcefefflstmmeo,fLLQcbeddeehtgkiu,Face: 8
gLLMQbcdfefftsrdeoc,fLLQcbeddeehtgkiu,Face: 7
gLLMQbddfeffxvrilcv,fLLQcbeddeehtgkiu,Face: 2
gLLAQbcdeefflsohhsr,fLLQcacdeeenbaakn,Face: 10
gLLAQbcedeffhvafpvr,fLLQcacdeeenbaakn,Face: 8
fLLQcbeddeehtgkiu,gLLMQbcdefffdfbttow,Edge: 12
hLLAPkcddefgggpgvqfvkk,gLLMQbcdefffdfbttow,Face: 8
hLLAMkbdedfgggdweslteq,gLLMQbcdefffdfbttow,Face: 6
hLLAPkbddefgggevkpjskn,gLLMQbcdefffdfbttow,Face: 2
fLLQccecddelqccwj,gLLQPccddeffunnvuxn,Edge: 8
hLLAAkccdeefggakvhuvqs,gLLQPccddeffunnvuxn,Face: 5
hLLAAkcedeefgghtvaehqj,gLLQPccddeffunnvuxn,Face: 4
hLLLQkbcefgfggebheqkkc,gLvQQaefdeffjhqhvwn,Face: 10
hLvAQkadfefgggnpujfjvv,gLvQQaefdeffjhqhvwn,Face: 5
hLLAMkcdeeffgglgpuiojn,gLvQQaefdeffjhqhvwn,Face: 4
hLLAMkbdedfgggdwusllil,gLLMQbcdefffdfblqgf,Face: 12
hLLLQkbcefgfggebheqkkc,gLLMQbcdefffdfblqgf,Face: 10
hLLLQkceffegggtuqalasn,gLLMQbcdefffdfblqgf,Face: 5
hLLAPkcddefgggpgvqfvkk,gLLAQbcedeffasxflok,Face: 12
hLLAMkbeedffggaaeoawkr,gLLAQbcedeffasxflok,Face: 11
hLLAAkcddeffgghrrahoar,gLLAQbcedeffasxflok,Face: 10
hLLAPkcddefgggpgvqfvkk,gLLAQbcedeffasxflok,Face: 7
fLLQcbeddeehtgkiu,gLLMQbcefefflstmmeo,Edge: 12
hLLAPkcddefgggufvuvvrr,gLLMQbcefefflstmmeo,Face: 12
hLLPPkcdefegggloaelsws,gLLMQbcefefflstmmeo,Face: 9
hLLPPkcdefegggucalubbj,gLLMQbcefefflstmmeo,Face: 5
hLLLQkbddgffggevwmkcgj,gLLMQbcefefflstmmeo,Face: 2
hLLAPkccedfgggpgpogggb,gLLAQaeddfffnlahggn,Face: 10
hLLLQkbdeeffggevqqpgor,gLLAQaeddfffnlahggn,Face: 5
fLLQcacdedenbqqsw,gLLAQbdceefftvrmtrw,Edge: 8
hLLLQkbcefffggebaxmrbj,gLLAQbdceefftvrmtrw,Face: 11
hLLPAkccdeffgglkfpmbuj,gLLAQbdceefftvrmtrw,Face: 10
hLLAPkccdegffgakvhkvjw,gLLAQbdceefftvrmtrw,Face: 5
hLLAPkbdedgfggtjascvnb,gLLPQccdeffflnrmicf,Face: 12
hLLAPkccedfgggpgpogggb,gLLPQccdeffflnrmicf,Face: 10
hLLPAkccdeffgglkfpmbuj,gLLPQccdeffflnrmicf,Face: 9
hLLMPkbdedfggglsafosfw,gLLPQccdeffflnrmicf,Face: 8
hLLLQkcddggffghsgiswnv,gLLPQccdeffflnrmicf,Face: 2
hLLAPkcddefgggufvuvvrr,gLLAQbcedeffajhftor,Face: 12
hLLAPkacdegfggnbaaaakk,gLLAQbcedeffajhftor,Face: 10
hLLAMkaddefgggnpupoall,gLLAQbcedeffajhftor,Face: 9
hLLAPkcddefgggufvuvvrr,gLLAQbcedeffajhftor,Face: 7
hLLLQkceffegggtuqalasn,gLLPQcdefefftspqalv,Face: 8
hLLLQkcdefgfggtsmalgsb,gLLPQcdefefftspqalv,Face: 5
hLLLQkbddfggfgdwfebsbc,gLLMQbcdfefftsrdeoc,Face: 10
hLLMPkbdedfggglsafosfw,gLLMQbcdfefftsrdeoc,Face: 6
hLLLQkcddfgfggiffafswb,gLLMQbcdfefftsrdeoc,Face: 5
hLLLQkcddfgfggissafswb,gLLMQbcdfefftsrdeoc,Face: 4
hLLAPkbddefgggevkpjskn,gLLMQbddfeffxvrilcv,Face: 12
hLLLQkbddgffggevwmkcgj,gLLMQbddfeffxvrilcv,Face: 10
hLLLQkcdeegfggtsmplggb,gLLMQbddfeffxvrilcv,Face: 9
hLLLQkbedegfggxxfxhjsf,gLLMQbddfeffxvrilcv,Face: 5
hLvAQkbeffgefgdaheapsn,gLLAQbcdeefflsohhsr,Face: 7
hLvAQkadfefgggnpujfjvv,gLLAQbcdeefflsohhsr,Face: 6
hLvAQkadfgefggnaesgcgf,gLLAQbcdeefflsohhsr,Face: 5
hLLMPkacefefggnbhoojar,gLLAQbcdeefflsohhsr,Face: 1
fLLQcbcdeeehvompm,gLLAQbcedeffhvafpvr,Edge: 10
hLLLQkbdeeffggevqqpgor,gLLAQbcedeffhvafpvr,Face: 6
hLwLQkacefgfggngkvfbfr,gLLAQbcedeffhvafpvr,Face: 5
hLLAAkbdedffggevdgajhn,gLLAQbcedeffhvafpvr,Face: 4
gLLAQbcedeffasxflok,hLLAPkcddefgggpgvqfvkk,Edge: 10
iLLALQcceddfghhhauvksvuaq,hLLAPkcddefgggpgvqfvkk,Face: 8
iLLLMQcceffghghhuaeaiswgk,hLLAPkcddefgggpgvqfvkk,Face: 4
iLLLAQcbedegghhhaafmhvmex,hLLAPkcddefgggpgvqfvkk,Face: 2
iLLAPPcbcedfghhhtsxfjblxu,hLLAMkbdedfgggdweslteq,Face: 7
iLLALQcbedefhghhlukisvvof,hLLAMkbdedfgggdweslteq,Face: 6
gLLMQbddfeffxvrilcv,hLLAPkbddefgggevkpjskn,Edge: 14
iLLALQcceddfghhhauvksvuaq,hLLAPkbddefgggevkpjskn,Face: 10
iLLALQcbedefhghhlukisvvof,hLLAPkbddefgggevkpjskn,Face: 8
iLLLMQcbedeghghhxxfxvbkvg,hLLAPkbddefgggevkpjskn,Face: 5
gLvQQcdcfeefhjrqhnk,fLLQccecddelqccwj,Face: 5
gLLAQccedfefqfhjqsj,fLLQccecddelqccwj,Face: 4
iLLAMMcbeedffghhaapwabchr,hLLAAkccdeefggakvhuvqs,Face: 7
iLLPMMcccdfefghhakkaxfhhr,hLLAAkccdeefggakvhuvqs,Face: 5
iLLAMMcbdeeffghhevdpancqj,hLLAAkcedeefgghtvaehqj,Face: 6
iLLLAQcbcfgehgghlshatqfvj,hLLAAkcedeefgghtvaehqj,Face: 5
gLLMQbcdefffdfblqgf,hLLLQkbcefgfggebheqkkc,Edge: 10
gLLAQbcdeefflsohhsr,hLvAQkadfefgggnpujfjvv,Edge: 11
iLvQMPcadfeegghhjeqdkuujw,hLvAQkadfefgggnpujfjvv,Face: 5
iLLLAQcacfefghhhnbkckbtux,hLvAQkadfefgggnpujfjvv,Face: 4
iLLLMQcacfgfgfhhjknssswlj,hLLAMkcdeeffgglgpuiojn,Face: 5
iLLAMMcbdeeffghhevdpancqj,hLLAMkcdeeffgglgpuiojn,Face: 4
iLLAPPcbcedfghhhtsxfjblxu,hLLAMkbdedfgggdwusllil,Face: 4
gLLPQcdefefftspqalv,hLLLQkceffegggtuqalasn,Edge: 10
iLLLMQcceffghghhuaeaiswgk,hLLLQkceffegggtuqalasn,Face: 4
iLLAwQcbedefghhhaaoldfllh,hLLAMkbeedffggaaeoawkr,Face: 13
iLLLAQcbedegghhhaafmhvmex,hLLAMkbeedffggaaeoawkr,Face: 12
iLLAMMcbeedffghhaapwabchr,hLLAMkbeedffggaaeoawkr,Face: 7
iLLLQMcbedgffghhaanxhjshw,hLLAMkbeedffggaaeoawkr,Face: 5
iLLLMQcbedgffghhaafijjojr,hLLAMkbeedffggaaeoawkr,Face: 1
iLLLAQcacfefghhhnbkckbtux,hLLAAkcddeffgghrrahoar,Face: 6
iLLLAQcacfefghhhnbkckbtux,hLLAAkcddeffgghrrahoar,Face: 5
gLLAQbcedeffajhftor,hLLAPkcddefgggufvuvvrr,Edge: 10
iLLALQcceddghhghatvkctpcq,hLLAPkcddefgggufvuvvrr,Face: 8
iLLLMQcbcfghhfghtshabbsvc,hLLAPkcddefgggufvuvvrr,Face: 7
iLLLAQcbddffhghhlvwhgaopp,hLLAPkcddefgggufvuvvrr,Face: 2
iLLLMQcbcegfhhghtsxagwnvc,hLLPPkcdefegggloaelsws,Face: 10
ivLAMQccefgehhghvjppbmojr,hLLPPkcdefegggloaelsws,Face: 9
iLLzQPccdegefghhloaxlfcmk,hLLPPkcdefegggloaelsws,Face: 8
iLLzAQccdefgfhhhpfqauftim,hLLPPkcdefegggloaelsws,Face: 4
ivLAMQccefgehhghvjppbmojr,hLLPPkcdefegggucalubbj,Face: 11
iLLLMQcbcegfhhghtsmagcovc,hLLPPkcdefegggucalubbj,Face: 6
iLLLAQcccegfhhghqftpxthoh,hLLPPkcdefegggucalubbj,Face: 5
gLLMQbddfeffxvrilcv,hLLLQkbddgffggevwmkcgj,Edge: 14
iLLALQcceddghhghatvkctpcq,hLLLQkbddgffggevwmkcgj,Face: 14
iLLLAQccefgfghhhuhtetjwro,hLLLQkbddgffggevwmkcgj,Face: 11
iLLLAQcccegfhhghqftpxthoh,hLLLQkbddgffggevwmkcgj,Face: 7
iLLLAQcbedefhghhxxfxmhcdi,hLLLQkbddgffggevwmkcgj,Face: 5
gLLPQccdeffflnrmicf,hLLAPkccedfgggpgpogggb,Edge: 10
gLLAQbdeefffdwalaus,hLLAPkccedfgggpgpogggb,Edge: 9
iLLALQcccedgghhhqfpfcsuma,hLLAPkccedfgggpgpogggb,Face: 2
gLLMQbcdeffflbbhisb,hLLLQkbdeeffggevqqpgor,Edge: 12
gLLAQbcedeffhvafpvr,hLLLQkbdeeffggevqqpgor,Edge: 11
iLLMLQcccdfgfghhanvpbbwpk,hLLLQkbdeeffggevqqpgor,Face: 7
gLLAQbdceefftvrxdjr,fLLQcacdedenbqqsw,Face: 9
gLLAQacdefefjsxaxjj,fLLQcacdedenbqqsw,Face: 3
gLLAQbdceefftvrxdjr,hLLLQkbcefffggebaxmrbj,Edge: 11
iLLLAQcacfeehghhjkgcgmvll,hLLLQkbcefffggebaxmrbj,Face: 10
iLLLAQcacfegghhhjkgckrmii,hLLLQkbcefffggebaxmrbj,Face: 9
iLLzQPccdegefghhloaxlfcmk,hLLLQkbcefffggebaxmrbj,Face: 5
iLLLMQcbcfehghhgebtusrvkj,hLLLQkbcefffggebaxmrbj,Face: 2
gLLPQccdeffflnrmicf,hLLPAkccdeffgglkfpmbuj,Edge: 10
iLLMPMcbdedfgghhtjafojoxw,hLLPAkccdeffgglkfpmbuj,Face: 6
iLLAPMcbdedgfghhlsasnvchr,hLLPAkccdeffgglkfpmbuj,Face: 5
iLLLQPccddgfgghhhsginfwhw,hLLPAkccdeffgglkfpmbuj,Face: 2
iLLLAQcacfeehghhjkgcgmvll,hLLAPkccdegffgakvhkvjw,Face: 13
iLLLAQcacfeehghhjkgcgmvll,hLLAPkccdegffgakvhkvjw,Face: 12
iLLLMQcbedefhgghaafdbvokw,hLLAPkccdegffgakvhkvjw,Face: 4
iLLALQcbcedghhghdgdjcdeje,hLLAPkbdedgfggtjascvnb,Face: 11
iLLALQcbddeghhghhgfubeawa,hLLAPkbdedgfggtjascvnb,Face: 5
iLLLMQcbcegfhhghtsmagcovc,hLLAPkbdedgfggtjascvnb,Face: 4
gLLMQbcdfefftsrdeoc,hLLMPkbdedfggglsafosfw,Edge: 10
iLLALQcbcedghghhdgmfcdoip,hLLMPkbdedfggglsafosfw,Face: 11
iLLLMQcbcfghhfghtshabbsvc,hLLMPkbdedfggglsafosfw,Face: 6
iLLLMQccddfghghhqvfajioai,hLLMPkbdedfggglsafosfw,Face: 5
iLLALQcbddeghhghhgfubeawa,hLLLQkcddggffghsgiswnv,Face: 14
iLLALQcccedgghhhqfpfcsuma,hLLLQkcddggffghsgiswnv,Face: 12
iLLLQPccddgfgghhhsginfwhw,hLLLQkcddggffghsgiswnv,Face: 11
iLLLMQccddfghghhqvfajioai,hLLLQkcddggffghsgiswnv,Face: 10
iLLAPPcbdedfghhherdgsrqpe,hLLLQkcddggffghsgiswnv,Face: 6
iLLMLQcccdfgfghhanvpbbwpk,hLLAPkacdegfggnbaaaakk,Face: 6
iLLMLQcccdfgfghhanvpbbwpk,hLLAPkacdegfggnbaaaakk,Face: 5
iLLLMQcbdfgfhfhhdwapnwnvw,hLLAMkaddefgggnpupoall,Face: 13
iLLLAQcbddffhghhlvwhgaopp,hLLAMkaddefgggnpupoall,Face: 12
