id,oriented,tetrahedra
eLAkbccddhhsqs,1,4
fLLQcacdeeejkdicr,0,5
fLLQcaddeeenpuplr,0,5
fLLQcbeddeehtgkiu,1,5
fLLQcacdeeenbaakn,1,5
gLLMQbcdefffdfbttow,0,6
gLLQPccddeffunnvuxn,0,6
gLvQQaefdeffjhqhvwn,0,6
gLLMQbcdefffdfblqgf,0,6
gLLAQbcedeffasxflok,0,6
gLLMQbcefefflstmmeo,0,6
gLLAQaeddfffnlahggn,0,6
gLLAQbdceefftvrmtrw,0,6
gLLPQccdeffflnrmicf,0,6
gLLAQbcedeffajhftor,0,6
gLLPQcdefefftspqalv,1,6
gLLMQbcdfefftsrdeoc,1,6
gLLMQbddfeffxvrilcv,1,6
gLLAQbcdeefflsohhsr,1,6
gLLAQbcedeffhvafpvr,1,6
hLLAPkcddefgggpgvqfvkk,0,7
hLLAMkbdedfgggdweslteq,0,7
hLLAPkbddefgggevkpjskn,0,7
fLLQccecddelqccwj,1,5
hLLAAkccdeefggakvhuvqs,0,7
hLLAAkcedeefgghtvaehqj,0,7
hLLLQkbcefgfggebheqkkc,0,7
hLvAQkadfefgggnpujfjvv,0,7
hLLAMkcdeeffgglgpuiojn,0,7
hLLAMkbdedfgggdwusllil,0,7
hLLLQkceffegggtuqalasn,0,7
hLLAMkbeedffggaaeoawkr,0,7
hLLAAkcddeffgghrrahoar,0,7
hLLAPkcddefgggufvuvvrr,0,7
hLLPPkcdefegggloaelsws,0,7
hLLPPkcdefegggucalubbj,0,7
hLLLQkbddgffggevwmkcgj,0,7
hLLAPkccedfgggpgpogggb,0,7
hLLLQkbdeeffggevqqpgor,0,7
fLLQcacdedenbqqsw,1,5
hLLLQkbcefffggebaxmrbj,0,7
hLLPAkccdeffgglkfpmbuj,0,7
hLLAPkccdegffgakvhkvjw,0,7
hLLAPkbdedgfggtjascvnb,0,7
hLLMPkbdedfggglsafosfw,0,7
hLLLQkcddggffghsgiswnv,0,7
hLLAPkacdegfggnbaaaakk,0,7
hLLAMkaddefgggnpupoall,0,7
hLLLQkcdefgfggtsmalgsb,1,7
hLLLQkbddfggfgdwfebsbc,1,7
hLLLQkcddfgfggiffafswb,1,7
hLLLQkcddfgfggissafswb,1,7
hLLLQkcdeegfggtsmplggb,1,7
hLLLQkbedegfggxxfxhjsf,1,7
hLvAQkbeffgefgdaheapsn,0,7
hLvAQkadfgefggnaesgcgf,1,7
hLLMPkacefefggnbhoojar,1,7
fLLQcbcdeeehvompm,1,5
hLwLQkacefgfggngkvfbfr,1,7
hLLAAkbdedffggevdgajhn,0,7
iLLALQcceddfghhhauvksvuaq,0,8
iLLLMQcceffghghhuaeaiswgk,0,8
iLLLAQcbedegghhhaafmhvmex,0,8
iLLAPPcbcedfghhhtsxfjblxu,0,8
iLLALQcbedefhghhlukisvvof,0,8
iLLLMQcbedeghghhxxfxvbkvg,0,8
gLvQQcdcfeefhjrqhnk,1,6
gLLAQccedfefqfhjqsj,1,6
iLLAMMcbeedffghhaapwabchr,0,8
iLLPMMcccdfefghhakkaxfhhr,0,8
iLLAMMcbdeeffghhevdpancqj,0,8
iLLLAQcbcfgehgghlshatqfvj,0,8
iLvQMPcadfeegghhjeqdkuujw,0,8
iLLLAQcacfefghhhnbkckbtux,0,8
iLLLMQcacfgfgfhhjknssswlj,0,8
