target,source,label
fLLQcaddeeejpumxj,eLAkaccddjnbxr,Face: 7
fLAMcaccdeejsjxxj,eLAkaccddjnbxr,Face: 5
fLLQcaddeeejpupdw,eLAkaccddjnbxr,Face: 4
fLLQcacdedejbaanj,eLAkaccddjnbxr,Face: 3
gLLAQbddeeffxwrxxgr,fLLQcaddeeejpumxj,Face: 10
gLLMQbdefefflvqmemf,fLLQcaddeeejpumxj,Face: 9
gLLPQccdeffflkfpajr,fLLQcaddeeejpumxj,Face: 5
gLLMQadeffefjpaxrnc,fLLQcaddeeejpumxj,Face: 1
gLLAQbceeeffdfaiixj,fLAMcaccdeejsjxxj,Face: 9
gLLMQbdefefflvqmemf,fLLQcaddeeejpupdw,Face: 9
gLLPQccdeffflkfpmbk,fLLQcaddeeejpupdw,Face: 8
gLLAQbdceeffevnlebw,fLLQcaddeeejpupdw,Face: 7
gLLAQaeddfffjmahgkg,fLLQcaddeeejpupdw,Face: 5
gLLMQbdedeffaspfxfk,fLLQcaddeeejpupdw,Face: 3
gLLAQaddeeffnmapcoj,fLLQcacdedejbaanj,Face: 7
hLLAPkbdedfggglvpgbkfo,gLLAQbddeeffxwrxxgr,Face: 10
hLLAAkcddeefgglgwamvhn,gLLAQbddeeffxwrxxgr,Face: 5
hLLPPkcdefffggakedtkjn,gLLAQbddeeffxwrxxgr,Face: 3
fLLQcaddeeejpupdw,gLLMQbdefefflvqmemf,Edge: 12
hLLPPkcdfefgggpcealsww,gLLMQbdefefflvqmemf,Face: 9
hLLzQkcdegefggloaxlfbc,gLLMQbdefefflvqmemf,Face: 7
hLLLQkbdeegfgglvpedrof,gLLMQbdefefflvqmemf,Face: 6
hLLAPkcddefgggugvuvvww,gLLMQbdefefflvqmemf,Face: 3
hLLAPkbdedfggglvpgbkfo,gLLPQccdeffflkfpajr,Face: 12
hLLAPkbdedgfgglsacnvcr,gLLPQccdeffflkfpajr,Face: 11
hLLMMkbceefgggtsxqafjb,gLLPQccdeffflkfpajr,Face: 6
hLLAPkbddefgggdwguvnvg,gLLPQccdeffflkfpajr,Face: 5
hLLLQkcddgfgfghsginvww,gLLPQccdeffflkfpajr,Face: 2
hLLLQkbdeegfgglvpedrof,gLLMQadeffefjpaxrnc,Face: 11
hLLAPkbcedfgggekdjgnbj,gLLMQadeffefjpaxrnc,Face: 7
hLLLQkadggeffgjptnnggo,gLLMQadeffefjpaxrnc,Face: 3
hLLAPkbdcefgggtssqnksn,gLLMQadeffefjpaxrnc,Face: 2
hLLAAkcddeefgglgwamvhn,gLLAQbceeeffdfaiixj,Face: 8
hLLAMkbdedfgfgevuslqkw,gLLAQbceeeffdfaiixj,Face: 6
hLLMAkbdedefggasqfxfhs,gLLAQbceeeffdfaiixj,Face: 3
hLLPAkccdeffggubfedwxk,gLLPQccdeffflkfpmbk,Face: 12
hLLAPkbdedgfgglsasnvcr,gLLPQccdeffflkfpmbk,Face: 10
hLLAPkccedfgggpgpobbgb,gLLPQccdeffflkfpmbk,Face: 9
hLLMMkbceefgggtsxqafjb,gLLPQccdeffflkfpmbk,Face: 8
hLLLQkcddgfgfghsginfww,gLLPQccdeffflkfpmbk,Face: 1
fLLQcadddeenhahxk,gLLAQbdceeffevnlebw,Edge: 8
hLLLQkbcegfffgebuahgjr,gLLAQbdceeffevnlebw,Face: 11
hLLPAkccdeffggubfedwxk,gLLAQbdceeffevnlebw,Face: 10
hLLAPkbcedfgfgajhfosrw,gLLAQbdceeffevnlebw,Face: 8
hLLAPkccedfgggpgpobbgb,gLLAQaeddfffjmahgkg,Face: 10
hLLAAkbddeffgglvkhqrtk,gLLAQaeddfffjmahgkg,Face: 8
hLLAPkcddefgggugvuvvww,gLLMQbdedeffaspfxfk,Face: 11
hLLAPkcddefgggugvuvvww,gLLMQbdedeffaspfxfk,Face: 10
hLLAMkaddefgggjpupoadd,gLLMQbdedeffaspfxfk,Face: 9
hLLAPkacdegfggjbaaaann,gLLMQbdedeffaspfxfk,Face: 7
fLLQcadedeejmllxv,gLLAQaddeeffnmapcoj,Edge: 10
hLLAAkbddeffgglvkhqrtk,gLLAQaddeeffnmapcoj,Face: 6
gLLPQccdeffflkfpajr,hLLAPkbdedfggglvpgbkfo,Edge: 10
iLLLMQcbcfghhgghebpavvrjv,hLLAPkbdedfggglvpgbkfo,Face: 10
iLLLMQcbdeeghhghxjqqwvbnb,hLLAPkbdedfggglvpgbkfo,Face: 5
iLLLMQcbdeefhghhxwlxfrskv,hLLAPkbdedfggglvpgbkfo,Face: 2
gLLAQbceeeffdfaiixj,hLLAAkcddeefgglgwamvhn,Edge: 11
gLLMQbddeeffasbiijw,hLLPPkcdefffggakedtkjn,Edge: 11
iLLLAQcccfegghhhubadmraam,hLLPPkcdefffggakedtkjn,Face: 14
iLLLMQcbcfghhgghebpavvrjv,hLLPPkcdefffggakedtkjn,Face: 12
iLLLAQcacegghhhgnkkckaaav,hLLPPkcdefffggakedtkjn,Face: 2
iLLLMQcbcegfhhghtsuagnkvc,hLLPPkcdfefgggpcealsww,Face: 14
ivLAPQccdefhgghhoroiitkjf,hLLPPkcdfefgggpcealsww,Face: 12
iLLLMQcbdgffghhhhgitjrbww,hLLPPkcdfefgggpcealsww,Face: 11
iLLPPPccdefegghhloaelssdn,hLLzQkcdegefggloaxlfbc,Face: 13
ivLAPQccdefhgghhoroiitkjf,hLLzQkcdegefggloaxlfbc,Face: 11
iLLvQQccdehghghgtoitrnjnb,hLLzQkcdegefggloaxlfbc,Face: 8
iLLLMQcbcegfhhghtsuagbkvc,hLLzQkcdegefggloaxlfbc,Face: 6
gLLMQadeffefjpaxrnc,hLLLQkbdeegfgglvpedrof,Edge: 10
