id,oriented,tetrahedra
eLAkaccddjnbxr,1,4
fLLQcaddeeejpumxj,1,5
fLAMcaccdeejsjxxj,1,5
fLLQcaddeeejpupdw,0,5
fLLQcacdedejbaanj,1,5
gLLAQbddeeffxwrxxgr,0,6
gLLMQbdefefflvqmemf,0,6
gLLPQccdeffflkfpajr,1,6
gLLMQadeffefjpaxrnc,0,6
gLLAQbceeeffdfaiixj,0,6
gLLPQccdeffflkfpmbk,0,6
gLLAQbdceeffevnlebw,0,6
gLLAQaeddfffjmahgkg,0,6
gLLMQbdedeffaspfxfk,0,6
gLLAQaddeeffnmapcoj,1,6
hLLAPkbdedfggglvpgbkfo,0,7
hLLAAkcddeefgglgwamvhn,0,7
hLLPPkcdefffggakedtkjn,0,7
hLLPPkcdfefgggpcealsww,0,7
hLLzQkcdegefggloaxlfbc,0,7
hLLLQkbdeegfgglvpedrof,0,7
hLLAPkcddefgggugvuvvww,0,7
hLLAPkbdedgfgglsacnvcr,1,7
hLLMMkbceefgggtsxqafjb,0,7
hLLAPkbddefgggdwguvnvg,1,7
hLLLQkcddgfgfghsginvww,0,7
hLLAPkbcedfgggekdjgnbj,0,7
hLLLQkadggeffgjptnnggo,0,7
hLLAPkbdcefgggtssqnksn,0,7
hLLAMkbdedfgfgevuslqkw,0,7
hLLMAkbdedefggasqfxfhs,0,7
hLLPAkccdeffggubfedwxk,0,7
hLLAPkbdedgfgglsasnvcr,0,7
hLLAPkccedfgggpgpobbgb,0,7
hLLLQkcddgfgfghsginfww,0,7
fLLQcadddeenhahxk,1,5
hLLLQkbcegfffgebuahgjr,0,7
hLLAPkbcedfgfgajhfosrw,0,7
hLLAAkbddeffgglvkhqrtk,0,7
hLLAMkaddefgggjpupoadd,0,7
hLLAPkacdegfggjbaaaann,0,7
fLLQcadedeejmllxv,1,5
iLLLMQcbcfghhgghebpavvrjv,0,8
iLLLMQcbdeeghhghxjqqwvbnb,0,8
iLLLMQcbdeefhghhxwlxfrskv,0,8
gLLMQbddeeffasbiijw,0,6
iLLLAQcccfegghhhubadmraam,0,8
iLLLAQcacegghhhgnkkckaaav,0,8
iLLLMQcbcegfhhghtsuagnkvc,0,8
ivLAPQccdefhgghhoroiitkjf,0,8
iLLLMQcbdgffghhhhgitjrbww,0,8
iLLPPPccdefegghhloaelssdn,0,8
iLLvQQccdehghghgtoitrnjnb,0,8
iLLLMQcbcegfhhghtsuagbkvc,0,8
iLLMLQcceddfhghhapvkrevlm,0,8
iLvLQQcbefhgghhglpaadrcgg,0,8
iLvLQQcbefhghghgxaaaxwrgg,0,8
iLLLAQcbdeggfhhhevmpprixu,0,8
iLLLMQcbdeehhgghlvpejskwf,0,8
iLLLMQcbcfghhfghtsiawwsvc,0,8
iLLLAQcbddffhghhtvwhgaott,0,8
iLLAPMcbdedfgghhlsacssshr,1,8
iLLALQcbcedghghhevpffeoqx,0,8
iLLLMQcbdeegghhhdwhhgokws,0,8
iLLALQcceddfghhhiivvsnlil,1,8
iLLLAQccddfghhghqvfpcmavt,0,8
iLLALQcbddeghghhhgflbpfmu,0,8
iLLAzQcbddeghhghdwguwqujh,1,8
iLLAzQcbddeghhghdwgubquoh,1,8
iLLLMQccddeghghhlokikhktq,0,8
iLLLPQcbcegfhhghtsqavrwkf,0,8
iLLMwQccddefghhharvuaaurj,0,8
iLLPwQcccdefghhhlnnailarj,0,8
iLLLPQcbcfeghghhdoedofnvf,0,8
iLLMwQccddefghhhakwuaauow,0,8
iLLLAQcadggehhhgjpxrnaaac,0,8
iLLALQcbdcehgghhtssqagbqq,0,8
gLLAQbeceeffxxsxqxj,1,6
iLLAPMcbcedfgfhhasxfjojhs,0,8
iLLLQMcbefgfefhhaadddinhs,0,8
iLLAPMcbdedgfghhtjascvnxr,0,8
iLLMPMcbdedfgghhlsafosfhw,0,8
iLLLQPccddggfghhqvficswlj,0,8
iLLALQcbcedghghhdgdjcdcah,0,8
iLLLAQccddfghghhqvfhcmjit,0,8
gLLAQbdeefffdwatalj,0,6
iLLALQcccedfhghhqfifjeslu,0,8
gLLAQccedefftwxftcw,1,6
gLLAQaddeeffnpupcjn,0,6
iLLLAQcacfeehghhjkgcomvdd,0,8
iLLLAQcacfegghhhjkgckwmap,0,8
iLLLMQcbcfghhfhglsphfjwnw,0,8
iLLLMQcbedefhgghaafmwvoks,0,8
gLLMQbcdeffftbbhtsr,0,6
iLLMLQcccdfgfghhakvibwgpr,0,8
iLLLMQcbdfgfhfhhdwapkwksw,0,8
iLLAPPcbdcefghhhxvsxcvapp,0,8
iLLLMQcbedfgghghaafujjsor,0,8
gLLMQbcdeffftbbhtcr,1,6
gLLMQacdfeffnkxccjs,1,6
gLvQQadefeffjahtrkc,0,6
gLLAQccedeffqvmfqsn,1,6
jLvwMQQbehfigghiiaphiofffwb,0,9
jLLLMPQcedghhgiiiqafivjrmma,0,9
jLLvAQQceghgihigialiinvbvbk,0,9
jLLLAMQcedfghihiilafhlahddc,0,9
hLLAMkbedefgggxxfxhjoj,0,7
jLLLPMQcddhfghiiiukfgkvklxh,0,9
jLLLLQQbcghfiihhilsmnsfoccr,0,9
jLLAzMQcddefghiiiacvxcbdqkv,0,9
jLLLMPQbdeefihihixwlxfajlrx,0,9
jLLLQLQbdeegfhiiixwlxpfdlsr,0,9
