target,source,label
fLLQcbcedeetsqfti,eLPkbcddddrwjf,Face: 8
fLLQcccddeeqjjshr,eLPkbcddddrwjf,Face: 7
fvPQccdedeekskfww,eLPkbcddddrwjf,Face: 6
fLLQcbededehhoafa,eLPkbcddddrwjf,Face: 5
fLLQcbeddeeddgvua,eLPkbcddddrwjf,Face: 2
gLLAQbcedffftsafxfo,fLLQcbcedeetsqfti,Face: 9
gvLQQcdeffeffjcembl,fLLQcbcedeetsqfti,Face: 8
gLLPQcdefeffpfxxqdc,fLLQcbcedeetsqfti,Face: 6
gLLAQbdeefffdwtlain,fLLQcbcedeetsqfti,Face: 5
gLLPQccdeffflnfimcb,fLLQcbcedeetsqfti,Face: 4
gLLAQbcdeefflsohtfn,fLLQcccddeeqjjshr,Face: 10
gLLAQaddefffnuaevjs,fLLQcccddeeqjjshr,Face: 9
gLLAQbcedeffhvefpcn,fLLQcccddeeqjjshr,Face: 6
gvLQQcdeffeffjcembl,fvPQccdedeekskfww,Face: 10
gLLAQcdeefffhfiaxao,fvPQccdedeekskfww,Face: 9
gvLQQcdefefffffxoax,fvPQccdedeekskfww,Face: 7
gvLQQcdefeffbfgpfll,fvPQccdedeekskfww,Face: 6
gLvQQbefdfefmexfaxk,fvPQccdedeekskfww,Face: 5
gLLAQbddefffxvgxurn,fLLQcbededehhoafa,Face: 10
gLLMQbceffeftgxiqtb,fLLQcbeddeeddgvua,Face: 10
gLLAQbcdeefflsohtfn,fLLQcbeddeeddgvua,Face: 9
gLLAQbdedfffdfacqsv,fLLQcbeddeeddgvua,Face: 8
gLLAQbddefffxvgxurn,fLLQcbeddeeddgvua,Face: 7
gLLMQbdedfffmfuktks,fLLQcbeddeeddgvua,Face: 6
gLLAQbdedfffdwafdrr,fLLQcbeddeeddgvua,Face: 3
hLLAPkbddefgggevjmfvkr,gLLAQbcedffftsafxfo,Face: 12
hLLLQkcddefgggpkrdrvkf,gLLAQbcedffftsafxfo,Face: 11
hLLLQkbddgffggdwfqvfnr,gLLAQbcedffftsafxfo,Face: 10
hLLLQkbdegefggdwlploko,gLLAQbcedffftsafxfo,Face: 9
hLLLQkcddegfgglgfmwskc,gLLAQbcedffftsafxfo,Face: 4
fvPQccdedeekskfww,gvLQQcdeffeffjcembl,Edge: 12
hvLAQkcdfegfggfjxoqaqf,gvLQQcdeffeffjcembl,Face: 9
hvLAQkcdfegfggkwpkeaek,gvLQQcdeffeffjcembl,Face: 7
hvLAQkcedgfgfgkvkhhahr,gvLQQcdeffeffjcembl,Face: 4
hvLAQkcdegfgfgffjhiaqf,gLLPQcdefeffpfxxqdc,Face: 11
hLvAQkbefggffgpahpuqcv,gLLPQcdefeffpfxxqdc,Face: 6
hLLzQkcdfegfggtkmducww,gLLPQcdefeffpfxxqdc,Face: 4
hLLLQkbddgffggdwfqvfnr,gLLAQbdeefffdwtlain,Face: 11
hLLAMkcedefgggplvtufjc,gLLAQbdeefffdwtlain,Face: 6
hLLAPkcedefgggplktuosn,gLLAQbdeefffdwtlain,Face: 5
hLLLQkbddfggfgdwfdssfo,gLLAQbdeefffdwtlain,Face: 4
hLLLQkbdegefggdwlploko,gLLPQccdeffflnfimcb,Face: 11
hLLLQkbcgfefggtgditgow,gLLPQccdeffflnfimcb,Face: 10
hLLLQkbdeefgggmrqqawov,gLLPQccdeffflnfimcb,Face: 6
hLLLQkbdegefggdwaplvkk,gLLPQccdeffflnfimcb,Face: 3
fLLQcbeddeeddgvua,gLLAQbcdeefflsohtfn,Edge: 12
hLvAQkadffegggjaicwjrv,gLLAQbcdeefflsohtfn,Face: 8
hLvAQkadfegfggjaqcfjkk,gLLAQbcdeefflsohtfn,Face: 7
hLvAQkbeffgefgdahehhsw,gLLAQbcdeefflsohtfn,Face: 6
hLLMAkccdfefgganvddjxk,gLLAQbcdeefflsohtfn,Face: 3
hLLLQkceffegfglueaxlfr,gLLAQaddefffnuaevjs,Face: 11
hLLLQkbdgegfgfeviuivwj,gLLAQaddefffnuaevjs,Face: 10
hLvAQkaefegfggjlqvcffg,gLLAQaddefffnuaevjs,Face: 9
hLLAMkbdeeffggxvahancw,gLLAQaddefffnuaevjs,Face: 5
hLLMPkbcdegffgxortfnkn,gLLAQaddefffnuaevjs,Face: 4
hLLAAkbdedffggevagajaw,gLLAQbcedeffhvefpcn,Face: 12
