id,oriented,tetrahedra
eLPkbcddddrwjf,1,4
fLLQcbcedeetsqfti,1,5
fLLQcccddeeqjjshr,1,5
fvPQccdedeekskfww,1,5
fLLQcbededehhoafa,1,5
fLLQcbeddeeddgvua,0,5
gLLAQbcedffftsafxfo,1,6
gvLQQcdeffeffjcembl,1,6
gLLPQcdefeffpfxxqdc,1,6
gLLAQbdeefffdwtlain,0,6
gLLPQccdeffflnfimcb,0,6
gLLAQbcdeefflsohtfn,0,6
gLLAQaddefffnuaevjs,1,6
gLLAQbcedeffhvefpcn,1,6
gLLAQcdeefffhfiaxao,1,6
gvLQQcdefefffffxoax,0,6
gvLQQcdefeffbfgpfll,1,6
gLvQQbefdfefmexfaxk,0,6
gLLAQbddefffxvgxurn,0,6
gLLMQbceffeftgxiqtb,0,6
gLLAQbdedfffdfacqsv,0,6
gLLMQbdedfffmfuktks,0,6
gLLAQbdedfffdwafdrr,0,6
hLLAPkbddefgggevjmfvkr,0,7
hLLLQkcddefgggpkrdrvkf,0,7
hLLLQkbddgffggdwfqvfnr,0,7
hLLLQkbdegefggdwlploko,0,7
hLLLQkcddegfgglgfmwskc,1,7
hvLAQkcdfegfggfjxoqaqf,1,7
hvLAQkcdfegfggkwpkeaek,1,7
hvLAQkcedgfgfgkvkhhahr,0,7
hvLAQkcdegfgfgffjhiaqf,0,7
hLvAQkbefggffgpahpuqcv,0,7
hLLzQkcdfegfggtkmducww,1,7
hLLAMkcedefgggplvtufjc,0,7
hLLAPkcedefgggplktuosn,0,7
hLLLQkbddfggfgdwfdssfo,0,7
hLLLQkbcgfefggtgditgow,0,7
hLLLQkbdeefgggmrqqawov,0,7
hLLLQkbdegefggdwaplvkk,0,7
hLvAQkadffegggjaicwjrv,0,7
hLvAQkadfegfggjaqcfjkk,0,7
hLvAQkbeffgefgdahehhsw,0,7
hLLMAkccdfefgganvddjxk,0,7
hLLLQkceffegfglueaxlfr,0,7
hLLLQkbdgegfgfeviuivwj,0,7
hLvAQkaefegfggjlqvcffg,1,7
hLLAMkbdeeffggxvahancw,1,7
hLLMPkbcdegffgxortfnkn,1,7
hLLAAkbdedffggevagajaw,0,7
hLLLQkbdeeffggevqqpjjk,0,7
hLLLQkacfgegfgjkgfgffr,1,7
hLLAAkbcdeefgghvrmmcxk,1,7
hLLLQkbcffgggflstplkos,0,7
hLvAQkcdefggfguruqevnb,0,7
hLLLQkbcfgffgglspaewok,0,7
hLLLQkbdfgfggfxvhqxcvc,1,7
hLvMQkbfdgefggptfxucwf,0,7
hLLLQkcdffegggiceaakrf,0,7
hvLAQkcdfegfggjragmemo,0,7
hvLAQkcdefgfggjvglxaxj,0,7
hvLAQkcdegffggnvrammeb,0,7
hLLLQkcdefgfggavmaprjj,0,7
hvLAQkcdfeggfgnvaoiiho,1,7
hvLAQkcdegfgfgffjhuaub,0,7
hLLzQkcdefggfgdfadlofs,0,7
hvLPQkcdegffgggkfhpulo,1,7
hLLLQkccfegfggdwaeproo,0,7
hLLLQkcdegfgfgavphdbfn,0,7
hLLLQkbdgfefggtvqatrro,0,7
hLLAPkbcedgfggajhfssof,0,7
hLLAPkcddefgggusvuvojn,0,7
hLLLQkcdffgggflclmlwsf,0,7
hLLAPkcddegfgghsvekrog,0,7
hLLLQkcedgefggiiktxfgo,0,7
hLLLQkcdffgggflclmlgjf,0,7
hLLLQkbdfeggfglvttmkkg,0,7
hLLAPkcddefggghsvdrfcg,0,7
hLLPPkcdfeegggirlhubvo,0,7
hLLLQkccefggfgdkuupkok,0,7
hLLAPkcddegfgglsvanjvw,0,7
hLLAPkcddefgggpsvakosw,0,7
hLLMMkcedffgggatvupfgw,0,7
hLLLQkbddffgggdwfdgrrb,0,7
hLLLQkbdegefggdwallgww,0,7
hLLAPkbedegfggaaflunnf,0,7
iLLALQcbdedfghhhevagvftxu,0,8
iLvAMQccdfghfghhpvtufkokj,0,8
iLLALQcbcedfghhhajqffoxqt,0,8
iLLLAQccddefghhhlgfmksipa,0,8
iLLvQQccdeggfhhhtcqlgnrsv,0,8
iLLALQcbcedghhghajhjjtxjx,0,8
iLLvQQccdehghgghufqajrbff,0,8
iLLALQcbcedfghhhajhjocdmi,0,8
iLvAAQcbeffgghhhedepasjgb,0,8
iLLALQcbcedfghhhasxsjgpme,0,8
iLLLMQcbcfehgghhdfpljfovv,1,8
iLLLPQccddfhghghlgfcgnonn,1,8
ivLAMQccedfghhghbfbhiasgc,0,8
ivLAAQcecfgehhghksxawpcsg,1,8
ivLLQQcceefghghhwwrhhxonn,0,8
ivLLQQcdedhfgghhogglppbsr,1,8
ivLAAQcceffgghhhnbamaeijn,0,8
iLLwMQccedfhghghhlvefwbwg,0,8
iLvLQQccefghhgghapdhlbfjn,0,8
ivLAMQcdcfeghhghojhgutkvc,0,8
iLLLMQccdefgfhhhakphbfkbn,0,8
iLLLQPcccfegfhhhdwaemrthi,0,8
iLvAAQcbefegghhheduxasnnc,0,8
iLLzAQccdegffhhhlfapdwxdp,0,8
iLLvQQccdefhghghpfqdvcccv,1,8
iLLvQQccdeghfhghlkdlnfgsv,0,8
iLLAzQccedeghghhplvtqxrda,0,8
iLLAzQccedeghghhplktqxbda,0,8
gLLAQbdedfffdwmfarr,0,6
iLLLMQccdefhfghhavpavfcko,0,8
iLLAPPccddefghhhdrjaonapp,0,8
iLLLPQcbddfhgghhmsfvbgonn,0,8
iLvAAQcbeffghghhpuhiasocr,0,8
iLLALQccddeghghhpsvaoeodu,0,8
iLLAzQccddeghghhlsvandnei,0,8
iLLLMQcbedehghghmaficobvf,0,8
iLvLQQccegfhfghhaeaplbfcs,0,8
iLLALQcbedefghhhaaflnfrsr,0,8
iLLLAQccdffegghhlclmakkqw,0,8
iLLzPQccdefgfghhpoatofsgn,0,8
iLLLAQcbcggefhghlspptkqvw,0,8
iLLLQPccdefegghhirhaugspw,0,8
iLLLMQcacfeghhghjkgcnuqva,0,8
iLLLMQcacfeghhghjkgowhmvt,0,8
iLLLQPccdffggfhhpclehgfik,0,8
iLLLMQcacfeghghhjkgcgqola,0,8
iLvAAQccdegffghhpvaedwgak,0,8
iLLLPQcbcgeffghhlsptkkvsn,0,8
iLvAAQcbfeeghhhgapldxrgrj,0,8
iLLMPPcbcdfgfghhajoavkcqj,0,8
iLLMLQcacdefghhhjkacspxkk,0,8
iLLLQMcbedefgghhaafmlboqn,0,8
iLLLPQcbddhhgfghevkbrgroj,0,8
iLLLAQcbddgfgfhhevkpngrtr,0,8
iLLLMQcacfghhfghjkgcqmsvm,0,8
iLLLMQcbedehhghgeificvjok,0,8
iLLMLQcbceeghgghasxdkgfgw,0,8
iLLLAQcbdgegfhghevqudglow,0,8
iLLMzQcbcdefghghlsbhsglsk,0,8
iLLPLQcbcdfggghhajfibncek,0,8
iLLLMQcacgehfghhjkccikcxi,1,8
iLvAAQccdefgfghhlvauqjkmk,1,8
iLvAMQcadfehghghjaqrqwaga,0,8
iLwLMQcacgffghhhjgrgksalp,0,8
iLvLQQcafdhfhgghnuwngnonv,1,8
iLLLMQcbedehfhghhhfqfrjjf,1,8
iLLMAMcbcdeffghhlsbhislqj,0,8
iLLLQPccddfgfghhtkwtgkcdr,0,8
iLLMLQcacdeghhghjkacpiimb,0,8
iLLLPQccdfgeghhhlcelrovbw,0,8
iLLMMMcbcdfefghhlskmajehr,0,8
iLLMLQcccdfgfghhanvpbswtw,0,8
iLvAMQcadfghgfhhjaqrqwbaa,0,8
iLvAPQccdcgfhghhhvrrjgsbf,1,8
iLLwMQcacefhgghhjkuodplmg,1,8
iLvPMQcccgehfghhqjaewngvo,1,8
iLLLQMcbedeffghhhhfqxsjxk,1,8
iLLLQMcbedeffghhxqfxxsjxk,1,8
iLLLMQcbcffhhgghlstpfjnks,0,8
iLLLMQccdfehfghhtceqcfwbj,0,8
iLLALQccedeghghhhtvaccncc,0,8
iLLLMQcccfgfghhhqfaagvjcw,0,8
iLvLQQcbdfeghhghlwatwrrvb,0,8
iLLLMQcbceghfhghtsmubsbvn,0,8
iLLwMQccedfhfghhhavafcooc,0,8
iLLLAQcbcfefghhhlspienqqh,0,8
iLLLMQcbdfggfhhhdwdqgjckk,0,8
iLLALQccedehhgghthvanckkc,0,8
iLLvQQccdfhggfhhhsehgbbvo,0,8
gLLPQceeffefdlataqm,1,6
iLLwAQccedfgfhhhiaveijeut,0,8
iLvLQQcceghffhghihamecgbo,0,8
iLvLQQcbdehgfhghafdebfsco,0,8
iLvLQQcceghffghhdtaehgfgg,0,8
iLLLPQcccfehgghhdwahnwfkk,0,8
iLLLMQcccfeghhghdwahwnnco,0,8
iLvAMQccdfgfhghhivpmcbsso,0,8
iLLLMQcccefgfhhhdwaxwvvno,0,8
iLvLQQcceghfghhgdpaemgvkb,0,8
iLLLMQcccfegfhhhdwahwkvno,0,8
iLLLMQccdffghfhhiceascnwn,0,8
iLLLPQcbedhgfghhpafpvnkfj,0,8
iLLLMQcbedfghhghalflrjsgs,0,8
ivLLQQccefghfghhgfxpaplgn,0,8
ivLLQQccdhefgghhjkdbtpnbk,0,8
ivLLQQccdghgfhghbcpmadmkb,0,8
ivLAAQccefgfhghhjnaxiaqnw,0,8
iLvLQQcbfeghghhgaxdqevrrs,0,8
iLLPzQccdfeghghhavqpxtvtl,0,8
iLLLMQcbedghfghhaafasjoof,0,8
iLLvQQccdfhhfgghisaikfvvb,0,8
ivLLQQccdfgfghhhgrepexegr,1,8
iLLvQQccdgffghhhdketfsooo,0,8
ivLAMQcdcfghgfhhovhiqaafk,1,8
ivLAAQccefgfhghhvvppmhinj,0,8
ivLAMQccedgfhghhkvwxxajjg,0,8
iLvLQQccegfhhfghapqqlbvvg,0,8
iLLLMQcccfgfhghhdwaqrbnnk,0,8
iLvAMQccdegfhhghdvapcjkgw,0,8
ivLAPQccdfghfghhffeqliqbn,1,8
iLLvQQccdefgfhhhhsatsvfon,0,8
iLLLMQccdefhgghhavpawbbfc,0,8
iLLLAQccdgefhhghavamdtqod,0,8
gLLAQbcedeffhgabxbr,1,6
iLLALQcbcedfghhhdfabbgamp,0,8
iLLALQcceddghhghiivfvtufx,0,8
iLLALQcbcedfghhhhgabbgaxx,0,8
iLLAPPcbddefghhhxvgxrwauu,0,8
iLLALQccddehgghhusvuijnud,0,8
iLLALQccddehgghhusvutjnum,0,8
iLLLAQcccfgfghhhqfaamfthm,0,8
iLLLAQcbedffghhhthfmhfath,0,8
iLLLMQccedfghghhpirajgbor,0,8
iLLLAQcbedeghghhaefdiinqt,0,8
iLLLMQcbcegfhhghtsqagnkvb,0,8
iLvAAQcbefeghhghedeharskc,0,8
iLLwMQccdeghfhghafipngkvs,0,8
iLLALQcceddhgghhtqrgqwoux,0,8
iLLALQccddehhgghlsvadtvwl,0,8
iLLALQccddehhgghpsvadtswx,0,8
iLLLAQcbdfgfhghhmkuhuicqu,0,8
iLLLAQcbdffghghhmvuuxicqu,0,8
iLLLAQcbedffghhhphfmhsath,0,8
iLLLAQcbedeghghhaefdeinqe,0,8
iLLLAQcccfeghhghqfatmlloe,0,8
iLvAMQcbefehgghhdadmavofn,0,8
gLLAQcdeeeffifepear,1,6
iLLAzQccdedgghhhdclfcfppe,0,8
iLLLMQcbcgfhfghhmouejvnbb,0,8
iLLLAQcbddfghhghmkvqkixop,0,8
iLLvQQcbdefhghghlvtpkcvso,0,8
iLLLAQcbdggehhghdcdudhaoh,0,8
iLLLMQcbdfgghfhhdwtpbwkgw,0,8
iLLLAQcbdefghghhmklpmpoie,0,8
iLLLAQcbdegfhghhmkqdidoei,0,8
iLLLMQcbdegfhhghmsqawocbg,0,8
iLLLMQcbdefhgghhmrmejkoww,0,8
iLLvQQccdfefghhhucaagvcnb,0,8
iLLvQQccdfefghhhlcaagkcwv,0,8
iLLLAQcbedeghghhddfahuoih,0,8
iLLLAQcbedffghhhdawmhfath,0,8
iLLLAQcbddfghhghmwrdbatrh,0,8
iLLLAQcbedffghhhdhwmhsath,0,8
iLLLMQcbdeefhghhmjqqsfonn,0,8
iLLLAQcbedeghghhddfaxuoix,0,8
iLLLAQcbedffghhhlawmhsath,0,8
iLLLAQcbddgfhghhmfktjarud,0,8
iLLLAQcbedffghhhlhwmhfath,0,8
iLLLMQcbdeeghghhmjqqvfofn,0,8
iLLLQMcbedefgghhmafilboqn,0,8
iLLAPPcbddefghhhxvgxrvluu,0,8
iLLAMPcbdedfghhhdwmfdaarv,0,8
iLLLAQccegfefhhhiiaaxnokk,0,8
iLLALQcbcdefghhhasoxsgtpx,0,8
iLLAPPccddefghhhdrjaojell,0,8
iLLALQcbcdefhghhajfxslklx,0,8
iLLAwQcbedefghhhaaflholxd,0,8
iLLAwQcbedefghhhaaflajlxd,0,8
iLLLAQccegfefhhhaiaaxnoks,0,8
iLLAMPcbdedfghhhdwafdaarr,0,8
jLLLAMQcddeghihiilgfmwmauqs,0,9
jLLALPQbdedgihhiitvdgkextek,0,9
jLLLPPQcddfhigihilgfggefufh,0,9
jLvLAQQbdfehighiidfedjecnex,0,9
hLLLQkbddgfgfgdwfuknkn,0,7
jLLLAMQcdeeghihiiagpmemlmqf,0,9
jLLLMMQbedefhiihiaafmrnidfx,0,9
jLLLAAQcddeghgiiilgfmwmcass,0,9
jLLLPMQccghghiihiubxtjnpawe,0,9
jLLLAAQcedfghhiiitufalmmtmo,0,9
jLLLPPQbedhfihihidpfhgifiwa,0,9
hLLMMkbceefgggasqdarsr,0,7
jLLLAMQcdeeghgiiiagpmemvxbf,0,9
jLLLMMQcddeggihiipkrdvkaurr,0,9
jLLzPPQcdeghgihiipgaugfarle,0,9
jLLvQPQcdefgihhiipgmhgarolh,0,9
jLLLwQQbcfehigihidfplniveou,0,9
jLLLAPQcdeeghiihiagpmeatuuj,0,9
jLLLAAQcddegghiiilgfmwkauss,0,9
jLLLAMQbddgfgihiidwfqvnaiff,0,9
jvLALQQecfghghiiiokpxxxwskk,0,9
jLvLAQQbdefhihihimfdintneoh,0,9
jLLLLQQbcfgihhgiidfpgnksvow,0,9
jLLLAPQcdeeghgiiiagpmeaclkj,0,9
jLLLAPQcddeghiihilgfmwaauls,0,9
jLLLAPQbdegegihiidwlploadoo,0,9
jvLALQQcdehihgihiffkmajfnss,1,9
jLLLLQQbcefigihhiebikogjbfc,1,9
jLLLLQQcddhfigihilgfgbxolft,0,9
jLLAvQQbdedghiihitvdgctxqtb,1,9
jvLALQQedfgghihiiggaatijvgc,0,9
jvLLAQQcefhfighiigfxxpabbsv,0,9
jLvLAQQbfhghifgiiaxaqssfsof,0,9
jvLAAPQedfeghiihiggxfefgror,1,9
jvLLAQQcdfghghiiibcttatrvvw,1,9
jLLvAQQcdfeggihiiqcaannlbtu,0,9
jvLAAMQcefgfhihiiwvlhlhcrrr,0,9
jLLvPQQcdghifighiaklknfnsvw,0,9
jvLAPPQdcegfhiihiojflxswfgn,0,9
jvLAAPQcefegihihibvaoavjvfk,0,9
jLvLAQQcfgehihgiialatfwfkks,0,9
hLLLQkbcegfgfgasdatwow,0,7
jLLLLQQbedghgihiiaafjjsjffw,0,9
jLLvQPQcdhfhfiiihafpdkrqtmv,0,9
jvLAPPQeddfhigihiwrjiaswnbj,0,9
jLvLAQQceghhiihgiaeipwnvwbf,0,9
jLLLMMQcdgfghihiiakahkcakqu,0,9
jLLvQPQcdfhhfgiiitgadcfvltm,0,9
jLLMzPQbdefghihiimkliqqhutw,0,9
jLLLMPQcdefhhgiiiavpavgruht,0,9
jLLLAPQbeffghhiiiaailqjwhex,0,9
jLLLMMQccfgfhhiiidwaprbnqpu,0,9
jLLzwQQcdegigihhilfapabmfsq,0,9
jLLvMQQcdegigihhitkdgfwfwfn,1,9
jLLvQMQcdhgghiigilkxlwweasx,0,9
jLLAzMQcedeghhiiiplvtqxdduw,0,9
jLLAzMQcedeghhiiiplktqxddub,0,9
hLLMMkbcdeffggasfiinhw,0,7
hLLAPkbcdefgggasfxjjvc,0,7
jLLLMPQcdeghgihiiavpivwanqm,0,9
jLLLAMQbefgfhhiiialedejbmqm,0,9
jLLLAPQcegfgfhiiiaiaaifouel,0,9
jLLLAPQcegfgfhiiiaiaaissuel,0,9
jLLLMAQbddfhfgiiidwfdafoass,0,9
jLLAvQQcddeghihiipsvaceehpb,0,9
jLLAvQQcddegihihilsvajddalb,0,9
jLLLLQQccfihghgiidkajvogksc,0,9
jLLLwQQbedegihihiaefdklwifd,0,9
jLLPvQQcdfehihhiiifxucmfgem,0,9
jLLLMPQbdefgihhiimkqmwdrrtq,0,9
jLLLMPQbdegfihihimklefpkxkl,0,9
jLLLwQQbddffghiiimvfhnoexfg,0,9
jLLLAPQbefgfhgiiitamaijoalx,0,9
jLLMLMQbdedfhihiiebdfrlhahg,0,9
jLLLAMQbefgfhgiiitxmaijoxma,0,9
jLLMvQQccdffihhiipovuotllqo,0,9
jLLLwQQbddffghiiimkfxnoexfg,0,9
jLLLAPQbefgfhgiiieamaifoalx,0,9
jLLMLPQbdedfhiihiebdfrhttas,0,9
jLLLAMQbefgfhgiiiexmaifoxma,0,9
jLLMvQQccdffhhiiipovuoxlqqo,0,9
jLLLAPQbdegegihiidwlplolerr,0,9
jLLLLQQbedffhiihiaefkkfkfco,0,9
jLLLLQQbedffhihiiaafnsfwfno,0,9
jLLLLQQcdefihgihiavmovvjkkg,0,9
jLvLAQQcfhegfihiialmtrwcscn,0,9
jLLAvQQbedehgihiiaaflcflsdp,0,9
jLLLLQQbedffhihiipafnnfwfno,0,9
jLLLLQQbedffhiihiaafjjrkfco,0,9
jLLvAQQcdefhhgihiuoiinnklbj,0,9
jLLLLQQccegfhhhiitnanfbbckk,0,9
hLLLQkbcgfgfgflsmqqksk,0,7
hLLAAkcddeffgghrrahwxk,0,7
jLLLLQQbceifhghhiasaoscvkkk,0,9
jLLLLQQbedghfhiiiaafjvjfwfr,0,9
jLvALQQcdehghgihidvdnrnvnjw,0,9
jLLLPQPcdeefhghiiirhufvjjun,0,9
jLLLLQQccffhgghiidwakkocwcw,0,9
jLLLLQQccfgifgihidwakkkfwsc,0,9
jLLLLQQbedfhghhiiaefknogjfw,0,9
jLLLAMQacfeghiihijkgcfmiils,0,9
jLLwLQQacdgfhiihijkaanadobo,0,9
jLvALQQcdchggihiihvrjvsuvdd,0,9
jLvAwQQadfehghiiijaqcuwuiik,0,9
jLvALQQcdchggihiihvrkvseoxd,0,9
jLLLLQQcdegfgiihiavpbfkjgkw,0,9
jLvAwQQadfehgihiijaqcqwealg,0,9
jLwMvQQacefhigihijgqnatlfwc,0,9
jLwLLQQacefihghiijgnktmbaif,0,9
jLvAPPQcdchggihiiqvjwwvpvtm,0,9
jLLLAMQacfeghiihijkgcbelulo,0,9
jLLwPPQacdfggihiijkagaaqboo,0,9
jLwLPPQacgehihgiingjkxtmbpw,0,9
jLLzLQQcdfhigghhiawdrrksngw,0,9
jLLLPAQbedhfghihiauftgfclgn,0,9
jLLvPQQcdhghifiihawlgcgngfv,0,9
hLLLQkbcfggfgflsupukgk,0,7
hLLAMkcddeffgghrrahwxk,0,7
jLLMwQPbceffghhiiasxppjxion,0,9
jLLLAMQbegfgfiiihaaipmjxlir,0,9
jLLwMAQcdegfghhiiavxhfkkbmn,0,9
jLLLPPQcdfghfhhiiavhprfvsdw,0,9
jLLLAAQbcfgehhihilsqatadqmj,0,9
jLLLAPQcddegihihilgfmwaeils,0,9
jLLMPPPbcdffgghiiajoarrwqqj,0,9
jLLwPMQacdfghiihijkajaxawsb,0,9
jLLLAAQcddegghiiilgfmwktpss,0,9
jLLMPPPbcdegfghiiasoxnkkhqj,0,9
jLLvMQQbeefggiihiaadewckjjj,0,9
jLLLLQQcdggifihihavakjfcvgk,0,9
jLLvQAQbeehfgghiiaadmewcbdk,0,9
jLLLMAQbedgffhhiiaafujjcflj,0,9
jLLLAAQcegfghfhiiuqmamjfoar,0,9
jLLLLQQbdegiigghixvqwvrwwwc,0,9
jLLzPAQcdeefghhiipralfcrcdn,0,9
jLLLwQQcddffgihhiukfifnudrj,0,9
jLLLAPQbedefhghiieifipxkavs,0,9
jLLMLMQccdffghihianvpnftmjj,0,9
jLvAzQQbefgigghhilalmownbjr,0,9
jLvLPQQaeefhghihijdwfoooqfw,0,9
jLLLLQQcddhghiiihlgfgbsdhaf,0,9
jLLvAQQachghfhiiijkdsdbaiid,0,9
jLLLPAQcdeefghhiiuruifcrcun,0,9
jLLPLAQcdefhfhhiipwamwrncqj,0,9
jLLLzQQacfghfiihijkgkasiien,0,9
jLLLQMPbedgefghiitpfutsnuhw,0,9
hLLPAkccdfefggankaanhw,0,7
jLvLAQQcfgheiighialaprvkbcw,0,9
jLLLMMQbedeghhihiaafmjsghfw,0,9
jLLLLQQbdffhgghiihgangvkkgn,0,9
jLLzPQPcdefhfghiipwaaffsflj,0,9
jLLAPLQbdedfgihhievlsfvulnw,0,9
jLLPLMQcceffhghiianqarrwcpj,0,9
jLLLAPQbedefghhiiaafmecpacj,0,9
jLLLPPQcddgfhiihilgfgoctufd,1,9
jLLLAMQacgefhhiiijkccchpqiw,1,9
jLLLMPQacfehigihijkgcitrpuw,0,9
jLvALQQcdcfghiihihvrcvkttva,1,9
jLvLMQQcfghfhgihiupaiwnfkcn,0,9
jLvLPQQaehfgfghiinxwfwrbver,1,9
jLwLAPQacgfeihihingjnbimtlg,0,9
jLvLAQQaegehiihhinxgcgpprol,0,9
jLwMvQQacefgihhiijgqrlxpnsc,0,9
jLLwMMQcedggfhhiiahvxcnnvqw,0,9
jLvLAQQaedhfighiinxwnsxkvqq,1,9
jLvvQQQadgfgihihinwrgrrbrrb,0,9
jLLAPPPbdedfgghiievlsfvrlqs,0,9
jLLALMQcedcfhiihihtvrcxeatb,0,9
jLLPPPPbcdfgfghiilsspsnstqj,0,9
jLLPLAQcceffhhhiianqarrkcqj,0,9
jLLwzQQacefghihiijkukpuioob,0,9
jLLLMAQcdefhfghiiacpacfcjds,0,9
jLLLAPQbedgehghiiaafliugtfr,0,9
jLLvMQQaceifhhihijkcqkaueem,0,9
jLLvQMQcdfgeghhiilcalrocsas,0,9
jLLLAQPcddfgfghiiukfikfnuxk,0,9
jLLLQPPbdefegghiievmuikwaxn,0,9
jLLMLQPccdffgghiianvpnfjthr,0,9
jLvAAQPbeffghggiidaddisvohr,0,9
jLvPLQQccgifghihiqjawrfwfff,0,9
jLLLMPQbedegghhiiaafmjkgfpw,0,9
jLLLAPQacfegihhiijkgcktetpn,0,9
jLLLPPQacfehhgiiijkgraivuub,0,9
jLLAvQQcedcghihiihtvrfxextv,1,9
jLvPMMQccgfhfiihihrahjjhaoh,0,9
jLvPPPQccgehihgiiqjaqwhwbhh,1,9
jLvPMMQccgfghihiihrahoohfah,0,9
jLLLQMPcdegffghiiqshilcgthw,1,9
jLvzMQQccehfgihiihrikvvcvcw,1,9
jLLPMMPcdfeegghiiqsmmpwclxk,1,9
jLLLLQQccffghhiiitnlbnvbvnk,0,9
jLLLMPQcedfgihihihugasafqre,0,9
jLLLPAQcceeghgiiiqfxqfnspxx,0,9
jLLvAQQcdhfhfiiihuoaiofhpab,0,9
hLLLQkbcefggfgasdexwsw,0,7
jLLLLQQbefeiihihhaahtrnnsjc,0,9
jLvAMMQcdfgfgihiiqvqawwmcmt,0,9
jLLLAPQccfgehiihiqfeaqmeaeb,0,9
jLLzLQQccdhfgihiiqffcfwlgpq,0,9
jLLLMPQcedfgghiiiqqfaoobuhh,0,9
jLLLLQQbcgihfighitsmvwbnvfc,0,9
jLLLzQQbddfhigihidwfvcekmfl,0,9
jLLLLQQbcghgfhiiitsqssssffj,0,9
jLLLMPQbcegfihhiitsmugxjjal,0,9
jLLLPMQcdefghgiiiafemwovxqi,0,9
jLLLPPQccfegiihhitnaunpuwwh,0,9
jLLLMAQbcfghhfiiilstabnspph,0,9
jLLLLQQbeggfhihiiaalejrnbbv,0,9
jLLPPLQcdefegihiilrddpvaafo,0,9
jLLLMAQbceghfhiiilsuabvfaxx,0,9
jLLLLQQccfihigghiqfavkvjofc,0,9
jLLLMMQceffghiihilhdalwxese,0,9
jLLLPPQbddghiighidwffwdiffd,0,9
jLLLAMQcdefehhiiitrhqduahpf,0,9
jLLLzQQcefhgihihipaiuggwwnf,0,9
jLLvPQQcefghighiiatulknwwrv,0,9
jLLLAAQceefeghiiipqlaecoahh,0,9
jLLLMPQcedfgghiiiqqfaoooqhh,0,9
hLLLQkcdegfgfgdgtmigfs,1,7
hLLAMkbdeefgggmkehpgrf,1,7
hLLAMkbdeefgggmkuedofk,1,7
hLLAMkcedefgggdlkaaogk,1,7
jLLLPPQbedgfgihiiaafejoxwht,0,9
jLLLLQQcdehfhgiiiifhnfvjwwg,0,9
jLLLPPQccfhfhgiiidwaarjfltm,0,9
jLLLPPQccfhhfgiiidwaabfclap,0,9
jLLLLQQccefghhiiidwtrwcrrrc,0,9
jLLLPPQbedgfgihiiaafejbxned,0,9
jLLvMQQcdfhifgihiavakvfrbvo,0,9
jLLvAQQcefhiggihiiiaaojbcbw,0,9
jLvLAQQcfghfigihiiiatckkkfv,0,9
jLLLzQQccfehighiidwahnxcbth,0,9
jLLLMPQccfehgihiidwahnfabah,0,9
jLLwLQQcedghiighiiivrvbkbwc,0,9
jLLLLQQcdehghgiiiifhngvofwg,0,9
jLLLMPQcdefghihiiavpabgmwuh,0,9
jLvLAQQceghhiihgiaeapwnvwbn,0,9
jLvLAQQcfghhfiiihdxaegongng,0,9
jLLvAQQcefhigighiiiaasnkkbb,0,9
jvLAAPQceffghihiinvqeaaobjc,0,9
jLLvMQQbdfgihghiimkpsnkovrf,0,9
jLLvMQQbdfgihhgiimkxsgvjojf,0,9
jvLAAPQceffghihiinvqaaaccvc,0,9
jLvALQQcdefihghiidvacjfwwoc,0,9
jvLALQQdefhghigiiosxxaaosjj,0,9
jLLvPQQbdifhgghiimkqjgnosso,0,9
jLLvPQQcdhgifighiigakgkvgbg,0,9
jLLvPQQbdifhgghiimvqjgnossf,0,9
jLLLPMQccfgfhihiidwapkkqwie,0,9
jLLLwQQccfghfihiidwapkkqwhu,0,9
jLLLLQQbedfighihiaefkvoffcc,0,9
jLvLAQQbefegihhiimaiavcboss,0,9
jLLLLQQcedifhghiiiifosvojfn,0,9
jLLLLQQcedifhghiiiifjfvojfn,0,9
jLLLMAQccfefghiiidweerwnell,0,9
jLvLAQQceghfiihhiiiapcbbono,0,9
