id,oriented,tetrahedra
eLPkbcddddwwjs,1,4
fLLQcbcdeeehjrteq,1,5
fLLQccdcdeeqckvaw,1,5
fLLQcbcdeeehjntel,1,5
fLLQcbededexxohfh,1,5
fLLQcbcdeeedbcpxi,0,5
gLLAQbcedffftsafxjs,1,6
gvLQQcdeffeffwkeube,1,6
gLLPQcdefeffpfxxadk,1,6
gLLMQbcdeffflskuikg,0,6
gLLAQbdedfffdwegawk,0,6
gLvQQadefeffjaedksr,1,6
gLLAQccedefftnegdrr,0,6
gLLAQbddeeffhsripjj,1,6
gLLAQbdeefffhgqhear,1,6
gLLAQbcdeeffhvnmmcj,1,6
gLLPQcdeffefhgaaaxw,0,6
gLLAQbdedfffejagajv,0,6
gLLMQbcdeffflskuujg,0,6
gLLMQbceffeflsaqapk,0,6
gvLQQcdfeeffgfxrkuu,0,6
gLvQQbefdfefdadnehs,0,6
gLvQQbefdfefdahnehr,0,6
gLLMQbcdfefftsjetnn,0,6
hLLLQkcddffgggpkrmrcon,0,7
hLLAPkbdedfgggdwtsowwv,0,7
hLLLQkbddfggfgdwfakocr,0,7
hLLAPkbddegfggevjmgkfk,0,7
hLLLQkcddegfgglgfmwsnv,1,7
hvLAQkcefefgggjjajqqho,1,7
hLLLQkcdfegfggurepubff,1,7
hvLAQkcedgfgfgkvsqaaac,0,7
hvLAQkceffgeggjfaxasxk,0,7
hLLLQkcdfeggfgtoehlsfw,0,7
hLLLQkbcfegfggeotqmkro,1,7
hLLPPkcdefeggglcdepvvb,0,7
hLLMMkcedffgggplvlefcb,0,7
hLLLQkbdegefggdwxplckk,0,7
hLLzQkcdegfgfguouptvfc,0,7
hLLLQkbdfgefgglwmdtgor,0,7
hLLLQkbddgffggdwfmjjoo,0,7
hLvAQkbeffgefgmexaaxbn,0,7
hLvAQkafefgeggjmecogjc,1,7
hLvAQkaefegfggjlqvvffr,1,7
hLLAMkcedeffggqhvaaccw,1,7
hLLLQkbcgfeffgtvqqtbnk,0,7
hLLLQkbcfgeffgtvxxtbnk,0,7
hLLAPkaedefgggjdauvpqm,0,7
hLLMMkccdeffgganvtebak,0,7
hLLAMkcddeffggdrvapwak,0,7
hLLAPkacdefgggjkattlov,0,7
hLLLQkacfgefggjkgogsog,1,7
hLLAAkbddeefggxfrpioqj,1,7
hLLLQkbdgegffgevqudjgo,0,7
hLLAPkcddefgggucvufogn,0,7
hLvAQkbeffegggtalexibb,0,7
hLLLQkbdffgfggxvqqqnvc,1,7
hLLMAkbcdeffgglsbhuslk,0,7
hLLMMkbcdfefgglskmtjej,0,7
hLvAQkadefgfggjahovkbg,1,7
hLLLQkbedeffgghhfqlggj,1,7
hLLLQkbcfegfgglspetkcv,0,7
hLLLQkbcgfefgglseetkkc,0,7
hvLAQkcdfegfggbranpdpn,0,7
hLLLQkcefefggglhdqxlgs,0,7
hLLzQkcdegffgghkamtkwf,0,7
hLvAQkbefeggfgadlpaqfn,0,7
hLLzQkcdegfgfgpoaptofs,0,7
hLLLQkbddgfgfgejfmgrgo,0,7
hLLLQkbdeegfggewlxxfkk,0,7
hLLLQkbdfgegfgtvqqtbbf,0,7
hLLAPkbcedgfggajhfjjfo,0,7
hLvAQkcdefggfguvuqmvwb,0,7
hLLLQkcdefegggirhaugns,0,7
hLLLQkcdffeggglclmagkk,0,7
hLLLQkbcfgefggdfpuhggv,0,7
hLLAPkcedefggguavpibfg,0,7
hLLLQkcdffgggfpclehgff,0,7
hLLLQkcdffegggtcqaajkj,0,7
hLvAQkcdefggfgpjaqeowv,0,7
hLLAMkcedefgggpavuufjg,0,7
hLLLQkbddffgggdwflgrrg,0,7
hLLMMkbceefgggtsxetjss,0,7
hLLAMkbdedfgggtfmvpaii,0,7
iLLAzQccddefghhhirvposutm,0,8
iLLvQQccdehfhgghufqajrbcb,0,8
iLLALQcbcedfhghhajhjoajai,0,8
iLLMwQcbcdefghhhdfbeuqeko,0,8
iLvAMQccdfghfghhpviufkocj,0,8
iLLALQcbcedfhghhasxsjxjxm,0,8
iLLzMQccdefhfghhpwahwfrwf,0,8
iLLALQcbcedghghhajhjjtcul,0,8
iLvAAQcbefeghghhtalxabnnk,0,8
iLLALQcbcedfhghhajqffdndt,0,8
iLLLMQcbcegfhghhebtakbgvv,1,8
iLLLPQccddfhghghlgfcgkonk,1,8
ivLLQQcdedhfgghhocglxxcrf,0,8
iLLLMQccdefhgghhlruqbonrb,1,8
ivLLQQcdedhfgghhccvaqqoww,0,8
