id,oriented,tetrahedra
fLLQccceddehwhwjs,1,5
gLLPQcdcfeffhsndqvf,1,6
gLLAQccedfeftnhkhwj,1,6
gLALQbcbeeffxhjrvqn,1,6
gLLAQcbdeefftnbmtbn,1,6
hLLMAkbddeffggtvkumvqk,1,7
hLLAAkbcdeefggpfreeshn,1,7
hLLMAkccdefeggtjvmdjqj,1,7
hLLPAkcdcfeegghcnhasxn,1,7
hLALPkbcbefggghxjndabv,1,7
hLALPkbcbefgfghxjsaxjr,1,7
hLLLQkacedgfggjkkngkcv,1,7
hLLPMkacefdfggnkxgjkmn,1,7
hLLLQkcddfegggtgfawjov,1,7
iLLLMQcbdfehghghlvmhjwnow,1,8
iLLvQQcacfgfghhhnkvksgeaq,1,8
iLALLQccbbefhghhhqnoxjsog,1,8
iLLAMMcbddeffghhmkbqajaqn,1,8
iLLAMMcbddeffghhmvrqajaqn,1,8
iLLAPMcbdedffghhlvagksfhw,1,8
iLLMPMcccdffeghhqvvacjcqj,1,8
iLLAPMccddegffhhlcvannnxk,1,8
iLLPPMcacdfefghhnkmskkaqj,1,8
iLALLQcbcbfgfhhhxhjhaqfvs,1,8
iLALLQcbcbefhghhhxjnakbfj,1,8
iLALLQcbcbfhfhghxhjuutknk,1,8
iLLLAQcaceefghhhnkfjwfpmq,1,8
iLLLAQcaceefghhhjkvcwfhhl,1,8
iLLMLQcbcdefghghebbmwbprr,1,8
iLLzMQcaceefghghjkxccaajk,1,8
jLLLzQQcddhghgiiitgfkkvfhmm,1,9
jLLLzQQacgfifhihinkocukeqhr,1,9
jLALLMQcbbefghiiihqnoxcvipx,1,9
jLALLMQcbbefghiiihqnoxkkipx,1,9
jLLLQMPcdfgfgfhiiikqutvkhxj,1,9
jLLLMQPcdfeghggiiqcetbngfqw,1,9
jLLLQMPbedgefghiihifhpfrpqw,1,9
jLLLPQPcdefggghiiqrumvfcbqn,1,9
jLLLMMQccfeghihhiubadsfhvnr,1,9
jLLLPPQcedheghiiiqqfejsfxda,1,9
jLLLAQPcddfgghgiiukftswhgqj,1,9
jLLLMQPbcfgggfhiiebpafjnvhw,1,9
jLLLMQPbcdggfhgiidfjxfkavxk,1,9
jLLAzQPbdedgfghiilvagknfihr,1,9
jLALLAQbcbfhfghiixhjhuqgwqn,1,9
jLALLMQcbbffghiiiqhkqxavxei,1,9
jLAvLQQcbbfhgihiiqhkxagscws,1,9
jLALLPQbcbffhgiiihxjuxgrbfo,1,9
jLLLAPQbdffehihiilvqqttpllb,1,9
jLLMMLQbceefgihhiebdxasaaws,1,9
kLLLPzQkcddhghjijijtgfkcvptlqw,1,10
kLALvMQkcbbeigijjjihqnorbfqhuf,1,10
kLALLPPkcbbefhiijjjhqnoxcapmdg,1,10
kLALLMPkcbbehhgjijjhqnohwfpecn,1,10
kLALLPPkcbbefhiijjjhqnoxkapdmw,1,10
kLLLPQzkcceffhghijjdwuqrfbvqxr,1,10
kLLLMPMkcdfgfgiijijqcedbnhiqqw,1,10
kLLLPzQkcdgffihjjjiqcqujqkielw,1,10
kLLLLAQkbedgihjhiijmqfvcoxsoor,1,10
kLLLAAAkcddfgfhhijjiksiffhmrqn,1,10
kLLLPPMkcdegfgiijijqruicrxdqxn,1,10
kLLLwMQkcdgefjhiiijqrqejqgdupn,1,10
kLLLPQzkceffgghhijjlhddlgfklhr,1,10
kLLLAMAkcddffghhijjukftkrqxkqj,1,10
kLLvzQQkcdhgjighiijlfagqvbfnnj,1,10
iLLAPMcbeedggghhhhakpwrqj,1,8
kLLLMMAkbcgefhhhijjlsmigfvvmxn,1,10
kLLLPQzkceffghghijjlhddlsbklhr,1,10
kLLLLQAkbcgfgiiihjjdfhgfccrrhr,1,10
kLLLAQzkcddfehghijjukftshglbqj,1,10
kLALLPPkbcbfghgiijjhxjxakvfoaw,1,10
kLALvMQkcbbeihijjjihqnorkbluif,1,10
kLALLzQkbcbfghjijijhxjxakhbhoi,1,10
kLAvLAQkbcbhfgjiijjxhjaqbhovql,1,10
kLLAwAPkbdedfhgijijdwaslaaaajk,1,10
jLLLQPPcdefegghiihslauwjixr,1,9
jLLLMQPbefgegghiihhqhavosqj,1,9
jLLvQAQcdehghgihihspqgonhnr,1,9
jLLAzQPbdedgghgiievdsfkmohr,1,9
jLLAwAQbedefghihixxrxhrahjr,1,9
kLvzMMQkccfgfjihjijqnhgctwsawa,1,10
kLLLLQAkcdfihghghjjqwhwgvsvrxk,1,10
kLLAzMAkbdedfgiiijjevdswvptwhr,1,10
kLLLLQAkbcgfihgiijjlsmgjckwghw,1,10
kLLALQzkcdedfghhijjukhvbfimnhw,1,10
kLLAzAAkbdedgfhhijjevdsfnmifhr,1,10
