id,oriented,tetrahedra
fLAMcaccdeensjqhn,1,5
gLLAQcceeeffubmudhj,1,6
gLLQPacdeeffnkdxcpw,1,6
hLLMAkbcdeffggebbmtnmj,1,7
hLLAMkbdedfgfgdwaslqkw,1,7
iLLAPMcbcedfgfhhtsxfjjjxr,1,8
jLLPwAQccdfehgihiqffaaaahns,1,9
iLLAPPcbcedfghghtsxfjjxjr,1,8
hLLAAkaddeefggjuapwoxr,1,7
gLLAQadedeffjulhvjn,1,6
fLLQcacdedejbqxwk,1,5
hLLLQkadeegfggjuxvnvoc,1,7
hLLLQkadeegfggjuxvwvoc,1,7
gLLAQadedeffjuldvjn,1,6
gLLAQadedeffjulpvjn,1,6
hLLLQkadeegfggjuxvfvoc,1,7
iLLAMMcbdedfgghhevisleukr,1,8
hLLMMkbeefefggxxitxhcn,1,7
iLLAwQcbdedfgghhevdsadijj,1,8
