target,source,label
fLLQcaddeeenpupdw,eLAkaccddjnjxn,Face: 7
fLAMcaccdeensjxxj,eLAkaccddjnjxn,Face: 5
fLLQcaddeeejpuexj,eLAkaccddjnjxn,Face: 4
fLLQcacdedejbaajj,eLAkaccddjnjxn,Face: 3
gLLMQbdefefflvqiemf,fLLQcaddeeenpupdw,Face: 9
gLLAQaeddfffnmahgkg,fLLQcaddeeenpupdw,Face: 8
gLLAQbdceeffevrlebw,fLLQcaddeeenpupdw,Face: 7
gLLPQccdeffftkfpmbk,fLLQcaddeeenpupdw,Face: 5
gLLMQbdedeffaspfxfr,fLLQcaddeeenpupdw,Face: 3
gLLAQbceeeffebdqqxj,fLAMcaccdeensjxxj,Face: 7
gLLMQbdefefflvqiemf,fLLQcaddeeejpuexj,Face: 9
gLLPQccdeffflnjptbf,fLLQcaddeeejpuexj,Face: 8
gLLAQbddeeffxwnxxgr,fLLQcaddeeejpuexj,Face: 6
gLLAQcdeefeflkhexpk,fLLQcaddeeejpuexj,Face: 2
gLLAQaddeeffnmapcok,fLLQcacdedejbaajj,Face: 9
fLLQcaddeeejpuexj,gLLMQbdefefflvqiemf,Edge: 12
hLLAPkcddefgggufvuvvww,gLLMQbdefefflvqiemf,Face: 11
hLLzQkcdegefgglkaxlfbc,gLLMQbdefefflvqiemf,Face: 9
hLLLQkbddggffgtvwmwvnj,gLLMQbdefefflvqiemf,Face: 2
hLLAPkccedfgggqfifjcoc,gLLAQaeddfffnmahgkg,Face: 10
hLLAAkbddeffgglvkhqrtr,gLLAQaeddfffnmahgkg,Face: 9
fLLQcadddeenhahxr,gLLAQbdceeffevrlebw,Edge: 8
hLLLQkbcegfffgdfqahjkr,gLLAQbdceeffevrlebw,Face: 12
hLLPAkccdeffggpvredwxk,gLLAQbdceeffevrlebw,Face: 10
hLLAPkbcedfgfgajhfoskw,gLLAQbdceeffevrlebw,Face: 9
hLLAPkccedfgggqfifjcoc,gLLPQccdeffftkfpmbk,Face: 10
hLLPAkccdeffggpvredwxk,gLLPQccdeffftkfpmbk,Face: 9
hLLMMkbceefgggtsxqafjn,gLLPQccdeffftkfpmbk,Face: 7
hLLAPkcddefgggufvuvvww,gLLMQbdedeffaspfxfr,Face: 11
hLLAPkacdegfggnbaaaann,gLLMQbdedeffaspfxfr,Face: 10
hLLAMkaddefgggnpupoadd,gLLMQbdedeffaspfxfr,Face: 9
hLLAPkcddefgggufvuvvww,gLLMQbdedeffaspfxfr,Face: 7
hLLAAkcddeefggtgwamvhn,gLLAQbceeeffebdqqxj,Face: 7
hLLAMkbdedfgfgdwqslhkk,gLLAQbceeeffebdqqxj,Face: 6
hLLAPkbdedgfgglvugrofo,gLLPQccdeffflnjptbf,Face: 11
