target,source,label
gLLMQbddeeffxnradkj,fLLQcbecdeehhwvei,Face: 10
gLLAQbcdefffdfjixoj,fLLQcbecdeehhwvei,Face: 8
gLLMQacdefffjbxwgkg,fLLQcbecdeehhwvei,Face: 6
gLLAQbcedefflsajaor,fLLQcbecdeehhwvei,Face: 5
hLLPAkccdfefggtnciioxk,gLLMQbddeeffxnradkj,Face: 12
hLvAQkadfeggfgjeqcnfwg,gLLMQbddeeffxnradkj,Face: 11
hLLLQkbdeggfgfevmpivkj,gLLMQbddeeffxnradkj,Face: 10
hLwLQkacegffggjncnnsfw,gLLMQbddeeffxnradkj,Face: 9
hLLAPkcddefgggpfvascfs,gLLMQbddeeffxnradkj,Face: 8
hLLLQkbddggffgtvsubjbr,gLLAQbcdefffdfjixoj,Face: 12
hLLLQkbdegefggevipejog,gLLAQbcdefffdfjixoj,Face: 10
hLLLQkcdegfgfghsdmlgrs,gLLAQbcdefffdfjixoj,Face: 9
hLLLQkbdfgefggdkhhdgjw,gLLAQbcdefffdfjixoj,Face: 8
hLLLQkcdeefggghsdaljrb,gLLAQbcdefffdfjixoj,Face: 7
hLLPAkccdfefggtnciioxk,gLLMQacdefffjbxwgkg,Face: 12
hLLLQkbddggffgtvsubjbr,gLLMQacdefffjbxwgkg,Face: 10
hLLLQkbddggffgtvsubjbr,gLLMQacdefffjbxwgkg,Face: 8
hLLMMkacdfefggjbxcckqw,gLLMQacdefffjbxwgkg,Face: 2
hLLLQkbdeggfgfevmpivkj,gLLAQbcedefflsajaor,Face: 12
hLLLQkbdegefggevipejog,gLLAQbcedefflsajaor,Face: 10
hLLLQkbdegefggevipejog,gLLAQbcedefflsajaor,Face: 8
hLLPMkacefefggjbxkccqw,gLLAQbcedefflsajaor,Face: 1
gLLMQacdefffjbxwgkg,hLLPAkccdfefggtnciioxk,Edge: 11
iLLAwQccddefghhhugvlaitrv,hLLPAkccdfefggtnciioxk,Face: 14
iLLAPMcbdedgfghhdraoovrmr,hLLPAkccdfefggtnciioxk,Face: 6
iLwAPMcacedfgghhjgxxaaoxk,hLLPAkccdfefggtnciioxk,Face: 2
iLLLMQcbcfehghghdfpljffjn,hLvAQkadfeggfgjeqcnfwg,Face: 14
iLLLMQcbcfeghhghdfplcofwr,hLvAQkadfeggfgjeqcnfwg,Face: 12
iLLLMQcacfehgghhjkncisoee,hLvAQkadfeggfgjeqcnfwg,Face: 11
iLLLMQcacfehghghjkjcisqvi,hLvAQkadfeggfgjeqcnfwg,Face: 10
iLvAQPcadefgfhhhjuhkociip,hLvAQkadfeggfgjeqcnfwg,Face: 8
gLLAQbcedefflsajaor,hLLLQkbdeggfgfevmpivkj,Edge: 11
iLLALQccddehghghpfvaqblkp,hLLLQkbdeggfgfevmpivkj,Face: 14
iLLLAQcbcfgggfhhlsuaugsqw,hLLLQkbdeggfgfevmpivkj,Face: 9
iLLzQPccdefggfhhhraqhokxk,hLLLQkbdeggfgfevmpivkj,Face: 1
iLLPLQcbcfeghhghebiagwnnn,hLwLQkacegffggjncnnsfw,Face: 14
iLLPLQcbcfeghhghebiifognc,hLwLQkacegffggjncnnsfw,Face: 12
iLvAQPcadefgfhhhjuhkociip,hLwLQkacegffggjncnnsfw,Face: 10
iLwLMQcacefghghhjnckvache,hLwLQkacegffggjncnnsfw,Face: 9
iLLAwQccddefghhhugvlaitrv,hLLAPkcddefgggpfvascfs,Face: 14
iLLvQQccdhggfhghlkxlkkwkk,hLLAPkcddefgggpfvascfs,Face: 13
iLLALQccddehghghpfvaqblkp,hLLAPkcddefgggpfvascfs,Face: 12
iLLPLQcbcfeghhghebiagwnnn,hLLAPkcddefgggpfvascfs,Face: 11
iLLLMQcbcfeghhghdfplcofwr,hLLAPkcddefgggpfvascfs,Face: 10
iLLPLQcbcfeghhghebiifognc,hLLAPkcddefgggpfvascfs,Face: 9
iLLLMQcbcfghfhghlshacfnvn,hLLAPkcddefgggpfvascfs,Face: 8
iLLLPQcceffggfhhuhtiujwbr,hLLAPkcddefgggpfvascfs,Face: 5
iLLLAQccedfgfhhhhhwadgual,hLLAPkcddefgggpfvascfs,Face: 2
gLLMQacdefffjbxwgkg,hLLLQkbddggffgtvsubjbr,Edge: 10
iLLLAQccddfgghhhpfkdjktpx,hLLLQkbddggffgtvsubjbr,Face: 14
iLLLAQcbdegffhhheviphjupi,hLLLQkbddggffgtvsubjbr,Face: 13
ivLAAQcecfgfghhhkkuexaakw,hLLLQkbddggffgtvsubjbr,Face: 7
iLLvQQccdhfhgghglwambbkor,hLLLQkbddggffgtvsubjbr,Face: 5
iLLLAQcbddgfgghhtvsujooxr,hLLLQkbddggffgtvsubjbr,Face: 2
gLLAQbcedefflsajaor,hLLLQkbdegefggevipejog,Edge: 10
iLLAwQcbdedfghhhdsavpdusb,hLLLQkbdegefggevipejog,Face: 14
iLLLMQcbdfgghfhhevqpwfccc,hLLLQkbdegefggevipejog,Face: 13
iLLMMMcbceefgghhebxiacshk,hLLLQkbdegefggevipejog,Face: 1
ivLAMQcdeefghhghjvkxambjs,hLLLQkcdegfgfghsdmlgrs,Face: 14
iLLLPQccdefhghghhftdjkvfj,hLLLQkcdegfgfghsdmlgrs,Face: 13
ivLAAQccefgfghhhvrqpeaakb,hLLLQkcdegfgfghsdmlgrs,Face: 10
iLLLQPccdegffhhhqkumtjedd,hLLLQkcdegfgfghsdmlgrs,Face: 1
iLLLAQccddfgghhhpfkdjktpx,hLLLQkbdfgefggdkhhdgjw,Face: 14
iLLAwQcbdedfghhhdsavpdusb,hLLLQkbdfgefggdkhhdgjw,Face: 12
ivLAMQcdeefghhghjvkxambjs,hLLLQkbdfgefggdkhhdgjw,Face: 11
iLLwMQcbdefghhghhrahwwvbg,hLLLQkbdfgefggdkhhdgjw,Face: 5
iLLLPQccddhgfghhhswfbnrsf,hLLLQkbdfgefggdkhhdgjw,Face: 4
iLLLAQcbdegffhhheviphjupi,hLLLQkcdeefggghsdaljrb,Face: 14
iLLLMQcbdfgghfhhevqpwfccc,hLLLQkcdeefggghsdaljrb,Face: 12
