id,oriented,tetrahedra
fLLQcbecdeehhwvei,1,5
gLLMQbddeeffxnradkj,1,6
gLLAQbcdefffdfjixoj,1,6
gLLMQacdefffjbxwgkg,1,6
gLLAQbcedefflsajaor,1,6
hLLPAkccdfefggtnciioxk,1,7
hLvAQkadfeggfgjeqcnfwg,1,7
hLLLQkbdeggfgfevmpivkj,1,7
hLwLQkacegffggjncnnsfw,1,7
hLLAPkcddefgggpfvascfs,1,7
hLLLQkbddggffgtvsubjbr,1,7
hLLLQkbdegefggevipejog,1,7
hLLLQkcdegfgfghsdmlgrs,0,7
hLLLQkbdfgefggdkhhdgjw,1,7
hLLLQkcdeefggghsdaljrb,1,7
hLLMMkacdfefggjbxcckqw,1,7
hLLPMkacefefggjbxkccqw,1,7
iLLAwQccddefghhhugvlaitrv,1,8
iLLAPMcbdedgfghhdraoovrmr,1,8
iLwAPMcacedfgghhjgxxaaoxk,1,8
iLLLMQcbcfehghghdfpljffjn,1,8
iLLLMQcbcfeghhghdfplcofwr,1,8
iLLLMQcacfehgghhjkncisoee,1,8
iLLLMQcacfehghghjkjcisqvi,1,8
iLvAQPcadefgfhhhjuhkociip,1,8
iLLALQccddehghghpfvaqblkp,1,8
iLLLAQcbcfgggfhhlsuaugsqw,1,8
iLLzQPccdefggfhhhraqhokxk,1,8
iLLPLQcbcfeghhghebiagwnnn,1,8
iLLPLQcbcfeghhghebiifognc,1,8
iLwLMQcacefghghhjnckvache,1,8
iLLvQQccdhggfhghlkxlkkwkk,1,8
iLLLMQcbcfghfhghlshacfnvn,1,8
iLLLPQcceffggfhhuhtiujwbr,1,8
iLLLAQccedfgfhhhhhwadgual,1,8
iLLLAQccddfgghhhpfkdjktpx,1,8
iLLLAQcbdegffhhheviphjupi,1,8
ivLAAQcecfgfghhhkkuexaakw,1,8
iLLvQQccdhfhgghglwambbkor,1,8
iLLLAQcbddgfgghhtvsujooxr,1,8
iLLAwQcbdedfghhhdsavpdusb,1,8
iLLLMQcbdfgghfhhevqpwfccc,1,8
iLLMMMcbceefgghhebxiacshk,1,8
ivLAMQcdeefghhghjvkxambjs,0,8
iLLLPQccdefhghghhftdjkvfj,0,8
ivLAAQccefgfghhhvrqpeaakb,0,8
iLLLQPccdegffhhhqkumtjedd,0,8
iLLwMQcbdefghhghhrahwwvbg,1,8
iLLLPQccddhgfghhhswfbnrsf,1,8
iLLvQQccdfhhgfghqgaacrfjr,1,8
iLLLPQccdfghfghhqkumnkgrc,1,8
iLLLAQcbcfgefhhhlshhtseah,1,8
gLLAQadedeffjillwok,1,6
