target,source,label
fLLQcaddeeenmdpxc,eLAkaccddnsjak,Face: 7
fLAMcaccdeennbaxk,eLAkaccddnsjak,Face: 5
gLLPQccdefffpfopicf,fLLQcaddeeenmdpxc,Face: 9
gLLAQcddeefftgwamnr,fLLQcaddeeenmdpxc,Face: 8
gLLAQadedeffnmllsfj,fLLQcaddeeenmdpxc,Face: 7
gLLAQbddeffflvkhlkw,fLLQcaddeeenmdpxc,Face: 6
gLLAQbceeefflrqiixn,fLAMcaccdeennbaxk,Face: 7
gLLAQacdefefnbqaqkj,fLAMcaccdeennbaxk,Face: 1
hLLAPkbdedgfggtrasjvgs,gLLPQccdefffpfopicf,Face: 9
hLLAPkbcdefgggdfbmwovc,gLLAQcddeefftgwamnr,Face: 11
hLLAAkbddeefggxwnxxrxk,gLLAQcddeefftgwamnr,Face: 9
hLLLQkacegffggjkssbjss,gLLAQcddeefftgwamnr,Face: 5
hLLLQkbcdgffggdfnagjrg,gLLAQadedeffnmllsfj,Face: 12
hLLMMkbddeffgglvkpmjmk,gLLAQadedeffnmllsfj,Face: 11
hLLAPkbcedfgfgtsxfjsjw,gLLAQadedeffnmllsfj,Face: 9
hLLPPkcdefegggucuepvvo,gLLAQbddeffflvkhlkw,Face: 11
hLLAPkbcdefgggdfbmwovc,gLLAQbddeffflvkhlkw,Face: 10
hLLMMkbddeffgglvkpmjmk,gLLAQbddeffflvkhlkw,Face: 9
hvLPQkcdefgfggkjfeapqk,gLLAQbddeffflvkhlkw,Face: 7
hLLLQkbdeegfggdsxpxcnn,gLLAQbddeffflvkhlkw,Face: 4
hLLAAkbddeefggxwnxxrxk,gLLAQbceeefflrqiixn,Face: 7
hLLLQkbefggegfdlhxhdgr,gLLAQbceeefflrqiixn,Face: 5
hLLAAkcdeefegglkhehpqj,gLLAQbceeefflrqiixn,Face: 2
hLLAAkaddeefggjiapcjxn,gLLAQacdefefnbqaqkj,Face: 9
iLLAzQcceddfghhhpqvrnrilp,hLLAPkbdedgfggtrasjvgs,Face: 12
iLvAAQcbefeghghheeehajojj,hLLAPkbdedgfggtrasjvgs,Face: 10
iLLALQcbcdefghhhxbbafwaup,hLLAPkbdedgfggtrasjvgs,Face: 5
iLLMwQcbcdefhghhtsbhutmnw,hLLAPkbdedgfggtrasjvgs,Face: 4
gLLAQbddeffflvkhlkw,hLLAPkbcdefgggdfbmwovc,Edge: 10
iLLLPQccddhfgghhlgfwwkkfb,hLLAPkbcdefgggdfbmwovc,Face: 12
iLLMwQcbdedfhghhaspfuplbw,hLLAPkbcdefgggdfbmwovc,Face: 4
gLLAQbceeefflrqiixn,hLLAAkbddeefggxwnxxrxk,Edge: 11
iLvAPQccdcfghghhhvrfjrjfs,hLLAAkbddeefggxwnxxrxk,Face: 9
iLLPAMccdeffeghhqrddqqahw,hLLAAkbddeefggxwnxxrxk,Face: 8
iLLLPQccddhfgghhlgfwwkkfb,hLLLQkacegffggjkssbjss,Face: 13
iLvAPQccdcfghghhhvrfjrjfs,hLLLQkacegffggjkssbjss,Face: 11
iLLLQPccdefgghghusiausprw,hLLLQkacegffggjkssbjss,Face: 10
iLLLAQcaedfeghhhjleggoahe,hLLLQkbcdgffggdfnagjrg,Face: 14
iLLvQQcaefghghghjlgnbnnrj,hLLLQkbcdgffggdfnagjrg,Face: 12
iLvAMQcadfgfghhhjaucnchaa,hLLLQkbcdgffggdfnagjrg,Face: 10
iLLMwQcbcdefhghhtsbhutmnw,hLLLQkbcdgffggdfnagjrg,Face: 7
gLLAQbddeffflvkhlkw,hLLMMkbddeffgglvkpmjmk,Edge: 10
iLvAAQcbeffghgghlaliisvjw,hLLMMkbddeffgglvkpmjmk,Face: 6
iLvwQQcadeghfhghnacckjcsc,hLLMMkbddeffgglvkpmjmk,Face: 5
iLLMLQcccdffgghhakvikfktw,hLLMMkbddeffgglvkpmjmk,Face: 4
iLLLAQcaedfeghhhjleggoahe,hLLAPkbcedfgfgtsxfjsjw,Face: 14
iLLLAQcaedfeghhhjleggoahe,hLLAPkbcedfgfgtsxfjsjw,Face: 13
iLLPwQcccdfehgghqffaaaxjn,hLLAPkbcedfgfgtsxfjsjw,Face: 8
iLvAMQccdegfhhghlveasofbk,hLLPPkcdefegggucuepvvo,Face: 13
iLLvQQcceffgghhhltqmlgbbj,hLLPPkcdefegggucuepvvo,Face: 11
iLvAAQcbefeghghheeehajojj,hLLPPkcdefegggucuepvvo,Face: 7
iLvAMQccdegfhhghlveasofbk,hvLPQkcdefgfggkjfeapqk,Face: 13
iLvAMQccdegfhhghlveasofbk,hvLPQkcdefgfggkjfeapqk,Face: 11
gLLPQccdfeffaknaarw,hLLLQkbdeegfggdsxpxcnn,Edge: 10
iLvwQQcbeghfhgghapiaibggv,hLLLQkbdeegfggdsxpxcnn,Face: 13
iLLMwQcbdedfhghhaspfuplbw,hLLLQkbdeegfggdsxpxcnn,Face: 12
iLLMLQcccdffgghhakvikfktw,hLLLQkbdeegfggdsxpxcnn,Face: 11
