target,source,label
fLLQcbcdeeehjnteq,eLPkbcdddhwwjs,Face: 8
fLLQcbededexxnhfh,eLPkbcdddhwwjs,Face: 7
fLLQcbcdeeehbcpxi,eLPkbcdddhwwjs,Face: 2
gLLAQbcdeeffhvnmmcn,fLLQcbcdeeehjnteq,Face: 10
gvLQQcdeffefkwshdbu,fLLQcbcdeeehjnteq,Face: 8
gLLPQccdefffqfrieoj,fLLQcbcdeeehjnteq,Face: 7
gLLMQbcdeffflskuukg,fLLQcbcdeeehjnteq,Face: 5
gLLAQbdedfffdkegawk,fLLQcbcdeeehjnteq,Face: 4
gLLMQbcdefffhwkitjv,fLLQcbededexxnhfh,Face: 10
gLLMQbcdeffflsjdlwn,fLLQcbededexxnhfh,Face: 9
gLLAQbedeeffhhniphj,fLLQcbededexxnhfh,Face: 2
gLLMQbcdeffflsjdlwn,fLLQcbcdeeehbcpxi,Face: 9
gLvQQbefdfefdadnehr,fLLQcbcdeeehbcpxi,Face: 8
gLLMQbcdeffflsjdlwn,fLLQcbcdeeehbcpxi,Face: 7
gLLAQbcdeeffxccxqkw,fLLQcbcdeeehbcpxi,Face: 2
hLvAQkadefgfggnahovkbg,gLLAQbcdeeffhvnmmcn,Face: 12
hLLMMkbcdfefgglskmtjew,gLLAQbcdeeffhvnmmcn,Face: 10
hLLMAkbcdeffgglsbhuslj,gLLAQbcdeeffhvnmmcn,Face: 9
hLvAQkadfeggfgnaxcvkrg,gLLAQbcdeeffhvnmmcn,Face: 8
hLLLQkcdfegfggprlppbww,gvLQQcdeffefkwshdbu,Face: 10
hvLAQkcdegfgfgwnkdpals,gvLQQcdeffefkwshdbu,Face: 5
hLLAPkbcdefggglsbmwovc,gLLPQccdefffqfrieoj,Face: 10
hLLAPkbcdefggglsbmwcfj,gLLPQccdefffqfrieoj,Face: 9
hLLMMkbceefggghwluhboj,gLLPQccdefffqfrieoj,Face: 8
hLLLQkbcefggfghvqutccr,gLLPQccdefffqfrieoj,Face: 5
hLLMMkbcdfefgglskmtjew,gLLMQbcdeffflskuukg,Face: 12
hLLPPkcdefeggglcdepvvo,gLLMQbcdeffflskuukg,Face: 10
hLLAPkbcdefggglsbmwovc,gLLMQbcdeffflskuukg,Face: 9
hvLPQkcdefggfgkcwxhdak,gLLMQbcdeffflskuukg,Face: 7
hLLLQkbdeegfggdsxpxckk,gLLMQbcdeffflskuukg,Face: 4
hLLMAkbcdeffgglsbhuslj,gLLAQbdedfffdkegawk,Face: 12
hLLAPkbcdefggglsbmwcfj,gLLAQbdedfffdkegawk,Face: 9
