id,oriented,tetrahedra
fLLQcbecdeehhwsmu,1,5
gLLAQbcdefffdfbihbg,1,6
gLLMQacdefffjkxwgkg,1,6
gLLAQbcedefflsajlor,1,6
hLLLQkbdfgegfgevepebcf,1,7
hLLLQkbdegefggevipegog,1,7
hLLLQkcdegfgfghshmlgrs,0,7
hLLLQkbdfgefggdwhhdgjw,1,7
hLLMMkacdfefggjkxcckqw,1,7
hLLPMkacefefggjkxkccqw,1,7
iLLLAQccddfgghhhpkrtjktpx,1,8
ivLAAQcecfgfghhhkkpemaafw,1,8
iLLvQQccdegghghhuwqujkvbv,1,8
iLLLQMccddegfghhlgfdbfgik,1,8
iLLAwQcbdedfghhhdwasldusb,1,8
iLLMMMcbceefgghhebdxasshk,1,8
ivLAMQcdeefghhghjvkpambjs,0,8
ivLAAQccefgfghhhvrtpmaarb,0,8
iLLLQPccdegffhhhqfuadjedd,0,8
iLLLPQcbcgefhghhtshtgcgrr,1,8
iLLALQcccdefghhhlnvqvkqlu,1,8
gLLAQadedeffjmllwok,1,6
gLLAQacdeeffnkairhr,1,6
jLLALPQccdefiihhilnvqvxtehb,1,9
jLvLAQQcegfhihgiiquauvnfnwf,1,9
jLLLMPQcddfgiihihpkrtjqaxqk,1,9
jLLLzQQbcgehiihhitsmaslmcci,1,9
jLLLAMQccfefghiiitnaeenpmjr,1,9
jLLLMPQbdfffhhiiieviikvglxh,1,9
jvLALQQdedgfihhiiowjtpoknvn,1,9
jvLALQQdcfgihhihiooaapubvcs,1,9
jvLLAQQdeghgfihiioklqppofwo,0,9
jLvAAMQbefgghihiiededanejau,1,9
jLLLAPQbefgfhihiidtdddcuvtx,1,9
jLLvQAQcdeggfhhiiuwqujgbbhn,1,9
hLLMMkbddeffggtvklmjlr,1,7
jLLAPLQbcedfgihiitsxfjjmlgs,1,9
jLLAwQPbdedfhghiidwaslaakqw,1,9
hLLMMkbcdeffggebbmiwij,1,7
jvLLAQQdeggifhihiokldmlgwrf,0,9
jvLALQQdceifghhiiobbmlrbfjf,0,9
jLvAMPQcdfgfhiihiavdxscadne,0,9
jvLAPMQedfghghiiiwraaqhkrnn,0,9
hLLAPkcedefggghqnmhnrr,0,7
jLvLAQQbefeghiihiammmjcgoso,0,9
jLLLLQQbeffghihiiaaqawjoggv,0,9
jLLLLQQbdefighhiidwhgcosknb,1,9
jLLLPPQbddfhighiidwfgwujrtx,1,9
jvLAAMQecffghiihisoauaqjjff,0,9
jLLLzQQbcfehigihitsptcanuwt,1,9
jLLAPLQcdcegfhiiihsrpssaagb,1,9
hLLLQkadefegggjmxgcwjv,1,7
hLLLQkaceeffggjkvcfnkk,1,7
hLLMMkaceefgfgnktfftjw,1,7
hLLQzkacedefggnkemshxj,1,7
kLLMwAPkcddefhgjijjqrvuiuuaaof,1,10
kLLALPMkccdefihijijlnvqvxhakcj,1,10
kLLLPzQkbddfhijjiijdwfjwqeitxt,1,10
kLLAvAQkbcedhiijijjtsxfeddiqsc,1,10
kLvLLQQkcfehjhgijijhetgjnnvvnb,1,10
kLvLLQQkbdgjfhgiijjxfrkbfvnffo,0,10
kLvAvQQkbefjhhgjiijxttvjvjbfgr,1,10
kLLLLPQkccfhighijjjtnavrbwnqiq,1,10
kLLLzPQkccfejhhjiijtnaiajsuqdn,1,10
kLvAzMQkbefgihihjjjhapannnkiti,1,10
kLLLLMQkcddgfhijjjipkrjfkxmdik,1,10
kLLLLPQkcddgjjhihjipkrjpukxrlk,1,10
kLvALMQkbfefhjjihijhllhnphfbjd,1,10
kLLLLPQkccghijijhijlnunnunmnnl,1,10
kLLLLPQkbdehiggjjijevtvkkwqacp,1,10
kLLLPwQkccegfhihjjjtnxlcwebxsr,1,10
kLLLPMAkbdfefghiijjdwddsnflqwk,1,10
kLvALAQkcdefihhhjjjpvacccorlpu,1,10
kLLLPAPkcddghghjjijpkrjsksxtwc,1,10
iLLvQQccdhghgfhguwaunnkco,1,8
kvLALPQkdeefhgijjijrvkukjwnwjg,1,10
kLLvMPQkcdffgjihjijtwxkkdvvljl,1,10
kvLALQPkdcfighhijjjooamqubgaaa,1,10
kvLLLQQkcehgfijhijjffaaasrbsnv,0,10
kLvLAMQkbfghifgjjijapmmgfbeage,0,10
kLvLAPQkbdfeijghjijdfedetkoldw,1,10
kLLvPMQkcehfggjhijjulaljfabsta,1,10
kLvALQMkbefegghiijjdaddrnrokhw,1,10
kLLLLPQkbddhjiiihjjhgnghhuhkep,1,10
kLLLLPQkbedfjgjhjiitifgiwigqok,1,10
kLLLAMPkbegfghhijjjlpthtjrtqfs,1,10
iLvAMQcadfehghghnaqjmsarq,1,8
iLvAAQcbeffghgghtalliovjk,1,8
iLLLQMcbedgefghhemfueonmj,1,8
kLLPwAPkccdfeghijjjtnciiaaaaof,1,10
kLLAPLMkbcedfghiijjtsxfjjaasxr,1,10
kvLLLQQkcdifjjghijibctdabnvfbc,0,10
kvLPLMQkdfehgijhijjkasqagwcwwr,0,10
kvLLAPQkdeghfhijijjksdipgkvrwf,0,10
ivLLQQccdfggfhhhvvxeaemor,1,8
kLvLwQQkbdefghijijjafdfjknpomi,0,10
kLvALMQkcdegfhijijjavewrjrqceu,0,10
kvLLLQQkddfigihjhjjojedlsorojb,0,10
kvLALPQkdcefgjihjijocnerjnvgfw,0,10
kvLALPQkdcffgijhijjojhdmwfvnkk,0,10
kLvLAAQkbdhefgihjjjhfupcjtwiss,0,10
kLvwAMQkbefhgijjhijapqajjaebwp,0,10
kLLLLAQkbedfihihjjjaafjwnjwhtt,0,10
kvLLAAQkcegffijhijjvfhxeaqvnxa,0,10
kvLALPQkcdeijghhjijwgstsrgrsgk,0,10
iLLLMQcbdefghghhasiusnsfn,0,8
kLvLQLQkbehefgjijijaiiiigxhair,0,10
kLLvLQQkbehjfhiihjjaauosgbvoog,0,10
kLLLLPQkbeffjiihjijaaqaaorcqgm,0,10
kLLLLAQkbddhfijhijjdwfwbaerhxf,1,10
kvLALAQkedffhgijjijfjaemtcdase,1,10
kvLALPQkecdfhihjijjgkvmrcvfgsn,0,10
kLLLLPQkbdefgjhiijjdwhgolsnkqe,1,10
kLLLzMQkccfgghijjijlnalngxiumc,1,10
kLLPLzQkccdfghjijijqffaceaercg,1,10
kLLLzPQkbddfjhhjiijdwfguojiilk,1,10
kvLALMQkdcffhiihjjjojhdifckrws,0,10
kLLLPwQkcddghfijijjpgrgbfhmdes,1,10
