id,oriented,tetrahedra
fLAMcbbcdeeemkxhs,1,5
gLALQbcbeeffxhjsjhn,1,6
gLAMPaccdeffjgbqhxj,1,6
gLLPQcdcefffqsnalwn,1,6
gLALQbcbeeffhxjgban,1,6
hLLMAkaddeefggjuadjvhs,1,7
hLLAAkacdeefggjkadjdhk,1,7
hLLAAkcedefegglhvahaqn,1,7
hLLAAkbcedefggtsafaohn,1,7
hLLAAkbdedffggerdgasaj,1,7
hLLAAkbddeffggdwgumvir,1,7
fLAMcaccdeejsnqqn,1,5
iLLPLQcccdffhgghqvfasqokn,1,8
iLLPPPccdcfegghhqsnangsps,1,8
iLLMPPcacdfgfghhjkafhbavk,1,8
iLLMAMcbcdeffghhdfbmufuhj,1,8
iLLPAMccdcfefghhqsnmqwxxk,1,8
iLLAPPcccdefgghhqvvhsvjqj,1,8
iLLMMPcbceefgghhtsauabclj,1,8
iLLAPPcceddgfghhtivngsfuw,1,8
iLvAMQcaefeghghhnxqbwawqt,1,8
iLLALQcbdedfhghherdgbdfpd,1,8
iLLALQcbddefghhhdwgurkule,1,8
gLLAQacedeffnktiklw,1,6
gLLAQcceeefflnmqmhj,1,6
gLLQPacdedffjsxanxr,1,6
jLvAMQPadfdgfghiinxxrgbraxr,1,9
jLLLMPQcddegghhiilgfmnjxeoj,1,9
jLLMLQPaceffgghiinktbjhxbqj,1,9
jLLPzQPcdcfgfghiihsrasfoahk,1,9
jLLALPQccdegihhiiqvvhvehums,1,9
jLLLAAQbcgfeghhiitsmipsehvj,1,9
jLvAMMQaefgfgihiinxqofjqacg,1,9
jLLALMQceddfhihiitivnsheias,1,9
jLLLMAQcedffhghiiitsancgsqs,1,9
jLLLMAQcedffhghiiitfanvgfhs,1,9
jLLLLQQbcfgfihhiiebpckosfos,1,9
jLLALMQbddefhiihidwgurqitdv,1,9
hLLAMkbdedffgglvugafhn,1,7
hLLMAkbcdeffggdfbtqfmw,1,7
hLLMMkbcdeffggdfbltkuj,1,7
