id,oriented,tetrahedra
fLAMcbbcdeeemkqhk,1,5
gLALQbcbeeffhxjnkqw,1,6
gLAMPaccdeffjgbqqxr,1,6
gLLPQcdcefffqsnpqnw,1,6
gLALQbcbeeffxhjcvas,1,6
hLLMAkaddeefggjuadjnhk,1,7
hLLAAkacdeefggjkadjlhs,1,7
hLLAAkcedefegglhvaxaqw,1,7
hLLAAkbcedefggtsafashs,1,7
hLLMMkbcdfefgglrsitrmn,1,7
hLLAMkbdedffggdwugaoxj,1,7
fLAMcaccdeejsnaqw,1,5
iLLMLQccbefgfghhpnahbcbnk,1,8
iLLPPMcccdegffhhqfribfnxj,1,8
iLLzAQccdcegfghhqsnqsrklj,1,8
iLLMAMcbcdeffghhdfbmufmhn,1,8
iLLPAMccdcfefghhqsnatnhhr,1,8
iLLLMQcbddfgfghhxjflvoner,1,8
iLLPwQcceeffhhhglhadabokn,1,8
iLLLQMcbdegefghhdwmplkodr,1,8
iLLLAQccddfghhghtgfagimvd,1,8
iLLMLQcbcefgfghhdvumcofnk,1,8
iLvLQQcaefhghfghjxbrwrkwr,1,8
iLLAzQcbdedfhghhdwugrufiu,1,8
iLLLMQccddffgghhlkwtkooen,1,8
gLLAQaedeeffnmuefsn,1,6
gLLAQbceeefftsxpihj,1,6
gLLPQcdcfeefhcnhawn,1,6
jLLLLQQbdefhhggiihgpbojssgj,1,9
jLLMLMQaceffgihhinktbjhsbkr,1,9
jLLzQLQcdcegfihhihsnqffahrs,1,9
jLLPzQPcdcfgfghiihsrasfohhs,1,9
jLLLMPQbddgghihiihffejaiiug,1,9
jLLLPMQacfgghiihinkwkjupttc,1,9
jLLPLMQcdefhgghiiurddsbrolj,1,9
jLLLPPQacfgghiihinkwkjltptc,1,9
jLvLAQQaehefhgiiijxvckkwpea,1,9
jLLLAMQcddffgihiitgfaobiafr,1,9
jLLLLQQccfghihghilnagfogvok,0,9
jLLMLMQbcefhfhiiidvumwoftat,1,9
jLLPLPQacefhgiihinkxwuhtobc,1,9
jLLALAQccdegghhiitkwhwrhhww,1,9
jLLALAQbcedgghhiieodgkgumkj,1,9
jLLLPPQbcfeghihiiebpxcsqfai,1,9
jLvwMQQadehfgiihinqbnskambm,1,9
jLvLAQQaegfhihiihjxrsrxklpr,1,9
jLvvQQQaehgifihihjsrwjgjjwr,0,9
jLLLAPQcddfghgiiilkwtnhoqcb,1,9
jLLAzPQbdedfhiihidwugrtitto,1,9
jLLALPQceddghghiipqvrvesqor,1,9
hLLLQkaeegffggjlibsbog,1,7
hLLLQkadefegggjpxjonbn,1,7
hLLAPkacedfgggnklmutsn,1,7
hLLAAkbdceffgghgrxpgxw,1,7
hLLPMkacedffggnkxnwkmr,1,7
hLLLQkbdeeggfgdwiimsjj,1,7
hLLPAkbddeefggdwsmlrhs,1,7
hLLLQkbdfgeggfhgqiewkn,1,7
hLLPMkacedffggnkisrrar,1,7
hLLAMkbddefgfgtvnlaqrn,1,7
kLvLAQAkaeegfgihijjjxkvbwabpbw,1,10
kLLMwAPkaceefhgijijnktfstlitjw,1,10
iLLPPMcacefefghhnkxjnkaxk,1,8
kLLLLAQkcddihhgijjjtgfhbvvamtv,1,10
kLLvMPQkacfghijjiijnkfjudmdmnk,1,10
kLLLPLQkacfgghijijjnkwkjhaerwn,1,10
kLLvAQMkcdfehgiijijhraavcaahaj,1,10
kLvLMMQkaeehfgijjijjxkvbopeqdk,1,10
kLvvAQQkafgjifhjhijnjnenbkiosp,1,10
kLvLAAQkbfhfhggiijjhtetwsgbnpn,1,10
kLLLPMPkacfgghijijjnkwkjahenwr,1,10
kLLLAPMkbcfgehihjjjebpaxdqxsgb,1,10
kLLzvQQkcdfeighjijjqwunfvcucuu,0,10
kLLLLPQkccfijhgihjjlnakigvkoed,0,10
kLLLAMPkcddefhhijjjhsgpbdmqosv,1,10
kLvvAQQkafgjighjhijnnrmgskarbm,0,10
kLLLLAQkcdeighjhjjiarukovucddw,0,10
kLLMvAQkbcdegijhijjebbmgmdenoo,1,10
kLLALLQkccdeghhijjjtkwhwehxjcg,1,10
kLLALLQkbcedghihjjjeodgkhambco,1,10
kLLzLMQkaceifghjjijnkxukebcbbn,1,10
kLLzwAQkacefghjijijnkxfudckfnw,1,10
kLLzLAQkacehfgjijijjkxacqswgbf,1,10
kLvALAQkadfgifhjijjnqqjpbmqwco,1,10
kLLALAMkbcedhghiijjdwlkqgaqbbn,1,10
kLLALMPkbcedgghijjjeodgkghjkjr,1,10
kLLLzPQkbcgeihgjijjdfehanneqqc,1,10
kLLLLMQkccfghijhijjpvqgbfxkgip,1,10
kLLLLQPkbcehghijijjdfmcvcchkhq,0,10
kLLLLPQkcddhigjjhijhsgshbxishs,1,10
kLvvQMQkahfgigjgjijjfssjopctbt,1,10
kLvwMPQkadffijijhjinqngtamqbqm,0,10
kLLvzQQkcdheijgihjjhshjvxncope,1,10
kLvPLMQkafeghijhjijjqxwduadxrj,1,10
kLLLLPQkcdfeghjijijardwsrqrmjl,0,10
kLLALMPkceddghgjijjpqvrvasncnr,1,10
kLLLALQkcddfgghjijjlkwtnolkwjf,1,10
iLLALQcbedeghhghxxrxcwsrf,1,8
iLLLAQcccgeeghhhublxifiqq,1,8
iLLAwQcbdedfghhhlvugaheoc,1,8
iLLALQcbdcefghhhhgrxckmdh,1,8
iLLMLQcbcdefghghebbmwwpkn,1,8
iLLALQccddeghfhhucvuodwua,1,8
iLLLMQcbcgdfghghdfhjjvxgk,1,8
iLLLMQcbedehfghhdtfubjjkf,1,8
iLLMPMcbcefegghheouxerfuw,1,8
iLLALQcacedghhghnktipfsjk,1,8
iLLLMQcbcdgfghghebjxjbdvr,1,8
iLLLAQcaeeffhhghjqxgbqash,1,8
iLLLMQcbcdggfhghebrangdgk,1,8
iLLzMQcaceefghghjkxccxakj,1,8
iLLLMQcbddfghghhdwkejdbtt,1,8
iLLLMQcbddfgfghhdwfawcvij,1,8
iLLLPQcaceggfhhhnkvkjruit,1,8
iLvAAQcbeffegghhtqlimwnjs,1,8
iLLLQMcbdffefghhlvddtvjxj,1,8
iLLLQPcbdefegghhlwmutvotn,1,8
iLLLAQccddfgfhghtgfagsmjr,1,8
iLLMLQcbcdegfghhebbpwjwuk,1,8
iLLAMPcbdedfghghdvawxxxrk,1,8
iLLAPMcbddegffhhxvrijjjqn,1,8
jLLMMMPbceefgghiidfapxcbxqj,0,9
jLLAwPQbedefhhiiixxrxqhqamb,1,9
jLLLMPQcdeghiigiharuikhmfuw,0,9
jLLAwAQbdedfghiiitrpsliixxa,1,9
jLLLLQQbedffiihhihhfgbbbwco,1,9
jLLLPMQbcffhghiiiebpevvblad,1,9
jLLLLQQcceghgiiihubxjwfbjjn,1,9
jLLLMMQceffghihiipulapjiwqi,1,9
jLLALPQbdedfgihiilvugffldkf,1,9
jLLvMQQccgifhihhitkavvcccjc,1,9
jLLAwMQbdedfhhiiilvugatsknf,1,9
jLLALMQbddeghghiitvkhjuoxkr,1,9
jLLLAPQbcdgfgihiiebrakghqcf,1,9
jLLMMLQbceefgihhiebdxasaqjw,1,9
jLLLAPQcedfgghhiihpgadrpass,1,9
jLLLAMQccfgfeihiiqfaaxnupbo,1,9
jLLLAPQcbegfhiihitnqaliqqhs,1,9
jLLLLQQccdgfhgiiilnnnfngaue,0,9
jLLzAAQacfefghhiinkdcottnij,1,9
jLvPwQQafeehghhiinqxjxoxhhk,1,9
jLLLAMQcedfghhiiiltfaldlqls,1,9
jLLLMMQbcegfhghiidvmakcvcar,1,9
jLLwQPPacegffhhiinklekjeslj,1,9
jLLwLQQacefhgihiinkljpmmbjb,1,9
jLLwzQQacefghiihinklkttxbjb,1,9
jLLLAAQbcdgfghiiiebjxkbhakg,1,9
jLLLLQQcddgfhgihihsgjfnvakj,1,9
jLLLPAQacfghhggiinkrkxafvrs,1,9
jLLLAQPaedfeghhiintegvolugk,1,9
jLLLLQQcddfghgihihsggkvrajn,1,9
jLLLAPQcddffhhiiitgfaouhuqb,1,9
jLLLLQQcddighighitgfeovqvji,1,9
jLLLLQQbcfiihhgihebpjgkskvf,1,9
jvLAAPQdcegfhiihirbbqeogbfj,1,9
jLLLAPQcddefhihiihsgpbxhimf,1,9
jLLLLQQbcgghfhihitsmfkswrfk,0,9
jLLLLQQaceifihhhinkjpktllem,1,9
jLLLLQQacegfghhiinkjjkcllbk,1,9
jLvLMQQaefghgihiijxosrodslu,1,9
jLvwAQQadfhhggiiinqnwnvkidd,0,9
jLvLAQQbefhhgghiitiihsvvsos,1,9
jLLLMMQbcfegghhiidfpmfwvvds,1,9
jLLLMQPbdfghgfgiihgihfbnoqw,1,9
jLLvMQQacghifhihinkophkauee,1,9
jLLLwQQcddfihihgitgfatiiajg,1,9
jLLLMQPbdeefhghiitviigccsmw,1,9
jLLLMPQcddffhhgiiukftkxlkkk,1,9
jLLLAAQcddegfhhiihsgpskxiwn,1,9
jLLPLQPcdcfgfghiihsrasfohhs,1,9
jLLPPzQccdegfhihihkgmcfhxwr,1,9
kLLAwQzkbdedfghhijjevdslmmnahw,0,10
kLLAzMAkccdeghghijjakvhcinhvxk,0,10
kLLAzAMkceddfghijjjtivnkfthqul,1,10
kLLLwAQkccfghijjhijlnaxkmaecds,0,10
kLLAPLMkceddfgihjjjpqvrovllqaq,1,10
kLLAzLQkbdedggjiijjtrpswsprbnr,1,10
kLLLLPQkcedhhjgjiijqtfkvaspvrl,1,10
kLLPLwQkbcefghijjijebtpvgpephr,1,10
kLLMvAQkccdfihjihjjpvsxiaxmicc,0,10
kLvLAQPkcegeiihihjjlhahnskncmr,1,10
kLLLLQPkbcffhgihijjdfpgkjrjcus,1,10
kLLvAPQkcdfehijjhijtwxiotiuvqv,1,10
kLLLLQMkbcffghhijjjdfpgfokjqam,1,10
kLLLzPQkbddfijhjiijtrfgqlcudee,1,10
kLLALAMkbdedfhgiijjlvugfqftoqr,1,10
kLLALLQkbdedfhijjijlvugfqaanns,1,10
kLLLzPQkcddfjiijhijhcgcaxllbhp,1,10
kLLAvPQkbdedgijhijjlvugfelhsgg,1,10
kLLALPPkbddeghgjijjtvkhjpojbwj,1,10
kLLvPAQkacffigihjjjnkooanuhjbb,1,10
kLLzvQQkacehgjihjijnkiauaqwwbw,1,10
kLLLAwQkaedfeghijjjntegvohgnnj,1,10
kLLLPzQkcddgfhijhjjhsgggvtijon,1,10
kLLLAPPkaedfehihjjjntegvlahjgc,1,10
kLLAwAPkbdedfhgijijdwaslaaxakj,1,10
kLLLAPPkcedfggijjijhpgadrmgvgv,1,10
kLLLLMQkaceihhgjijjnkjpxevembf,1,10
kLLvAPQkccgefhjijijqfaqknhehqb,1,10
kLLvAPQkcbgfgghijjjunaubsbqqfo,0,10
kLLvAAQkcbgfhfhjijjtnalnogdlcj,1,10
kLLvAMQkcbgfhhiijjjtnalnwuuuib,0,10
kLLLvQQkbcgeijghjijtsmjkavfxch,0,10
kLLvAQPkcbghfihjijjunaanivpltf,0,10
kLLMLPMkcdedghgiijjtgufoafhsxn,1,10
kLLLLMQkaceghhgjjijnkjjxevibkb,1,10
kLLLLMQkaceghjghjijjkvjauvubjb,1,10
kLLLLQPkcegghfhijjjtqdlrfvsuia,1,10
kLLLMAPkccfeghgijjjubadjfgaxvb,1,10
kLMvPPAkacdfhgiihjjngtgulawvlj,1,10
kLvPALQkafefehjiijjjqxocppxrvs,1,10
kLLLzQPkccfehfhiijjqfaqkwcelgn,1,10
kLvLLQQkaehjfgiihjjjxvlbsdasdj,1,10
kLLwLAQkacefghjhijjnkljtaonbjk,1,10
kLLwzMQkacefhihjijjnklkpxbjfkw,1,10
kLvLAQPkaeghhfiijjjjxgsrbmuxqr,1,10
kLLLzPQkcddghjgihjjhsggnavtkfb,1,10
kLLLALQkccdfggijijjubkqjbecwkf,1,10
kLLLLQPkcddhfigihjjhsgjjevujgn,1,10
kvLALPQkcdfhigjijijfftlarvgfwr,1,10
kLLLLMQkbdghihgijjjtvlrjrnwhlm,0,10
kLLLLPQkcddfhiijjjitgfrvpauqia,1,10
kLLLAwQkcddefhjijijhsgpbdpqcsb,1,10
kLLLLPQkcddfhghjjijtgfrvvjqijv,1,10
kLLLvQQkbcfghhijijjebpgksgeoeu,1,10
kLvALPQkcdehijgihjjtvdgfibkflp,1,10
kLLLwAQkcddehghijjjhsgppkaivrc,1,10
kLLvLQQkbcjhgjigijidfkjvknnvnk,0,10
kvLALMQkedffijhjijisfdalbnoocj,1,10
kLLLLPQkcedgjihihjjltfjesnnfxd,1,10
kLLLLAQkcddhfijijjihsgsshhdmlh,1,10
iLLAwQcbeedfghhhhhakiktia,1,8
kLvALAQkbefgghhiijjedetsggfgxj,0,10
kLvALAQkcdefhiijhijuvucvsgtgjj,0,10
