target,source,label
gLALQbcbeeffhhwsjhn,fLAMcbbcdeeemkxxn,Face: 10
gLAMPaccdeffjgbqhhw,fLAMcbbcdeeemkxxn,Face: 9
gLLPQcdcefffhsralwn,fLAMcbbcdeeemkxxn,Face: 8
gLALQbcbeeffxxngban,fLAMcbbcdeeemkxxn,Face: 7
hLLMAkaddeefggjuadjvxn,gLALQbcbeeffhhwsjhn,Face: 10
hLLAAkacdeefggjkadjdqj,gLAMPaccdeffjgbqhhw,Face: 10
hLLAAkcedefegglhvahahr,gLLPQcdcefffhsralwn,Face: 11
hLLAAkbcedefggtsafaoqj,gLLPQcdcefffhsralwn,Face: 10
hLLAAkbdedffggerdgasqw,gLLPQcdcefffhsralwn,Face: 7
hLLAAkbddeffggdwgumvej,gLLPQcdcefffhsralwn,Face: 5
fLAMcaccdeejsnqhr,gLALQbcbeeffxxngban,Edge: 9
iLLPLQcccdffhgghqvfashokr,hLLMAkaddeefggjuadjvxn,Face: 8
iLLPPPccdcfegghhhsrangsps,hLLMAkaddeefggjuadjvxn,Face: 7
iLLMPMcaceefgghhjktfvahvr,hLLAAkacdeefggjkadjdqj,Face: 13
iLLMAMcbcdeffghhdfbmufuxn,hLLAAkacdeefggjkadjdqj,Face: 8
iLLPAMccdcfefghhhsrmqwxxk,hLLAAkacdeefggjkadjdqj,Face: 4
iLLAPPcccdefgghhqvvhsvjan,hLLAAkcedefegglhvahahr,Face: 13
iLLPLQcccdffhgghqvfashokr,hLLAAkcedefegglhvahahr,Face: 5
iLLLPQcccehgfgghqfaqfnjoj,hLLAAkcedefegglhvahahr,Face: 4
iLLMLQcaceffghhhjktgfauks,hLLAAkbcedefggtsafaoqj,Face: 13
iLLAPPcceddgfghhtivngsfmk,hLLAAkbcedefggtsafaoqj,Face: 11
iLLMAMcbcdeffghhdfbmufuxn,hLLAAkbcedefggtsafaoqj,Face: 5
iLLLQMcbdeeggghhdwhhigoxk,hLLAAkbcedefggtsafaoqj,Face: 4
iLLAPPcccdefgghhqvvhsvjan,hLLAAkbdedffggerdgasqw,Face: 13
iLvAMQcaefgfghhhjaqofotit,hLLAAkbdedffggerdgasqw,Face: 12
iLLLMQcbdgefhghhesmhksovr,hLLAAkbdedffggerdgasqw,Face: 9
iLLAPPcceddgfghhtivngsfmk,hLLAAkbddeffggdwgumvej,Face: 12
iLLLPQcbdgefhhghlvmtgvvws,hLLAAkbddeffggdwgumvej,Face: 8
gLLQPacdeeffjkdlcpj,fLAMcaccdeejsnqhr,Face: 9
gLLAQcceeefflnmqmxn,fLAMcaccdeejsnqhr,Face: 5
gLLQPacdedffjsxanqj,fLAMcaccdeejsnqhr,Face: 1
hLLAAkcedefegglhvahahr,iLLPLQcccdffhgghqvfashokr,Edge: 12
jLvAMQPadfdgfghiinxxrgbraqs,iLLPPPccdcfegghhhsrangsps,Face: 5
jLLLQzQcddfgfhhiilgfawgatwr,iLLMPMcaceefgghhjktfvahvr,Face: 15
jLLLMPQcddegghhiilgfmnjxefn,iLLMPMcaceefgghhjktfvahvr,Face: 12
jLLMMMPaceefgghiijktfsuaohw,iLLMPMcaceefgghhjktfvahvr,Face: 8
hLLAAkbcedefggtsafaoqj,iLLMAMcbcdeffghhdfbmufuxn,Edge: 12
jLLLMPQcddegghhiilgfmnjxefn,iLLMAMcbcdeffghhdfbmufuxn,Face: 15
jLLMMMPaceefgghiijktfsuaohw,iLLPAMccdcfefghhhsrmqwxxk,Face: 15
jLLPzQPcdcfgfghiihsrasfoaqj,iLLPAMccdcfefghhhsrmqwxxk,Face: 8
hLLAAkbdedffggerdgasqw,iLLAPPcccdefgghhqvvhsvjan,Edge: 10
jLLALMQcdcegghiiihsjhbvdarc,iLLAPPcccdefgghhqvvhsvjan,Face: 15
jLvPLQQccefgihihiqjackcbgkw,iLLLPQcccehgfgghqfaqfnjoj,Face: 5
jLLLMPQcddfgighiilgfafanxjr,iLLMLQcaceffghhhjktgfauks,Face: 15
jLLLMPQcddegghhiilgfmnjxefn,iLLMLQcaceffghhhjktgfauks,Face: 9
jLLLAAQbcgfeghhiitsmipsehkw,iLLMLQcaceffghhhjktgfauks,Face: 8
jLvAMPQaefeggihiijaqgwwxxcj,iLLMLQcaceffghhhjktgfauks,Face: 4
hLLAAkbddeffggdwgumvej,iLLAPPcceddgfghhtivngsfmk,Edge: 10
jLLAzPQceddgihhiitivngdildn,iLLAPPcceddgfghhtivngsfmk,Face: 14
jLLLMAQcedffhghiiitsancgsan,iLLAPPcceddgfghhtivngsfmk,Face: 6
jLLLMAQcedffhghiiitfanvgfxn,iLLAPPcceddgfghhtivngsfmk,Face: 5
jLLMLQPbcdffghhiitsrmsbhufj,iLLLQMcbdeeggghhdwhhigoxk,Face: 13
jLvPLQQccefgihihiqjackcbgkw,iLLLQMcbdeeggghhdwhhigoxk,Face: 6
jLLLLQQbcffighhiiebtkobgfkv,iLvAMQcaefgfghhhjaqofotit,Face: 15
jLvAMPQaefeggihiijaqgwwxxcj,iLvAMQcaefgfghhhjaqofotit,Face: 5
jLLALMQcdcegghiiihsjhbvdarc,iLLLMQcbdgefhghhesmhksovr,Face: 15
jvLAAPQecfeghihiiccacuknkck,iLLLMQcbdgefhghhesmhksovr,Face: 14
jLLAzPQceddgihhiitivngdildn,iLLLPQcbdgefhhghlvmtgvvws,Face: 14
hLLAMkbdedffggtvdgakek,gLLQPacdeeffjkdlcpj,Face: 11
hLLMAkbcdeffggdfbtqfun,gLLQPacdeeffjkdlcpj,Face: 9
hLLMMkbcdeffggdfbltklw,gLLQPacdeeffjkdlcpj,Face: 8
hLLAMkcedefgfgqpvtxwkk,gLLQPacdeeffjkdlcpj,Face: 5
hLLAAkacdeefggjkadouxk,gLLQPacdeeffjkdlcpj,Face: 4
hLLMMkbceeffggtsdxawnj,gLLAQcceeefflnmqmxn,Face: 11
hLLMMkbcdeffggdfbltklw,gLLAQcceeefflnmqmxn,Face: 9
hLLPAkbddeefggdwsmlwqj,gLLAQcceeefflnmqmxn,Face: 5
hLLLQkbdfegggfxvhmdvrr,gLLAQcceeefflnmqmxn,Face: 2
hLLLQkaeedffggnlisrrjk,gLLQPacdedffjsxanqj,Face: 11
hLLAMkbddefgfgtvnuaxrk,gLLQPacdedffjsxanqj,Face: 7
iLLMwQcacdefhgghjkankxanr,jLvAMQPadfdgfghiinxxrgbraqs,Edge: 15
kLLLMLQkcddegijhijjlgfmnehejvb,jLLLQzQcddfgfhhiilgfawgatwr,Face: 17
kLLLMAAkcddffghhijjlgfagkuechw,jLLLQzQcddfgfhhiilgfawgatwr,Face: 13
kLLLwPQkbddfigjihjjajfpqoidrkk,jLLLQzQcddfgfhhiilgfawgatwr,Face: 3
iLLMLQcaceffghhhjktgfauks,jLLLMPQcddegghhiilgfmnjxefn,Edge: 15
iLLMAMcbcdeffghhdfbmufuxn,jLLLMPQcddegghhiilgfmnjxefn,Edge: 11
kLLLMLQkcddegijhijjlgfmnehejvb,jLLLMPQcddegghhiilgfmnjxefn,Face: 17
iLLPAMccdcfefghhhsrmqwxxk,jLLMMMPaceefgghiijktfsuaohw,Edge: 11
kLLLMAAkcddffghhijjlgfagkuechw,jLLMMMPaceefgghiijktfsuaohw,Face: 17
kLLMLQzkaceffghhijjjktbjaukaqj,jLLMMMPaceefgghiijktfsuaohw,Face: 12
kLLMLQzkaceffghhijjjktbjaukaqj,jLLPzQPcdcfgfghiihsrasfoaqj,Face: 17
kLLMLQzkaceffghhijjjktbjaukaqj,jLLPzQPcdcfgfghiihsrasfoaqj,Face: 15
iLLLMQcbdgefhghhesmhksovr,jLLALMQcdcegghiiihsjhbvdarc,Edge: 14
iLLLQMcbdeeggghhdwhhigoxk,jLvPLQQccefgihihiqjackcbgkw,Edge: 12
kLLLMLQkcddegijhijjlgfmnehejvb,jLLLMPQcddfgighiilgfafanxjr,Face: 14
kLLLAPPkccefggijijjlnmidnakgsb,jLLLMPQcddfgighiilgfafanxjr,Face: 13
kLLLLQMkbcffgihhjjjdfpwwvsfeql,jLLLMPQcddfgighiilgfafanxjr,Face: 9
kLLLALQkbddgfgiijjjasfuvomjsgg,jLLLMPQcddfgighiilgfafanxjr,Face: 3
kLLLAPPkccefggijijjlnmidnakgsb,jLLLAAQbcgfeghhiitsmipsehkw,Face: 17
kLvAPzQkadfghfihjjjjaqfebedkks,jLLLAAQbcgfeghhiitsmipsehkw,Face: 9
kLLLzQMkccfehgiiijjlnaaccaaxak,jLLLAAQbcgfeghhiitsmipsehkw,Face: 4
iLvAMQcaefgfghhhjaqofotit,jLvAMPQaefeggihiijaqgwwxxcj,Edge: 12
kLLLLQMkbcffgihhjjjdfpwwvsfeql,jLvAMPQaefeggihiijaqgwwxxcj,Face: 17
kLvAPzQkadfghfihjjjjaqfebedkks,jLvAMPQaefeggihiijaqgwwxxcj,Face: 10
iLLLPQcbdgefhhghlvmtgvvws,jLLAzPQceddgihhiitivngdildn,Edge: 14
kLLLLAQkcddhghjiijjlgfgsvdamtf,jLLAzPQceddgihhiitivngdildn,Face: 11
kLLLLAQkcddhghjiijjlgfrsvdamif,jLLAzPQceddgihhiitivngdildn,Face: 10
kLLLLAQkcddhghjiijjlgfgsvdamtf,jLLLMAQcedffhghiiitsancgsan,Face: 16
kLLLzQMkccfehgiiijjlnaaccaaxak,jLLLMAQcedffhghiiitsancgsan,Face: 6
kLLLLQMkcedifhhhijjpircfvcwols,jLLLMAQcedffhghiiitsancgsan,Face: 2
kLLLLAQkcddhghjiijjlgfrsvdamif,jLLLMAQcedffhghiiitfanvgfxn,Face: 16
kLLLzQMkccfehigiijjlnaacxvaxak,jLLLMAQcedffhghiiitfanvgfxn,Face: 6
kLLLLQMkcedifhhhijjpircsvcbols,jLLLMAQcedffhghiiitfanvgfxn,Face: 2
kLLLzQMkccfehigiijjlnaacxvaxak,jLLMLQPbcdffghhiitsrmsbhufj,Face: 7
kLLLLQMkbcffgihhjjjdfpwwvsfeql,jLLLLQQbcffighhiiebtkobgfkv,Face: 10
kvLALPQkdcfghjijiijnoahljgfsgs,jLLLLQQbcffighhiiebtkobgfkv,Face: 5
kLLLvQQkbddhighijjjajffxoouaaf,jLLLLQQbcffighhiiebtkobgfkv,Face: 3
kvLALPQkdcfghjijiijnoahljgfsgs,jvLAAPQecfeghihiiccacuknkck,Face: 7
