id,oriented,tetrahedra
fLAMcbbcdeeemkxxn,1,5
gLALQbcbeeffhhwsjhn,1,6
gLAMPaccdeffjgbqhhw,1,6
gLLPQcdcefffhsralwn,1,6
gLALQbcbeeffxxngban,1,6
hLLMAkaddeefggjuadjvxn,1,7
hLLAAkacdeefggjkadjdqj,1,7
hLLAAkcedefegglhvahahr,1,7
hLLAAkbcedefggtsafaoqj,1,7
hLLAAkbdedffggerdgasqw,1,7
hLLAAkbddeffggdwgumvej,1,7
fLAMcaccdeejsnqhr,1,5
iLLPLQcccdffhgghqvfashokr,1,8
iLLPPPccdcfegghhhsrangsps,1,8
iLLMPMcaceefgghhjktfvahvr,1,8
iLLMAMcbcdeffghhdfbmufuxn,1,8
iLLPAMccdcfefghhhsrmqwxxk,1,8
iLLAPPcccdefgghhqvvhsvjan,1,8
iLLLPQcccehgfgghqfaqfnjoj,1,8
iLLMLQcaceffghhhjktgfauks,1,8
iLLAPPcceddgfghhtivngsfmk,1,8
iLLLQMcbdeeggghhdwhhigoxk,1,8
iLvAMQcaefgfghhhjaqofotit,1,8
iLLLMQcbdgefhghhesmhksovr,1,8
iLLLPQcbdgefhhghlvmtgvvws,1,8
gLLQPacdeeffjkdlcpj,1,6
gLLAQcceeefflnmqmxn,1,6
gLLQPacdedffjsxanqj,1,6
jLvAMQPadfdgfghiinxxrgbraqs,1,9
jLLLQzQcddfgfhhiilgfawgatwr,0,9
jLLLMPQcddegghhiilgfmnjxefn,1,9
jLLMMMPaceefgghiijktfsuaohw,1,9
jLLPzQPcdcfgfghiihsrasfoaqj,1,9
jLLALMQcdcegghiiihsjhbvdarc,1,9
jLvPLQQccefgihihiqjackcbgkw,1,9
jLLLMPQcddfgighiilgfafanxjr,0,9
jLLLAAQbcgfeghhiitsmipsehkw,1,9
jLvAMPQaefeggihiijaqgwwxxcj,1,9
jLLAzPQceddgihhiitivngdildn,1,9
jLLLMAQcedffhghiiitsancgsan,1,9
jLLLMAQcedffhghiiitfanvgfxn,1,9
jLLMLQPbcdffghhiitsrmsbhufj,1,9
jLLLLQQbcffighhiiebtkobgfkv,0,9
jvLAAPQecfeghihiiccacuknkck,0,9
hLLAMkbdedffggtvdgakek,1,7
hLLMAkbcdeffggdfbtqfun,1,7
hLLMMkbcdeffggdfbltklw,1,7
hLLAMkcedefgfgqpvtxwkk,1,7
hLLAAkacdeefggjkadouxk,1,7
hLLMMkbceeffggtsdxawnj,1,7
hLLPAkbddeefggdwsmlwqj,1,7
hLLLQkbdfegggfxvhmdvrr,1,7
hLLLQkaeedffggnlisrrjk,1,7
hLLAMkbddefgfgtvnuaxrk,1,7
iLLMwQcacdefhgghjkankxanr,1,8
kLLLMLQkcddegijhijjlgfmnehejvb,0,10
kLLLMAAkcddffghhijjlgfagkuechw,0,10
kLLLwPQkbddfigjihjjajfpqoidrkk,0,10
kLLMLQzkaceffghhijjjktbjaukaqj,1,10
kLLLAPPkccefggijijjlnmidnakgsb,0,10
kLLLLQMkbcffgihhjjjdfpwwvsfeql,0,10
kLLLALQkbddgfgiijjjasfuvomjsgg,0,10
kLvAPzQkadfghfihjjjjaqfebedkks,1,10
kLLLzQMkccfehgiiijjlnaaccaaxak,1,10
kLLLLAQkcddhghjiijjlgfgsvdamtf,1,10
kLLLLAQkcddhghjiijjlgfrsvdamif,1,10
kLLLLQMkcedifhhhijjpircfvcwols,1,10
kLLLzQMkccfehigiijjlnaacxvaxak,1,10
kLLLLQMkcedifhhhijjpircsvcbols,1,10
kvLALPQkdcfghjijiijnoahljgfsgs,0,10
kLLLvQQkbddhighijjjajffxoouaaf,0,10
kLLvMMQkcdfgfjjhiijugajgaebwwq,0,10
iLLAzQcbdedfghhhtvdgwfmpq,1,8
iLLLAQccddefhghhlgfpbariu,1,8
iLvLQQcaegefhhghnxjcknccc,1,8
iLLLQMcbdefefghhlvietjoxn,1,8
iLLPLQcccdeghgghpvfdfmrkr,1,8
iLLLMQccefegghghtuqtlsbnj,1,8
iLvLQQcaehefgghhnxvckbgvr,1,8
iLvLQQcaeghehgghnxgrgrvww,1,8
iLLAPMcbdedgfghhhgakgwwtk,1,8
iLLLAQcccfeehhghpvadhdmwa,1,8
iLLLAQccbfgfhghhpniuplcxx,1,8
iLLALQcbdcefgghhlvsqvcrts,1,8
iLLAwQcbdeefhgghevdpaukrn,1,8
iLLPzQccdcfgfghhqrjasfohk,1,8
iLvAQMcaefefgfhhjhqbrbsqj,1,8
iLLLAQccddfghghhlgfaglkmd,1,8
iLLAPMcceddgfghhtdvnbkfpj,1,8
iLLLQPccddefgghhpkrdgvjan,1,8
iLLLQMcbdffefghhlvddtvoqj,1,8
iLLAAMcbdedffghhdwxvacixn,1,8
iLvAMQcbfeghgfghxaxahrkbr,1,8
iLLLAQccddfehhhglgfanauxj,1,8
iLLALQcbdedhfhhgtvagmrpen,1,8
iLLMwQcacedfghhhjktwvuxko,1,8
iLLLAQcadegefhhhnmxvcrqqp,1,8
