id,oriented,tetrahedra
fLLQccceddehwxwjn,1,5
gLLPQcdcfeffqsjdqvf,1,6
gLLAQccedfeftnhkxwn,1,6
gLALQbcbeeffhhwrvqn,1,6
gLLAQcbdeefftnbmtwr,1,6
hLLMAkbddeffggtvkumvhr,1,7
hLLAAkbcdeefggpfreesqj,1,7
hLLMAkaceeefggjktjkkxk,1,7
hLLPAkcdcfeeggqcjhasxn,1,7
hLALPkbcbefgggxxnndabv,1,7
hLALPkbcbefgfgxxnsaxjr,1,7
hLLLQkacdegfggjkrngkcv,1,7
hLLMPkacdefgfgjkanjirk,1,7
iLLLMQcacgfhgfhhjkbjeckip,1,8
iLALLQccbbefhghhhhroxjsog,1,8
iLLAMMcbddeffghhmkbqajahr,1,8
iLLAMMcbddeffghhmvrqajahr,1,8
iLLLPQcbdgefhhhglvqtgvnbs,1,8
iLLAPPcbdedggghhtvagkbfxn,1,8
iLLMPMcccdfefghhqvvawkcqj,1,8
iLLAPMccddegffhhlcvankjxk,1,8
iLLMAMcacedffghhjktnkbxhr,1,8
iLALLQcbcbfgfhhhhhwhaqfvs,1,8
iLALLQcbcbefhghhxxnnakbfj,1,8
iLALLQcbcbfhfhghhhwuutknk,1,8
iLLLAQcbdffegghhlvqqtvrqj,1,8
iLvAQPcadfeggfhhnaacvkjqw,1,8
jLLvPQQacghgfiihijkwuckqtho,1,9
jLALLMQcbbefghiiihhroxcvipx,1,9
jLALLMQcbbefghiiihhroxkkipx,1,9
jLLLQMPcdfgfgfhiiikqutvkhhw,1,9
jLLLMQPcdfeghggiiqcetbngfxk,1,9
jLLLQMPbedgefghiihifhpfrpxk,1,9
jLLLPQPcdefggghiiqrumvfcbhr,1,9
jLLALQPcdceggghiihsjhbbouhw,1,9
jLLLPPQcedhegihiiqqfejstwda,1,9
jLLALQPbddefhhhiixvrxjapmqs,1,9
jLLALPQbcdegihhhidfbhcxhxan,1,9
jLLLMQPbcgdgfhgiidfhwfkavxk,1,9
jLLLQPPcddfgeghiilgfagjjpxn,1,9
jLLAzQPbdedfghgiitvagkferhw,1,9
jLALLAQbcbfhfghiihhwhuqgwqn,1,9
jLALLMQcbbffghiiiqqjqxavxei,1,9
